Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
61,0.5,268.6268,230.78592,495.02066,403.44043,238.66029,458.2323,416.08261,98.32123,462.32068
62,0.508,268.49945,231.3925,494.90649,403.0874,238.64766,458.22003,415.97,98.27831,462.10056
63,0.517,268.49945,231.3925,494.90649,403.0874,238.64766,458.22003,415.97,98.27831,462.10056
64,0.525,268.63455,230.64247,495.17792,403.0874,238.64766,458.22003,416.02191,98.5452,461.94116
65,0.533,268.63455,230.64247,495.17792,403.0874,238.64766,458.22003,415.97,98.27831,462.10056
66,0.542,268.53906,230.99478,495.19128,403.0874,238.64766,458.22003,416.02191,98.5452,461.94116
67,0.55,268.53906,230.99478,495.19128,403.0874,238.64766,458.22003,415.97,98.27831,462.10056
68,0.558,268.53906,230.99478,495.19128,403.0874,238.64766,458.22003,416.02191,98.5452,461.94116
69,0.567,268.68158,230.58687,495.23456,403.0874,238.64766,458.22003,416.08261,98.32123,462.32068
70,0.575,268.75558,230.50618,495.30133,403.0874,238.64766,458.22003,416.02191,98.5452,461.94116
71,0.583,268.59213,230.93176,495.25305,403.0874,238.64766,458.22003,416.02191,98.5452,461.94116
72,0.592,268.59213,230.93176,495.25305,403.14713,238.58414,458.27936,416.56699,98.51802,461.97684
73,0.6,268.57959,230.86887,495.31982,403.31039,238.44223,458.23969,415.97,98.27831,462.10056
74,0.608,268.74777,230.64964,495.14407,403.25067,238.50577,458.18036,415.97,98.27831,462.10056
75,0.617,268.57092,231.09364,495.08521,403.31458,238.44618,458.23541,416.7489,98.03555,461.94583
76,0.625,268.57092,231.09364,495.08521,403.25067,238.50577,458.18036,415.97,98.27831,462.10056
77,0.633,268.49945,231.3925,494.90649,403.25067,238.50577,458.18036,415.97,98.27831,462.10056
78,0.642,268.49945,231.3925,494.90649,403.25067,238.50577,458.18036,416.08261,98.32123,462.32068
79,0.65,268.51788,231.15665,495.02344,403.37445,238.38287,458.29456,416.51505,98.25114,462.13623
80,0.658,268.51788,231.15665,495.02344,403.37445,238.38287,458.29456,416.7489,98.03555,461.94583
81,0.667,268.49945,231.3925,494.90649,403.25067,238.50577,458.18036,416.08261,98.32123,462.32068
82,0.675,268.49945,231.3925,494.90649,403.37445,238.38287,458.29456,416.62759,98.29409,462.35632
83,0.683,268.62955,230.84662,494.86218,403.26166,238.25427,458.10132,416.0929,98.00072,462.3764
84,0.692,268.62061,230.99289,494.90857,403.37445,238.38287,458.29456,416.63782,97.97361,462.41205
85,0.7,268.57092,231.09364,495.08521,403.37445,238.38287,458.29456,416.0929,98.00072,462.3764
86,0.708,268.57092,231.09364,495.08521,403.32156,238.19096,458.16046,416.63782,97.97361,462.41205
87,0.717,268.70676,230.82152,495.02435,403.37445,238.38287,458.29456,416.87164,97.75803,462.22165
88,0.725,268.55249,231.32951,494.96826,403.37445,238.38287,458.29456,416.24005,97.75801,461.98471
89,0.733,268.55249,231.32951,494.96826,403.37445,238.38287,458.29456,416.63361,97.90839,462.64862
90,0.742,268.67575,230.99452,494.97418,403.32156,238.19096,458.16046,416.86746,97.6928,462.45822
91,0.75,268.69421,230.75862,495.09113,403.37445,238.38287,458.29456,416.34848,97.73569,462.44141
92,0.758,268.71542,230.59671,495.25897,403.44339,237.98259,458.14844,416.87164,97.75803,462.22165
93,0.767,268.80066,230.51688,495.39059,403.49628,238.1745,458.28253,416.87164,97.75803,462.22165
94,0.775,268.9606,230.29269,495.60501,403.55148,237.84151,458.17081,416.86746,97.6928,462.45822
95,0.783,268.95892,230.4285,495.44006,403.55817,237.77997,458.23206,416.62994,97.35455,462.33942
96,0.792,268.79742,230.70865,495.28778,403.55148,237.84151,458.17081,416.41617,97.51367,461.87851
97,0.8,268.74103,230.61716,495.32202,403.55148,237.84151,458.17081,416.86746,97.6928,462.45822
98,0.808,268.83716,230.31078,495.57254,403.55817,237.77997,458.23206,416.95181,97.5145,462.2442
99,0.817,269.01855,230.3282,495.50864,403.55817,237.77997,458.23206,416.95181,97.5145,462.2442
100,0.825,268.71542,230.59671,495.25897,403.55148,237.84151,458.17081,416.95181,97.5145,462.2442
101,0.833,268.80066,230.51688,495.39059,403.55148,237.84151,458.17081,416.95181,97.5145,462.2442
102,0.842,268.9437,230.47264,495.42596,403.55148,237.84151,458.17081,417.04224,97.70649,462.03
103,0.85,268.77942,230.6788,495.22278,403.6651,237.8564,458.14771,416.95596,97.57974,462.00763
104,0.858,268.81876,230.95032,495.00955,403.60693,237.8504,458.04871,416.95596,97.57974,462.00763
105,0.867,268.72797,230.65962,495.1922,403.72055,237.8653,458.0256,416.95596,97.57974,462.00763
106,0.875,268.86429,230.61455,495.22891,403.72055,237.8653,458.0256,417.04636,97.77175,461.7934
107,0.883,268.94949,230.53471,495.36057,403.74005,237.52005,457.8862,417.04636,97.77175,461.7934
108,0.892,268.94949,230.53471,495.36057,403.88205,237.85931,458.02008,417.19421,97.68589,461.5372
109,0.9,268.94949,230.53471,495.36057,404.07184,238.01389,458.07202,416.93375,97.72885,461.5733
110,0.908,268.85846,230.55249,495.29434,404.07184,238.01389,458.07202,417.04636,97.77175,461.7934
111,0.917,269.12338,230.73291,495.42194,403.91034,238.01988,458.07758,416.93375,97.72885,461.5733
112,0.925,268.94949,230.53471,495.36057,403.72055,237.8653,458.0256,416.93375,97.72885,461.5733
113,0.933,268.9437,230.47264,495.42596,403.88205,237.85931,458.02008,416.93375,97.72885,461.5733
114,0.942,268.94949,230.53471,495.36057,403.88205,237.85931,458.02008,416.93375,97.72885,461.5733
115,0.95,268.9437,230.47264,495.42596,403.72055,237.8653,458.0256,416.93375,97.72885,461.5733
116,0.958,268.9437,230.47264,495.42596,403.60693,237.8504,458.04871,416.93375,97.72885,461.5733
117,0.967,268.9437,230.47264,495.42596,403.55148,237.84151,458.17081,416.93375,97.72885,461.5733
118,0.975,268.9437,230.47264,495.42596,403.55148,237.84151,458.17081,416.84338,97.53683,461.78754
119,0.983,268.71542,230.59671,495.25897,403.55148,237.84151,458.17081,416.93375,97.72885,461.5733
120,0.992,268.71542,230.59671,495.25897,403.55148,237.84151,458.17081,416.84338,97.53683,461.78754
121,1,268.71542,230.59671,495.25897,403.55148,237.84151,458.17081,416.75909,97.71511,462.00156
122,1.008,268.8132,230.5798,495.32382,403.55148,237.84151,458.17081,416.75909,97.71511,462.00156
123,1.017,268.71542,230.59671,495.25897,403.55148,237.84151,458.17081,416.75909,97.71511,462.00156
124,1.025,268.72797,230.65962,495.1922,403.44339,237.98259,458.14844,416.50742,97.4017,461.9343
125,1.033,268.72797,230.65962,495.1922,403.55148,237.84151,458.17081,416.24005,97.75801,461.98471
126,1.042,268.72797,230.65962,495.1922,403.55148,237.84151,458.17081,416.50742,97.4017,461.9343
127,1.05,268.71542,230.59671,495.25897,403.44339,237.98259,458.14844,416.75909,97.71511,462.00156
128,1.058,268.71542,230.59671,495.25897,403.55148,237.84151,458.17081,416.75909,97.71511,462.00156
129,1.067,268.69421,230.75862,495.09113,403.44339,237.98259,458.14844,416.24005,97.75801,461.98471
130,1.075,268.9437,230.47264,495.42596,403.55148,237.84151,458.17081,416.84949,97.90714,461.78732
131,1.083,268.80066,230.51688,495.39059,403.44339,237.98259,458.14844,416.75909,97.71511,462.00156
132,1.092,268.80066,230.51688,495.39059,403.55698,237.99748,458.12534,416.84949,97.90714,461.78732
133,1.1,268.7623,230.45523,495.48987,403.55698,237.99748,458.12534,416.93375,97.72885,461.5733
134,1.108,269.01855,230.3282,495.50864,403.74127,237.99611,458.22278,416.93375,97.72885,461.5733
135,1.117,268.98016,230.26654,495.60791,404.01636,238.005,458.19412,416.93375,97.72885,461.5733
136,1.125,268.99728,230.49014,495.34082,404.01636,238.005,458.19412,416.93375,97.72885,461.5733
137,1.133,269.11432,230.86266,495.38449,404.07184,238.01389,458.07202,417.07803,97.70964,461.04791
138,1.142,269.06528,230.18678,495.73959,404.12469,238.20578,458.20615,417.07803,97.70964,461.04791
139,1.15,268.98016,230.26654,495.60791,404.07184,238.01389,458.07202,417.07803,97.70964,461.04791
140,1.158,268.98016,230.26654,495.60791,404.22269,237.98749,458.08777,417.37711,97.46268,461.16949
141,1.167,268.98016,230.26654,495.60791,404.0329,237.83292,458.0358,417.37711,97.46268,461.16949
142,1.175,268.98016,230.26654,495.60791,404.0329,237.83292,458.0358,417.37711,97.46268,461.16949
143,1.183,268.94043,230.66444,495.32312,404.0329,237.83292,458.0358,417.37711,97.46268,461.16949
144,1.192,268.97879,230.72609,495.22385,403.99927,237.78229,457.79385,417.37711,97.46268,461.16949
145,1.2,268.99728,230.49014,495.34082,404.0329,237.83292,458.0358,417.37711,97.46268,461.16949
146,1.208,269.01855,230.3282,495.50864,404.05704,237.77321,458.09393,416.93375,97.72885,461.5733
147,1.217,268.91116,230.47308,495.45981,403.84525,237.78923,458.20218,416.84338,97.53683,461.78754
148,1.225,268.94949,230.53471,495.36057,403.55817,237.77997,458.23206,416.84338,97.53683,461.78754
149,1.233,268.77942,230.6788,495.22278,403.55148,237.84151,458.17081,416.58597,97.24713,461.75897
150,1.242,268.76093,230.91472,495.10583,403.55148,237.84151,458.17081,416.84338,97.53683,461.78754
151,1.25,268.67575,230.99452,494.97418,403.55148,237.84151,458.17081,416.84338,97.53683,461.78754
152,1.258,268.67575,230.99452,494.97418,403.55148,237.84151,458.17081,416.50742,97.4017,461.9343
153,1.267,268.71542,230.59671,495.25897,403.55817,237.77997,458.23206,416.51727,97.3306,462.14386
154,1.275,268.65726,230.36171,495.41748,403.55148,237.84151,458.17081,416.06134,97.41809,462.09961
155,1.283,268.48306,230.57225,495.57761,403.55148,237.84151,458.17081,416.51727,97.3306,462.14386
156,1.292,268.48306,230.57225,495.57761,403.44339,237.98259,458.14844,416.62994,97.35455,462.33942
157,1.3,268.48306,230.57225,495.57761,403.44339,237.98259,458.14844,416.17404,97.44202,462.2952
158,1.308,268.48306,230.57225,495.57761,403.32156,238.19096,458.16046,416.34848,97.73569,462.44141
159,1.317,268.48306,230.57225,495.57761,403.32156,238.19096,458.16046,416.86746,97.6928,462.45822
160,1.325,268.62646,230.72739,495.55072,403.37445,238.38287,458.29456,416.85727,98.01322,462.40256
161,1.333,268.54123,230.80722,495.4191,403.37445,238.38287,458.29456,416.86746,97.6928,462.45822
162,1.342,268.66483,230.78903,495.45145,403.37445,238.38287,458.29456,416.62341,98.22886,462.59293
163,1.35,268.66483,230.78903,495.45145,403.37445,238.38287,458.29456,416.86746,97.6928,462.45822
164,1.358,268.64359,230.95094,495.28363,403.37445,238.38287,458.29456,416.98792,97.73395,462.71097
165,1.367,268.57092,231.09364,495.08521,403.37445,238.38287,458.29456,416.34848,97.73569,462.44141
166,1.375,268.72797,230.65962,495.1922,403.4299,238.39177,458.17249,416.87164,97.75803,462.22165
167,1.383,268.53906,230.99478,495.19128,403.73328,238.56117,458.20135,416.96207,97.95004,462.00742
168,1.392,268.6749,230.72266,495.1304,403.37003,238.45508,458.11334,416.95789,97.88479,462.24402
169,1.4,268.65372,230.88454,494.96255,403.73328,238.56117,458.20135,416.86746,97.6928,462.45822
170,1.408,268.65372,230.88454,494.96255,403.31711,238.26315,457.97922,416.86746,97.6928,462.45822
171,1.417,268.65372,230.88454,494.96255,403.42346,238.28009,457.95462,416.95789,97.88479,462.24402
172,1.425,268.65372,230.88454,494.96255,403.73511,238.2263,457.99454,416.86746,97.6928,462.45822
173,1.433,268.6749,230.72266,495.1304,403.37701,238.19984,458.03839,416.87164,97.75803,462.22165
174,1.442,268.72797,230.65962,495.1922,403.55173,238.1834,458.16046,417.04636,97.77175,461.7934
175,1.45,268.72797,230.65962,495.1922,403.49884,237.99149,458.02634,416.87164,97.75803,462.22165
176,1.458,268.72797,230.65962,495.1922,403.49884,237.99149,458.02634,416.86746,97.6928,462.45822
177,1.467,268.97452,230.71509,495.452,403.44339,237.98259,458.14844,416.86746,97.6928,462.45822
178,1.475,268.80066,230.51688,495.39059,403.44339,237.98259,458.14844,416.96207,97.95004,462.00742
179,1.483,268.7623,230.45523,495.48987,403.55148,237.84151,458.17081,416.74643,97.64221,462.23929
180,1.492,268.71542,230.59671,495.25897,403.44339,237.98259,458.14844,416.58597,97.24713,461.75897
181,1.5,268.7623,230.45523,495.48987,403.55148,237.84151,458.17081,416.58597,97.24713,461.75897
182,1.508,268.80066,230.51688,495.39059,403.55148,237.84151,458.17081,416.50742,97.4017,461.9343
183,1.517,268.7623,230.45523,495.48987,403.55148,237.84151,458.17081,415.65289,97.48174,461.76498
184,1.525,268.56393,230.41496,495.64594,403.45007,237.92105,458.20969,415.65289,97.48174,461.76498
185,1.533,268.6189,230.30005,495.51675,403.45007,237.92105,458.20969,416.05145,97.4892,461.89001
186,1.542,268.62646,230.72739,495.55072,403.45007,237.92105,458.20969,415.65289,97.48174,461.76498
187,1.55,268.66483,230.78903,495.45145,403.45007,237.92105,458.20969,416.05145,97.4892,461.89001
188,1.558,268.62646,230.72739,495.55072,403.32156,238.19096,458.16046,416.05145,97.4892,461.89001
189,1.567,268.57959,230.86887,495.31982,403.32156,238.19096,458.16046,415.65289,97.48174,461.76498
190,1.575,268.41495,230.87564,495.17889,403.32156,238.19096,458.16046,415.81598,97.68076,462.01804
191,1.583,268.57092,231.09364,495.08521,403.32156,238.19096,458.16046,415.81598,97.68076,462.01804
192,1.592,268.51788,231.15665,495.02344,403.37445,238.38287,458.29456,416.24005,97.75801,461.98471
193,1.6,268.51788,231.15665,495.02344,403.25067,238.50577,458.18036,416.52527,97.93066,462.19196
194,1.608,268.51788,231.15665,495.02344,403.31039,238.44223,458.23969,415.97,98.27831,462.10056
195,1.617,268.63574,230.63965,494.9743,403.31458,238.44618,458.23541,415.97,98.27831,462.10056
196,1.625,268.70364,230.89986,494.72818,403.4722,238.70555,458.11215,416.08261,98.32123,462.32068
197,1.633,268.56589,231.45074,494.76428,403.4722,238.70555,458.11215,416.7489,98.03555,461.94583
198,1.642,268.56589,231.45074,494.76428,403.52765,238.71442,457.99011,416.56699,98.51802,461.97684
199,1.65,268.56589,231.45074,494.76428,403.52765,238.71442,457.99011,416.56699,98.51802,461.97684
200,1.658,268.70364,230.89986,494.72818,403.49588,238.66919,458.11026,416.51581,98.62167,461.80527
201,1.667,268.49945,231.3925,494.90649,403.49588,238.66919,458.11026,416.56699,98.51802,461.97684
202,1.675,268.67331,231.59062,494.96783,403.33261,238.81108,458.14993,416.51581,98.62167,461.80527
203,1.683,268.56589,231.45074,494.76428,403.27719,238.80219,458.272,416.7002,98.22743,461.8251
204,1.692,268.62955,230.84662,494.86218,403.30893,238.84743,458.15186,416.03772,98.69874,461.7438
205,1.7,268.62955,230.84662,494.86218,403.30893,238.84743,458.15186,416.09265,98.76631,461.75748
206,1.708,268.62955,230.84662,494.86218,403.27719,238.80219,458.272,416.10522,98.29202,462.25195
207,1.717,268.51788,231.15665,495.02344,403.27719,238.80219,458.272,416.02191,98.5452,461.94116
208,1.725,268.49945,231.3925,494.90649,403.0874,238.64766,458.22003,416.10522,98.29202,462.25195
209,1.733,268.55249,231.32951,494.96826,403.0874,238.64766,458.22003,416.10522,98.29202,462.25195
210,1.742,268.49945,231.3925,494.90649,403.0874,238.64766,458.22003,416.10522,98.29202,462.25195
211,1.75,268.53992,231.26663,495.03506,403.0874,238.64766,458.22003,416.08261,98.32123,462.32068
212,1.758,268.55249,231.32951,494.96826,403.0874,238.64766,458.22003,415.84753,98.11705,462.0563
213,1.767,268.57092,231.09364,495.08521,403.0874,238.64766,458.22003,416.07843,98.256,462.55731
214,1.775,268.67316,230.38474,495.25134,403.14713,238.58414,458.27936,415.48276,97.89069,462.21564
215,1.783,268.53906,230.99478,495.19128,403.09424,238.39221,458.14526,416.07843,98.256,462.55731
216,1.792,268.55249,231.32951,494.96826,403.0874,238.64766,458.22003,415.89484,97.91476,462.36163
217,1.8,268.55249,231.32951,494.96826,403.25067,238.50577,458.18036,416.07843,98.256,462.55731
218,1.808,268.55249,231.32951,494.96826,403.25067,238.50577,458.18036,415.60355,98.16965,462.41537
219,1.817,268.55838,231.03076,495.15201,403.37701,238.19984,458.03839,416.07843,98.256,462.55731
220,1.825,268.59213,230.93176,495.25305,403.37445,238.38287,458.29456,416.08868,97.9355,462.61301
221,1.833,268.59213,230.93176,495.25305,403.37701,238.19984,458.03839,416.34848,97.73569,462.44141
222,1.842,268.59213,230.93176,495.25305,403.4299,238.39177,458.17249,416.86746,97.6928,462.45822
223,1.85,268.70676,230.82152,495.02435,403.4299,238.39177,458.17249,416.96207,97.95004,462.00742
224,1.858,268.70676,230.82152,495.02435,403.61966,238.54631,458.22446,416.96207,97.95004,462.00742
225,1.867,268.68832,231.0574,494.90741,403.73328,238.56117,458.20135,416.96207,97.95004,462.00742
226,1.875,268.70676,230.82152,495.02435,403.73511,238.2263,457.99454,417.04636,97.77175,461.7934
227,1.883,268.6749,230.72266,495.1304,403.78799,238.4182,458.12866,416.96207,97.95004,462.00742
228,1.892,268.72797,230.65962,495.1922,403.66614,238.62653,458.14069,417.04636,97.77175,461.7934
229,1.9,268.72797,230.65962,495.1922,403.68039,238.36928,458.06726,416.96207,97.95004,462.00742
230,1.908,268.72797,230.65962,495.1922,403.73511,238.2263,457.99454,416.96207,97.95004,462.00742
231,1.917,268.71542,230.59671,495.25897,403.4299,238.39177,458.17249,416.96207,97.95004,462.00742
232,1.925,268.72797,230.65962,495.1922,403.4299,238.39177,458.17249,416.96207,97.95004,462.00742
233,1.933,268.59213,230.93176,495.25305,403.4299,238.39177,458.17249,416.86148,98.07847,462.16595
234,1.942,268.66483,230.78903,495.45145,403.37445,238.38287,458.29456,416.86746,97.6928,462.45822
235,1.95,268.57959,230.86887,495.31982,403.37445,238.38287,458.29456,416.34848,97.73569,462.44141
236,1.958,268.54123,230.80722,495.4191,403.26166,238.25427,458.10132,416.33826,98.05614,462.38571
237,1.967,268.54123,230.80722,495.4191,403.31039,238.44223,458.23969,416.08868,97.9355,462.61301
238,1.975,268.66483,230.78903,495.45145,403.31039,238.44223,458.23969,415.61383,97.84914,462.4711
239,1.983,268.39783,230.65208,495.44598,403.14713,238.58414,458.27936,415.48276,97.89069,462.21564
240,1.992,268.54123,230.80722,495.4191,403.21121,238.52478,458.33426,415.89484,97.91476,462.36163
241,2,268.3876,230.90135,495.3006,403.14713,238.58414,458.27936,415.89484,97.91476,462.36163
242,2.008,268.3876,230.90135,495.3006,403.0874,238.64766,458.22003,415.28992,97.82119,462.38651
243,2.017,268.3876,230.90135,495.3006,403.14713,238.58414,458.27936,415.47449,97.72778,462.92532
244,2.025,268.32516,231.41705,494.8942,403.14713,238.58414,458.27936,415.35938,97.71327,462.69989
245,2.033,268.36832,231.35785,494.95279,403.0874,238.64766,458.22003,415.75385,98.01743,462.68661
246,2.042,268.63574,230.63965,494.9743,403.0874,238.64766,458.22003,415.75385,98.01743,462.68661
247,2.05,268.46667,230.66054,494.96753,403.0874,238.64766,458.22003,416.12158,98.22678,462.46072
248,2.058,268.70984,230.69289,494.84027,403.27719,238.80219,458.272,416.13123,98.45944,462.31409
249,2.067,268.70364,230.89986,494.72818,403.27719,238.80219,458.272,416.11481,98.5247,462.10532
250,2.075,268.74814,230.95528,494.63446,403.26086,239.03609,458.10464,416.24579,98.68692,462.13943
251,2.083,268.9437,231.1499,494.67294,403.64914,239.08098,457.9101,416.27487,98.87901,461.9744
252,2.092,268.9437,231.1499,494.67294,403.65335,239.08829,457.9025,416.75293,98.80197,462.0358
253,2.1,268.9437,231.1499,494.67294,403.94543,239.08789,457.62094,416.96646,98.59975,461.89059
254,2.108,268.80225,231.73622,494.71832,403.94543,239.08789,457.62094,416.96646,98.59975,461.89059
255,2.117,268.80225,231.73622,494.71832,404.03381,239.10413,457.48154,416.97406,98.50838,461.76105
256,2.125,268.80225,231.73622,494.71832,404.07431,239.02177,457.38284,416.86789,98.49034,461.56461
257,2.133,268.86081,231.79282,494.65472,404.07431,239.02177,457.38284,417.29385,98.47171,461.67108
258,2.142,268.79608,232.10745,494.7644,404.07266,238.99048,457.67474,417.29385,98.47171,461.67108
259,2.15,268.89661,231.62874,494.85529,404.10791,239.07243,457.62482,417.37241,98.31718,461.49582
260,2.158,268.8811,231.24672,495.18332,404.10791,239.07243,457.62482,417.01917,98.37318,461.21716
261,2.167,269.07794,231.089,495.33249,404.08798,238.87605,457.49304,417.60361,98.14935,461.23868
262,2.175,268.98755,231.00502,495.48279,404.12158,238.9267,457.73499,416.95596,98.34521,461.38876
263,2.183,269.0614,230.85748,495.47815,403.98199,238.8217,457.97574,417.11517,98.11282,461.14505
264,2.192,269.13626,230.71307,495.56082,403.92651,238.60042,458.07565,417.1116,98.17949,460.87585
265,2.2,268.98016,230.26654,495.60791,404.04834,238.39209,458.0636,417.08157,97.64301,461.31708
266,2.208,269.06528,230.18678,495.73959,403.91034,238.01988,458.07758,416.93375,97.72885,461.5733
267,2.217,269.06528,230.18678,495.73959,403.72055,237.8653,458.0256,416.93375,97.72885,461.5733
268,2.225,268.98016,230.26654,495.60791,403.55148,237.84151,458.17081,416.93375,97.72885,461.5733
269,2.233,268.98016,230.26654,495.60791,403.60693,237.8504,458.04871,416.93375,97.72885,461.5733
