Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
56,0.458,1172.55408,-29.07213,659.03839,1166.60022,-25.50687,508.90433,1147.33215,99.06701,494.36374
57,0.467,1158.82983,-29.02978,661.65479,1149.93347,-25.8103,511.14108,1132.4563,100.12618,498.89755
58,0.475,1144.73804,-28.02785,664.0166,1133.68799,-25.51929,514.40198,1118.71936,100.66337,501.82858
59,0.483,1132.33521,-28.67528,665.85748,1117.81616,-26.90912,518.00293,1097.99402,99.75255,503.26352
60,0.492,1117.54651,-29.29531,669.38464,1102.37952,-27.08801,521.08307,1084.94495,98.12042,507.80472
61,0.5,1104.42322,-28.78187,671.60638,1086.71472,-27.1486,524.28156,1069.00745,100.04335,510.24557
62,0.508,1091.13904,-28.42317,674.48718,1070.95691,-25.86517,526.12152,1052.04773,100.18131,513.30414
63,0.517,1078.01001,-28.37492,677.06219,1056.20459,-26.29973,529.45996,1036.16614,100.06958,515.82867
64,0.525,1065.49939,-27.80024,680.06116,1041.1897,-25.3579,531.75702,1020.82556,101.54102,519.74146
65,0.533,1052.91565,-27.66698,681.91992,1026.88733,-25.7431,534.59827,1007.27057,101.90942,522.28412
66,0.542,1041.09204,-28.06031,684.91431,1012.16663,-24.74617,538.16412,992.82819,100.72623,525.58978
67,0.55,1029.21582,-28.19221,687.13586,998.48114,-24.73398,540.52374,978.36383,103.01559,529.41956
68,0.558,1016.33008,-28.31725,690.18066,984.45374,-24.95007,543.30359,965.0202,103.12493,531.88696
69,0.567,1005.21484,-27.87453,692.32019,970.58807,-23.29077,545.35272,951.19977,103.77015,534.00385
70,0.575,993.0658,-26.33295,693.20355,956.0072,-23.89592,547.74817,939.75354,103.88789,538.15973
71,0.583,980.80542,-26.92568,696.20044,943.05127,-23.90645,550.0752,927.43951,103.2272,540.20203
72,0.592,969.24774,-26.75602,697.64453,930.50464,-22.5761,551.82159,914.95355,107.5296,543.71814
73,0.6,957.61652,-27.33453,699.46326,917.3573,-21.69553,554.03638,904.22192,107.41839,544.82495
74,0.608,947.36108,-26.98962,700.66791,906.26746,-20.45348,555.63098,892.27106,108.46092,547.23114
75,0.617,935.22955,-26.67295,702.7348,894.66089,-19.88242,556.96967,882.61902,108.75372,548.44202
76,0.625,925.6134,-27.24338,703.59509,883.72156,-18.27171,558.12805,871.71674,109.46114,550.26154
77,0.633,917.24353,-24.96833,703.67267,872.47095,-17.38567,558.8772,861.59796,110.10504,550.88568
78,0.642,907.54474,-25.56369,704.9726,862.45087,-17.04711,560.52386,851.96716,110.68756,552.07758
79,0.65,898.29291,-24.77869,705.83881,852.19836,-16.58726,561.9939,842.43866,110.53519,552.65875
80,0.658,889.12714,-25.1764,706.12701,843.06097,-15.48248,561.83057,834.0885,110.79546,553.05176
81,0.667,882.86285,-23.73738,705.58405,835.36871,-15.32097,562.51544,826.34467,113.15383,553.62811
82,0.675,874.30798,-23.11414,705.77063,825.49805,-15.2339,562.61176,819.3382,112.7384,553.3269
83,0.683,868.07684,-23.89186,705.58417,818.51398,-15.35157,562.58167,812.35992,114.66566,553.10248
84,0.692,861.08728,-23.11473,704.84131,812.58551,-15.53187,562.20386,806.90045,112.79292,551.55078
85,0.7,854.23334,-23.52453,703.99811,804.27594,-15.63833,561.11108,800.58716,113.93108,550.20209
86,0.708,849.74323,-24.18964,701.93878,799.26617,-16.46782,560.07446,794.58655,112.29347,548.74353
87,0.717,844.52734,-23.96322,699.63422,792.98022,-16.07867,558.90674,788.98779,110.08153,546.55725
88,0.725,839.66663,-24.79165,697.60626,788.35773,-18.00708,557.59991,783.78149,110.8325,543.83112
89,0.733,835.13977,-26.63564,695.43799,782.78473,-18.58245,555.40491,779.28821,108.85835,540.84418
90,0.742,831.22174,-26.85935,692.00055,779.19141,-18.70795,552.69366,774.10419,108.89892,538.54492
91,0.75,827.02386,-27.71408,688.71826,774.68829,-19.17824,550.45508,771.66571,107.19884,535.81146
92,0.758,824.23346,-29.62269,685.16638,771.51904,-19.1173,547.54608,764.50555,106.81738,533.71948
