Frame#,Time,R.Clavicle.x,R.Clavicle.y,R.Clavicle.z,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z,L.Scapula.x,L.Scapula.y,L.Scapula.z,R.Scap.Inf.x,R.Scap.Inf.y,R.Scap.Inf.z
34,0.275,-219.82649,-54.78566,1026.95496,-233.10516,144.5625,1016.76801,-368.1283,-37.45271,1002.85052,-382.33908,130.81493,997.03021,-389.45639,-52.88499,928.30786
35,0.283,-220.38112,-55.39916,1028.2865,-233.10516,144.5625,1016.76801,-368.1283,-37.45271,1002.85052,-380.6445,130.41196,997.68561,-389.61865,-52.72598,928.82556
36,0.292,-219.82649,-54.78566,1026.95496,-233.03879,144.48419,1016.85571,-367.93173,-37.66561,1002.86963,-380.14243,129.5668,998.16992,-389.4111,-52.4745,928.59235
37,0.3,-220.13382,-55.08472,1028.21313,-232.84276,144.5246,1016.94604,-367.93173,-37.66561,1002.86963,-379.85953,129.68182,998.23145,-389.61865,-52.72598,928.82556
38,0.308,-219.64952,-54.76003,1027.23804,-233.10516,144.5625,1016.76801,-368.1283,-37.45271,1002.85052,-380.01593,130.09108,998.5694,-389.61865,-52.72598,928.82556
39,0.317,-221.11603,-54.096,1026.19055,-232.78658,144.45183,1017.02795,-368.1283,-37.45271,1002.85052,-380.95059,130.80017,998.49048,-389.61865,-52.72598,928.82556
40,0.325,-220.87027,-54.18629,1026.09131,-233.0014,144.56686,1016.90576,-368.1283,-37.45271,1002.85052,-380.95059,130.80017,998.49048,-389.66397,-53.13645,928.54114
41,0.333,-221.81061,-54.59165,1026.83838,-232.93503,144.48854,1016.99347,-367.93173,-37.66561,1002.86963,-380.91367,130.82246,998.33557,-389.61865,-52.72598,928.82556
42,0.342,-221.81061,-54.59165,1026.83838,-232.84276,144.5246,1016.94604,-367.93173,-37.66561,1002.86963,-379.80151,129.82153,998.4646,-389.66397,-53.13645,928.54114
43,0.35,-220.87027,-54.18629,1026.09131,-232.93503,144.48854,1016.99347,-368.1283,-37.45271,1002.85052,-382.39771,131.74168,999.05096,-389.61865,-52.72598,928.82556
44,0.358,-220.93394,-54.33001,1026.43213,-232.78658,144.45183,1017.02795,-368.1283,-37.45271,1002.85052,-382.39771,131.74168,999.05096,-389.66397,-53.13645,928.54114
45,0.367,-220.68823,-54.42029,1026.33289,-232.93503,144.48854,1016.99347,-367.93173,-37.66561,1002.86963,-381.80811,131.24545,999.12384,-389.66397,-53.13645,928.54114
46,0.375,-220.93394,-54.33001,1026.43213,-232.78658,144.45183,1017.02795,-368.1283,-37.45271,1002.85052,-382.44025,130.97806,998.42352,-389.66397,-53.13645,928.54114
47,0.383,-220.93394,-54.33001,1026.43213,-233.02638,146.66226,1017.53595,-367.91837,-37.57076,1002.63977,-382.54718,131.24081,998.78253,-389.66397,-53.13645,928.54114
48,0.392,-220.93394,-54.33001,1026.43213,-232.67432,146.54651,1017.48102,-367.91837,-37.57076,1002.63977,-383.13803,131.7348,998.70978,-389.66397,-53.13645,928.54114
49,0.4,-220.93394,-54.33001,1026.43213,-232.67432,146.54651,1017.48102,-368.1283,-37.45271,1002.85052,-383.13803,131.7348,998.70978,-389.66397,-53.13645,928.54114
50,0.408,-219.32738,-55.09055,1027.5271,-232.85901,146.88568,1017.66547,-367.91837,-37.57076,1002.63977,-382.54718,131.24081,998.78253,-389.66397,-53.13645,928.54114
51,0.417,-219.32738,-55.09055,1027.5271,-232.79344,146.76648,1017.76947,-367.91837,-37.57076,1002.63977,-382.35153,131.55663,998.54785,-389.66397,-53.13645,928.54114
52,0.425,-219.32738,-55.09055,1027.5271,-232.85901,146.88568,1017.66547,-367.91837,-37.57076,1002.63977,-382.40573,131.08142,998.81012,-389.66397,-53.13645,928.54114
53,0.433,-219.32738,-55.09055,1027.5271,-232.47495,146.85539,1017.93457,-367.91837,-37.57076,1002.63977,-382.44025,130.97806,998.42352,-389.66397,-53.13645,928.54114
