Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
56,0.458,1851.90796,-19.22313,964.50317,1734.39551,192.64638,952.78796,1693.19409,-202.20078,952.7796
57,0.467,1845.71045,-16.03681,965.15448,1728.80505,196.22546,952.3125,1686.85681,-197.9541,953.81439
58,0.475,1840.276,-14.56368,966.1297,1723.34119,199.55519,953.68213,1681.08801,-195.25314,955.29877
59,0.483,1834.84241,-12.26796,966.73572,1714.43823,199.23978,956.36578,1679.24487,-195.0215,954.55042
60,0.492,1829.9585,-10.85876,967.21069,1709.93396,201.00211,956.80005,1674.30005,-192.65079,955.70435
61,0.5,1824.99939,-8.74001,968.70575,1699.31323,200.82152,958.69196,1674.41895,-193.66823,954.88434
62,0.508,1819.97156,-6.07448,969.22748,1695.41724,204.22983,958.69922,1668.69934,-189.54739,956.06726
63,0.517,1815.13037,-4.15453,970.06128,1690.77209,206.74182,958.9502,1663.89136,-186.71895,956.94989
64,0.525,1810.62671,-2.65691,970.37933,1683.83301,208.01303,959.50214,1661.18457,-186.59969,958.34558
65,0.533,1806.14319,-0.94161,971.14478,1677.07275,208.49619,960.47614,1654.4176,-186.37083,958.20563
66,0.542,1801.35339,0.71198,971.42151,1671.52539,209.02252,960.76544,1653.49268,-186.00781,957.42554
67,0.55,1797.10791,2.86151,972.1814,1665.39001,209.07552,960.87677,1645.95068,-185.56912,957.97644
68,0.558,1792.68616,3.71655,972.935,1661.65295,210.47632,961.28955,1645.93079,-182.28473,959.86993
69,0.567,1788.28027,5.45434,972.96948,1654.03491,211.47179,962.95685,1645.67896,-180.85779,960.15778
70,0.575,1784.3833,6.03698,974.15192,1650.95776,213.71115,962.92181,1642.55249,-177.95561,961.4646
71,0.583,1780.63538,7.36475,974.85181,1646.78271,214.90993,963.02832,1640.43237,-177.55502,961.93317
72,0.592,1775.52087,8.18499,975.14355,1648.21667,215.30168,961.91095,1635.70789,-176.14067,961.35498
73,0.6,1771.86316,9.26766,975.21143,1640.8446,214.8387,962.25665,1634.78662,-175.78119,960.57599
