Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z,R.Toe.x,R.Toe.y,R.Toe.z,R.MedFoot.x,R.MedFoot.y,R.MedFoot.z
57,0.467,-72.3166,-20.69554,42.39589,111.46816,-125.07045,36.87286,73.38035,-71.42883,58.16161
58,0.475,-72.34512,-20.96416,42.61808,111.46816,-125.07045,36.87286,73.38035,-71.42883,58.16161
59,0.483,-72.31136,-20.96339,42.79036,111.31841,-125.00185,36.95488,73.02821,-71.55541,58.31517
60,0.492,-72.23672,-21.02999,42.41106,111.31841,-125.00185,36.95488,73.02821,-71.55541,58.31517
61,0.5,-72.20819,-20.76136,42.18884,111.31841,-125.00185,36.95488,73.06267,-71.4584,58.2406
62,0.508,-72.20819,-20.76136,42.18884,111.46816,-125.07045,36.87286,73.06267,-71.4584,58.2406
63,0.517,-72.3166,-20.69554,42.39589,111.46816,-125.07045,36.87286,73.3459,-71.52583,58.23617
64,0.525,-72.20819,-20.76136,42.18884,111.31841,-125.00185,36.95488,73.3459,-71.52583,58.23617
65,0.533,-72.34512,-20.96416,42.61808,111.31841,-125.00185,36.95488,73.3459,-71.52583,58.23617
66,0.542,-72.34512,-20.96416,42.61808,111.46816,-125.07045,36.87286,73.02821,-71.55541,58.31517
67,0.55,-72.34512,-20.96416,42.61808,111.31841,-125.00185,36.95488,73.06267,-71.4584,58.2406
68,0.558,-72.34512,-20.96416,42.61808,111.46816,-125.07045,36.87286,73.02821,-71.55541,58.31517
69,0.567,-72.22789,-20.21604,42.49157,111.31841,-125.00185,36.95488,73.02821,-71.55541,58.31517
70,0.575,-72.2954,-20.73402,42.75594,111.23837,-124.97176,36.9597,73.06267,-71.4584,58.2406
71,0.583,-72.34512,-20.96416,42.61808,111.4634,-124.818,37.02589,73.3459,-71.52583,58.23617
72,0.592,-72.34512,-20.96416,42.61808,111.64565,-124.64474,37.11559,73.02821,-71.55541,58.31517
73,0.6,-72.34512,-20.96416,42.61808,111.31841,-125.00185,36.95488,73.02821,-71.55541,58.31517
74,0.608,-72.34512,-20.96416,42.61808,111.50066,-124.82862,37.04459,73.02821,-71.55541,58.31517
75,0.617,-72.23404,-21.43404,42.43065,111.4634,-124.818,37.02589,73.02821,-71.55541,58.31517
76,0.625,-72.31136,-20.96339,42.79036,111.61315,-124.88662,36.94386,73.02821,-71.55541,58.31517
