Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z,R.Elbow.x,R.Elbow.y,R.Elbow.z,R.Elbow.Medial.x,R.Elbow.Medial.y,R.Elbow.Medial.z
56,0.458,-161.49002,-170.62906,941.13373,0.14404,-258.73309,891.86285,-3.79936,-222.88083,828.35645
57,0.467,-161.49002,-170.62906,941.13373,0.14404,-258.73309,891.86285,-3.73733,-222.65668,828.42853
58,0.475,-161.49002,-170.62906,941.13373,0.14404,-258.73309,891.86285,-3.79936,-222.88083,828.35645
59,0.483,-161.49002,-170.62906,941.13373,0.14404,-258.73309,891.86285,-3.73733,-222.65668,828.42853
60,0.492,-161.49002,-170.62906,941.13373,0.14404,-258.73309,891.86285,-2.90945,-222.62811,828.40015
61,0.5,-161.49002,-170.62906,941.13373,0.14404,-258.73309,891.86285,-2.90945,-222.62811,828.40015
62,0.508,-161.53906,-170.96657,941.63605,0.39185,-258.59302,891.65387,-2.97821,-222.33295,828.28058
63,0.517,-161.16321,-170.97943,941.58252,0.29706,-258.44647,891.75409,-2.97821,-222.33295,828.28058
64,0.525,-161.16321,-170.97943,941.58252,0.39185,-258.59302,891.65387,-2.97821,-222.33295,828.28058
65,0.533,-161.11414,-170.64191,941.0802,0.39185,-258.59302,891.65387,-2.97821,-222.33295,828.28058
66,0.542,-161.16321,-170.97943,941.58252,0.29706,-258.44647,891.75409,-2.78668,-222.38785,828.09656
67,0.55,-161.16321,-170.97943,941.58252,0.29706,-258.44647,891.75409,-2.97821,-222.33295,828.28058
68,0.558,-161.16321,-170.97943,941.58252,0.29706,-258.44647,891.75409,-2.78668,-222.38785,828.09656
69,0.567,-161.16321,-170.97943,941.58252,0.29706,-258.44647,891.75409,-2.78668,-222.38785,828.09656
70,0.575,-161.16321,-170.97943,941.58252,0.29706,-258.44647,891.75409,-2.78668,-222.38785,828.09656
71,0.583,-161.49002,-170.62906,941.13373,0.29706,-258.44647,891.75409,-2.97821,-222.33295,828.28058
72,0.592,-161.53906,-170.96657,941.63605,0.29706,-258.44647,891.75409,-2.78668,-222.38785,828.09656
73,0.6,-161.49002,-170.62906,941.13373,0.29706,-258.44647,891.75409,-2.97821,-222.33295,828.28058
74,0.608,-161.49002,-170.62906,941.13373,0.29706,-258.44647,891.75409,-3.03576,-222.48889,828.18408
75,0.617,-161.49002,-170.62906,941.13373,0.29706,-258.44647,891.75409,-3.70392,-222.46947,827.987
76,0.625,-161.49002,-170.62906,941.13373,0.29706,-258.44647,891.75409,-3.99817,-222.60513,828.00372
77,0.633,-161.49002,-170.62906,941.13373,0.29706,-258.44647,891.75409,-3.86362,-222.51752,828.21252
78,0.642,-161.49002,-170.62906,941.13373,0.39185,-258.59302,891.65387,-3.73411,-222.47459,827.59161
79,0.65,-161.49002,-170.62906,941.13373,0.32007,-258.61295,891.48651,-3.98985,-223.03986,827.33649
80,0.658,-161.0118,-170.48311,940.76093,0.3598,-258.8038,891.31641,-3.50784,-222.75674,827.14539
81,0.667,-161.0118,-170.48311,940.76093,-0.09163,-258.45819,890.61035,-4.52183,-221.85123,826.43427
82,0.675,-161.0118,-170.48311,940.76093,0.15237,-258.42328,890.62408,-3.50494,-221.892,826.44806
83,0.683,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-3.50494,-221.892,826.44806
84,0.692,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-3.50494,-221.892,826.44806
85,0.7,-161.0118,-170.48311,940.76093,0.25979,-258.61691,890.3916,-3.50494,-221.892,826.44806
86,0.708,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-3.50494,-221.892,826.44806
87,0.717,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-3.50494,-221.892,826.44806
88,0.725,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-3.50494,-221.892,826.44806
89,0.733,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-3.50494,-221.892,826.44806
90,0.742,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-3.87514,-222.06178,826.42676
91,0.75,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-3.50494,-221.892,826.44806
92,0.758,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-3.87514,-222.06178,826.42676
93,0.767,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-3.70495,-222.63666,826.32709
94,0.775,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-4.35169,-222.42607,826.33466
95,0.783,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-4.6814,-222.30527,826.47821
96,0.792,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-4.6814,-222.30527,826.47821
97,0.8,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-4.06209,-222.74796,826.3576
98,0.808,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-4.06209,-222.74796,826.3576
99,0.817,-161.0118,-170.48311,940.76093,-0.15834,-258.89438,889.74084,-4.48447,-222.56743,826.14386
100,0.825,-161.0118,-170.48311,940.76093,-0.15834,-258.89438,889.74084,-4.48447,-222.56743,826.14386
101,0.833,-161.0118,-170.48311,940.76093,0.07995,-258.84634,889.3587,-5.18446,-221.61049,826.39777
102,0.842,-161.0118,-170.48311,940.76093,0.07995,-258.84634,889.3587,-4.85539,-221.73143,826.18945
103,0.85,-161.0118,-170.48311,940.76093,0.07995,-258.84634,889.3587,-4.85539,-221.73143,826.18945
104,0.858,-161.0118,-170.48311,940.76093,0.08422,-258.59018,888.96252,-4.52183,-221.85123,826.43427
105,0.867,-161.0118,-170.48311,940.76093,0.08422,-258.59018,888.96252,-3.81923,-222.04726,826.39001
106,0.875,-161.0118,-170.48311,940.76093,0.08422,-258.59018,888.96252,-3.33852,-222.07051,826.25104
107,0.883,-161.0118,-170.48311,940.76093,0.08422,-258.59018,888.96252,-3.03914,-221.94206,826.2843
108,0.892,-161.0118,-170.48311,940.76093,0.08422,-258.59018,888.96252,-3.24717,-221.92651,826.34406
109,0.9,-161.0118,-170.48311,940.76093,0.07995,-258.84634,889.3587,-3.46512,-221.59846,826.06293
110,0.908,-161.0118,-170.48311,940.76093,0.31684,-258.80795,889.79071,-3.24717,-221.92651,826.34406
111,0.917,-161.0118,-170.48311,940.76093,0.31684,-258.80795,889.79071,-3.46512,-221.59846,826.06293
112,0.925,-161.0118,-170.48311,940.76093,0.31684,-258.80795,889.79071,-3.24717,-221.92651,826.34406
113,0.933,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-3.50494,-221.892,826.44806
114,0.942,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-3.87514,-222.06178,826.42676
115,0.95,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-3.70495,-222.63666,826.32709
116,0.958,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-4.35169,-222.42607,826.33466
117,0.967,-161.0118,-170.48311,940.76093,0.25763,-259.07645,890.61005,-4.41225,-222.64813,826.22247
118,0.975,-161.0118,-170.48311,940.76093,0.25763,-259.07645,890.61005,-4.00104,-222.47803,826.0257
119,0.983,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-3.56359,-223.28375,826.44263
120,0.992,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-4.06584,-222.69734,825.91199
121,1,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-4.00104,-222.47803,826.0257
122,1.008,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-4.00104,-222.47803,826.0257
123,1.017,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-4.35626,-222.42686,825.88147
124,1.025,-161.0118,-170.48311,940.76093,0.01098,-258.72232,890.2981,-4.52638,-221.85197,825.98114
125,1.033,-161.0118,-170.48311,940.76093,0.49816,-258.56897,890.00946,-4.52638,-221.85197,825.98114
126,1.042,-161.0118,-170.48311,940.76093,0.49816,-258.56897,890.00946,-3.36825,-221.83804,825.88239
127,1.05,-160.74493,-170.06496,940.57214,0.49816,-258.56897,890.00946,-3.36825,-221.83804,825.88239
128,1.058,-160.74493,-170.06496,940.57214,0.52317,-258.40256,889.32245,-3.90312,-220.45247,825.08453
129,1.067,-160.74493,-170.06496,940.57214,0.52317,-258.40256,889.32245,-3.90312,-220.45247,825.08453
130,1.075,-160.74493,-170.06496,940.57214,0.52317,-258.40256,889.32245,-2.60295,-221.64699,825.91986
131,1.083,-160.74493,-170.06496,940.57214,0.52317,-258.40256,889.32245,-3.54825,-219.95119,825.09772
132,1.092,-160.74493,-170.06496,940.57214,0.52317,-258.40256,889.32245,-3.03878,-220.99141,825.35773
133,1.1,-160.74493,-170.06496,940.57214,0.52317,-258.40256,889.32245,-3.25288,-221.05075,825.50183
134,1.108,-160.74493,-170.06496,940.57214,0.56567,-258.70255,889.88422,-3.25288,-221.05075,825.50183
135,1.117,-160.74493,-170.06496,940.57214,0.49816,-258.56897,890.00946,-3.46957,-221.59935,825.6098
136,1.125,-160.74493,-170.06496,940.57214,0.56567,-258.70255,889.88422,-2.60528,-222.13673,825.88367
137,1.133,-160.74493,-170.06496,940.57214,0.49816,-258.56897,890.00946,-2.60528,-222.13673,825.88367
138,1.142,-160.74493,-170.06496,940.57214,0.49816,-258.56897,890.00946,-3.04347,-221.88254,825.76459
139,1.15,-161.0118,-170.48311,940.76093,0.49816,-258.56897,890.00946,-3.04347,-221.88254,825.76459
140,1.158,-160.74493,-170.06496,940.57214,0.49816,-258.56897,890.00946,-2.80254,-222.50215,825.68817
141,1.167,-160.74493,-170.06496,940.57214,0.49816,-258.56897,890.00946,-2.80254,-222.50215,825.68817
142,1.175,-160.74493,-170.06496,940.57214,0.49816,-258.56897,890.00946,-3.36825,-221.83804,825.88239
143,1.183,-160.74493,-170.06496,940.57214,0.49816,-258.56897,890.00946,-3.36825,-221.83804,825.88239
144,1.192,-160.74493,-170.06496,940.57214,0.49816,-258.56897,890.00946,-3.04347,-221.88254,825.76459
145,1.2,-160.74493,-170.06496,940.57214,0.49816,-258.56897,890.00946,-3.36825,-221.83804,825.88239
146,1.208,-160.67258,-170.04512,940.68542,0.389,-258.09729,889.9599,-3.04347,-221.88254,825.76459
147,1.217,-160.67258,-170.04512,940.68542,0.389,-258.09729,889.9599,-3.06415,-221.36031,825.77338
148,1.225,-160.74493,-170.06496,940.57214,0.45568,-258.26898,889.44775,-3.65885,-220.69225,825.21161
149,1.233,-160.67258,-170.04512,940.68542,0.34651,-257.79721,889.39813,-3.99058,-220.14188,824.92755
