Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
42,0.342,-201.85156,11.82293,1306.09155,-65.46906,13.36449,1235.28894,-276.9664,23.40047,1195.20471,-54.73327,14.67539,1080.28357
43,0.35,-201.81557,11.77774,1306.02563,-65.46906,13.36449,1235.28894,-276.9664,23.40047,1195.20471,-54.56418,14.75129,1080.26831
44,0.358,-201.42354,11.89801,1305.93494,-65.27399,13.28921,1235.25879,-277.00589,23.17393,1195.48706,-54.56418,14.75129,1080.26831
45,0.367,-201.18614,12.17823,1305.77283,-65.1851,13.22845,1235.16638,-276.75354,23.13156,1195.57507,-54.40622,14.46258,1080.09375
46,0.375,-201.61119,11.64091,1306.07483,-64.91134,12.86999,1235.09778,-277.00589,23.17393,1195.48706,-54.40622,14.46258,1080.09375
47,0.383,-201.41214,11.72655,1305.82031,-65.10143,13.22999,1235.10913,-276.65643,23.02329,1195.58289,-54.40622,14.46258,1080.09375
48,0.392,-201.48503,11.63695,1305.8894,-64.73795,13.1068,1235.02612,-276.54468,23.11775,1195.66772,-54.00208,14.10991,1080.22571
49,0.4,-201.5704,11.54948,1306.03992,-64.95199,12.81411,1235.17847,-276.54468,23.11775,1195.66772,-53.73934,13.81196,1080.16028
50,0.408,-201.5495,11.41184,1305.81262,-64.79837,12.46954,1235.10498,-276.3317,23.1108,1195.72363,-53.73934,13.81196,1080.16028
51,0.417,-201.42101,11.20493,1305.51184,-64.90932,12.64876,1234.91199,-276.40601,23.07553,1195.64099,-53.73934,13.81196,1080.16028
52,0.425,-201.41101,11.12916,1305.59583,-64.5954,12.70491,1235.07874,-276.31189,22.86163,1195.74915,-53.73934,13.81196,1080.16028
53,0.433,-201.41101,11.12916,1305.59583,-64.57169,12.63253,1235.14343,-276.29337,22.70767,1195.81177,-53.51405,13.69421,1080.11707
54,0.442,-201.33644,10.91185,1305.83228,-64.66673,12.4367,1235.02734,-276.29337,22.70767,1195.81177,-53.51405,13.69421,1080.11707
55,0.45,-201.52512,10.70039,1305.72058,-64.69233,12.23658,1234.93774,-276.21716,22.7364,1195.89197,-53.24034,13.47747,1080.18213
56,0.458,-201.47897,10.27028,1305.75769,-64.2758,12.2398,1235.35693,-276.29337,22.70767,1195.81177,-53.24034,13.47747,1080.18213
57,0.467,-201.31076,10.36343,1305.73108,-64.07989,10.97998,1234.93872,-276.21716,22.7364,1195.89197,-53.10047,13.44507,1080.11023
58,0.475,-201.12169,10.6779,1305.59863,-64.10495,11.18775,1235.15198,-276.21716,22.7364,1195.89197,-53.10047,13.44507,1080.11023
59,0.483,-201.13164,10.3666,1305.59875,-63.88403,10.91793,1234.88672,-275.83627,22.63408,1196.09448,-53.1299,13.27899,1080.01782
60,0.492,-201.13164,10.3666,1305.59875,-63.90024,10.72229,1234.75403,-275.83627,22.63408,1196.09448,-53.1299,13.27899,1080.01782
61,0.5,-201.13164,10.3666,1305.59875,-64.09608,10.78432,1234.80591,-275.9631,22.76137,1195.85657,-53.1299,13.27899,1080.01782
62,0.508,-201.13164,10.3666,1305.59875,-63.90024,10.72229,1234.75403,-275.98257,22.7097,1195.95044,-53.1299,13.27899,1080.01782
63,0.517,-201.1239,10.24575,1305.54614,-63.90024,10.72229,1234.75403,-275.83627,22.63408,1196.09448,-53.1299,13.27899,1080.01782
64,0.525,-200.38361,10.22591,1305.61597,-63.7287,10.71968,1234.62842,-275.61404,22.66738,1196.04224,-53.1299,13.27899,1080.01782
65,0.533,-200.38361,10.22591,1305.61597,-63.7287,10.71968,1234.62842,-275.61404,22.66738,1196.04224,-53.1299,13.27899,1080.01782
66,0.542,-200.98308,10.23777,1305.48608,-63.5881,10.83036,1234.63184,-275.56726,22.68387,1196.13977,-53.1299,13.27899,1080.01782
67,0.55,-200.34084,10.01327,1305.46265,-63.5881,10.83036,1234.63184,-275.56726,22.68387,1196.13977,-52.9451,13.19596,1079.73767
68,0.558,-200.3647,9.86523,1305.41895,-63.7287,10.71968,1234.62842,-275.56726,22.68387,1196.13977,-52.98844,13.30927,1079.82397
69,0.567,-200.28912,9.63305,1305.43274,-63.40586,10.3619,1234.53845,-275.56726,22.68387,1196.13977,-53.03755,13.38326,1079.88818
70,0.575,-200.28912,9.63305,1305.43274,-63.40586,10.3619,1234.53845,-275.56726,22.68387,1196.13977,-52.9451,13.19596,1079.73767
71,0.583,-199.65512,9.5283,1305.46179,-63.2653,10.47259,1234.54187,-275.4386,22.8105,1196.4137,-53.03755,13.38326,1079.88818
72,0.592,-199.54358,9.64847,1305.36072,-63.13105,10.07749,1234.40552,-275.4386,22.8105,1196.4137,-53.03755,13.38326,1079.88818
73,0.6,-199.54358,9.64847,1305.36072,-63.24633,9.97875,1234.39685,-275.56726,22.68387,1196.13977,-53.03755,13.38326,1079.88818
74,0.608,-199.54358,9.64847,1305.36072,-63.13105,10.07749,1234.40552,-275.4386,22.8105,1196.4137,-53.03755,13.38326,1079.88818
75,0.617,-199.23085,9.41056,1305.31165,-63.10135,9.97251,1234.31348,-275.4386,22.8105,1196.4137,-52.67567,13.18263,1079.87683
76,0.625,-199.23085,9.41056,1305.31165,-63.10135,9.97251,1234.31348,-275.56726,22.68387,1196.13977,-52.73272,13.05471,1079.78784
77,0.633,-199.23085,9.41056,1305.31165,-63.13884,9.82891,1234.2301,-275.4386,22.8105,1196.4137,-52.73272,13.05471,1079.78784
78,0.642,-199.11862,9.10104,1305.32898,-63.10994,9.69892,1234.12048,-275.56726,22.68387,1196.13977,-52.69112,12.79942,1079.70435
79,0.65,-199.15378,9.06208,1305.40393,-63.13884,9.82891,1234.2301,-275.4386,22.8105,1196.4137,-52.73272,13.05471,1079.78784
80,0.658,-199.09843,8.95599,1305.37158,-63.10994,9.69892,1234.12048,-275.31464,22.81519,1196.34509,-52.78374,13.05391,1079.60693
81,0.667,-199.09843,8.95599,1305.37158,-63.08391,9.74612,1234.0509,-275.4386,22.8105,1196.4137,-52.39862,12.35065,1079.40942
