Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z,R.Toe.x,R.Toe.y,R.Toe.z,R.MedFoot.x,R.MedFoot.y,R.MedFoot.z
58,0.475,1819.31653,102.54865,234.55614,1663.6438,110.19798,71.54074,1689.40491,75.60427,127.93961
59,0.483,1807.03052,103.27049,236.73528,1652.12671,112.97955,76.36877,1676.91479,78.12781,130.9458
60,0.492,1794.82178,102.58497,239.72049,1639.724,115.89677,77.73756,1662.19934,81.36612,132.63118
61,0.5,1782.25671,102.09048,240.97595,1625.51917,119.11469,79.23297,1648.13477,83.02293,133.76617
62,0.508,1769.3269,101.9781,241.0609,1611.90063,121.75018,80.76757,1634.28931,83.82029,135.35875
63,0.517,1755.04309,101.24213,239.85709,1593.64905,124.42751,82.27911,1618.62561,85.83716,135.29225
64,0.525,1740.63623,98.7725,237.83646,1578.39612,127.32721,82.71171,1603.83301,86.79449,135.43442
65,0.533,1725.84839,99.53899,235.18625,1561.27991,130.7262,82.96593,1587.82336,88.16656,133.92899
66,0.542,1710.56348,99.08105,231.36055,1544.64221,131.8642,83.09981,1571.10486,89.07596,133.97284
67,0.55,1696.05969,99.03179,227.31779,1523.87683,134.062,84.24974,1553.427,90.49581,133.14168
68,0.558,1681.82141,99.45074,222.52173,1505.38452,133.39456,82.91533,1536.41052,91.64587,131.3792
69,0.567,1665.4408,99.64767,217.51169,1485.62878,136.54037,82.57169,1516.93787,94.12827,130.90924
70,0.575,1648.46008,101.19781,211.13319,1466.42603,137.61813,80.86574,1499.07849,94.37362,128.63739
71,0.583,1633.26746,101.18806,205.21379,1445.36829,137.605,80.20621,1479.44653,94.0733,126.47939
72,0.592,1615.97363,101.74055,196.97215,1425.6062,137.95796,78.27132,1461.5293,94.67348,124.30866
73,0.6,1598.38135,103.48969,189.29907,1405.29541,138.03056,76.17924,1440.8656,94.12485,121.61242
74,0.608,1580.55872,104.76331,181.55281,1383.44409,138.00601,74.67905,1422.10376,95.33253,117.87189
75,0.617,1562.88501,104.9343,172.56781,1363.0448,138.15651,72.68677,1402.2749,94.99986,114.95419
76,0.625,1544.53516,106.0454,165.56786,1340.29309,138.37178,71.15206,1380.79956,94.7652,113.31345
77,0.633,1525.24768,107.29414,157.37759,1318.50854,137.06525,69.83051,1359.9325,94.80746,109.88216
78,0.642,1506.84778,106.80694,148.55328,1295.62781,136.21736,68.57806,1340.54504,95.11342,105.9819
79,0.65,1489.17383,108.22563,140.48965,1273.29797,135.5769,69.74769,1320.30042,95.79973,103.27724
80,0.658,1468.90686,108.26462,131.86288,1251.48218,135.95497,66.81692,1298.7406,94.6888,101.17478
81,0.667,1447.49109,107.43792,124.01478,1229.76465,135.18192,66.20025,1277.64795,93.2756,99.09453
82,0.675,1427.18054,108.24529,115.64336,1206.97986,133.16953,66.45175,1255.3667,92.24736,97.38375
83,0.683,1407.37122,108.60267,107.74518,1185.10803,132.53024,65.94007,1236.20935,92.53662,94.96386
84,0.692,1387.22278,109.45068,100.73048,1162.3595,131.21075,66.19627,1214.46753,91.88651,93.97144
85,0.7,1365.76611,109.39899,92.87842,1141.00842,129.39825,66.79375,1194.76184,90.46167,93.0256
86,0.708,1344.4281,108.24039,87.86528,1119.14746,127.66047,68.80473,1173.77942,89.3326,92.86121
