Frame#,Time,R.Clavicle.x,R.Clavicle.y,R.Clavicle.z,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z,L.Scapula.x,L.Scapula.y,L.Scapula.z,R.Scap.Inf.x,R.Scap.Inf.y,R.Scap.Inf.z
33,0.267,1874.14636,29.16489,1357.81958,1891.45313,-196.62952,1375.88269,2017.8363,29.34898,1373.07678,2042.32703,-148.2513,1386.52063,2065.77246,2.4033,1297.89526
34,0.275,1865.13379,29.39155,1358.11658,1883.8822,-195.14255,1377.26904,2009.16211,30.65552,1373.35571,2034.03333,-146.95297,1385.81836,2057.27173,3.02534,1297.80042
35,0.283,1856.63818,29.91042,1359.05811,1875.62012,-194.26158,1377.60144,2001.37524,30.61005,1372.97229,2026.99512,-145.78188,1386.77637,2048.97852,4.16213,1297.91284
36,0.292,1848.9353,31.44829,1359.87549,1868.01306,-193.94853,1377.98962,1992.69543,32.12886,1372.87195,2018.95093,-144.9588,1387.39746,2040.68787,5.84482,1298.77734
37,0.3,1840.52734,31.47479,1360.46594,1860.72498,-192.59428,1378.20435,1984.07983,33.2469,1372.75024,2011.18079,-143.89278,1387.18494,2032.05542,6.99451,1299.14917
38,0.308,1832.09985,32.27363,1359.96216,1853.31042,-191.7037,1378.97437,1976.24268,33.65484,1372.4917,2003.22949,-142.96616,1387.62756,2024.39929,6.92221,1299.53381
39,0.317,1824.77722,31.93673,1359.76013,1844.72485,-191.22293,1378.95154,1968.26477,35.77972,1374.39587,1995.49182,-142.30692,1388.17969,2016.0033,7.71785,1299.20508
40,0.325,1817.6864,33.60727,1360.12781,1837.74719,-192.49954,1379.5614,1960.21228,35.46161,1374.7063,1987.30066,-141.41425,1388.56128,2008.05273,8.27262,1299.49756
41,0.333,1808.8833,34.12806,1361.87097,1830.25842,-192.84271,1380.27124,1951.91052,36.67046,1375.19067,1979.22876,-140.89818,1389.48291,1999.93372,10.03995,1301.86584
42,0.342,1799.88367,35.0695,1361.36792,1821.63538,-193.42195,1381.4563,1944.09766,36.05617,1375.71118,1971.40259,-140.51447,1390.2229,1992.21228,9.91717,1302.25232
43,0.35,1790.96155,35.73986,1361.94385,1813.31396,-192.30455,1381.20984,1935.13232,36.92734,1377.48376,1962.82886,-139.9659,1391.49988,1983.69617,10.95143,1302.70264
44,0.358,1783.22974,36.10398,1362.85059,1805.23926,-191.5275,1381.13684,1927.21863,36.62486,1377.89441,1954.7179,-139.58018,1391.3667,1975.6886,12.51097,1305.09155
45,0.367,1774.17004,35.89709,1363.20374,1798.89258,-191.88574,1381.60291,1918.72754,32.36539,1378.75427,1946.47742,-139.50159,1392.11572,1967.89893,12.14372,1306.19507
46,0.375,1767.42688,36.02697,1364.25537,1791.06836,-191.31119,1382.48694,1910.80615,32.87574,1380.14392,1936.93384,-139.14061,1392.85803,1959.85608,12.72977,1306.54749
47,0.383,1758.54297,35.18464,1365.40515,1780.92432,-190.66048,1382.39478,1902.21594,38.03439,1381.33459,1929.52393,-138.42087,1393.41187,1951.13611,12.58973,1307.14941
48,0.392,1750.34497,36.67422,1365.85486,1773.02356,-189.04597,1382.89355,1894.12939,37.86014,1381.77783,1921.55225,-138.92529,1393.91443,1942.69067,12.61758,1308.67419
49,0.4,1742.01489,37.15764,1367.672,1763.87085,-190.42078,1383.74414,1885.84766,38.90823,1382.91162,1913.28601,-138.04669,1394.97778,1934.37097,13.65842,1309.24023
50,0.408,1733.98303,37.25285,1368.30933,1756.9635,-189.91599,1383.26599,1877.34668,38.56105,1384.37695,1905.66858,-139.15427,1395.2406,1926.6709,13.67343,1309.98267
51,0.417,1726.49829,36.59921,1369.19165,1748.74792,-190.41953,1383.57227,1868.65088,38.73735,1384.77441,1896.29529,-138.97099,1395.29053,1917.76709,13.45023,1312.10486
52,0.425,1719.13074,36.59444,1368.99475,1740.37341,-189.54816,1383.1897,1860.18738,38.02195,1385.1792,1887.48975,-138.59256,1396.38708,1910.14905,13.8471,1312.02246
53,0.433,1710.03064,36.62383,1371.15564,1732.07166,-190.30507,1383.52197,1851.62378,38.18732,1386.2478,1879.99768,-138.79622,1396.55811,1902.06592,13.56339,1312.48596
54,0.442,1701.23254,36.50134,1371.01416,1723.24561,-189.95744,1382.22986,1844.71912,38.34605,1385.8855,1871.29028,-139.10974,1396.33191,1893.81787,14.68735,1312.20044
55,0.45,1691.95154,36.74168,1370.47192,1715.66846,-189.57745,1381.77576,1836.8678,38.70266,1387.31885,1863.61731,-139.96762,1396.49622,1886.72815,14.71021,1312.5354
