Frame#,Time,L.Biceps.Lateral.x,L.Biceps.Lateral.y,L.Biceps.Lateral.z,L.Elbow.x,L.Elbow.y,L.Elbow.z,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
60,0.492,-71.64178,304.19748,1007.66693,79.6245,317.01575,1025.19055,89.13481,271.51038,929.87549
61,0.5,-71.32874,304.38843,1010.06366,81.0828,315.99298,1027.18616,90.59552,269.53674,932.68616
62,0.508,-70.40658,303.96201,1011.79248,82.11918,313.67636,1030.85352,91.41009,269.17526,934.46802
63,0.517,-70.23502,303.52267,1013.42303,82.98613,312.30023,1032.74182,92.64619,268.41678,936.82819
64,0.525,-69.18768,302.56934,1014.86011,83.06779,311.25046,1036.28259,93.32478,268.24057,938.43469
65,0.533,-68.44328,301.3688,1016.23376,83.61914,308.39117,1038.56738,94.82834,267.33838,940.59546
66,0.542,-67.59131,300.64374,1017.53198,84.75149,305.66937,1040.89258,95.34255,266.23581,943.013
67,0.55,-66.80824,299.08841,1018.62085,85.04739,304.57443,1044.04333,95.85376,265.7934,944.2713
68,0.558,-66.08346,298.38614,1020.62146,85.76437,301.1268,1045.89429,96.7125,264.02353,946.46167
69,0.567,-65.19656,297.60535,1021.85327,86.12223,300.18692,1048.99756,97.6253,261.79474,948.92804
70,0.575,-65.36164,297.40015,1023.09796,86.69288,297.04752,1050.40149,98.26838,260.63196,950.13617
71,0.583,-64.75523,295.63794,1025.08826,87.34509,294.33221,1053.22437,98.66679,259.59756,953.07477
72,0.592,-63.38399,294.99536,1025.85303,88.00397,293.56268,1055.47974,100.22759,258.31662,955.28888
73,0.6,-61.92401,294.28244,1027.32043,88.75081,291.2113,1056.65906,100.75592,257.32187,956.40332
74,0.608,-61.77361,293.3703,1028.60547,90.03146,289.89243,1059.90186,101.63137,255.06497,958.07458
75,0.617,-61.81619,293.20468,1030.15112,90.27103,287.40018,1062.0022,101.78404,255.49883,961.05719
76,0.625,-61.03763,291.3735,1031.6571,90.58897,285.37735,1063.79053,101.85313,254.6906,962.33069
77,0.633,-60.55384,290.29498,1034.15796,92.20528,282.95551,1066.00012,102.26041,253.0938,963.56006
78,0.642,-59.61917,288.53967,1034.89709,93.45711,280.60178,1067.56201,103.40354,250.74373,965.75098
79,0.65,-58.93822,288.22751,1036.22961,93.82489,278.33243,1070.54382,104.11835,249.23735,967.96368
80,0.658,-58.67743,287.14444,1038.10718,93.64789,275.4628,1072.38635,104.58356,248.51331,969.67767
81,0.667,-57.66894,286.957,1039.948,95.41093,271.96252,1073.97485,105.05554,247.19962,971.28265
82,0.675,-56.94763,286.10464,1041.55994,96.05886,270.43179,1076.1239,105.98412,245.06052,973.45544
83,0.683,-56.18417,284.08105,1043.73376,95.57022,266.1644,1078.04285,106.17221,242.52049,975.25653
84,0.692,-56.17021,282.55658,1045.10095,96.08723,264.05768,1079.92371,107.12749,239.05199,975.87744
85,0.7,-55.70945,282.02927,1046.20325,96.4993,261.30716,1080.97034,107.74032,236.99287,977.46179
86,0.708,-54.59063,280.67328,1047.51172,96.83395,258.14999,1083.82813,107.99831,235.67256,978.99335
87,0.717,-54.10099,279.45578,1048.58813,97.09176,255.79678,1085.05615,108.73544,233.31702,979.84937
