Frame#,Time,L.Biceps.Lateral.x,L.Biceps.Lateral.y,L.Biceps.Lateral.z,L.Elbow.x,L.Elbow.y,L.Elbow.z,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
57,0.467,-92.56242,270.54694,1072.89429,80.17983,291.04602,1103.28528,104.96596,248.07335,1044.46399
58,0.475,-93.19087,271.19421,1072.73755,78.62815,292.16522,1102.49243,104.52106,248.9861,1043.79053
59,0.483,-93.86271,271.63712,1072.56934,77.33542,294.08203,1102.22986,103.98861,250.06776,1043.88708
60,0.492,-94.23124,271.36105,1072.64954,76.86255,296.10052,1101.99658,103.66404,252.57785,1043.30518
61,0.5,-95.60953,272.2709,1072.71704,76.32585,296.71436,1102.28296,102.33784,253.26845,1043.09534
62,0.508,-96.3974,273.39148,1072.56042,75.9836,298.53339,1101.46399,101.77924,254.91382,1042.51819
63,0.517,-96.74228,273.67548,1072.39185,74.43568,299.92099,1101.10107,101.34595,256.87131,1042.26404
64,0.525,-96.81405,274.43768,1073.13025,73.97374,302.11752,1101.34412,101.55354,257.97372,1041.92029
65,0.533,-97.29752,274.43243,1073.02612,73.52754,303.19467,1101.13379,101.12726,260.75146,1041.18506
66,0.542,-98.1581,275.19058,1072.84753,72.43718,305.22852,1100.68677,100.55949,262.36996,1041.41296
67,0.55,-97.99469,275.54843,1072.2616,71.8973,305.78296,1100.76599,99.12971,263.41031,1041.24109
68,0.558,-98.8559,276.24387,1071.61194,71.49969,306.10306,1100.23499,99.28207,265.5618,1040.41907
69,0.567,-99.79218,276.39838,1071.38257,70.6493,307.70169,1099.6521,99.16528,266.57819,1039.9657
70,0.575,-100.0072,276.86115,1070.55493,70.36063,308.85294,1098.68213,98.16559,267.06616,1038.65076
71,0.583,-100.37544,277.56958,1070.02136,69.05279,310.24863,1097.8783,97.77177,268.3082,1038.11438
72,0.592,-101.27615,278.76233,1069.90588,69.39259,311.24887,1096.91589,96.9763,269.75986,1037.63208
73,0.6,-102.16495,279.24356,1069.31873,69.47294,313.86703,1095.94653,96.19536,270.67285,1036.79089
74,0.608,-102.18,279.6358,1069.34839,68.43386,314.54651,1095.46472,96.12049,271.88007,1035.41309
75,0.617,-102.19542,279.80121,1069.17065,68.37049,316.51004,1094.92688,95.98233,272.69339,1034.99939
76,0.625,-102.87833,280.00937,1068.84619,67.70799,317.23468,1094.2605,94.68705,274.00259,1034.25183
77,0.633,-103.13484,280.48453,1068.41138,66.59076,317.8699,1093.29456,94.42193,275.90167,1033.54077
78,0.642,-103.10455,280.85468,1067.86255,65.97992,319.42673,1092.55579,94.39896,276.84326,1032.63477
79,0.65,-103.44721,281.46463,1067.10962,65.32873,320.27756,1091.22192,93.95872,278.46686,1031.24731
80,0.658,-103.56058,281.57712,1067.03259,65.22943,320.9075,1090.41663,93.42038,280.31152,1030.23865
81,0.667,-104.20316,282.08557,1066.74829,64.91136,322.64688,1089.0321,93.4497,281.50095,1029.52917
82,0.675,-104.27637,282.0372,1066.00012,64.61425,323.67746,1088.18457,92.88029,282.99539,1028.54297
83,0.683,-104.68143,282.93405,1065.16638,64.19122,324.40012,1087.30188,92.18311,284.35385,1027.33716
84,0.692,-105.2718,283.85211,1064.87903,64.08619,326.15445,1086.41956,91.76925,284.659,1026.29517
85,0.7,-105.52392,283.99213,1063.90137,63.92316,327.02463,1085.38525,91.23112,284.70688,1024.6958
86,0.708,-106.63306,284.452,1063.1604,62.93586,327.55902,1083.98657,89.81393,285.90823,1023.9798
87,0.717,-106.20488,284.28821,1062.17065,63.00152,328.8985,1082.90344,90.44203,286.11221,1022.75775
88,0.725,-106.48387,284.97116,1061.81567,62.09319,329.33676,1082.12842,89.75737,288.57663,1021.66425
89,0.733,-106.51637,285.31204,1061.62183,61.38176,329.9538,1081.41138,89.57659,289.43298,1020.12885
90,0.742,-106.3175,286.34021,1061.30811,61.11882,330.96133,1079.97827,88.96799,290.42282,1018.72473
91,0.75,-106.28284,287.39084,1061.00757,61.9451,332.38925,1078.47363,88.34071,291.40811,1017.91376
92,0.758,-107.11702,287.55679,1060.15381,60.96746,332.88605,1077.62378,88.18303,292.41483,1016.79572
93,0.767,-107.11702,287.55679,1060.15381,60.65102,333.4588,1076.43396,87.25945,293.19778,1015.18243
94,0.775,-107.6106,287.89703,1059.07019,60.60277,334.10626,1075.80493,87.25296,293.83783,1014.8125
95,0.783,-107.50223,288.37418,1058.26917,61.1119,335.43768,1073.56726,86.65269,294.55865,1011.90747
96,0.792,-107.52126,288.89352,1057.47632,61.04433,336.28607,1072.43066,86.22672,295.81009,1011.55237
97,0.8,-107.6133,288.29855,1057.10999,60.50711,336.37567,1071.50476,86.36135,296.61572,1010.32074
98,0.808,-107.58911,288.98709,1056.73059,60.97636,336.8573,1069.86646,85.30839,297.06036,1008.09387
99,0.817,-107.47163,288.90479,1055.8573,60.25867,338.3331,1068.42053,85.47652,297.85242,1006.24139
100,0.825,-106.98945,288.90067,1055.04944,60.73253,338.56293,1066.80798,85.25282,298.24731,1005.10394
101,0.833,-107.1271,289.25293,1054.13635,60.21061,339.8688,1066.03809,84.67341,299.03516,1003.40448
102,0.842,-107.16742,289.78784,1053.33972,59.059,340.60831,1063.81848,83.98441,299.73257,1001.83368
