Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z,R.Elbow.x,R.Elbow.y,R.Elbow.z,R.Elbow.Medial.x,R.Elbow.Medial.y,R.Elbow.Medial.z
55,0.45,-77.35477,-147.73846,1150.55078,10.23696,-316.00403,1060.06567,31.62939,-256.82748,981.78192
56,0.458,-75.67473,-148.61357,1150.28625,9.48023,-315.85498,1060.30884,31.62939,-256.82748,981.78192
57,0.467,-77.35477,-147.73846,1150.55078,9.21519,-315.99911,1060.41406,31.62939,-256.82748,981.78192
58,0.475,-75.64781,-148.53748,1150.36963,9.21519,-315.99911,1060.41406,31.62939,-256.82748,981.78192
59,0.483,-75.77318,-148.46811,1150.4397,9.10882,-315.70276,1060.47595,31.7431,-256.87952,981.98657
60,0.492,-77.64335,-147.97078,1150.59631,9.10882,-315.70276,1060.47595,31.7431,-256.87952,981.98657
61,0.5,-77.47656,-147.89514,1150.7124,8.98017,-315.77893,1060.40186,31.7431,-256.87952,981.98657
62,0.508,-77.73604,-147.79129,1150.86267,8.76743,-315.6564,1060.41382,31.7431,-256.87952,981.98657
63,0.517,-77.73604,-147.79129,1150.86267,8.89608,-315.5802,1060.48792,31.43539,-257.20679,981.85486
64,0.525,-77.90283,-147.86694,1150.74658,8.62726,-315.77191,1060.53711,31.43539,-257.20679,981.85486
65,0.533,-75.9386,-148.49225,1150.44873,8.74175,-315.54462,1060.90332,31.43539,-257.20679,981.85486
66,0.542,-77.83461,-147.55539,1151.13098,8.74175,-315.54462,1060.90332,31.43539,-257.20679,981.85486
67,0.55,-77.83461,-147.55539,1151.13098,8.56656,-315.46481,1060.98901,31.43539,-257.20679,981.85486
68,0.558,-77.70613,-147.66975,1151.3125,8.41033,-316.16632,1060.96924,31.33517,-257.98245,982.11646
69,0.567,-75.87948,-148.254,1150.92419,8.25175,-315.58182,1061.10901,30.85615,-257.79971,982.09735
70,0.575,-77.60684,-147.81325,1151.43823,8.25175,-315.58182,1061.10901,30.79056,-257.47586,981.96277
71,0.583,-77.99448,-147.71974,1151.56055,8.10223,-315.49664,1061.19385,30.3909,-257.33124,982.12189
72,0.592,-77.89519,-147.86322,1151.68628,8.10223,-315.49664,1061.19385,30.3909,-257.33124,982.12189
73,0.6,-77.99248,-147.87569,1152.13879,8.10223,-315.49664,1061.19385,30.0139,-258.16394,982.57928
74,0.608,-78.09181,-147.73221,1152.01294,8.07468,-316.12192,1061.24805,30.0139,-258.16394,982.57928
75,0.617,-78.09181,-147.73221,1152.01294,8.2613,-316.13223,1061.4325,29.7451,-258.27722,982.70477
76,0.625,-78.01054,-147.72362,1152.34082,8.07468,-316.12192,1061.24805,29.7451,-258.27722,982.70477
77,0.633,-78.01054,-147.72362,1152.34082,8.07468,-316.12192,1061.24805,29.7451,-258.27722,982.70477
78,0.642,-77.99248,-147.87569,1152.13879,8.10223,-315.49664,1061.19385,29.7451,-258.27722,982.70477
79,0.65,-78.09181,-147.73221,1152.01294,8.10223,-315.49664,1061.19385,29.7451,-258.27722,982.70477
80,0.658,-77.99248,-147.87569,1152.13879,8.10223,-315.49664,1061.19385,29.81764,-258.17542,982.40277
81,0.667,-77.99248,-147.87569,1152.13879,8.10223,-315.49664,1061.19385,29.7451,-258.27722,982.70477
82,0.675,-77.99448,-147.71974,1151.56055,8.07468,-316.12192,1061.24805,30.08643,-258.06213,982.27722
83,0.683,-78.12297,-147.60539,1151.37903,8.07468,-316.12192,1061.24805,29.81764,-258.17542,982.40277
84,0.692,-78.28977,-147.68108,1151.26306,7.98867,-316.15717,1061.08313,30.08643,-258.06213,982.27722
85,0.7,-77.82181,-147.93747,1151.22937,8.07468,-316.12192,1061.24805,29.8818,-258.01755,982.17102
86,0.708,-77.77362,-147.88893,1151.32227,8.07468,-316.12192,1061.24805,29.8818,-258.01755,982.17102
87,0.717,-78.08919,-147.91991,1151.23059,8.10223,-315.49664,1061.19385,30.18629,-257.28671,982.01575
88,0.725,-77.94855,-148.26509,1151.37085,8.16573,-315.6171,1060.94409,30.08643,-258.06213,982.27722
89,0.733,-77.91426,-147.88435,1151.09082,7.98867,-316.15717,1061.08313,29.8818,-258.01755,982.17102
90,0.742,-78.13053,-148.05881,1151.12488,7.98867,-316.15717,1061.08313,29.8818,-258.01755,982.17102
91,0.75,-77.91426,-147.88435,1151.09082,8.13817,-316.24234,1060.99829,29.8818,-258.01755,982.17102
92,0.758,-78.26469,-148.16838,1150.81897,8.13817,-316.24234,1060.99829,29.65863,-258.24692,981.96002
93,0.767,-78.01051,-148.4346,1150.94983,7.97897,-316.11438,1060.87659,29.65863,-258.24692,981.96002
94,0.775,-78.26469,-148.16838,1150.81897,8.16512,-316.07358,1060.68262,29.65863,-258.24692,981.96002
95,0.783,-78.17574,-148.3466,1150.91833,8.3519,-315.57629,1060.75,29.65863,-258.24692,981.96002
96,0.792,-78.01051,-148.4346,1150.94983,8.1927,-315.4483,1060.6283,29.65863,-258.24692,981.96002
