Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z
1,0,1921.29016,315.0773,867.29718
2,0.008,1916.78357,310.37524,864.97437
3,0.017,1908.3678,309.66016,866.08405
4,0.025,1901.01941,305.49283,868.42621
5,0.033,1891.59851,305.62796,868.78735
6,0.042,1887.06702,302.70786,869.64612
7,0.05,1878.62646,303.51511,869.21814
8,0.058,1869.953,305.19305,870.83521
9,0.067,1862.99792,299.88553,872.64569
10,0.075,1857.83923,295.44858,873.07068
11,0.083,1850.27258,297.74365,872.55255
12,0.092,1841.46777,295.82114,873.08905
13,0.1,1835.21265,293.65753,874.14105
14,0.108,1828.99268,289.94382,874.37305
15,0.117,1821.06946,289.54916,875.94141
16,0.125,1815.0708,287.62845,875.40381
17,0.133,1806.4314,286.43777,875.51349
18,0.142,1799.13916,287.4516,874.79205
19,0.15,1793.22827,283.19144,875.12762
20,0.158,1786.05823,281.2453,876.284
21,0.167,1780.65808,280.8494,874.55298
22,0.175,1774.30273,275.97293,875.39056
23,0.183,1765.24097,275.36658,877.00342
24,0.192,1760.41187,273.92801,876.37402
25,0.2,1752.60168,273.19897,876.82233
26,0.208,1747.88953,268.82211,877.42035
27,0.217,1740.87939,270.82507,875.92609
28,0.225,1735.66089,265.69836,875.88434
29,0.233,1729.80835,263.01749,873.49982
30,0.242,1722.51685,261.67886,875.0658
31,0.25,1718.26465,256.60077,873.23022
32,0.258,1710.1416,260.9097,872.96503
33,0.267,1706.01294,255.52853,871.43884
34,0.275,1700.10583,253.82465,869.71332
35,0.283,1693.42151,254.2704,869.71857
36,0.292,1688.62512,250.79114,869.22302
37,0.3,1682.1073,250.47443,868.5705
38,0.308,1678.37683,248.9039,868.98022
39,0.317,1674.8103,243.78983,869.81036
40,0.325,1666.64587,246.39278,870.2085
41,0.333,1663.1781,244.10858,870.46863
42,0.342,1660.18188,240.44122,870.63287
43,0.35,1653.31213,241.69838,868.88928
44,0.358,1648.90308,238.79121,870.5434
