Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,2007.97119,82.75202,1331.29248,2061.96338,346.21149,1325.67542,2061.29224,-37.14259,1348.89868
2,0.008,2003.10107,81.8152,1331.14221,2057.20166,346.69092,1325.89526,2058.56201,-38.54757,1348.27808
3,0.017,1999.87549,79.56515,1330.8092,2051.09473,345.71542,1326.4303,2052.41992,-37.32238,1348.30005
4,0.025,1994.18286,81.62225,1330.58301,2044.56042,345.48749,1325.91296,2049.00073,-37.93989,1348.07446
5,0.033,1990.521,79.40426,1330.5874,2038.74084,345.14145,1325.66675,2044.90747,-39.16392,1348.44141
6,0.042,1983.69604,77.8659,1329.30762,2032.43774,344.99594,1325.95508,2040.32153,-39.92618,1348.93066
7,0.05,1980.27063,78.32754,1329.34644,2025.48584,343.94788,1325.78027,2035.74292,-39.96505,1349.52844
8,0.058,1974.71057,75.76521,1328.0752,2018.73132,343.00177,1325.7854,2032.25134,-40.78109,1348.31787
9,0.067,1967.37695,75.46883,1327.39819,2012.78967,343.16827,1325.99805,2027.23389,-42.37731,1347.21118
10,0.075,1964.09351,75.03413,1328.28271,2006.65662,342.54111,1325.02869,2021.47046,-41.73545,1347.7312
11,0.083,1958.17493,71.52986,1328.79224,1999.59326,341.26651,1324.16699,2017.72803,-42.72043,1347.29456
12,0.092,1953.19263,73.04361,1328.19177,1993.33789,339.97928,1323.89685,2012.59875,-43.54797,1346.58899
13,0.1,1949.07959,73.23868,1327.87073,1989.48962,340.42343,1322.8866,2006.7561,-43.61058,1345.79211
14,0.108,1943.50879,69.2814,1327.67688,1981.51965,338.25092,1322.92407,2003.41443,-45.33404,1345.35779
15,0.117,1936.67273,70.89229,1326.38452,1974.6488,337.35983,1323.03845,1997.47168,-45.80996,1345.45923
16,0.125,1931.01563,66.71454,1325.82727,1968.75171,335.86932,1321.85376,1991.59277,-46.54643,1343.53162
17,0.133,1923.93457,68.34129,1324.75525,1961.92163,335.30118,1321.60791,1987.61877,-48.7099,1343.83801
18,0.142,1919.41553,65.59717,1323.93042,1958.34033,334.49142,1320.48169,1981.2345,-48.60592,1344.22961
19,0.15,1914.8689,63.68871,1324.08899,1952.37195,333.06421,1320.26978,1976.62793,-49.68052,1342.69275
20,0.158,1909.20703,63.99799,1323.63159,1945.46484,332.3161,1318.95715,1971.38562,-52.52055,1341.18054
21,0.167,1903.2887,60.65322,1322.53015,1938.52319,329.59177,1318.88049,1965.06482,-52.76313,1341.12463
22,0.175,1900.63269,60.40919,1322.79065,1932.55334,328.25177,1318.25842,1958.41772,-54.84504,1341.78967
23,0.183,1890.37805,58.06952,1321.02759,1927.74609,327.47229,1317.54431,1953.77832,-56.92969,1338.33142
24,0.192,1886.75891,57.60775,1319.18713,1921.00208,325.6369,1317.48083,1948.38538,-56.90861,1338.68579
25,0.2,1879.03186,55.15715,1319.24011,1913.69385,323.2381,1316.83643,1941.28894,-59.59575,1338.67786
26,0.208,1874.73853,54.24913,1318.64575,1911.1543,322.71353,1315.1051,1935.89148,-62.45039,1336.70593
27,0.217,1867.46594,50.13361,1317.85291,1902.72437,320.05554,1313.60913,1930.88574,-63.70698,1334.94751
28,0.225,1862.72119,50.03135,1316.76697,1896.79468,317.54831,1314.33398,1924.11218,-64.68322,1335.69788
29,0.233,1855.71912,47.13166,1315.90002,1891.96643,315.82965,1313.63562,1917.48572,-67.46954,1332.28564
30,0.242,1851.4408,47.01498,1316.67432,1886.1792,313.53418,1312.58984,1911.85535,-70.06139,1331.58472
31,0.25,1843.60559,42.76888,1315.70752,1882.01758,311.83865,1311.28918,1905.0426,-71.0751,1332.21667
32,0.258,1836.94946,40.69989,1315.90955,1875.34509,309.9025,1310.9115,1899.24756,-75.08237,1331.8374
33,0.267,1832.72974,38.15232,1315.69873,1870.35901,307.98621,1311.01965,1894.55847,-78.25141,1331.3407
34,0.275,1824.71106,38.23357,1315.41968,1862.87207,304.56155,1310.88623,1886.10583,-77.68767,1330.8291
35,0.283,1819.89856,34.49297,1315.24084,1857.34167,302.86887,1312.01172,1880.63,-80.88802,1330.55969
36,0.292,1812.89136,30.63459,1318.37097,1850.29163,300.94196,1311.33142,1875.36499,-84.79208,1333.78503
37,0.3,1806.38403,31.50753,1319.48938,1844.7179,298.58954,1313.698,1867.97241,-85.24728,1333.22083
38,0.308,1801.18848,27.20316,1320.38513,1838.10315,296.30264,1314.27686,1861.46716,-88.19921,1335.35461
39,0.317,1795.15112,24.99541,1321.46008,1830.32507,293.38315,1315.51001,1857.10803,-90.72255,1337.41089
40,0.325,1789.94165,23.15137,1322.97437,1825.58716,291.84857,1317.24133,1851.92151,-93.97102,1337.57263
41,0.333,1781.88,22.17215,1325.85156,1817.46936,288.79477,1318.06152,1843.14856,-93.79656,1341.43201
42,0.342,1777.82324,18.74314,1326.81079,1812.6178,287.82767,1319.48096,1838.60889,-97.0813,1342.26514
43,0.35,1770.40979,14.61149,1328.92603,1804.44556,283.5372,1321.83142,1833.22302,-100.24874,1345.25574
44,0.358,1764.99463,15.97345,1332.49341,1798.88831,281.98566,1323.17676,1826.13464,-101.4482,1345.89966
45,0.367,1757.5022,11.61543,1333.8396,1794.54114,279.59894,1325.04187,1818.83276,-103.75259,1348.69409
46,0.375,1754.54358,7.81999,1334.50012,1789.19983,277.83365,1325.9386,1814.52258,-106.5154,1349.2605
47,0.383,1745.50574,7.56705,1334.41675,1781.50232,276.63943,1326.82532,1806.1051,-108.24633,1350.3667
48,0.392,1738.854,3.84253,1337.47644,1776.98706,273.66867,1327.3877,1800.28748,-109.85422,1351.86609
49,0.4,1735.74341,3.53431,1336.85437,1771.04468,271.12411,1330.1283,1794.63684,-113.83533,1352.14783
50,0.408,1726.55408,1.28607,1337.56006,1765.2605,268.25061,1329.20227,1786.21326,-113.28065,1351.90967
51,0.417,1720.66003,-1.79353,1338.70007,1758.74744,266.93649,1330.70886,1780.31018,-116.77215,1354.34241
52,0.425,1712.90393,-2.02611,1338.46265,1755.00146,266.35681,1331.14514,1774.4856,-120.47436,1353.87
53,0.433,1707.93787,-4.93263,1338.42908,1749.19897,262.83105,1330.72449,1765.8158,-120.74577,1353.59375
54,0.442,1700.61609,-4.84968,1338.58618,1743.2948,262.52335,1331.6272,1761.3374,-123.25045,1352.81934
55,0.45,1695.84888,-6.91703,1337.1217,1737.4375,259.82874,1330.72205,1752.27722,-123.60256,1354.61926
56,0.458,1689.59827,-8.49595,1337.72327,1730.69849,257.02582,1332.15125,1746.63135,-126.95973,1354.44507
57,0.467,1682.89185,-10.18188,1337.72083,1724.77783,256.01959,1331.54321,1739.17847,-125.83282,1354.35156
58,0.475,1678.21411,-11.92323,1337.7002,1723.30029,255.80995,1331.50293,1733.68896,-129.47745,1353.96277
59,0.483,1670.59058,-12.73167,1337.3761,1714.42578,253.61835,1331.32922,1729.13928,-131.25,1353.63623
60,0.492,1665.77527,-14.95309,1338.14978,1709.45776,251.33209,1332.29895,1720.53271,-131.97107,1355.49084
61,0.5,1659.10449,-15.13842,1338.68872,1706.78369,250.92567,1332.4967,1716.14124,-134.31595,1354.90784
62,0.508,1653.61719,-16.57372,1338.12891,1697.97913,249.84831,1332.35352,1708.08936,-134.30669,1355.02637
63,0.517,1647.99536,-17.63638,1339.10938,1694.72571,246.99831,1332.95764,1702.30713,-137.67242,1354.83838
64,0.525,1641.70972,-18.63204,1340.27563,1688.09863,247.01007,1332.23694,1695.09314,-136.58603,1356.58069
65,0.533,1636.43652,-21.39781,1340.15991,1684.04077,244.99397,1333.45569,1690.72314,-139.14377,1356.6189
66,0.542,1629.68225,-22.32649,1338.5918,1680.44739,244.82434,1333.3783,1683.67188,-140.94408,1355.82214
67,0.55,1624.26892,-24.04985,1339.65295,1672.22119,242.22989,1333.31628,1677.43848,-141.42183,1355.75635
68,0.558,1617.94348,-24.04155,1339.85022,1669.93884,242.17314,1333.57385,1673.28149,-144.03912,1355.7793
69,0.567,1614.90674,-25.37124,1340.70618,1663.54602,240.39015,1335.04553,1665.64978,-143.353,1357.14185
70,0.575,1606.69165,-24.72024,1339.85437,1659.05151,240.22475,1334.35339,1658.46252,-144.59448,1357.32117
71,0.583,1601.43079,-26.13416,1339.76062,1654.17188,238.75626,1334.31384,1653.11316,-145.09698,1356.61853
72,0.592,1593.74719,-27.77666,1339.65588,1648.06299,237.11093,1333.71948,1648.29688,-148.03148,1356.53271
73,0.6,1589.14612,-28.10818,1340.21387,1644.32178,236.10841,1333.8894,1639.87708,-147.36983,1356.37354
74,0.608,1582.02759,-28.20737,1341.23779,1636.80957,235.90358,1333.59509,1632.67041,-148.47404,1356.69946
75,0.617,1577.98523,-32.08576,1340.16113,1632.21484,234.07747,1334.01575,1628.14783,-149.94862,1356.39929
76,0.625,1570.22119,-30.57961,1339.90027,1626.9469,233.37149,1333.7655,1621.30261,-151.09596,1355.65662
77,0.633,1564.78735,-32.90953,1338.73376,1620.16064,231.51193,1333.65625,1614.6261,-152.0428,1355.68359
78,0.642,1559.13367,-32.39753,1337.67761,1615.44312,231.04797,1334.03308,1606.97009,-151.40421,1354.59973
79,0.65,1553.96362,-32.03789,1338.70349,1609.44727,229.73329,1334.57983,1602.65283,-153.46815,1354.33728
80,0.658,1548.0813,-32.5492,1338.91675,1604.19543,229.34801,1332.9989,1595.13489,-153.49622,1355.99268
81,0.667,1541.0332,-33.65725,1338.50122,1601.58276,230.50743,1331.88977,1590.07751,-155.8004,1354.51819
82,0.675,1536.27295,-35.88503,1338.5614,1596.22083,229.92693,1331.26978,1582.27441,-155.67732,1354.20642
83,0.683,1528.59827,-35.25367,1337.3623,1586.61194,227.79767,1331.85107,1578.31177,-157.66508,1354.00159
84,0.692,1522.56873,-36.16133,1336.63391,1582.8833,227.37808,1331.26379,1570.99451,-156.43378,1353.85925
85,0.7,1516.55151,-37.06793,1335.90784,1578.39966,227.19456,1330.6532,1563.21008,-155.5869,1352.58484
86,0.708,1509.9624,-34.92297,1335.33838,1572.33765,227.09212,1329.57483,1557.98706,-158.29535,1351.7655
87,0.717,1504.1366,-36.53057,1334.74854,1566.85315,226.47621,1329.36292,1550.8197,-158.20145,1352.45288
88,0.725,1497.19434,-36.60562,1333.93555,1560.27319,225.43015,1328.2644,1543.49719,-156.98196,1352.58789
89,0.733,1490.97009,-37.4199,1333.71033,1552.70251,226.04065,1328.48975,1538.31604,-159.42758,1350.60266
90,0.742,1483.9043,-37.26194,1332.55579,1547.09839,225.14307,1326.91418,1531.1759,-158.22093,1350.73523
91,0.75,1478.20105,-38.52221,1332.36084,1541.56494,224.78258,1326.02563,1525.50537,-159.3633,1350.02368
92,0.758,1471.30859,-38.78567,1331.25354,1535.35974,225.68526,1325.32605,1520.15967,-159.5423,1349.32263
93,0.767,1466.8241,-37.54824,1331.21082,1529.26477,225.34274,1324.25757,1512.75525,-158.11383,1348.25452
94,0.775,1460.02612,-37.91996,1330.98743,1523.07397,225.23846,1322.86194,1506.64294,-158.81441,1346.92004
95,0.783,1451.85596,-37.72921,1330.27917,1514.71484,225.48077,1322.47351,1501.81287,-159.17442,1345.84387
96,0.792,1447.70776,-37.71224,1330.10815,1508.7439,225.23361,1321.43506,1494.14307,-158.65558,1344.98193
97,0.8,1443.5647,-37.69509,1329.93774,1502.29248,225.45656,1319.80127,1489.74597,-159.91362,1344.30798
98,0.808,1434.97241,-36.6699,1326.93054,1496.84937,225.13942,1319.12122,1483.09314,-158.65236,1343.45801
99,0.817,1429.13293,-37.63257,1326.32959,1490.39429,226.4614,1317.48254,1476.12305,-157.23294,1342.06091
100,0.825,1421.71301,-37.97115,1325.64136,1483.92957,226.70444,1315.84644,1471.71387,-157.25638,1341.73401
101,0.833,1416.5719,-37.05646,1323.21143,1478.06445,227.37337,1314.64514,1465.14502,-157.78091,1340.37366
102,0.842,1409.88733,-35.9864,1322.52515,1471.21252,228.27332,1314.44067,1458.39343,-156.7888,1339.64148
103,0.85,1403.04944,-35.04366,1322.43494,1465.07996,227.5043,1312.5741,1452.18665,-154.66208,1340.29993
104,0.858,1396.77966,-35.90453,1321.38525,1457.71802,228.36243,1311.27454,1448.02966,-156.5789,1337.94556
105,0.867,1390.28186,-34.11668,1321.00513,1451.052,228.74176,1310.24573,1440.9552,-155.51576,1338.08093
106,0.875,1384.42261,-33.54552,1321.87842,1444.51111,230.25749,1309.44714,1433.48303,-153.86836,1337.53052
107,0.883,1375.94678,-33.94764,1320.50342,1437.81116,229.82243,1308.03992,1426.73181,-152.9075,1337.15271
108,0.892,1368.44092,-32.01404,1321.70166,1430.7511,230.72476,1307.77295,1419.04309,-152.49782,1336.17969
109,0.9,1362.49011,-29.8462,1321.4043,1424.65918,231.7668,1306.93396,1413.79004,-152.26593,1336.77832
110,0.908,1354.44568,-31.34021,1321.38562,1417.16577,232.26834,1307.16626,1405.87683,-151.65106,1336.14893
111,0.917,1346.89575,-30.81754,1321.38831,1411.32739,232.30544,1306.42993,1399.47668,-152.25365,1336.86438
112,0.925,1339.88696,-30.36675,1321.43872,1404.70654,233.04408,1306.80371,1392.6322,-150.23918,1337.06616
113,0.933,1334.16626,-29.54203,1323.81787,1397.00647,233.92964,1308.94934,1383.60266,-150.65251,1338.16431
114,0.942,1325.44312,-29.91991,1324.32849,1390.86401,233.30359,1309.07092,1375.55444,-150.44,1339.14026
