Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,1965.23926,142.44519,1620.94763,1866.49829,134.04237,1496.63037
2,0.008,1960.35352,142.34386,1621.75488,1860.91028,133.95618,1496.9541
3,0.017,1956.76477,141.34395,1620.02283,1856.92114,131.10483,1496.63757
4,0.025,1950.12073,139.96678,1620.41345,1852.24707,128.96759,1495.83398
5,0.033,1944.32361,138.86424,1620.00928,1845.23413,129.80708,1494.44226
6,0.042,1939.60352,137.95715,1619.44702,1841.35864,126.89293,1494.45459
7,0.05,1934.40686,137.99037,1619.63416,1836.00745,125.60159,1497.01685
8,0.058,1929.09778,136.39627,1619.17029,1829.88892,125.78732,1496.57727
9,0.067,1923.66675,135.08809,1617.9353,1825.72949,122.48271,1495.30688
10,0.075,1919.26501,132.76245,1618.42993,1818.97974,125.3628,1495.24011
11,0.083,1912.84265,133.79266,1618.0282,1815.20984,122.04903,1494.67761
12,0.092,1907.81995,132.93677,1618.00537,1811.55444,117.27579,1494.02148
13,0.1,1903.09436,130.99942,1617.68237,1802.8833,120.60143,1493.11646
14,0.108,1897.57336,129.51738,1617.92615,1797.69336,118.34527,1494.36792
15,0.117,1891.55347,129.13483,1617.07556,1790.94971,118.69765,1495.16809
16,0.125,1886.6156,127.5107,1616.48413,1786.48669,115.36996,1494.21667
17,0.133,1881.48413,127.52358,1616.41138,1781.15686,112.62216,1493.01208
18,0.142,1875.3103,126.02515,1615.44763,1774.60571,113.67224,1492.1908
19,0.15,1869.89343,124.17737,1615.26294,1770.75269,110.40506,1491.30908
20,0.158,1865.53882,123.63567,1614.40259,1763.10559,112.55524,1490.96436
21,0.167,1859.05371,123.55915,1613.74658,1758.97876,109.22375,1489.70142
22,0.175,1853.18311,120.55328,1613.25269,1755.80823,104.34163,1490.09753
23,0.183,1847.11414,118.56366,1611.94373,1749.69739,103.58932,1488.66968
24,0.192,1842.03003,116.62661,1611.95874,1742.92358,103.63835,1490.03259
25,0.2,1836.7655,115.51585,1610.42322,1733.96338,104.72326,1489.97144
26,0.208,1830.56372,112.97455,1609.44092,1729.61487,101.09478,1488.92371
27,0.217,1826.07776,111.59912,1609.05811,1725.63525,97.7577,1487.90112
28,0.225,1820.8092,110.92376,1607.6936,1717.94421,99.38873,1486.73584
29,0.233,1816.55676,106.18928,1607.21057,1713.45361,95.24201,1485.98645
30,0.242,1810.88794,106.32603,1606.8855,1708.56335,91.52164,1485.02295
31,0.25,1804.84412,104.53712,1606.46497,1703.20825,88.59691,1485.30127
32,0.258,1799.35144,100.72273,1606.83179,1695.95398,89.14622,1487.09241
33,0.267,1792.47949,99.44962,1607.18286,1691.16296,84.93696,1486.47705
34,0.275,1787.05579,97.15939,1608.36914,1688.25415,80.43488,1485.39978
35,0.283,1781.12268,94.40856,1608.33667,1677.3855,81.33497,1489.3385
36,0.292,1773.92896,92.52079,1609.8844,1672.52197,77.65418,1489.33862
37,0.3,1768.7926,90.01637,1610.98474,1666.73096,77.73485,1490.00354
38,0.308,1764.17468,87.82315,1612.88354,1660.54077,75.07575,1492.27979
39,0.317,1757.46155,84.56017,1613.12561,1654.31409,70.21213,1492.57764
40,0.325,1750.52112,82.89014,1613.9375,1646.42981,71.40326,1496.09082
41,0.333,1745.79199,79.50687,1616.07739,1641.80945,67.94129,1495.68408
42,0.342,1737.88123,76.79176,1617.6438,1638.0293,64.5529,1495.03833
43,0.35,1731.84253,76.49612,1619.32043,1626.43579,62.78605,1498.61462
44,0.358,1726.77124,74.06535,1621.33655,1622.82642,60.0066,1498.57141
45,0.367,1722.72156,72.26842,1621.6272,1618.55029,55.90423,1503.00488
46,0.375,1713.52612,70.13939,1623.76794,1611.18311,57.76432,1501.34106
47,0.383,1709.19714,66.73748,1624.10315,1605.14893,52.49335,1506.13611
48,0.392,1703.99268,66.29753,1625.68494,1599.7915,48.55462,1506.4668
49,0.4,1698.44043,65.22995,1626.47339,1593.84448,51.06705,1507.36011
50,0.408,1694.13269,61.91021,1626.5907,1588.76038,46.88889,1508.96814
51,0.417,1689.74207,60.66865,1627.41064,1581.86523,48.29352,1509.04541
52,0.425,1684.15222,59.96762,1628.72717,1577.99219,45.43415,1510.01587
53,0.433,1677.04236,57.47923,1628.58643,1573.42542,41.95784,1511.45642
