Frame#,Time,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z
1,0,2191.99854,237.85434,1238.7865,2063.03149,368.95398,1171.61914
2,0.008,2186.67554,239.0368,1239.30127,2056.91211,371.41199,1171.44446
3,0.017,2180.89087,239.45793,1238.65125,2048.02734,369.30002,1171.57922
4,0.025,2175.64966,239.89597,1239.19495,2041.98608,368.41916,1173.42578
5,0.033,2170.41309,239.58276,1238.82617,2036.89905,370.495,1171.43091
6,0.042,2164.93823,240.04546,1238.66895,2028.28931,366.70221,1172.43469
7,0.05,2157.99731,239.89883,1238.34155,2021.44055,368.37448,1171.80322
8,0.058,2152.74609,240.4594,1238.36963,2015.63147,365.31927,1171.35181
9,0.067,2147.11108,241.37857,1238.03455,2008.5321,366.72067,1170.91492
10,0.075,2140.17505,240.50354,1237.81592,2005.49561,366.0975,1170.16284
11,0.083,2135.02637,239.76718,1237.80627,1996.80188,365.96948,1169.48523
12,0.092,2128.55371,239.67824,1236.94214,1991.72205,363.28156,1168.71777
13,0.1,2122.21362,239.20584,1236.32642,1985.91992,365.56168,1168.15833
14,0.108,2117.27197,237.42722,1236.64075,1979.11267,361.80008,1167.55847
15,0.117,2111.21997,237.16141,1235.13489,1971.67297,362.77066,1166.58386
16,0.125,2104.57935,237.1037,1234.9165,1967.15479,360.35391,1165.58044
17,0.133,2099.02808,236.11517,1234.43945,1958.44653,360.07144,1165.23706
18,0.142,2093.42871,235.27026,1233.05139,1955.24744,359.49753,1164.73682
19,0.15,2086.72852,233.68575,1232.65308,1943.81299,356.33215,1166.66907
20,0.158,2081.33569,232.97127,1232.59851,1942.25269,356.6149,1164.94116
21,0.167,2075.29004,231.89145,1231.06262,1930.4375,353.56985,1165.49951
22,0.175,2068.38281,229.80998,1230.24951,1928.69934,353.27264,1164.9314
23,0.183,2062.61914,228.58228,1229.32349,1918.92737,349.65427,1162.68225
