Frame#,Time,R.ASIS.x,R.ASIS.y,R.ASIS.z
1,0,2098.39453,394.40292,1020.41064
2,0.008,2091.16577,394.3259,1019.42023
3,0.017,2084.64673,394.35916,1019.06006
4,0.025,2076.02905,393.22318,1019.27826
5,0.033,2069.14111,393.65488,1018.87793
6,0.042,2063.1709,393.31793,1018.81427
7,0.05,2057.68091,393.32938,1018.7287
8,0.058,2048.5271,392.1199,1018.1615
9,0.067,2041.70105,391.79852,1017.63477
10,0.075,2034.65698,390.28741,1017.70947
11,0.083,2029.02881,390.74335,1017.49518
12,0.092,2022.11316,390.23242,1016.46069
13,0.1,2016.05579,389.34073,1015.56775
14,0.108,2007.15369,386.51669,1015.95233
15,0.117,2001.43921,386.80966,1015.83868
16,0.125,1994.10535,386.17722,1014.29877
17,0.133,1986.87048,383.91885,1013.09674
18,0.142,1981.05762,383.13116,1013.34021
19,0.15,1975.03027,381.99634,1012.74371
20,0.158,1968.59912,380.66531,1011.71777
21,0.167,1961.49915,378.94644,1011.09448
22,0.175,1955.53442,377.38049,1008.87628
23,0.183,1947.73779,375.25916,1009.37482
24,0.192,1943.62,374.28601,1008.78662
25,0.2,1935.87183,372.79913,1008.0108
26,0.208,1929.71021,371.12875,1007.22498
27,0.217,1924.29089,369.68671,1006.91321
28,0.225,1917.86267,367.57379,1005.86053
29,0.233,1911.90088,364.91821,1005.20398
30,0.242,1906.20117,363.59357,1005.17578
31,0.25,1900.17847,362.65555,1004.23157
32,0.258,1894.08643,360.40027,1004.38483
33,0.267,1884.8219,357.63266,1003.24005
34,0.275,1881.24292,355.77798,1003.91266
35,0.283,1872.75989,351.55118,1004.09357
36,0.292,1869.68542,351.04388,1004.32397
37,0.3,1861.87354,347.52905,1005.09796
38,0.308,1856.16284,346.32724,1007.19238
39,0.317,1850.03088,343.5546,1009.94977
40,0.325,1847.43433,343.09579,1010.93774
41,0.333,1839.68311,338.44965,1011.13593
42,0.342,1832.61182,335.83731,1012.81042
43,0.35,1829.24036,334.57797,1016.31934
44,0.358,1824.36267,331.74786,1017.00763
45,0.367,1818.93433,329.71411,1018.91589
46,0.375,1813.06311,327.93585,1021.08459
47,0.383,1807.99121,325.01935,1022.56976
48,0.392,1803.89331,323.64273,1023.17346
49,0.4,1798.54395,321.04892,1024.44934
50,0.408,1796.52087,321.2041,1024.7616
51,0.417,1790.68115,318.05023,1025.28577
52,0.425,1786.12073,316.83658,1025.33997
53,0.433,1780.69739,314.39163,1025.66211
54,0.442,1775.28662,312.17786,1025.65381
55,0.45,1769.70251,309.68069,1026.78918
56,0.458,1768.64063,309.27194,1027.42102
57,0.467,1761.93286,306.92801,1027.453
58,0.475,1758.85889,304.60577,1027.22241
59,0.483,1756.1698,304.26135,1028.74487
60,0.492,1749.33496,300.57748,1026.90784
61,0.5,1748.9585,299.95337,1028.61401
62,0.508,1743.54626,299.82764,1028.89783
63,0.517,1737.96033,296.767,1028.97681
64,0.525,1735.07312,296.5549,1029.15088
65,0.533,1732.86597,296.20346,1029.34106
66,0.542,1726.83289,292.81982,1029.74329
67,0.55,1723.2887,292.70712,1029.75159
68,0.558,1720.61304,291.41003,1030.75293
69,0.567,1716.19202,289.43784,1032.14014
70,0.575,1711.20276,287.40622,1032.65039
71,0.583,1706.71423,287.25797,1032.40344
72,0.592,1704.99036,287.0784,1032.75488
73,0.6,1699.19824,286.556,1033.32214
74,0.608,1694.38855,283.79694,1032.45313
75,0.617,1692.92908,283.04733,1033.29907
76,0.625,1687.53613,283.25751,1033.30701
77,0.633,1686.15942,283.45782,1033.53027
78,0.642,1677.81885,280.41354,1033.86279
79,0.65,1676.04492,280.78452,1033.0282
80,0.658,1672.51868,280.60483,1034.10425
81,0.667,1664.99194,277.40659,1033.36426
82,0.675,1661.03552,278.03641,1033.47424
83,0.683,1659.51294,278.50995,1033.38916
84,0.692,1653.71069,277.63107,1033.13953
85,0.7,1648.93372,276.01505,1032.62048
86,0.708,1644.99597,276.87909,1033.11145
87,0.717,1638.09851,274.73761,1032.45422
88,0.725,1634.9751,274.62851,1031.32251
89,0.733,1629.36267,275.49155,1031.23071
90,0.742,1623.46533,272.60043,1030.53906
91,0.75,1617.71118,273.2926,1030.2533
92,0.758,1612.90002,273.32559,1029.59839
93,0.767,1608.3479,273.28131,1028.65784
94,0.775,1600.14307,272.79874,1028.85559
95,0.783,1597.3186,273.93927,1028.50781
96,0.792,1592.22449,273.46255,1026.09656
97,0.8,1585.48743,273.85025,1024.86121
98,0.808,1575.92981,272.11646,1023.15778
99,0.817,1570.63403,271.40665,1022.48224
100,0.825,1564.68787,272.16922,1021.88782
101,0.833,1559.02466,273.38004,1021.03998
102,0.842,1551.70105,272.08795,1018.50427
103,0.85,1545.70508,273.3378,1017.7038
104,0.858,1538.17712,272.61526,1016.41321
105,0.867,1531.25183,273.69949,1015.74573
106,0.875,1524.94946,274.8873,1014.19031
107,0.883,1515.43347,272.74493,1011.38995
108,0.892,1508.32642,274.73584,1010.32977
109,0.9,1497.59265,272.89294,1009.61639
110,0.908,1491.10364,274.76111,1008.76575
111,0.917,1481.4375,273.14453,1008.51996
112,0.925,1474.02124,274.16345,1008.46399
113,0.933,1465.81128,273.19531,1008.13812
114,0.942,1457.28491,274.556,1008.4256
115,0.95,1447.33167,274.25497,1009.2616
116,0.958,1440.01099,275.29456,1010.6319
117,0.967,1429.34302,273.50992,1010.53723
118,0.975,1423.02759,275.41605,1011.91406
119,0.983,1411.88086,274.67084,1011.90796
120,0.992,1404.30249,276.15503,1012.54956
121,1,1394.59229,275.79831,1014.27026
122,1.008,1387.02197,276.52243,1014.63135
123,1.017,1377.29651,275.82407,1015.64917
124,1.025,1370.40625,277.58087,1016.41138
125,1.033,1359.98682,276.60486,1016.60321
126,1.042,1351.97888,278.01471,1016.39453
127,1.05,1342.69958,277.08255,1016.36218
128,1.058,1333.17761,278.79132,1017.02686
129,1.067,1325.82898,279.8873,1017.47552
130,1.075,1315.71265,280.20862,1018.02899
131,1.083,1306.66003,279.25049,1019.06671
132,1.092,1298.75012,280.30731,1019.15021
133,1.1,1288.36487,280.03894,1018.953
134,1.108,1279.66418,281.64862,1018.89294
135,1.117,1270.03809,280.58557,1018.6485
136,1.125,1261.65991,282.30066,1018.90924
137,1.133,1252.88953,281.31741,1018.41711
138,1.142,1242.61389,281.90967,1019.31683
139,1.15,1234.1615,282.17764,1019.52087
140,1.158,1224.44348,282.02209,1019.95142
141,1.167,1216.57983,282.30414,1020.26868
142,1.175,1208.53943,280.82205,1020.70123
143,1.183,1200.14282,282.03183,1020.7627
144,1.192,1190.52148,280.63345,1020.64471
145,1.2,1182.95471,281.15604,1019.63129
146,1.208,1175.3833,280.78348,1020.35883
147,1.217,1167.56311,279.9873,1019.67542
148,1.225,1160.22412,280.50995,1020.10162
149,1.233,1152.82788,279.25635,1018.78015
150,1.242,1144.86829,279.06631,1018.36713
151,1.25,1137.76563,277.51767,1018.08789
152,1.258,1129.64136,278.65753,1018.56891
153,1.267,1121.72241,277.34583,1016.9599
154,1.275,1115.46033,277.71533,1016.90912
155,1.283,1107.65063,276.49084,1016.70636
156,1.292,1100.08423,275.40512,1015.87402
157,1.3,1093.19067,275.5101,1015.24225
158,1.308,1085.07214,273.56607,1013.90686
159,1.317,1079.40247,273.98065,1013.62268
160,1.325,1071.04431,272.4368,1013.96338
161,1.333,1063.18689,271.2598,1011.67322
162,1.342,1057.40442,271.82291,1011.87573
