Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z
1,0,2009.27563,372.02011,975.89691
2,0.008,2001.25623,368.05463,975.80707
3,0.017,1994.54443,369.73059,977.00201
4,0.025,1989.86841,368.49295,978.51019
5,0.033,1979.7345,367.39749,977.84033
6,0.042,1973.94324,369.55826,977.49774
7,0.05,1966.24768,364.91895,977.24481
8,0.058,1958.93225,366.70187,976.27258
9,0.067,1955.08533,365.40878,976.95081
10,0.075,1945.18628,364.55057,977.45898
11,0.083,1940.505,365.22729,978.61603
12,0.092,1931.02954,361.23279,980.6662
13,0.1,1923.3595,359.61395,979.10016
14,0.108,1917.08508,358.56299,979.54388
15,0.117,1910.60999,357.89917,978.70264
16,0.125,1904.77051,355.36725,978.81879
17,0.133,1899.9115,352.10281,977.40692
18,0.142,1891.07275,353.21243,978.24335
19,0.15,1885.87842,349.45267,976.95996
20,0.158,1877.01843,349.89093,977.59271
21,0.167,1874.5343,349.99606,975.69916
22,0.175,1863.2002,346.42474,977.78766
23,0.183,1857.52747,343.86649,975.12604
24,0.192,1850.35437,343.39926,976.62384
25,0.2,1845.73767,339.3772,975.77094
26,0.208,1839.87598,337.94296,975.22302
27,0.217,1832.96338,339.07153,974.08185
28,0.225,1829.17078,334.38635,970.05359
29,0.233,1821.29578,335.57428,972.27509
30,0.242,1815.77649,330.73459,969.36572
31,0.25,1809.57092,333.31204,972.06116
32,0.258,1800.98022,327.02954,969.79498
33,0.267,1795.8822,322.35068,967.80975
34,0.275,1788.86548,323.90225,968.89294
35,0.283,1783.49744,320.22687,968.62677
36,0.292,1778.22925,319.73199,969.89691
37,0.3,1771.65942,315.78857,969.5014
38,0.308,1767.3999,313.29614,970.09973
39,0.317,1761.46814,312.06628,972.34668
40,0.325,1755.92236,312.40869,973.38434
41,0.333,1751.12012,308.03992,973.4231
42,0.342,1745.47278,308.1286,974.24316
43,0.35,1739.39063,303.8894,975.60919
44,0.358,1735.46753,302.75027,976.7229
45,0.367,1730.37146,298.88889,978.19977
46,0.375,1723.52979,300.45065,979.27356
47,0.383,1718.56812,296.47617,979.08264
48,0.392,1715.19922,295.28311,980.41998
49,0.4,1708.74048,291.24899,978.93347
50,0.408,1705.1051,292.90616,980.70514
51,0.417,1704.79053,292.84506,980.82538
52,0.425,1698.14209,287.03192,980.67572
53,0.433,1691.56958,288.49368,979.69293
54,0.442,1687.64636,285.05518,979.97351
55,0.45,1685.94922,284.41522,979.43665
56,0.458,1681.38049,283.99908,979.91406
57,0.467,1676.12659,282.10678,979.51563
58,0.475,1672.43274,279.33905,979.00269
59,0.483,1671.39026,279.40677,978.87067
60,0.492,1665.1814,277.06525,979.81812
61,0.5,1660.52942,276.69397,978.93085
62,0.508,1658.82397,275.80841,977.74548
63,0.517,1652.29578,274.75415,978.32404
64,0.525,1649.14063,273.57898,978.31036
65,0.533,1647.59216,274.70212,978.14545
66,0.542,1643.06384,270.67468,977.59985
67,0.55,1638.63293,272.04352,977.76941
68,0.558,1635.38745,271.95465,977.25037
69,0.567,1631.67346,267.50424,976.84961
70,0.575,1625.95984,268.49631,975.61932
71,0.583,1625.51184,268.53781,976.29346
72,0.592,1617.24255,263.88242,975.63025
73,0.6,1616.15417,264.90005,975.59833
74,0.608,1614.72351,265.4639,975.35687
75,0.617,1609.77783,265.08713,974.62738
76,0.625,1605.88318,261.42316,974.1676
77,0.633,1602.33936,263.49625,974.74188
78,0.642,1598.34631,263.07166,974.06561
79,0.65,1594.03784,264.02893,973.84851
80,0.658,1590.198,261.07523,974.00397
81,0.667,1586.4989,262.11612,973.78156
82,0.675,1581.96667,261.97424,972.47675
83,0.683,1576.06714,258.99722,971.98236
84,0.692,1573.32874,261.04742,972.23499
85,0.7,1568.4729,260.9812,972.84979
86,0.708,1564.7157,260.35925,971.59949
87,0.717,1558.55066,258.88248,971.5177
88,0.725,1553.84155,258.57541,970.52924
89,0.733,1547.29846,259.34012,969.22491
90,0.742,1543.11829,258.47314,968.92719
91,0.75,1538.75342,259.10364,967.87598
92,0.758,1533.44946,258.28329,967.44867
93,0.767,1527.89258,257.34198,966.44916
94,0.775,1522.43616,258.1022,965.03125
95,0.783,1516.34204,258.83643,965.02441
96,0.792,1509.53809,257.04712,964.72815
97,0.8,1504.64136,257.97775,963.58069
98,0.808,1496.11157,257.20383,961.36426
99,0.817,1490.42102,256.5867,960.30731
100,0.825,1482.69946,257.77573,959.94312
101,0.833,1474.99438,257.00537,959.16187
102,0.842,1469.89307,258.53851,958.22101
103,0.85,1461.90063,256.79865,957.04962
104,0.858,1453.70178,256.64819,955.44769
105,0.867,1446.1438,255.83183,954.28394
106,0.875,1439.73914,258.13889,953.42993
107,0.883,1432.91479,259.27231,952.50647
108,0.892,1423.65051,258.01312,951.56848
109,0.9,1417.42834,259.92126,951.23773
110,0.908,1407.00305,258.53397,950.42499
111,0.917,1400.12659,259.99628,949.94366
112,0.925,1389.93518,257.79663,949.92877
113,0.933,1384.18555,260.03812,951.11383
114,0.942,1373.16003,257.95392,950.86145
115,0.95,1362.4259,256.91217,952.16431
116,0.958,1355.50208,258.28253,953.03522
117,0.967,1345.5105,256.54163,953.53326
118,0.975,1336.35901,257.47803,955.41711
119,0.983,1327.68848,258.05103,956.28564
120,0.992,1318.68665,258.99286,958.15576
121,1,1308.85938,259.185,960.39532
122,1.008,1300.93433,261.06201,960.68768
123,1.017,1291.09412,260.49557,961.41907
124,1.025,1283.91931,260.70975,962.48541
125,1.033,1274.03235,260.80038,964.53656
126,1.042,1263.875,260.17853,965.11823
127,1.05,1255.34521,259.48962,965.21912
128,1.058,1247.10535,259.09009,966.47711
129,1.067,1238.40527,258.72568,966.81329
130,1.075,1227.86841,258.81262,968.49304
131,1.083,1218.97656,261.39813,969.71246
