Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z,L.Ankle.x,L.Ankle.y,L.Ankle.z,L.Ankle.Medial.x,L.Ankle.Medial.y,L.Ankle.Medial.z
61,0.5,339.10184,309.71356,282.9996,237.12679,321.80533,83.22029,271.59824,233.37009,97.15594
62,0.508,338.95084,310.01773,283.13525,237.01842,321.91541,83.27472,271.54449,233.46849,97.4071
63,0.517,338.95084,310.01773,283.13525,236.89626,321.87955,83.19689,271.43182,233.60687,97.58913
64,0.525,338.95084,310.01773,283.13525,236.89626,321.87955,83.19689,271.48947,233.62602,97.45402
65,0.533,338.80002,309.58151,283.21307,237.06517,321.871,83.30821,271.43134,233.41313,97.26059
66,0.542,338.96979,309.16888,283.9852,237.2238,321.79254,83.23189,271.57779,233.05592,96.51485
67,0.55,339.09183,308.75989,284.0918,237.59056,321.38577,82.99557,271.42719,232.67007,96.59653
68,0.558,339.2652,308.25259,284.54956,237.79437,321.30069,83.27864,271.72464,232.41023,95.9595
69,0.567,339.31668,307.1824,282.99402,237.97249,320.94626,83.59604,272.039,231.97311,95.85403
70,0.575,340.13281,306.34741,283.00461,238.42885,320.79764,83.78484,271.80115,231.26025,95.77515
71,0.583,341.08743,306.20557,283.46033,238.68718,320.41003,83.78461,272.13281,230.67766,95.58118
72,0.592,341.61096,304.81335,283.3064,239.01392,319.87259,83.76199,272.80801,230.24785,95.34048
73,0.6,341.92209,302.57791,283.38095,239.01123,319.38815,83.8238,272.84689,229.68269,95.11259
74,0.608,342.32217,301.74149,283.01971,239.26596,319.0289,83.93615,272.9357,229.30316,95.07763
75,0.617,342.39389,301.35132,283.12073,239.77115,318.71347,84.11673,272.87131,228.71208,94.77049
76,0.625,342.88516,300.20206,282.9321,239.98691,318.72192,84.13494,272.87131,228.71208,94.77049
77,0.633,343.05557,300.32773,282.86636,239.94138,318.41208,84.1506,272.87131,228.71208,94.77049
78,0.642,343.86676,300.26031,282.25723,240.18338,318.44547,84.1168,272.87131,228.71208,94.77049
79,0.65,344.45126,299.80276,281.98874,240.01889,318.53241,84.10547,272.87131,228.71208,94.77049
80,0.658,344.54242,299.78409,281.879,240.21626,318.97723,84.196,272.87131,228.71208,94.77049
81,0.667,344.62738,300.06064,281.46628,240.21626,318.97723,84.196,272.87131,228.71208,94.77049
82,0.675,344.62738,300.06064,281.46628,240.24049,319.1752,84.21368,272.87131,228.71208,94.77049
83,0.683,344.52927,300.66132,281.41351,240.19006,319.49756,83.96925,273.10709,229.20926,94.81924
84,0.692,344.41129,300.95355,281.45316,239.9953,319.93964,83.76521,273.02502,229.3615,94.89457
85,0.7,344.22571,302.23447,281.23758,239.83571,320.4805,83.53188,272.84689,229.68269,95.11259
86,0.708,343.67587,303.38388,281.41446,239.84485,321.04102,83.45113,273.20261,230.57973,95.60059
87,0.717,342.98489,304.33517,281.1077,239.93704,321.1626,83.34451,273.26935,230.85448,95.38835
88,0.725,343.20566,305.30948,281.27399,238.94923,321.22504,83.53584,272.52509,232.07635,95.82028
89,0.733,343.3486,304.81412,281.34848,238.60892,321.49094,83.36852,272.35641,232.24794,95.80844
90,0.742,343.27618,307.08545,282.27563,238.63013,321.69031,83.11628,272.50565,232.96165,96.23793
91,0.75,342.91772,307.46948,282.29892,238.43796,321.79141,83.1032,272.04941,233.03227,96.22465
92,0.758,339.2421,309.60007,281.73926,238.39262,321.89801,83.19771,271.51544,233.11664,96.77925
93,0.767,338.71902,309.8374,281.92099,237.80739,321.82315,83.08081,271.64166,233.28336,96.97497
94,0.775,338.40195,309.86047,281.92087,237.5396,322.01862,83.3494,271.56567,233.35277,97.05746
95,0.783,340.03519,308.97235,282.24039,237.42717,321.74725,83.22704,271.64166,233.28336,96.97497
96,0.792,339.97784,308.61783,282.13834,237.42717,321.74725,83.22704,271.57779,233.05592,96.51485
97,0.8,340.09915,308.30072,282.00403,237.49559,321.30609,82.97745,271.96036,232.97403,96.4076
98,0.808,341.30151,307.7395,282.1532,237.92796,321.14865,83.13116,272.04941,233.03227,96.22465
99,0.817,341.57788,306.74445,282.37775,238.19217,321.01862,83.1362,272.22308,232.33752,95.99729
100,0.825,342.8067,305.66147,283.41855,238.40973,320.80869,83.30876,272.33667,231.9893,95.46265
101,0.833,343.11481,305.28561,282.46445,238.46176,320.79254,83.37599,272.11984,231.33867,95.01556
102,0.842,343.11349,304.5419,282.22305,239.16566,320.55087,83.23875,272.82651,230.52151,94.9487
103,0.85,343.55655,303.57544,282.47189,239.35698,320.25937,83.32127,272.82651,230.52151,94.9487
104,0.858,343.4545,302.90433,282.46698,239.32797,319.92438,83.41422,272.99179,229.53824,95.06293
105,0.867,343.75906,302.53464,282.32233,239.67554,318.76746,83.59269,273.10709,229.20926,94.81924
106,0.875,344.09711,301.26526,281.83069,239.89218,318.63303,83.70465,272.87131,228.71208,94.77049
107,0.883,344.62738,300.06064,281.46628,239.84665,318.32315,83.72032,272.87131,228.71208,94.77049
108,0.892,344.98203,299.60422,281.3353,240.53896,318.0007,84.03073,272.82297,228.22371,94.71825
109,0.9,345.3107,300.1691,281.26349,240.76042,317.78882,84.17937,273.13281,228.14124,94.54986
110,0.908,345.59567,299.70966,280.62811,240.88899,317.94037,84.15493,273.13281,228.14124,94.54986
111,0.917,345.68201,299.68948,280.50839,240.93678,318.33093,83.88165,272.82297,228.22371,94.71825
112,0.925,345.55023,300.17401,280.26675,240.94125,318.53992,84.0833,272.9201,228.43066,94.68305
113,0.933,346.02078,299.75955,280.80719,240.31676,318.56891,83.94411,272.87131,228.71208,94.77049
114,0.942,346.05219,300.22626,280.85294,240.13748,319.17474,83.95101,272.87131,228.71208,94.77049
115,0.95,345.54959,301.74057,280.47754,240.02179,319.23059,83.49068,272.87131,228.71208,94.77049
116,0.958,345.51477,302.79669,280.64014,240.19911,320.05002,83.81187,273.21127,229.56479,95.15299
117,0.967,345.51846,303.37247,281.05057,240.06721,320.73059,83.64826,273.07877,229.73776,95.22593
118,0.975,344.93106,303.97781,281.10641,240.00868,321.22925,83.45522,273.03995,230.3029,95.45384
119,0.983,343.8071,304.74805,280.98538,239.90416,321.25427,83.52462,273.48245,231.01608,95.44794
120,0.992,343.43521,305.29581,281.2081,239.2865,321.44162,83.62823,272.72891,232.00281,95.60927
121,1,343.63712,306.14978,281.40659,238.78384,321.16229,83.63095,272.59097,232.14577,95.92931
122,1.008,343.56982,306.33249,281.44025,238.64958,321.52905,83.55289,272.54633,232.50737,95.98322
123,1.017,343.43616,307.28369,282.34982,238.53252,321.56235,83.4697,272.35495,232.57576,96.31962
124,1.025,343.38824,307.4808,282.30948,238.55215,321.88229,83.62555,272.35495,232.57576,96.31962
125,1.033,343.22366,307.53119,282.18002,238.4411,322.0932,83.72062,272.39572,232.71561,96.65865
126,1.042,339.59238,309.53329,281.83954,238.2412,322.03647,83.74292,271.70392,233.22263,96.71056
127,1.05,339.59238,309.53329,281.83954,238.00703,321.97934,83.3585,271.70392,233.22263,96.71056
128,1.058,339.59238,309.53329,281.83954,238.11313,322.04919,83.31852,272.08652,233.14072,96.60332
129,1.067,339.59238,309.53329,281.83954,238.04515,321.63406,83.20812,272.08652,233.14072,96.60332
130,1.075,339.34985,309.3197,281.83191,238.3918,321.51328,83.37498,272.35495,232.57576,96.31962
131,1.083,339.48267,308.69373,281.40482,238.35429,321.35611,83.47614,272.15717,232.26811,95.88826
132,1.092,340.15897,308.21539,281.58295,238.49683,321.13144,83.54818,272.45844,231.80165,96.03246
133,1.1,343.056,304.33078,281.33575,238.78384,321.16229,83.63095,272.23679,231.24174,95.67759
134,1.108,343.12491,305.2308,282.35107,239.26918,320.52164,83.72126,272.83691,230.65181,95.66881
135,1.117,343.1604,304.24326,282.11914,239.41154,320.52603,83.79092,272.97061,230.52464,95.48723
136,1.125,343.60468,303.67548,281.94199,239.5808,320.09097,83.60436,272.927,229.96996,95.26518
137,1.133,343.37286,302.97318,281.9043,239.70782,320.05695,83.67872,272.84689,229.68269,95.11259
138,1.142,343.51514,302.61005,281.51501,239.98766,319.6373,83.96495,272.99179,229.53824,95.06293
139,1.15,344.18423,302.31622,281.09097,240.02719,319.53238,83.97598,272.99179,229.53824,95.06293
140,1.158,344.18423,302.31622,281.09097,240.03546,319.89722,83.97701,272.99179,229.53824,95.06293
141,1.167,344.25864,302.52106,281.03366,240.03957,320.01324,83.84724,272.99179,229.53824,95.06293
142,1.175,344.26581,302.60315,280.8143,240.03957,320.01324,83.84724,273.07877,229.73776,95.22593
143,1.183,344.60327,303.17749,280.83408,239.98648,320.38251,83.6854,272.84689,229.68269,95.11259
144,1.192,344.65234,303.97787,280.94006,239.68437,320.72397,83.54002,272.94962,230.2462,95.2091
145,1.2,344.55893,303.96902,281.02606,239.81853,320.87924,83.56079,273.26935,230.85448,95.38835
146,1.208,344.75662,304.20648,281.05276,239.74751,320.80591,83.44518,273.26935,230.85448,95.38835
147,1.217,344.89886,304.92935,280.97665,239.74751,320.80591,83.44518,273.26935,230.85448,95.38835
148,1.225,343.78561,305.60211,280.92941,239.64742,320.83591,83.5144,273.23416,231.18694,95.29279
149,1.233,343.92566,306.06049,281.05225,239.12239,321.23254,83.84457,273.13297,231.73779,95.59905
150,1.242,344.0163,306.48721,281.1026,238.88693,321.33929,83.422,272.52509,232.07635,95.82028
151,1.25,343.84799,306.62363,281.11514,238.71449,321.64273,83.1825,272.48044,232.43794,95.87419
152,1.258,343.79086,307.13214,281.05865,238.76393,321.76053,83.25548,272.69702,232.89326,95.9015
153,1.267,343.87042,307.3606,282.02814,238.76393,321.76053,83.25548,272.50565,232.96165,96.23793
154,1.275,344.90594,309.55054,282.09735,238.60745,321.67761,83.10679,272.50565,232.96165,96.23793
155,1.283,344.73172,309.60327,282.00082,238.60745,321.67761,83.10679,272.50565,232.96165,96.23793
156,1.292,343.60782,307.73886,281.95566,238.60745,321.67761,83.10679,272.35495,232.57576,96.31962
157,1.3,343.48309,307.32489,282.22714,238.45544,321.50076,83.09278,272.35495,232.57576,96.31962
158,1.308,343.55963,306.88226,281.26114,238.56248,321.46588,83.1685,272.37787,232.37103,95.65965
159,1.317,343.63712,306.14978,281.40659,238.7058,321.12585,83.2326,272.48062,232.13005,95.56246
160,1.325,343.34753,305.59546,282.10678,238.7699,320.97818,83.41012,272.56479,231.55528,95.18855
161,1.333,343.15665,304.88107,282.07401,238.89476,320.58087,83.37571,272.15515,231.0061,95.11115
162,1.342,343.66339,303.7778,282.21677,239.35912,320.47104,83.47231,272.82651,230.52151,94.9487
163,1.35,343.66339,303.7778,282.21677,239.54192,320.01071,83.41151,272.84689,229.68269,95.11259
164,1.358,344.33273,302.62631,281.18073,239.89415,319.41226,83.54389,272.99179,229.53824,95.06293
165,1.367,344.7341,302.19302,281.09695,240.07433,319.04382,83.64961,273.10709,229.20926,94.81924
166,1.375,345.20007,301.43045,281.14865,239.99994,318.68622,83.75571,272.87131,228.71208,94.77049
167,1.383,345.24905,300.56943,281.15948,240.19829,318.42307,83.72829,272.87131,228.71208,94.77049
168,1.392,345.77789,299.85562,280.88388,240.32397,318.43741,83.72086,272.87131,228.71208,94.77049
169,1.4,346.02078,299.75955,280.80719,240.40762,318.52847,83.80176,272.97632,228.66571,94.66834
170,1.408,346.04581,299.56351,280.71298,240.58055,318.8317,84.02933,272.87131,228.71208,94.77049
171,1.417,346.36102,300.19998,280.36008,240.51764,318.65915,83.77811,272.87131,228.71208,94.77049
172,1.425,346.39343,300.27127,280.22482,240.51764,318.65915,83.77811,272.87131,228.71208,94.77049
173,1.433,347.24237,300.15051,280.83325,240.38216,319.09479,84.05673,272.87131,228.71208,94.77049
174,1.442,347.23569,300.8761,280.96326,240.57671,319.71506,84.09765,273.10709,229.20926,94.81924
175,1.45,347.5799,302.02481,280.76245,240.41939,319.92041,83.92165,273.15515,229.3297,95.16768
176,1.458,347.53177,302.22159,280.72189,240.31831,320.33881,83.85395,273.21127,229.56479,95.15299
177,1.467,346.49789,303.04144,280.24515,239.84148,320.37033,83.62737,273.07877,229.73776,95.22593
178,1.475,346.52524,303.67709,280.37531,239.79753,320.69745,83.64888,273.03995,230.3029,95.45384
179,1.483,344.86176,304.66891,279.8176,239.95782,321.04208,83.56413,273.41571,230.7413,95.66019
180,1.492,345.68198,305.58694,281.13751,239.80956,321.35748,83.92493,272.79477,232.0722,95.71828
181,1.5,344.79004,306.79944,281.00314,239.04495,321.83746,83.54537,272.59097,232.14577,95.92931
182,1.508,344.32089,306.96826,280.87561,238.9447,321.84323,83.33732,272.35495,232.57576,96.31962
183,1.517,344.3306,307.6377,280.76089,238.64862,321.98996,83.5936,272.35495,232.57576,96.31962
184,1.525,345.3233,309.5694,281.85718,238.59723,322.09164,83.68678,272.54282,233.07013,96.6166
185,1.533,344.78818,309.72504,281.93375,238.48091,322.07257,83.61797,271.70392,233.22263,96.71056
186,1.542,344.63547,309.78513,281.8244,238.59723,322.09164,83.68678,271.70392,233.22263,96.71056
187,1.55,344.57455,309.73071,282.08633,238.50502,322.08749,83.76376,271.70392,233.22263,96.71056
188,1.558,344.39484,309.48618,282.20163,238.50502,322.08749,83.76376,272.78189,233.24358,96.64734
189,1.567,344.33139,309.57474,282.32309,238.3887,322.06839,83.69495,272.08652,233.14072,96.60332
190,1.575,343.22366,307.53119,282.18002,238.64862,321.98996,83.5936,272.35495,232.57576,96.31962
191,1.583,343.38824,307.4808,282.30948,238.66553,321.75073,83.45757,272.34708,232.52754,96.06304
192,1.592,343.43616,307.28369,282.34982,238.46875,321.36075,83.52599,272.35641,232.24794,95.80844
193,1.6,343.32657,304.80002,281.49829,238.74641,320.79736,83.47928,272.52509,232.07635,95.82028
194,1.608,343.38834,305.0376,282.31931,238.81055,320.64963,83.65681,272.32941,231.06528,95.59897
195,1.617,343.14035,305.23392,282.22339,239.26703,320.35577,83.805,272.97061,230.52464,95.48723
196,1.625,343.17419,304.80826,282.10147,239.37288,320.18198,83.78709,272.80801,230.24785,95.34048
197,1.633,343.6788,303.78094,282.08914,240.03957,320.01324,83.84724,273.08209,229.59494,95.30769
198,1.642,343.89438,303.14139,281.45023,240.03311,319.47696,84.06599,273.02502,229.3615,94.89457
199,1.65,344.18423,302.31622,281.09097,240.21358,319.03732,84.12853,273.10709,229.20926,94.81924
200,1.658,345.09119,301.90106,281.10718,240.22154,318.73026,84.10023,272.87131,228.71208,94.77049
201,1.667,345.20465,301.52808,280.98944,240.10936,318.59631,84.13256,272.87131,228.71208,94.77049
202,1.675,345.7951,301.2782,280.50031,240.3609,318.49979,84.10317,272.87131,228.71208,94.77049
203,1.683,346.06119,301.32813,280.4957,240.3075,318.7746,84.25095,272.87131,228.71208,94.77049
204,1.692,346.41925,301.94562,280.45151,240.63837,318.91101,84.18546,272.87131,228.71208,94.77049
205,1.7,346.4935,302.15033,280.3942,240.54823,319.49863,84.00507,273.10709,229.20926,94.81924
206,1.708,346.49789,303.04144,280.24515,240.53482,320.31372,83.94802,273.02502,229.3615,94.89457
207,1.717,346.31464,303.20657,280.35208,240.39929,320.5834,83.85492,273.21127,229.56479,95.15299
208,1.725,346.25943,303.62738,280.37994,240.05656,320.77017,83.64909,272.75348,229.85886,95.19125
209,1.733,345.50284,304.37201,280.84344,239.8996,320.98279,83.45919,272.94962,230.2462,95.2091
210,1.742,345.29053,304.36612,280.79181,239.87062,320.94623,83.28377,273.22495,230.9082,95.13047
211,1.75,345.54169,305.38989,280.87985,239.70952,321.10245,83.53759,273.22559,231.5614,95.52045
212,1.758,344.36923,305.90024,280.94458,239.60942,321.13248,83.6068,272.95364,231.81071,95.8269
213,1.767,344.34131,306.74438,280.9646,238.9729,321.47046,83.10669,272.52509,232.07635,95.82028
214,1.775,344.09219,307.3949,280.90439,238.76393,321.76053,83.25548,272.35495,232.57576,96.31962
215,1.783,344.96237,309.6723,282.03027,238.59052,321.91681,83.24283,272.04941,233.03227,96.22465
216,1.792,344.92419,309.8591,281.87357,238.53912,322.01852,83.33601,271.51544,233.11664,96.77925
217,1.8,341.92349,311.74329,281.43631,238.33664,322.01959,83.2504,271.88071,233.45683,97.00574
218,1.808,341.37326,312.42804,281.93829,238.10582,322.16489,83.06175,271.80472,233.52625,97.08824
219,1.817,340.97501,312.483,282.10458,237.78897,322.15234,83.28841,271.75449,233.29007,96.81002
220,1.825,340.97427,311.85989,282.06201,237.78897,322.15234,83.28841,271.51544,233.11664,96.77925
221,1.833,339.68283,309.51144,281.68927,238.04764,322.06772,83.47909,271.51544,233.11664,96.77925
222,1.842,340.14246,309.32602,281.49399,238.32997,321.72287,83.14046,272.50565,232.96165,96.23793
223,1.85,340.59818,308.9606,281.76859,238.45544,321.50076,83.09278,272.35495,232.57576,96.31962
224,1.858,343.67014,305.3472,281.56833,238.59795,321.28976,83.15361,272.59097,232.14577,95.92931
225,1.867,343.5722,306.19662,282.28812,238.58606,320.87366,83.32806,272.26831,231.80522,95.4782
226,1.875,343.40237,305.6908,282.36331,238.89476,320.58087,83.37571,273.07233,231.14186,95.25832
227,1.883,343.61063,304.23807,282.30521,239.26477,320.35727,83.59283,273.05844,230.57658,95.06207
228,1.892,343.66339,303.7778,282.21677,239.82729,319.81741,83.79028,272.99179,229.53824,95.06293
229,1.9,344.32898,302.60147,281.34567,239.95245,318.73032,83.66196,272.78198,228.65376,94.95358
230,1.908,344.85773,301.39743,281.62363,240.06015,318.44089,83.96322,272.87131,228.71208,94.77049
231,1.917,345.16043,300.66205,281.19812,240.1523,318.14389,84.16825,272.97632,228.66571,94.66834
232,1.925,345.97415,299.62485,280.90485,240.59068,318.02545,84.15944,272.9201,228.43066,94.68305
233,1.933,345.57956,300.22873,280.24103,240.84821,318.22144,84.24468,272.82297,228.22371,94.71825
234,1.942,345.71863,300.05469,280.08868,241.04193,318.44321,84.30194,272.82297,228.22371,94.71825
235,1.95,346.31061,299.79077,280.42148,241.04193,318.44321,84.30194,272.82297,228.22371,94.71825
236,1.958,346.3945,299.81421,280.42654,241.04193,318.44321,84.30194,273.13281,228.14124,94.54986
237,1.967,346.55035,300.08136,280.10901,241.02585,318.33609,84.21104,273.13281,228.14124,94.54986
238,1.975,347.14047,299.39734,280.68945,241.07373,318.59607,84.22305,272.87131,228.71208,94.77049
239,1.983,347.26733,299.95456,280.73907,240.95047,318.84451,84.23299,272.87131,228.71208,94.77049
240,1.992,347.39346,300.09265,280.64502,240.68169,319.56018,84.18887,273.14099,228.71765,94.86304
241,2,347.60727,301.61172,280.78516,240.66513,320.32529,83.94273,273.01776,229.15092,95.0023
242,2.008,346.98615,302.72311,280.30505,240.37831,320.40158,83.94302,273.07877,229.73776,95.22593
243,2.017,346.88525,303.70999,280.25574,240.08481,321.00809,83.63846,273.03995,230.3029,95.45384
244,2.025,346.7027,304.13266,280.25027,239.95782,321.04208,83.56413,273.41571,230.7413,95.66019
245,2.033,346.31473,304.93945,280.88892,239.73853,321.13904,83.71301,273.0148,231.1459,95.63285
246,2.042,345.77783,305.73688,281.13049,239.39316,321.47018,83.66932,272.52429,231.87105,96.14149
247,2.05,344.88342,306.80823,280.91714,239.04495,321.83746,83.54537,272.71497,232.3358,95.99507
248,2.058,344.57608,307.5921,280.77435,238.97368,321.87979,83.51271,272.35495,232.57576,96.31962
249,2.067,345.60785,309.60382,280.96484,238.84673,321.91382,83.43838,272.63187,233.12837,96.43368
250,2.075,345.60785,309.60382,280.96484,238.61964,321.9534,83.41822,272.54282,233.07013,96.6166
