Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
27,0.217,334.27057,412.53418,675.90271,347.25775,361.56235,670.17694,387.87793,357.27975,661.95685,421.95819,331.18652,656.1319,405.08539,417.10907,635.16553,446.92111,420.31274,597.24121,478.56915,427.46283,559.98975
28,0.225,331.54282,419.67453,678.29138,345.5459,368.30316,672.46753,386.42773,365.79944,661.86346,420.91599,341.3233,655.78821,404.32104,423.74777,637.81702,444.69373,429.9227,598.76465,476.10287,439.44229,562.99872
29,0.233,330.01053,426.62146,681.70282,344.32874,376.26932,675.51447,385.17487,375.48312,662.5318,420.78262,350.68774,659.1507,401.87473,434.56094,640.43396,442.87906,441.71054,603.2984,473.97308,449.77466,566.34235
30,0.242,327.50009,434.18475,683.68665,344.3241,383.88098,677.86914,384.82935,383.72015,668.36414,420.67209,359.5513,662.27631,399.40631,444.06516,643.32336,441.1799,450.4892,606.22595,471.86084,460.38815,569.40344
31,0.25,325.77972,441.5647,687.32996,342.31464,391.70459,680.55499,384.25577,391.72894,671.29321,420.00159,368.01642,665.41248,397.07648,453.0192,646.4975,439.23615,460.73233,610.30969,469.72113,470.76743,573.02881
32,0.258,323.15372,449.42938,689.5603,341.0719,399.07739,683.0755,382.45432,399.97772,672.38177,418.07285,376.69324,667.52338,394.80402,460.34113,650.21802,436.63638,469.44717,613.2135,467.70322,481.55429,576.72388
33,0.267,321.08374,456.38409,692.89294,340.83896,408.30106,685.78156,381.69611,408.0347,676.82898,418.84671,386.58197,671.79572,392.90146,469.9028,653.62183,434.22415,479.76471,617.72595,465.79776,491.74274,580.36005
34,0.275,319.16458,463.43286,696.76709,339.36942,415.42194,689.40656,381.02438,416.45108,680.7793,418.56607,395.59979,675.5481,391.4722,478.59348,657.87793,432.70721,487.93176,620.61346,464.02466,501.16339,584.6275
35,0.283,317.80212,470.23697,700.36383,337.85754,421.52585,693.22754,380.207,426.05267,684.79224,418.06302,404.10995,679.50385,389.2356,487.4397,661.55066,430.14825,499.02744,625.56067,461.8002,512.62402,589.59998
36,0.292,315.78708,477.30591,703.81152,337.49695,428.07568,696.2525,378.05338,432.17053,686.91302,415.85461,410.79852,684.07745,388.3342,494.28317,666.10199,428.56296,507.90543,630.53143,459.82916,522.36536,594.21179
37,0.3,313.25394,483.83524,706.32605,335.73615,436.79733,700.81653,378.79788,442.22098,691.03711,416.36145,421.99112,687.55048,385.86288,501.88257,670.81946,426.77896,516.9079,634.45264,458.16403,531.97961,599.11328
38,0.308,311.70291,492.30005,711.4776,336.07077,442.57278,705.3504,377.60468,449.69052,695.81165,416.44275,430.27606,692.62122,384.36963,510.69122,675.82996,425.03622,525.68091,640.02771,456.63715,541.62164,604.56201
39,0.317,310.38232,497.01569,716.10828,334.4407,450.79297,708.92322,375.43585,459.16153,701.93097,415.36469,438.79984,697.47839,382.5553,518.40997,679.74872,422.94006,533.24603,644.64801,454.14505,551.77795,610.94104
40,0.325,309.01846,503.58411,720.8432,334.48145,460.28812,713.82672,375.138,464.86526,706.39478,416.15784,446.69171,703.63092,381.01862,526.16016,685.00629,422.09079,542.90106,650.13,452.59219,560.55066,616.26971
