Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z
1,0,1536.15308,529.62567,948.46539
2,0.008,1528.42615,531.51178,946.64801
3,0.017,1519.1593,531.00952,946.0752
4,0.025,1513.26135,533.6983,947.63196
5,0.033,1509.38733,531.37427,946.92249
6,0.042,1501.53528,531.24506,945.30664
7,0.05,1492.91113,532.20288,945.91003
8,0.058,1482.6969,531.31567,944.61237
9,0.067,1482.6344,531.30151,940.43817
10,0.075,1475.2876,532.56482,941.06616
11,0.083,1468.47827,533.45966,938.70361
12,0.092,1461.22693,534.93854,938.00012
13,0.1,1455.40442,534.25098,936.21136
14,0.108,1452.03333,535.50372,935.72314
15,0.117,1440.94324,533.92078,933.97296
16,0.125,1435.43823,536.27106,933.1275
17,0.133,1427.99646,537.73889,932.17188
18,0.142,1425.21423,536.00757,928.0072
19,0.15,1423.14685,541.67975,926.5921
20,0.158,1412.24475,539.38556,925.14014
21,0.167,1400.17566,536.62244,924.05225
22,0.175,1396.08154,541.07092,922.90234
23,0.183,1388.0957,540.91632,919.95135
24,0.192,1378.22607,539.38727,919.13324
25,0.2,1370.07275,539.5697,916.16101
26,0.208,1361.4989,539.30359,915.01996
27,0.217,1352.90808,540.62225,913.59686
28,0.225,1345.58191,540.81805,912.83899
29,0.233,1337.60962,541.51294,911.98065
30,0.242,1328.86743,541.17987,911.16278
31,0.25,1320.99817,540.8194,908.75488
32,0.258,1312.10925,540.88928,906.44244
33,0.267,1304.2439,541.01129,905.0871
34,0.275,1295.98547,544.12164,904.58679
35,0.283,1286.13403,542.55188,904.37067
36,0.292,1278.22949,545.80878,903.67487
37,0.3,1268.2262,548.67328,905.47827
38,0.308,1258.45764,546.15826,901.90857
39,0.317,1251.28882,547.17133,901.39337
40,0.325,1242.3877,546.34949,900.69678
41,0.333,1233.79932,546.72693,901.40729
42,0.342,1222.21802,546.87366,901.16467
43,0.35,1216.06262,549.83691,901.08453
44,0.358,1204.76294,547.91589,901.20239
45,0.367,1197.24353,551.6109,901.63525
46,0.375,1187.16028,548.9184,900.80933
47,0.383,1179.76624,550.59259,903.09747
48,0.392,1170.92712,549.07959,904.05389
49,0.4,1163.47327,551.25671,905.62225
50,0.408,1152.1283,549.79401,905.4184
51,0.417,1144.46973,552.36261,906.88116
52,0.425,1134.50317,550.72382,907.02478
53,0.433,1128.11316,550.65924,909.40717
54,0.442,1118.37598,550.43085,910.51849
55,0.45,1107.90393,551.49182,912.07172
56,0.458,1100.01172,550.81903,911.80811
57,0.467,1091.96057,550.78888,914.12207
58,0.475,1083.18286,551.65668,916.56854
59,0.483,1073.26086,550.33881,916.86023
60,0.492,1064.22803,552.30005,918.0697
61,0.5,1054.70898,550.69226,918.20209
62,0.508,1047.17444,549.98615,920.05371
63,0.517,1038.51636,550.31628,921.09039
64,0.525,1028.50879,550.95007,923.12616
65,0.533,1020.83649,551.35638,922.7995
66,0.542,1011.72931,554.71936,926.15204
67,0.55,1002.35065,553.12866,925.59363
68,0.558,993.79248,550.20801,927.35339
69,0.567,985.39038,551.11212,929.32526
70,0.575,975.03723,552.14752,929.29205
71,0.583,967.67432,552.18622,929.60992
72,0.592,959.05981,551.36176,930.17419
73,0.6,948.12061,551.18506,931.65747
74,0.608,941.92493,552.65631,932.62659
75,0.617,931.64014,550.68274,932.15643
76,0.625,924.35114,552.31976,934.16956
77,0.633,915.59906,552.09851,934.93109
78,0.642,905.15308,551.1377,935.35016
79,0.65,898.62103,552.7785,935.61121
80,0.658,888.04889,551.31232,935.54358
81,0.667,880.93445,551.68677,936.64923
82,0.675,872.20691,551.37402,935.71942
83,0.683,862.99817,549.17096,935.31146
84,0.692,853.66693,551.11609,936.91101
85,0.7,845.83551,550.35962,935.84479
86,0.708,834.66083,549.88635,934.79071
87,0.717,828.22968,550.74847,935.18573
88,0.725,817.31226,550.19116,933.75781
89,0.733,809.41766,549.81012,933.73413
90,0.742,798.82977,549.3606,934.89594
91,0.75,791.31274,548.99945,933.67169
92,0.758,782.87079,551.35278,934.0592
93,0.767,772.55853,552.41388,932.50275
94,0.775,763.1748,549.27545,931.79651
95,0.783,756.15796,550.27234,931.08685
96,0.792,745.53308,549.99536,931.93439
97,0.8,735.69037,548.93701,930.33264
98,0.808,727.75372,550.66241,930.45294
99,0.817,720.03259,550.23053,929.18231
100,0.825,710.80249,550.6012,929.71063
101,0.833,700.87048,552.31512,928.49188
102,0.842,691.57874,550.18439,927.3645
103,0.85,684.71136,552.43286,927.85797
104,0.858,674.9173,551.51959,927.73541
105,0.867,665.16663,551.13904,927.08533
106,0.875,656.52393,552.05914,925.27393
107,0.883,649.21613,556.06067,926.40662
108,0.892,638.90839,553.4024,926.58801
109,0.9,631.6687,553.90106,926.08795
110,0.908,621.79523,552.05975,926.8172
111,0.917,613.89783,555.99908,926.03461
112,0.925,605.45496,553.46875,926.24042
113,0.933,594.79053,552.29279,925.59723
114,0.942,588.46912,552.87561,925.34064
115,0.95,578.6662,554.32074,925.40869
116,0.958,569.49493,552.32483,926.28064
117,0.967,563.31726,554.91229,927.21906
118,0.975,553.48059,554.2699,927.11029
119,0.983,545.90881,554.78784,928.86145
120,0.992,538.64777,554.84338,930.93256
121,1,530.33563,553.31165,929.8891
122,1.008,525.11298,554.97266,931.31073
123,1.017,516.58929,554,931.74109
124,1.025,507.55319,553.37244,932.94934
125,1.033,500.52585,556.50769,934.36096
126,1.042,492.81546,555.38922,936.229
127,1.05,486.65262,557.25519,936.57312
128,1.058,479.31219,556.37335,936.13489
129,1.067,472.79675,556.4527,937.20251
130,1.075,465.25708,554.85126,937.82806
131,1.083,458.91684,556.29614,939.45575
132,1.092,451.84702,556.58759,938.60736
133,1.1,446.34814,556.73907,938.79413
134,1.108,439.00314,557.48956,938.89233
135,1.117,433.06546,557.75293,938.84442
136,1.125,425.75873,556.31189,938.47681
137,1.133,418.59943,558.81879,940.25641
138,1.142,413.81235,562.69342,941.18591
139,1.15,404.18317,561.37799,940.68237
140,1.158,399.71582,563.19556,941.18787
141,1.167,392.14429,561.23718,941.604
142,1.175,387.22769,563.03589,941.21094
143,1.183,378.97665,562.52856,940.95258
144,1.192,373.1232,563.08008,941.90186
145,1.2,365.983,563.7923,942.12927
146,1.208,360.9902,565.27899,941.91058
147,1.217,353.86362,564.15771,941.2486
148,1.225,348.17624,564.89276,940.24933
149,1.233,340.81757,562.94208,940.10345
150,1.242,333.1254,567.43683,939.15558
151,1.25,324.35553,568.03235,939.21643
152,1.258,318.94348,568.82233,938.38489
153,1.267,311.65634,566.88599,938.24475
154,1.275,307.01361,568.61517,938.14551
155,1.283,299.19962,567.58472,936.95801
156,1.292,293.24158,569.22125,936.62836
157,1.3,284.34741,569.74689,934.19287
158,1.308,276.06177,570.59668,934.91693
159,1.317,270.23325,570.41864,933.92194
160,1.325,263.20157,569.78351,931.95929
161,1.333,256.27646,572.21838,931.61975
162,1.342,247.52989,573.40717,930.09747
163,1.35,241.79826,573.93707,929.41309
164,1.358,234.17627,572.40686,928.28546
165,1.367,227.10925,572.53296,925.8092
166,1.375,218.43036,576.3252,924.90704
167,1.383,210.09674,574.63123,922.98291
168,1.392,205.54604,576.25763,921.97162
169,1.4,194.34232,576.92114,921.13354
170,1.408,187.62318,576.31036,920.09155
171,1.417,180.24367,577.4693,918.99133
172,1.425,170.60657,578.0025,917.49945
173,1.433,165.22145,580.26294,916.90076
174,1.442,155.82672,578.92053,915.11725
175,1.45,147.51082,577.72021,913.84833
176,1.458,139.76855,580.84674,911.66858
177,1.467,130.78873,582.9068,910.86688
178,1.475,122.56373,581.06744,910.21155
179,1.483,112.76584,581.89886,909.48352
180,1.492,104.69308,582.03821,909.16705
181,1.5,95.47543,583.26715,908.81787
182,1.508,87.67714,582.79633,907.61206
183,1.517,78.01043,583.18243,906.4624
184,1.525,69.5789,585.50244,908.03058
185,1.533,60.82605,586.30249,908.2478
186,1.542,52.38642,584.94568,906.65302
187,1.55,41.90975,585.18158,906.53247
188,1.558,31.74979,588.16614,906.18518
189,1.567,24.06308,586.83942,906.22217
190,1.575,13.64053,587.8432,905.57721
191,1.583,6.63611,587.30042,905.53357
192,1.592,-4.56094,587.36829,907.35822
193,1.6,-14.21051,590.37476,907.28906
194,1.608,-22.49347,587.88947,907.13892
195,1.617,-32.64026,588.62463,907.66235
196,1.625,-42.12855,590.12054,908.84308
197,1.633,-52.31466,589.01825,909.94843
198,1.642,-62.3876,589.76965,910.47241
199,1.65,-72.31879,589.40717,911.12445
200,1.658,-83.98607,590.06927,911.88519
201,1.667,-92.48581,589.26984,913.27832
202,1.675,-104.07858,589.71198,913.67822
203,1.683,-114.44799,589.53284,914.73651
204,1.692,-125.26647,590.04761,915.13641
205,1.7,-134.15175,589.29395,915.85345
206,1.708,-145.17043,590.401,916.48596
207,1.717,-155.08875,590.12714,917.22235
208,1.725,-166.38457,590.11139,917.35828
209,1.733,-177.5145,590.03601,917.31384
210,1.742,-188.60545,589.56531,918.78424
211,1.75,-200.00392,589.81567,918.72443
