Frame#,Time,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z
1,0,1780.99683,463.82291,1293.50098,1666.6532,626.27216,1260.75598
2,0.008,1773.90991,463.44687,1294.01318,1659.73193,627.49536,1260.4082
3,0.017,1767.64014,462.15076,1292.78577,1655.62073,626.10577,1260.1842
4,0.025,1760.57129,462.367,1292.82507,1648.29321,626.40625,1259.27087
5,0.033,1752.94507,462.36566,1291.94653,1639.49646,626.80756,1258.50903
6,0.042,1746.42468,462.91852,1290.69751,1636.39697,625.60596,1258.3103
7,0.05,1739.58984,462.40826,1291.01257,1627.44153,625.11145,1257.51782
8,0.058,1731.82471,461.44479,1289.96106,1620.22864,626.17236,1257.25122
9,0.067,1724.19275,461.5903,1289.0863,1615.8595,624.85986,1256.39575
10,0.075,1716.71313,461.31143,1288.29321,1608.77673,625.41028,1254.84998
11,0.083,1709.89355,461.42722,1286.57751,1601.63635,626.39441,1254.51746
12,0.092,1702.36011,461.97971,1286.34009,1595.25012,627.83679,1253.4884
13,0.1,1694.47681,462.56094,1285.28564,1587.9834,624.70148,1252.51843
14,0.108,1687.0083,462.83618,1284.03674,1580.97656,625.38007,1251.80469
15,0.117,1680.13074,462.97855,1282.97388,1573.43274,625.60364,1249.88904
16,0.125,1671.84058,462.49796,1281.74194,1566.48901,626.95575,1248.66113
17,0.133,1664.03174,462.60645,1280.4231,1560.26404,625.50867,1247.78577
18,0.142,1657.203,462.87814,1278.90735,1552.1814,625.10406,1246.92004
19,0.15,1649.01697,462.54327,1277.48438,1545.46057,626.68555,1245.71777
20,0.158,1641.4458,462.89395,1275.69849,1538.33777,627.41943,1244.69714
21,0.167,1632.93713,463.00385,1274.35474,1528.35242,626.72095,1242.90723
22,0.175,1625.10718,463.44534,1272.97046,1521.65161,628.46808,1241.36877
23,0.183,1616.96765,464.00125,1271.39868,1514.49158,629.51733,1239.94116
24,0.192,1608.83545,463.70724,1270.2478,1507.42078,626.69122,1238.26855
25,0.2,1600.81812,464.2962,1268.84277,1500.83044,628.66833,1237.17993
26,0.208,1592.42517,464.35852,1267.66589,1490.29578,627.55603,1235.92407
27,0.217,1584.1394,464.69363,1266.32141,1483.82898,628.83807,1234.58887
28,0.225,1576.15906,465.33084,1265.20532,1476.94641,630.73553,1233.07642
29,0.233,1568.08728,465.61392,1263.47266,1467.36255,629.14661,1231.11914
30,0.242,1558.58289,466.0773,1262.32434,1460.48865,630.7063,1230.49463
31,0.25,1550.08167,467.0119,1261.52466,1451.51099,632.36694,1228.43506
32,0.258,1542.13049,467.94357,1259.86157,1443.65247,632.37897,1227.71924
33,0.267,1531.86572,468.10031,1258.8031,1434.42725,632.83307,1226.46582
34,0.275,1523.2804,468.53244,1257.47937,1427.45435,633.56879,1224.46008
35,0.283,1514.78943,470.39178,1255.9906,1417.46338,633.98254,1224.87744
36,0.292,1505.46606,470.82892,1255.2937,1409.91309,634.95221,1224.32861
37,0.3,1496.06091,471.69672,1254.63684,1400.80151,635.52209,1222.67944
38,0.308,1487.22205,472.55518,1253.64612,1392.47217,636.24579,1222.50952
39,0.317,1477.93164,473.4184,1254.59741,1384.68799,639.00421,1221.92102
40,0.325,1469.96387,474.33334,1254.21191,1374.38501,637.78479,1221.27722
41,0.333,1460.37097,475.38885,1254.34888,1366.43945,639.5589,1220.53992
42,0.342,1450.32629,476.14389,1255.08044,1357.79309,639.22986,1220.58276
43,0.35,1441.29492,476.97449,1256.31104,1349.02527,640.54254,1220.72876
44,0.358,1433.40295,478.2579,1256.68689,1340.3999,641.63672,1221.10303
45,0.367,1422.55029,478.4621,1257.32861,1330.45313,643.37756,1222.11646
46,0.375,1414.50781,480.05823,1257.5658,1321.91821,643.26306,1222.70068
47,0.383,1405.67334,480.24429,1258.53442,1312.32727,642.92505,1223.25391
48,0.392,1396.57349,480.71951,1260.53076,1304.07556,644.73846,1223.2168
