Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,1631.82861,286.8465,1424.42212,1653.1344,550.13641,1429.38733,1700.18567,204.86508,1459.77393
2,0.008,1626.47266,287.49741,1424.39587,1655.65552,554.61707,1428.30457,1692.74597,205.20901,1459.1438
3,0.017,1618.39575,288.88638,1423.85889,1648.42017,554.29773,1428.89282,1685.27502,203.46378,1459.08032
4,0.025,1612.81897,286.38028,1423.78528,1641.58362,553.28351,1427.94043,1679.21106,204.59387,1460.03076
5,0.033,1603.44324,287.09976,1422.84094,1634.71008,554.06842,1428.21143,1670.03943,203.51036,1460.05664
6,0.042,1596.30969,286.74213,1422.32239,1627.33691,553.75372,1427.68884,1664.41174,204.52599,1459.59766
7,0.05,1588.65466,285.54861,1422.24707,1620.76172,553.13098,1427.71057,1652.08228,201.52895,1457.0481
8,0.058,1581.07654,287.88971,1420.71643,1612.64612,553.55713,1426.27344,1646.34216,201.77217,1456.62195
9,0.067,1572.4021,286.18198,1420.30811,1606.47168,553.22687,1424.83118,1638.67786,202.38977,1455.48022
10,0.075,1565.84546,285.94595,1419.78394,1599.17358,553.03833,1424.78394,1631.05286,202.0648,1455.93091
11,0.083,1558.08411,286.6059,1417.8927,1592.36816,553.61249,1423.63062,1624.01831,202.69786,1454.62537
12,0.092,1550.25098,286.97473,1416.9375,1584.12964,552.63721,1422.65491,1617.3562,202.31384,1453.03894
13,0.1,1544.00439,287.04495,1416.29858,1577.54297,552.85345,1421.07739,1611.12,203.25027,1451.6228
14,0.108,1534.6134,286.34122,1415.19507,1570.86072,553.61475,1419.69312,1601.50281,201.58383,1451.38843
15,0.117,1527.69727,288.43518,1413.73621,1562.93555,554.12659,1419.3938,1594.12781,203.04662,1450.2334
16,0.125,1519.83472,287.10684,1412.4259,1555.06226,554.10352,1418.89246,1583.71692,201.46057,1449.03503
17,0.133,1511.43018,286.62128,1410.96228,1548.46338,554.65143,1417.08655,1575.71545,202.94437,1447.51025
18,0.142,1504.51758,287.3576,1409.82874,1540.83228,554.80927,1415.69983,1568.56567,203.57451,1447.06677
19,0.15,1496.14868,288.05432,1408.50208,1533.97681,555.33228,1414.00952,1561.61267,202.79486,1445.86865
20,0.158,1488.30859,289.95056,1407.65918,1526.2937,555.52448,1412.20544,1555.56812,204.91714,1444.92383
21,0.167,1479.22278,289.15671,1405.4176,1517.09985,554.46814,1411.50793,1544.30762,202.4619,1442.90759
22,0.175,1471.93567,290.77124,1404.45459,1509.76721,555.41858,1410.02209,1536.67053,204.79385,1441.2373
23,0.183,1462.7854,290.23782,1403.48401,1502.6051,556.48804,1409.07764,1527.75354,204.15785,1439.94739
