Frame#,Time,L.Radius.x,L.Radius.y,L.Radius.z
1,0,1771.65747,323.96201,1414.29822
2,0.008,1763.38269,323.06558,1414.76697
3,0.017,1757.44836,323.34152,1414.30615
4,0.025,1750.17981,323.3327,1414.24084
5,0.033,1742.28674,323.13367,1413.82373
6,0.042,1734.53638,323.02032,1413.16797
7,0.05,1727.70947,323.35788,1412.6709
8,0.058,1721.25354,321.93127,1412.39783
9,0.067,1713.84082,322.30978,1410.96021
10,0.075,1705.17371,321.55344,1410.36633
11,0.083,1697.94739,321.31735,1409.00537
12,0.092,1690.83435,321.49762,1408.08008
13,0.1,1683.72876,322.16013,1406.42224
14,0.108,1675.70142,321.9978,1406.10583
15,0.117,1667.39636,321.81409,1404.87073
16,0.125,1660.1543,322.12781,1403.86768
17,0.133,1652.81812,322.89633,1402.52942
18,0.142,1644.98511,323.27884,1401.45483
19,0.15,1636.401,322.83261,1400.15906
20,0.158,1629.13599,323.01392,1399.59033
21,0.167,1621.15845,323.02744,1397.49573
22,0.175,1613.32446,323.44522,1396.76221
23,0.183,1604.7085,324.05688,1394.77637
24,0.192,1596.43213,323.65182,1394.36511
25,0.2,1587.93164,324.62894,1392.67822
26,0.208,1580.26819,325.08304,1391.43176
27,0.217,1571.58044,325.52594,1389.73584
28,0.225,1563.44739,325.9061,1389.7749
29,0.233,1554.41113,326.78934,1387.99304
30,0.242,1546.02649,327.22208,1386.98059
31,0.25,1537.76208,328.32266,1386.55212
32,0.258,1530.00476,329.20148,1385.96118
33,0.267,1520.26367,330.97485,1384.79028
34,0.275,1511.48706,331.16855,1383.75012
35,0.283,1503.21155,332.37524,1382.88135
36,0.292,1495.10278,334.15964,1382.46484
37,0.3,1485.13049,335.90955,1382.19885
38,0.308,1476.05493,337.51556,1381.48096
39,0.317,1467.48206,339.03241,1381.55103
40,0.325,1456.53906,339.99533,1382.48706
41,0.333,1448.19373,341.49783,1382.59094
42,0.342,1439.71692,342.62854,1383.63123
43,0.35,1429.54785,342.98907,1383.62915
44,0.358,1420.94897,345.21768,1385.15942
45,0.367,1411.76172,346.88882,1386.802
46,0.375,1403.26392,347.73688,1387.58728
47,0.383,1394.42371,349.164,1389.0238
48,0.392,1386.12659,350.05768,1390.67163
49,0.4,1378.05566,351.94662,1390.26514
50,0.408,1367.71582,351.66513,1391.51331
51,0.417,1360.14331,353.10901,1392.72827
52,0.425,1351.51697,354.15738,1393.58813
53,0.433,1343.82397,355.78421,1395.15918
54,0.442,1335.11987,356.72284,1396.40295
55,0.45,1328.07471,357.41238,1397.93604
56,0.458,1320.47607,358.37448,1398.73804
57,0.467,1312.67432,359.5246,1400.45044
58,0.475,1304.91211,359.97455,1401.59192
59,0.483,1295.79456,360.5838,1402.23157
60,0.492,1287.99976,361.28625,1403.43433
61,0.5,1280.35852,361.75934,1404.94104
62,0.508,1272.57312,362.13641,1406.26404
63,0.517,1264.10291,362.69824,1407.78943
64,0.525,1256.79175,363.59717,1408.34375
65,0.533,1248.13293,365.14517,1409.91187
66,0.542,1240.7052,365.13937,1410.88477
67,0.55,1233.54907,366.19211,1411.09692
68,0.558,1226.13062,366.60638,1411.46924
69,0.567,1217.45313,366.93332,1412.6842
70,0.575,1210.44946,367.77499,1413.42188
71,0.583,1202.6864,368.04767,1414.6543
72,0.592,1194.35999,368.74585,1415.02441
73,0.6,1186.54126,369.47662,1414.7616
74,0.608,1179.73022,370.09937,1414.89221
75,0.617,1171.74573,370.62039,1415.11926
76,0.625,1163.81787,371.27826,1415.25085
77,0.633,1156.3905,371.39471,1414.8501
78,0.642,1148.58167,371.8024,1414.52527
79,0.65,1142.62988,372.22226,1415.28882
80,0.658,1132.98022,373.32288,1413.72144
81,0.667,1125.43799,372.94046,1413.19971
82,0.675,1118.10474,373.96979,1412.15588
83,0.683,1109.9259,373.49948,1411.52698
84,0.692,1102.98523,374.21442,1410.6825
85,0.7,1094.13416,374.34897,1409.59802
86,0.708,1087.12305,374.53778,1409.54297
87,0.717,1078.16614,374.62451,1407.73132
88,0.725,1070.69836,373.97916,1407.3717
89,0.733,1062.20154,374.42194,1405.01367
90,0.742,1055.08887,373.54752,1403.95911
91,0.75,1046.96362,374.20605,1402.87048
92,0.758,1039.07202,373.18951,1401.18005
93,0.767,1030.4209,373.5528,1399.86145
94,0.775,1023.28833,373.18137,1398.65601
95,0.783,1015.1944,373.74683,1398.19495
96,0.792,1007.49622,373.00073,1396.47473
97,0.8,999.19012,372.37625,1395.32837
98,0.808,990.0202,372.61636,1393.92554
99,0.817,982.58551,371.88391,1393.57935
100,0.825,973.62421,372.38254,1391.81421
101,0.833,966.48956,371.12405,1390.96375
102,0.842,957.3125,371.25348,1390.1554
103,0.85,947.09796,370.14587,1388.97021
104,0.858,940.19257,370.32617,1387.98755
105,0.867,932.36066,369.59467,1387.85168
106,0.875,923.57892,368.87833,1386.97217
107,0.883,915.54596,367.92047,1385.40649
108,0.892,905.90295,368.44159,1385.10449
109,0.9,897.53821,366.35742,1383.88318
110,0.908,888.69464,366.06036,1383.42639
111,0.917,879.7276,364.6796,1383.15112
112,0.925,870.46667,364.60986,1383.91589
113,0.933,860.48926,363.35574,1384.00793
114,0.942,852.21436,363.1019,1385.15149
115,0.95,843.52576,362.233,1385.42969
116,0.958,834.521,362.40012,1386.11621
117,0.967,824.72369,360.90518,1386.47754
118,0.975,815.95984,360.40701,1387.33582
119,0.983,809.45544,360.0636,1388.26514
120,0.992,799.38818,361.6622,1391.2124
121,1,791.36798,360.63425,1391.69019
122,1.008,782.15607,360.70517,1393.07275
123,1.017,772.96033,360.47479,1392.37512
124,1.025,765.23663,358.90829,1393.93616
125,1.033,756.6347,359.49625,1394.76001
126,1.042,747.73828,359.53256,1396.21143
127,1.05,740.26752,359.27142,1398.85669
128,1.058,731.22815,359.23215,1398.2782
129,1.067,723.06281,357.22577,1399.8136
130,1.075,715.22205,358.36197,1400.50134
131,1.083,706.88837,356.22427,1402.79333
132,1.092,698.8017,357.67908,1403.94482
133,1.1,691.23761,356.11392,1405.55872
134,1.108,684.00763,356.41513,1406.46338
135,1.117,675.59674,355.8378,1407.61499
136,1.125,668.90564,354.99512,1409.48474
137,1.133,660.92114,354.737,1409.82373
138,1.142,652.70282,354.87,1411.6532
139,1.15,645.42749,354.92346,1411.0625
140,1.158,637.97028,354.34848,1411.9375
141,1.167,630.17932,353.41098,1412.85815
142,1.175,622.9715,354.58578,1414.95679
143,1.183,615.61493,353.68103,1414.80188
144,1.192,607.15515,354.01639,1416.34314
145,1.2,599.79657,354.04578,1415.79199
146,1.208,592.73004,353.33075,1415.65979
147,1.217,584.98822,353.25891,1416.68835
148,1.225,577.04315,351.57745,1416.55505
149,1.233,569.50354,352.88675,1416.52087
150,1.242,562.14038,351.95148,1416.31506
151,1.25,553.98438,352.85568,1416.38879
152,1.258,546.87878,352.42044,1416.35767
153,1.267,538.8692,351.01337,1415.59741
154,1.275,530.90228,352.15308,1414.26843
155,1.283,523.37299,351.77249,1413.69727
156,1.292,516.15765,351.88742,1412.95276
