Frame#,Time,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z
1,0,1731.81274,604.49896,1091.55664
2,0.008,1724.46301,604.28632,1091.95752
3,0.017,1717.82788,605.27301,1091.18835
4,0.025,1712.05896,604.98901,1090.89636
5,0.033,1706.3822,604.28259,1090.98242
6,0.042,1699.94946,604.67377,1090.79187
7,0.05,1693.18726,603.7757,1090.87439
8,0.058,1687.34106,603.56085,1089.60168
9,0.067,1681.03198,603.18744,1089.22754
10,0.075,1674.20288,603.38873,1088.51892
11,0.083,1667.79785,602.80927,1087.3313
12,0.092,1661.41711,602.65076,1085.93274
13,0.1,1654.71082,602.15637,1085.03894
14,0.108,1647.9126,602.54474,1084.25159
15,0.117,1641.01941,602.63385,1083.23535
16,0.125,1634.93054,602.52417,1082.08972
17,0.133,1626.78308,602.27295,1080.67224
18,0.142,1619.04602,601.35596,1080.24414
19,0.15,1611.19873,601.40594,1077.94653
20,0.158,1604.83545,601.013,1076.74438
21,0.167,1596.76038,601.40131,1074.77942
22,0.175,1588.61072,601.51379,1073.48413
23,0.183,1582.24316,601.42279,1071.6676
24,0.192,1574.22974,601.98138,1070.56006
25,0.2,1567.58081,601.96387,1069.8811
26,0.208,1558.61145,602.33698,1068.45203
27,0.217,1550.32129,602.10602,1066.8429
28,0.225,1543.04797,602.49805,1065.34583
29,0.233,1534.66492,602.3045,1064.4386
30,0.242,1526.53418,602.48584,1062.58557
31,0.25,1518.45496,602.57367,1061.82227
32,0.258,1509.5199,602.11267,1060.75073
33,0.267,1501.797,601.5238,1059.12061
34,0.275,1492.4845,601.34296,1058.88245
35,0.283,1484.13232,601.48572,1057.43237
36,0.292,1476.1908,601.68781,1056.09167
37,0.3,1468.09119,601.6756,1056.36316
38,0.308,1458.87244,601.41968,1054.7478
39,0.317,1449.54431,601.62457,1054.20654
40,0.325,1442.16406,602.21051,1054.77563
41,0.333,1431.86597,602.22528,1053.66846
42,0.342,1422.86169,602.84998,1054.09961
43,0.35,1413.6272,602.78186,1054.32422
44,0.358,1404.34375,602.52777,1055.02002
45,0.367,1396.06067,602.96802,1056.05566
46,0.375,1386.75513,603.36456,1056.84473
47,0.383,1376.64526,603.65228,1056.99829
48,0.392,1368.27307,604.36768,1057.87756
49,0.4,1358.13647,604.67474,1058.9939
50,0.408,1350.20044,605.50421,1060.14929
51,0.417,1342.09888,606.9212,1061.18469
52,0.425,1332.58374,608.67102,1061.63623
53,0.433,1323.40186,609.08917,1062.43469
54,0.442,1315.65417,610.27081,1063.81348
55,0.45,1306.0686,610.8537,1064.59399
56,0.458,1298.1554,612.74731,1064.90942
57,0.467,1288.57141,613.93622,1065.59363
58,0.475,1279.64417,614.78278,1066.52576
59,0.483,1270.86353,615.68494,1067.1449
60,0.492,1263.16846,616.95624,1067.89417
61,0.5,1254.80017,618.02924,1068.17041
62,0.508,1245.17432,619.42926,1069.11511
63,0.517,1235.43689,619.53442,1070.25256
64,0.525,1227.34814,621.04401,1071.53027
65,0.533,1218.53711,621.93231,1071.74158
66,0.542,1211.37476,621.35297,1071.93994
67,0.55,1203.07446,622.5965,1073.10437
68,0.558,1192.1991,623.31708,1074.3562
69,0.567,1184.12415,624.3598,1073.62769
70,0.575,1176.05896,624.26636,1073.89209
71,0.583,1168.54602,625.09515,1074.77869
72,0.592,1158.64795,625.82642,1074.98376
73,0.6,1151.37341,627.77594,1075.54883
74,0.608,1141.78821,627.03308,1075.62964
75,0.617,1132.92175,627.66986,1074.77222
76,0.625,1125.11072,629.27594,1074.98804
77,0.633,1115.5813,630.21899,1074.66992
78,0.642,1107.64233,630.77106,1074.74121
79,0.65,1100.21594,632.1731,1073.91553
80,0.658,1090.82092,632.45227,1073.32349
81,0.667,1082.52429,633.03534,1073.29187
82,0.675,1072.48694,634.12177,1071.4845
83,0.683,1064.46338,635.31281,1071.47656
84,0.692,1054.20654,635.2312,1070.97156
85,0.7,1046.26074,635.81299,1069.6405
86,0.708,1038.74353,636.22815,1068.68982
87,0.717,1029.74573,637.77655,1068.1814
88,0.725,1021.52911,637.77094,1065.32617
89,0.733,1012.83875,637.75482,1064.71997
90,0.742,1004.09058,637.94696,1063.32739
91,0.75,993.85181,640.19232,1063.68982
92,0.758,986.36816,638.91974,1062.23633
93,0.767,977.67798,638.68335,1060.8623
94,0.775,969.52307,638.90436,1060.08875
95,0.783,959.45245,640.93671,1060.55103
96,0.792,950.35571,640.78418,1059.24133
97,0.8,940.72284,638.49713,1058.12231
98,0.808,933.03082,638.02954,1057.36646
99,0.817,922.6427,641.22949,1057.92322
100,0.825,915.5567,638.34589,1056.5592
101,0.833,906.67841,638.11786,1055.93811
102,0.842,897.05731,640.45166,1057.76111
103,0.85,889.27002,637.7052,1055.70496
104,0.858,878.89972,640.44531,1056.52014
105,0.867,870.95587,639.87604,1055.56653
106,0.875,861.52563,639.50769,1055.06177
107,0.883,853.32953,639.77295,1055.56042
108,0.892,842.40393,639.05133,1055.10596
109,0.9,833.73401,639.1377,1054.61841
110,0.908,825.9093,639.41382,1056.93835
111,0.917,817.21008,638.91333,1057.47766
112,0.925,808.36163,637.90808,1056.5166
113,0.933,800.07678,637.96362,1057.61743
114,0.942,792.73456,637.21368,1058.97607
115,0.95,782.65405,636.11237,1059.04773
116,0.958,774.6048,635.07501,1062.10608
117,0.967,765.90356,635.11932,1063.80481
118,0.975,758.86932,632.92468,1063.03235
119,0.983,749.86682,633.05811,1067.11926
120,0.992,743.52325,631.40576,1068.07837
121,1,734.42169,632.89655,1067.90076
122,1.008,726.81793,631.33636,1068.54578
