Frame#,Time,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z
69,0.567,1202.83606,453.95444,1575.34558,992.8559,408.60974,1478.98608
70,0.575,1195.54102,453.7084,1575.29663,984.6792,408.08453,1479.10986
71,0.583,1186.85718,454.37057,1576.54773,976.60754,407.06836,1478.53674
72,0.592,1178.94434,455.51025,1576.65356,969.7453,407.76193,1479.77002
73,0.6,1170.45386,455.26721,1576.68066,961.61597,407.23169,1479.87646
74,0.608,1163.3717,456.69763,1577.04541,955.16223,409.1958,1480.26697
75,0.617,1155.48865,457.12692,1577.20496,946.87952,408.63937,1480.18604
76,0.625,1147.66577,457.84662,1576.73083,939.02167,408.48752,1479.4812
77,0.633,1139.53015,458.61536,1577.62488,931.74146,407.78998,1479.56006
78,0.642,1132.07458,458.26059,1576.66528,925.1084,409.48557,1479.12402
79,0.65,1124.42932,459.46674,1576.60315,917.51263,408.15707,1478.02808
80,0.658,1115.55396,460.6543,1576.33459,909.80084,409.48416,1477.97766
81,0.667,1107.87183,460.5383,1574.81018,901.88269,407.91098,1476.57666
82,0.675,1100.33801,460.74857,1574.45178,894.83929,409.06638,1475.23401
83,0.683,1092.99097,461.50787,1574.59741,887.58307,408.24228,1475.14734
84,0.692,1084.77917,460.82382,1573.36548,880.92181,408.85922,1474.08557
85,0.7,1076.28845,462.46866,1572.71484,872.33636,407.61105,1472.10767
86,0.708,1068.68079,461.78522,1571.6449,864.02307,406.86414,1472.43201
87,0.717,1061.09167,461.49249,1570.90637,856.90063,406.00909,1471.39575
88,0.725,1052.422,461.34546,1570.09583,847.93335,406.59183,1470.50623
89,0.733,1044.94299,461.49173,1567.80957,840.54077,410.09485,1469.11731
90,0.742,1036.74463,461.11349,1568.06763,832.05371,407.68442,1468.53308
91,0.75,1029.01111,461.23181,1567.00964,825.08777,405.61728,1468.16431
92,0.758,1021.76294,460.83755,1566.18738,817.18085,405.78275,1466.68994
93,0.767,1013.45959,460.23041,1565.17725,808.64911,405.52371,1466.13306
94,0.775,1005.96729,458.8949,1563.5636,802.44958,406.93185,1464.17334
95,0.783,996.8952,459.74835,1562.65015,793.96094,405.45819,1464.00623
96,0.792,989.1416,458.30508,1561.07703,785.93158,404.31604,1462.11633
97,0.8,980.85901,457.92197,1560.58655,777.30432,404.01892,1460.37683
98,0.808,973.16571,457.85834,1559.75,770.45233,402.70303,1460.71606
99,0.817,965.40662,456.30026,1559.19263,763.20563,402.91754,1460.07739
100,0.825,958.17285,455.95242,1558.71057,754.92633,402.15378,1459.89172
101,0.833,948.9455,455.38318,1557.854,745.41943,402.53198,1459.0481
102,0.842,940.25256,455.53104,1557.21008,736.46021,399.81027,1457.81543
103,0.85,931.7832,454.40826,1556.33167,728.42523,398.36008,1457.43726
104,0.858,924.2951,452.47418,1556.32361,719.61084,399.76413,1458.4281
105,0.867,915.76691,452.24976,1555.33215,712.01611,397.75018,1456.37341
106,0.875,907.43146,451.86316,1554.72058,703.80463,395.823,1456.05029
107,0.883,899.47723,450.13882,1554.43433,695.86725,396.69455,1455.93213
108,0.892,890.21484,450.0119,1553.70471,687.29871,395.63516,1454.86328
109,0.9,881.88812,448.28061,1554.42798,678.59595,392.75775,1455.80615
110,0.908,873.28204,446.82294,1553.6687,669.36884,392.70831,1456.81934
111,0.917,865.05566,446.99728,1553.53809,660.79047,389.52679,1456.22546
112,0.925,856.64355,445.2471,1553.4873,652.11749,392.07471,1456.59753
113,0.933,847.76837,443.28217,1553.68298,643.36328,390.76962,1456.57202
114,0.942,838.39606,443.41135,1554.0033,634.23181,388.66763,1458.32019
115,0.95,830.51154,441.40323,1554.06726,624.72198,388.24359,1459.50159
116,0.958,821.69287,439.89883,1554.91187,616.22803,388.72476,1460.20374
117,0.967,812.8399,439.16486,1555.09229,607.30945,388.26648,1461.73938
118,0.975,804.14624,438.72021,1555.00232,598.45239,387.1731,1462.69653
119,0.983,795.6662,438.03009,1556.92139,588.67633,387.38901,1464.38696
120,0.992,787.02472,437.97903,1557.47583,580.46899,385.47137,1465.02161
121,1,778.3277,436.26669,1558.16138,571.03143,384.71323,1465.61523
122,1.008,769.58258,436.1629,1559.37451,562.57129,383.5748,1467.26221
123,1.017,760.83411,435.56158,1559.46887,553.47034,384.96445,1468.90393
124,1.025,752.70276,434.95474,1561.4104,545.08997,383.5199,1469.09668
125,1.033,744.60913,435.17395,1562.85254,536.99664,382.71173,1470.61487
126,1.042,736.18463,433.86917,1563.41858,528.58374,382.7775,1471.05237
127,1.05,727.14276,434.75647,1564.45715,519.62067,381.38519,1470.93762
128,1.058,719.43811,433.35562,1566.2251,510.09409,383.33655,1473.87231
129,1.067,710.90906,434.82889,1567.18188,502.12604,382.98972,1474.22314
130,1.075,702.729,432.8262,1568.27002,493.75549,382.50861,1475.38098
131,1.083,694.24597,432.78195,1569.6543,485.733,382.43036,1477.07117
132,1.092,685.76093,432.63223,1571.03113,478.13452,383.26685,1478.38464
133,1.1,678.34338,431.8992,1571.51062,469.83655,382.24899,1478.63611
134,1.108,669.17029,432.72412,1573.52954,461.66373,380.90225,1480.30432
135,1.117,662.34729,432.06555,1574.93652,453.76443,381.17151,1479.70947
136,1.125,653.86743,432.51871,1576.15979,447.01807,383.2081,1480.00891
137,1.133,645.69202,431.84366,1577.81055,437.82587,383.04941,1480.10596
138,1.142,638.53955,432.6676,1578.83789,431.25775,384.3078,1481.66089
139,1.15,630.86981,432.30234,1579.89978,423.77814,383.54593,1481.8822
