Frame#,Time,R.ASIS.x,R.ASIS.y,R.ASIS.z
141,1.167,550.17133,690.68762,1115.77271
142,1.175,544.05518,689.79639,1116.07861
143,1.183,536.77063,690.64526,1116.40332
144,1.192,530.6488,690.45752,1117.42273
145,1.2,524.50092,691.17462,1118.00623
146,1.208,517.47217,690.90369,1117.9436
147,1.217,511.02618,690.7843,1118.43872
148,1.225,504.11694,689.32349,1118.224
149,1.233,498.38324,690.39709,1118.28113
150,1.242,491.61469,689.84479,1118.19995
151,1.25,485.4921,689.51117,1118.02844
152,1.258,478.1571,689.73657,1118.4917
153,1.267,472.02036,690.35345,1116.67542
154,1.275,464.65506,691.07666,1117.13318
155,1.283,458.72076,690.93701,1115.39429
156,1.292,451.55185,691.29669,1115.07153
157,1.3,444.70853,690.38055,1114.31531
158,1.308,438.24844,691.17395,1113.81689
159,1.317,431.08966,690.52307,1111.8855
160,1.325,423.86777,691.61072,1111.48169
161,1.333,416.99979,691.84155,1110.73853
162,1.342,409.87201,691.5578,1109.21484
163,1.35,401.90082,692.11517,1108.54187
164,1.358,395.53778,691.81818,1107.41846
165,1.367,387.41043,692.71741,1105.34741
166,1.375,380.56213,692.53119,1104.67822
167,1.383,373.17505,693.98499,1103.39038
168,1.392,365.2337,692.90277,1101.76709
169,1.4,357.45688,693.61627,1100.71777
170,1.408,349.55035,694.49945,1099.05176
171,1.417,342.67319,695.0816,1097.67261
172,1.425,333.97263,696.034,1096.28149
173,1.433,325.92355,696.02863,1094.54956
174,1.442,318.75699,695.74744,1093.64966
175,1.45,309.80093,697.36658,1092.12207
176,1.458,302.35333,697.39606,1090.38538
177,1.467,294.20474,698.02051,1089.15088
178,1.475,285.83426,699.11609,1087.80615
179,1.483,278.23105,698.99878,1086.98047
180,1.492,269.16885,699.93225,1086.08228
181,1.5,261.1795,700.77777,1084.73755
182,1.508,253.08475,699.91058,1083.86145
183,1.517,244.46957,701.37555,1083.2926
184,1.525,236.34103,702.91156,1082.21472
185,1.533,227.01428,702.79547,1081.34021
186,1.542,218.27182,702.91101,1080.93604
187,1.55,209.67918,704.93152,1079.68127
188,1.558,200.70528,704.6604,1079.11035
189,1.567,191.46544,705.70862,1079.92432
190,1.575,181.87073,706.68524,1080.38586
191,1.583,171.64465,707.80981,1080.45972
192,1.592,161.71239,707.28668,1080.59583
193,1.6,152.58569,709.80359,1081.3396
194,1.608,142.62042,710.45093,1081.40833
195,1.617,132.84952,710.94202,1080.99133
196,1.625,122.19388,712.48175,1082.81274
197,1.633,112.201,714.29919,1082.00403
198,1.642,101.88098,715.28802,1082.20239
199,1.65,91.88757,716.09698,1082.07483
200,1.658,81.70216,716.75092,1082.95557
201,1.667,71.94615,719.23523,1082.29578
202,1.675,61.45189,720.05371,1082.40588
203,1.683,50.84485,720.67218,1081.96558
204,1.692,39.9423,721.87042,1082.00928
205,1.7,29.59101,722.30597,1081.57532
206,1.708,18.40821,722.75488,1082.05444
207,1.717,8.18702,724.22534,1081.6145
208,1.725,-3.40882,725.59552,1081.86267
209,1.733,-13.52958,726.31818,1082.00195
210,1.742,-24.4012,727.28076,1082.12329
211,1.75,-36.162,728.68854,1081.75623
212,1.758,-46.70888,727.48785,1081.57031
213,1.767,-57.47884,728.26361,1081.6571
214,1.775,-68.57623,729.5257,1082.17871
215,1.783,-78.6437,729.84698,1082.17993
216,1.792,-89.87984,730.56293,1081.23828
217,1.8,-99.85033,731.68152,1081.27991
218,1.808,-111.12566,731.64929,1081.49268
219,1.817,-121.38131,732.36737,1081.64221
220,1.825,-130.88882,732.1109,1080.96948
221,1.833,-141.50903,731.51923,1081.44128
222,1.842,-152.08871,732.76733,1080.62439
223,1.85,-161.55995,733.69885,1080.52661
224,1.858,-171.79311,733.17987,1080.30603
225,1.867,-181.81422,734.13684,1078.97375
226,1.875,-192.04788,734.53876,1079.0719
227,1.883,-201.78362,734.37738,1078.82092
228,1.892,-210.80193,734.76733,1077.75903
229,1.9,-221.25641,735.01947,1076.96899
230,1.908,-230.66737,735.48877,1076.92615
231,1.917,-240.24524,733.88098,1076.64502
232,1.925,-250.28,734.14099,1075.34485
233,1.933,-259.42804,735.13104,1074.73767
234,1.942,-269.74509,736.07629,1075.0896
235,1.95,-278.95309,735.40143,1074.83557
236,1.958,-288.13223,735.48279,1073.65869
237,1.967,-297.22498,735.74988,1073.06421
238,1.975,-306.79764,735.21088,1072.74451
239,1.983,-316.17413,734.46228,1072.36194
240,1.992,-325.21378,733.84906,1071.29236
241,2,-334.19263,733.52429,1070.30347
242,2.008,-342.8941,733.30792,1070.62549
243,2.017,-351.6976,733.28613,1070.63818
244,2.025,-360.75421,733.74353,1071.04285
245,2.033,-368.62457,733.57355,1071.25427
246,2.042,-376.92322,733.6676,1070.19263
247,2.05,-386.42401,731.78436,1070.50366
248,2.058,-395.21909,730.5719,1070.61377
249,2.067,-403.18982,730.52887,1070.53906
250,2.075,-409.78635,731.31061,1071.48645
251,2.083,-418.33731,731.24048,1071.80554
252,2.092,-426.75873,731.40265,1071.95935
253,2.1,-433.71384,730.82159,1072.28333
254,2.108,-442.95422,729.98322,1074.06787
255,2.117,-448.84494,728.98572,1074.36841
256,2.125,-457.32605,727.95935,1074.45483
257,2.133,-463.90689,728.08264,1075.86523
258,2.142,-470.47769,727.37982,1076.51331
259,2.15,-477.87311,726.27393,1076.89502
260,2.158,-483.95706,726.72571,1077.78784
261,2.167,-490.26233,725.39502,1079.29175
262,2.175,-497.77768,724.70453,1080.5769
263,2.183,-504.41235,723.88062,1080.91077
264,2.192,-509.61896,724.52002,1082.31775
265,2.2,-515.67072,723.97076,1082.43311
266,2.208,-522.09363,724.79089,1084.1438
267,2.217,-528.21295,723.64233,1085.25122
268,2.225,-533.76727,723.42627,1085.7876
269,2.233,-540.04108,722.82758,1086.13391
270,2.242,-546.12891,722.36884,1087.99573
271,2.25,-551.34851,721.28461,1088.24243
272,2.258,-557.57159,721.21399,1088.89514
273,2.267,-563.25671,720.97089,1091.20276
274,2.275,-569.39429,721.05347,1091.99475
275,2.283,-574.31409,720.58221,1092.71716
276,2.292,-580.6004,720.52557,1094.37964
277,2.3,-584.98889,720.9256,1095.34521
278,2.308,-591.36029,721.64142,1096.65564
279,2.317,-596.38873,720.99396,1098.10388
280,2.325,-601.46039,721.07062,1098.28979
281,2.333,-607.86426,721.2326,1099.32556
282,2.342,-612.76154,721.01947,1100.4696
283,2.35,-616.71631,721.39929,1100.55872
284,2.358,-622.25946,723.20459,1100.96655
285,2.367,-626.90991,722.8996,1101.11768
286,2.375,-631.78247,723.39941,1101.18591
287,2.383,-637.216,723.42334,1101.54846
288,2.392,-643.02979,723.79236,1102.11121
289,2.4,-647.73212,723.99982,1102.29688
290,2.408,-653.8006,723.25507,1101.78699
291,2.417,-659.46832,724.9516,1101.58777
292,2.425,-664.93475,724.95801,1101.11145
293,2.433,-670.14282,725.1853,1101.39746
294,2.442,-676.11914,725.55939,1101.59167
295,2.45,-682.28918,724.72198,1101.58142
296,2.458,-687.6203,725.23779,1101.03809
297,2.467,-693.54486,724.43982,1100.77991
298,2.475,-700.18958,725.06555,1100.07727
299,2.483,-705.69452,725.75922,1099.04431
300,2.492,-712.22455,725.9801,1099.00671
301,2.5,-718.52588,725.59387,1098.90955
302,2.508,-725.34967,725.46606,1097.98792
303,2.517,-731.46204,726.45709,1096.65588
304,2.525,-737.66406,728.06061,1096.27905
305,2.533,-744.11163,727.5368,1095.61035
306,2.542,-751.96967,728.07532,1094.80396
307,2.55,-759.2489,729.09692,1093.90503
308,2.558,-766.07727,728.53278,1093.3324
309,2.567,-773.0896,730.57263,1091.78577
310,2.575,-780.95691,729.98029,1090.96765
311,2.583,-787.95343,730.54352,1089.05981
312,2.592,-796.52106,730.7439,1087.48792
