Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z
1,0,1616.77722,460.93091,1418.97693
2,0.008,1611.13062,460.5777,1418.68225
3,0.017,1603.86841,462.15717,1419.54248
4,0.025,1594.85156,461.04434,1418.8197
5,0.033,1588.08655,462.51346,1419.34131
6,0.042,1582.4342,459.6048,1418.91028
7,0.05,1575.10425,460.01794,1417.40662
8,0.058,1567.40649,460.76495,1416.63184
9,0.067,1561.01147,460.58371,1416.12915
10,0.075,1554.31177,459.03781,1414.5249
11,0.083,1546.00525,459.34003,1414.40417
12,0.092,1538.87695,459.73306,1412.83923
13,0.1,1530.97449,462.24179,1411.0907
14,0.108,1523.4386,460.08423,1409.96277
15,0.117,1515.77246,461.58582,1408.53894
16,0.125,1509.14917,460.76236,1407.35571
17,0.133,1500.87683,460.51083,1406.49194
18,0.142,1493.79822,462.1102,1404.87378
19,0.15,1485.78101,462.25253,1403.83557
20,0.158,1476.69629,462.26044,1402.49792
21,0.167,1469.01135,463.24487,1400.72729
22,0.175,1460.90637,464.68738,1399.94409
23,0.183,1452.84412,466.12982,1399.0094
24,0.192,1444.85364,466.09586,1397.05566
25,0.2,1437.54932,464.7319,1396.44531
26,0.208,1430.32361,465.39615,1394.63586
27,0.217,1422.84351,466.29105,1393.48169
28,0.225,1413.65466,467.09662,1392.95825
29,0.233,1406.06958,468.93552,1391.1123
30,0.242,1395.09839,470.35709,1390.7511
31,0.25,1388.18494,471.87589,1390.3197
32,0.258,1379.81018,472.22421,1389.96423
33,0.267,1370.70386,474.27908,1389.14844
34,0.275,1363.16211,474.98444,1388.69092
35,0.283,1353.67871,476.45554,1388.24878
36,0.292,1344.71667,476.72858,1387.49695
37,0.3,1337.80225,479.50748,1387.04517
38,0.308,1326.86255,481.35703,1387.16846
39,0.317,1318.55688,482.51855,1388.07068
40,0.325,1309.15845,485.63257,1387.75757
41,0.333,1300.17969,486.43857,1387.44067
42,0.342,1290.54028,486.19061,1387.48071
43,0.35,1281.87537,487.52789,1389.62781
44,0.358,1273.52051,489.51724,1390.08484
45,0.367,1264.5343,489.9086,1390.97034
46,0.375,1255.51624,492.86209,1392.41882
47,0.383,1247.23975,493.34842,1392.77563
48,0.392,1237.94629,495.31046,1393.82617
49,0.4,1230.31506,495.72568,1395.16748
50,0.408,1220.81616,497.25494,1395.27869
51,0.417,1212.19189,497.63678,1396.45813
52,0.425,1203.86072,497.1228,1397.37903
53,0.433,1196.67725,497.36395,1398.55542
54,0.442,1186.92749,500.86942,1399.85791
55,0.45,1178.44958,501.40118,1400.38184
56,0.458,1170.44031,501.91171,1401.1698
57,0.467,1162.5675,501.0842,1401.8385
58,0.475,1153.65784,502.4816,1402.43286
59,0.483,1144.93994,502.84946,1403.38281
60,0.492,1136.35522,503.78632,1404.00134
61,0.5,1128.2666,504.13898,1404.2981
62,0.508,1121.47034,503.6225,1405.53748
63,0.517,1113.05334,505.22629,1406.45166
64,0.525,1106.11499,503.5032,1407.86414
65,0.533,1097.49731,506.54843,1409.26123
66,0.542,1089.06897,505.60132,1409.2583
67,0.55,1081.44434,507.73932,1409.91187
68,0.558,1073.58557,507.49451,1410.88318
69,0.567,1065.604,507.25656,1410.60681
70,0.575,1057.37036,507.68597,1412.28235
71,0.583,1050.08679,506.6796,1412.45667
72,0.592,1042.50183,507.26584,1412.69824
73,0.6,1034.86304,507.75128,1412.23877
74,0.608,1027.1925,508.3577,1412.90552
75,0.617,1019.22455,508.74332,1412.9375
76,0.625,1011.20038,509.42044,1413.50903
77,0.633,1003.34283,508.76785,1412.93433
78,0.642,996.38373,509.72461,1412.26501
79,0.65,987.66394,509.43845,1411.50415
80,0.658,979.90881,511.47961,1411.55225
81,0.667,971.41052,510.03067,1410.67505
82,0.675,963.87573,511.89523,1409.97266
83,0.683,956.29803,511.58981,1409.31628
84,0.692,947.96765,512.19623,1409.44568
85,0.7,940.69806,510.52527,1408.10608
86,0.708,933.26758,511.91272,1407.65869
87,0.717,925.05792,511.32153,1406.2793
88,0.725,917.39038,511.26367,1405.78662
89,0.733,910.32959,509.63116,1404.57886
90,0.742,901.74017,511.58154,1403.85901
91,0.75,893.69299,510.92087,1403.53284
92,0.758,885.13965,509.99408,1402.90967
93,0.767,878.25012,509.87164,1401.74255
94,0.775,870.07343,509.09341,1400.61914
95,0.783,861.08582,510.30426,1400.68921
96,0.792,852.93048,509.49304,1400.21436
97,0.8,843.97754,509.60309,1399.09839
98,0.808,836.41125,509.40088,1398.49634
99,0.817,827.75391,508.05206,1397.68323
100,0.825,818.96625,508.19537,1397.25403
101,0.833,810.45746,508.36942,1396.72559
102,0.842,802.21234,506.06442,1395.88245
103,0.85,792.95428,505.43774,1395.83887
104,0.858,784.58112,506.00226,1395.495
105,0.867,775.7168,504.5907,1395.44666
106,0.875,766.67261,503.95468,1395.40869
107,0.883,757.85364,502.23117,1395.22803
108,0.892,749.80103,501.79492,1394.24817
109,0.9,740.69885,500.62128,1394.33276
110,0.908,731.76642,497.75867,1394.79041
111,0.917,722.20709,499.25687,1395.75574
112,0.925,713.23309,498.15842,1395.75403
113,0.933,703.78229,497.46179,1396.7229
114,0.942,695.15991,494.64206,1397.31763
115,0.95,686.10773,493.28094,1399.27051
116,0.958,675.43677,493.47986,1399.604
117,0.967,667.79297,493.91199,1400.07593
118,0.975,658.29004,492.92447,1401.87903
119,0.983,649.88678,491.58508,1401.83569
120,0.992,640.14777,490.36942,1403.41382
121,1,631.84491,491.5369,1404.46692
122,1.008,622.72662,492.39285,1406.50769
123,1.017,614.24872,490.02158,1406.41577
124,1.025,606.7218,490.24677,1407.71191
125,1.033,598.15613,490.92569,1408.83801
126,1.042,589.07178,489.99924,1409.55676
127,1.05,580.16809,490.01099,1411.65894
128,1.058,573.30573,490.97552,1412.38831
129,1.067,564.76373,489.79227,1412.22046
130,1.075,557.49817,490.11856,1414.38208
131,1.083,549.96912,490.29401,1415.17444
132,1.092,541.02222,488.67462,1415.63257
133,1.1,533.96368,490.84073,1417.12561
134,1.108,526.71838,489.79007,1417.76587
135,1.117,518.97357,490.11478,1419.60681
136,1.125,511.62543,489.58191,1419.36401
137,1.133,504.85199,488.9046,1420.13818
138,1.142,497.53195,491.40958,1421.60437
139,1.15,490.38144,489.38647,1422.20386
140,1.158,483.09286,490.0592,1424.23083
141,1.167,476.12146,490.22147,1424.4895
142,1.175,466.87686,489.67743,1424.70972
143,1.183,460.30969,489.57593,1424.44299
144,1.192,453.14508,490.76688,1425.98779
145,1.2,445.39655,490.05026,1425.98743
146,1.208,438.56717,491.27139,1425.9989
147,1.217,431.80341,489.96967,1425.46716
148,1.225,424.31979,489.85297,1425.64099
149,1.233,416.36526,489.22971,1425.77075
150,1.242,409.59717,489.68085,1425.44604
151,1.25,401.15009,491.31882,1425.51416
152,1.258,392.99902,489.76578,1424.40344
153,1.267,386.46646,491.67065,1424.04602
154,1.275,378.9964,491.60382,1423.11426
155,1.283,370.5076,490.25607,1422.2854
156,1.292,362.71725,492.80838,1420.422
157,1.3,355.85892,491.0047,1420.1051
158,1.308,348.38184,491.336,1419.47058
159,1.317,340.62814,491.83664,1418.7561
160,1.325,332.34637,491.93951,1417.40771
161,1.333,323.57889,492.60425,1416.36853
162,1.342,316.32809,493.09921,1415.79456
163,1.35,310.38681,492.9736,1414.43823
164,1.358,302.31198,493.91412,1413.88525
165,1.367,293.504,493.27911,1412.18909
166,1.375,286.12448,495.82639,1410.98914
167,1.383,278.65274,496.02246,1409.91785
168,1.392,270.50406,496.34579,1407.75549
169,1.4,264.25729,496.54666,1406.83008
170,1.408,256.02277,497.7706,1405.11414
171,1.417,247.02937,498.31195,1403.18591
172,1.425,240.51094,499.10678,1403.37402
173,1.433,231.66138,500.43057,1402.55493
174,1.442,223.83362,501.595,1401.30872
175,1.45,217.43991,502.68369,1400.45227
176,1.458,208.06703,504.01932,1400.45081
177,1.467,200.12793,504.33411,1398.37561
178,1.475,191.11574,508.40198,1398.49023
179,1.483,184.14525,508.09445,1397.70642
180,1.492,174.5219,510.06741,1396.61694
181,1.5,166.87259,511.17221,1396.44983
182,1.508,158.21916,512.48236,1395.90906
183,1.517,150.08078,514.55829,1395.58508
184,1.525,140.77121,516.32611,1396.34949
185,1.533,132.07072,517.43445,1396.30469
186,1.542,122.4432,519.78967,1396.13721
187,1.55,113.61018,521.24591,1396.51367
188,1.558,104.66109,524.15991,1396.68677
189,1.567,95.89172,525.32843,1397.46826
190,1.575,87.41086,526.76392,1398.23804
191,1.583,78.73579,528.13361,1398.52869
192,1.592,68.71369,530.03333,1399.64038
193,1.6,60.42513,531.95471,1400.47986
194,1.608,50.86795,532.53955,1400.87024
195,1.617,41.21547,535.02673,1401.50024
196,1.625,32.69967,536.44806,1401.88904
197,1.633,22.91755,537.26202,1401.35889
198,1.642,14.20338,538.08801,1403.00769
199,1.65,5.59484,539.49017,1403.28259
200,1.658,-4.4242,541.15778,1402.8092
201,1.667,-12.33576,541.96796,1402.995
202,1.675,-21.93846,542.9928,1403.19849
203,1.683,-28.97633,542.33337,1403.63391
204,1.692,-38.97277,543.47614,1403.91199
205,1.7,-46.89672,542.79553,1403.63367
206,1.708,-56.31817,545.28491,1403.25134
207,1.717,-63.59988,545.66284,1404.09998
208,1.725,-73.23315,546.45764,1403.97192
209,1.733,-81.00203,546.12073,1404.26843
210,1.742,-89.7919,547.10437,1403.59338
211,1.75,-96.91003,547.09961,1405.60999
212,1.758,-104.74728,546.62134,1405.45251
213,1.767,-113.70316,547.55121,1404.45471
214,1.775,-120.88319,548.11237,1405.00366
215,1.783,-129.57129,548.63556,1405.12195
216,1.792,-137.18291,548.82434,1405.60742
217,1.8,-144.45329,550.10217,1405.448
218,1.808,-153.44537,550.56323,1404.3175
219,1.817,-160.23344,551.46973,1406.0199
220,1.825,-168.91258,551.52551,1404.89636
221,1.833,-176.05305,550.99951,1405.38074
222,1.842,-184.08066,551.11206,1405.35071
223,1.85,-192.44009,551.64417,1403.80029
224,1.858,-199.60471,551.75153,1403.89099
225,1.867,-206.91521,551.32825,1403.70984
226,1.875,-215.74297,551.9054,1402.6438
227,1.883,-222.80095,552.94873,1401.88953
228,1.892,-231.90852,552.94458,1400.92615
229,1.9,-238.81332,553.4126,1399.9834
230,1.908,-247.64447,553.37244,1399.85901
231,1.917,-254.74713,553.56238,1399.7135
232,1.925,-263.29169,553.20801,1399.56067
233,1.933,-270.91193,552.99255,1398.39844
234,1.942,-278.56232,552.51794,1397.51245
235,1.95,-285.58459,551.41431,1396.2821
236,1.958,-294.77185,551.45752,1395.4082
237,1.967,-302.21185,551.43134,1395.05054
238,1.975,-310.4155,552.36792,1394.17102
239,1.983,-318.18903,551.95172,1394.20435
240,1.992,-326.09897,549.63397,1392.80225
241,2,-335.20895,549.81378,1391.72412
242,2.008,-343.37549,549.36511,1391.88074
243,2.017,-351.12512,548.6499,1391.24561
244,2.025,-359.92136,547.68774,1390.09937
245,2.033,-369.78247,548.01599,1389.88867
246,2.042,-376.17886,545.37604,1390.13086
247,2.05,-385.79373,544.95294,1390.45056
248,2.058,-394.08722,543.79114,1388.77625
249,2.067,-402.31787,542.77576,1388.82788
250,2.075,-410.50247,541.24194,1389.28235
251,2.083,-421.06989,540.14087,1388.7229
252,2.092,-428.67841,539.88855,1389.95422
253,2.1,-438.75998,539.72491,1389.16199
254,2.108,-446.5892,537.74036,1391.17432
255,2.117,-455.24451,536.59882,1391.39063
256,2.125,-464.29993,534.7735,1392.71667
257,2.133,-473.12363,534.7959,1392.68079
258,2.142,-482.95175,533.92249,1393.22131
259,2.15,-490.70401,532.35608,1394.7262
260,2.158,-500.43744,532.24744,1395.93835
261,2.167,-508.87033,530.19202,1396.86902
262,2.175,-518.32904,530.26971,1396.96509
263,2.183,-527.39063,530.4184,1398.03601
264,2.192,-535.61572,529.96521,1399.11255
265,2.2,-544.54865,529.33948,1400.09961
266,2.208,-553.0437,528.35907,1401.18933
267,2.217,-562.38544,528.4801,1401.6781
268,2.225,-570.14771,527.65253,1402.43494
269,2.233,-577.49799,527.19434,1404.96106
270,2.242,-586.71545,527.4187,1404.88806
271,2.25,-596.78546,528.43616,1405.4967
272,2.258,-602.25385,526.64069,1407.50476
273,2.267,-611.81952,527.31738,1408.06396
274,2.275,-619.95532,526.61432,1408.36499
275,2.283,-628.20361,527.08185,1409.44092
276,2.292,-635.97113,527.42621,1410.19604
277,2.3,-644.95477,528.61017,1410.7937
278,2.308,-650.38165,527.11212,1411.97168
279,2.317,-658.42493,527.46594,1412.72974
280,2.325,-667.45642,528.88953,1412.45227
281,2.333,-675.43915,527.88422,1413.80042
282,2.342,-680.88293,527.31793,1414.40173
283,2.35,-689.98541,527.01648,1414.01489
284,2.358,-697.40735,528.30164,1414.43884
285,2.367,-705.32086,528.77301,1413.6759
286,2.375,-712.34387,528.48914,1414.23413
287,2.383,-718.08051,527.92804,1414.81677
288,2.392,-725.04376,528.02679,1414.26208
289,2.4,-733.40753,528.72504,1413.72156
290,2.408,-741.58136,528.91211,1412.20703
291,2.417,-748.65161,528.4375,1412.81091
292,2.425,-755.66699,528.1217,1412.22424
293,2.433,-765.09363,528.86133,1411.34436
294,2.442,-770.05206,528.93152,1410.76453
295,2.45,-778.67023,529.39111,1409.89063
296,2.458,-785.47955,530.12244,1409.3125
297,2.467,-794.93744,531.66565,1408.76587
