Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z
1,0,1542.82178,554.55096,982.07416
2,0.008,1536.07336,556.53735,981.09821
3,0.017,1531.46228,554.88147,979.78363
4,0.025,1524.03674,555.00262,980.10547
5,0.033,1517.46875,556.29114,979.70349
6,0.042,1510.29724,555.85254,979.8446
7,0.05,1505.73364,554.35797,977.58313
8,0.058,1499.25867,555.71387,977.48358
9,0.067,1489.84509,554.71057,976.01929
10,0.075,1486.54834,554.80524,975.01868
11,0.083,1481.20325,555.89722,974.28186
12,0.092,1472.36914,556.49689,972.51892
13,0.1,1464.11243,556.4588,972.05859
14,0.108,1459.4845,558.58704,970.47614
15,0.117,1452.1217,557.89697,969.12866
16,0.125,1446.28162,557.12927,965.62067
17,0.133,1438.19482,558.03168,965.69788
18,0.142,1431.27356,558.39954,963.09692
19,0.15,1423.12354,558.2926,962.04987
20,0.158,1417.70105,559.52997,959.90302
21,0.167,1409.75916,559.43488,957.63232
22,0.175,1402.15186,559.67987,956.66614
23,0.183,1395.12012,558.92236,954.31891
24,0.192,1389.25488,561.12067,952.75958
25,0.2,1379.25842,560.56055,951.80823
26,0.208,1372.29053,560.92285,950.30505
27,0.217,1363.28687,560.44458,948.85681
28,0.225,1356.05615,562.53015,947.80011
29,0.233,1346.95764,562.823,946.27618
30,0.242,1340.58569,564.36969,943.24622
31,0.25,1331.50671,563.88452,942.02502
32,0.258,1322.4198,563.28931,941.16345
33,0.267,1315.62781,564.04834,940.38477
34,0.275,1305.99329,565.60059,939.31311
35,0.283,1295.33484,566.95264,938.27686
36,0.292,1287.01672,568.28705,937.01605
37,0.3,1278.73804,568.67041,936.49164
38,0.308,1269.63708,568.52014,935.76984
39,0.317,1260.76355,568.34576,935.29657
40,0.325,1253.88037,570.28027,935.17883
41,0.333,1243.65332,569.72028,935.32709
42,0.342,1235.08972,570.9184,935.50281
43,0.35,1225.79419,571.60327,935.5097
44,0.358,1215.63391,571.94025,935.89923
45,0.367,1207.58105,572.36981,935.95123
46,0.375,1199.03137,572.38611,936.06567
47,0.383,1190.57666,572.85974,936.85425
48,0.392,1181.96375,573.47723,938.14447
49,0.4,1172.92322,572.95264,938.38367
50,0.408,1163.74475,573.91333,939.44818
51,0.417,1155.10901,573.96954,940.49158
52,0.425,1145.07593,574.01398,941.24988
53,0.433,1137.38452,574.8786,942.95782
54,0.442,1128.12903,574.27289,944.25513
55,0.45,1118.14746,573.7951,944.96393
56,0.458,1111.71387,574.36169,945.87421
57,0.467,1100.88525,573.94177,946.99866
58,0.475,1093.84204,574.26471,949.13965
59,0.483,1084.3468,575.55884,949.91339
60,0.492,1074.93347,575.03174,950.57788
61,0.5,1066.06116,575.68182,951.85626
62,0.508,1057.09961,575.7262,953.4585
63,0.517,1048.79895,576.64972,954.26691
64,0.525,1039.328,576.17297,955.09058
65,0.533,1030.91638,575.33386,956.72559
66,0.542,1021.43042,576.5979,958.25586
67,0.55,1013.34106,576.57123,959.21118
68,0.558,1004.38721,576.51495,959.19958
69,0.567,995.18182,577.47748,961.26636
