Frame#,Time,L.Forearm.x,L.Forearm.y,L.Forearm.z,L.Ulna.x,L.Ulna.y,L.Ulna.z,L.Radius.x,L.Radius.y,L.Radius.z
55,0.45,1390.07605,-130.99777,1003.02179,1358.07214,-182.73264,946.53137,1352.16431,-113.09749,895.39532
56,0.458,1380.25745,-130.99301,999.73822,1351.47009,-182.33786,946.75378,1344.77185,-112.12292,895.53101
57,0.467,1373.8623,-129.93837,999.86859,1345.05432,-182.98079,946.1825,1337.61951,-111.57833,894.83087
58,0.475,1366.26196,-129.96165,999.4292,1339.30103,-183.11659,945.31818,1329.46643,-111.41561,894.65192
59,0.483,1361.62097,-128.55446,998.97931,1331.60779,-183.29004,943.74756,1321.97363,-110.54121,894.57965
60,0.492,1354.80969,-126.53996,998.4751,1324.87842,-181.97406,943.00775,1314.85706,-108.86436,894.80109
61,0.5,1346.83264,-125.77061,997.96991,1318.19116,-180.52066,942.56354,1307.21497,-108.31562,894.19092
62,0.508,1338.41846,-125.95267,997.96063,1311.09607,-179.17021,942.70874,1300.73425,-107.32205,894.43219
63,0.517,1331.63379,-125.58856,999.33435,1304.92944,-178.18358,942.35272,1293.74231,-106.84515,895.29443
64,0.525,1326.84644,-124.19617,998.52179,1299.04431,-177.4283,942.76666,1285.8811,-104.5313,895.98505
65,0.533,1320.74756,-122.24495,999.14758,1292.09302,-175.79698,942.151,1279.03479,-103.66386,894.26752
66,0.542,1314.02356,-121.44457,999.06458,1286.91504,-174.31206,941.42963,1271.77197,-103.37283,894.53888
67,0.55,1308.25684,-121.43185,998.14545,1280.56348,-172.89149,942.24884,1267.27686,-101.24335,895.08618
68,0.558,1303.28674,-119.53081,998.91101,1275.03979,-172.83604,942.3902,1262.61731,-98.27153,895.383
69,0.567,1295.77454,-118.59935,998.99762,1269.54626,-171.12231,942.28687,1258.60583,-96.88659,894.50714
70,0.575,1291.89233,-118.08652,998.20563,1263.33301,-169.27847,942.51538,1254.73596,-96.36166,894.25262
71,0.583,1286.05701,-115.2429,997.4389,1257.50537,-168.06078,942.60968,1248.34302,-94.41032,892.43048
72,0.592,1283.51965,-114.06382,998.07092,1253.51025,-166.65961,942.48016,1243.59131,-93.75108,893.48029
73,0.6,1278.61279,-112.1666,998.25201,1247.58313,-164.51364,942.32471,1240.78284,-91.33284,893.13788
74,0.608,1273.12891,-113.17329,998.84326,1243.94421,-164.91409,942.99835,1235.84546,-90.81656,893.04657
75,0.617,1268.59766,-112.50692,997.59839,1237.79871,-163.65199,942.25049,1230.07996,-92.22952,892.06769
76,0.625,1264.69238,-111.54382,997.05646,1234.29468,-163.75421,942.00903,1226.71472,-90.92181,892.73859
77,0.633,1261.94421,-109.60806,998.18311,1230.58337,-163.66747,942.05914,1222.40576,-88.77032,893.58588
78,0.642,1253.8291,-111.39439,997.07318,1225.71509,-163.8976,942.49713,1218.10193,-89.55079,893.6748
79,0.65,1250.53992,-110.59573,998.71326,1222.57935,-163.22664,942.32642,1212.91382,-90.57608,893.42078
80,0.658,1247.11609,-110.6237,998.00006,1218.13086,-164.25443,942.70703,1208.16577,-91.12476,895.20825
81,0.667,1240.41101,-111.0871,998.10919,1213.63538,-164.00716,942.75354,1201.93726,-92.62779,894.79193
82,0.675,1236.59265,-111.98162,997.99152,1209.81384,-163.58127,942.8941,1196.44727,-91.65879,895.6792
83,0.683,1231.42078,-111.63827,999.14966,1205.3042,-163.31006,943.23511,1191.07178,-91.62101,895.29169
84,0.692,1228.10559,-109.37239,998.79236,1200.62695,-164.23213,942.61725,1188.00659,-92.1002,895.32764
85,0.7,1221.20166,-111.69453,999.37231,1195.92188,-165.21448,943.00714,1181.58704,-91.51435,894.8136
86,0.708,1216.41553,-109.06705,999.37396,1190.71765,-163.78877,942.99146,1176.93103,-91.30776,895.38855
87,0.717,1212.22498,-108.98079,1000.02216,1186.95459,-164.49046,943.16077,1171.86951,-90.73105,896.23303
88,0.725,1207.39758,-109.51825,1000.73767,1182.25439,-163.95338,943.24963,1168.08569,-89.84985,895.39923
89,0.733,1202.04504,-107.95123,1000.4798,1175.64026,-161.28664,943.27203,1164.2467,-89.16494,894.71844
90,0.742,1196.75879,-108.62283,999.94055,1169.77625,-162.23772,942.62567,1159.27356,-87.33605,894.66467
91,0.75,1190.55298,-108.20576,999.17737,1165.40149,-162.59175,942.74121,1152.70544,-88.74338,893.23444
92,0.758,1186.36243,-107.47714,997.85553,1159.66675,-160.95671,941.91272,1149.25342,-88.62609,892.26715
93,0.767,1181.42969,-106.89184,997.59094,1154.26172,-161.43562,940.95306,1143.83252,-89.53743,891.47211
94,0.775,1176.96875,-108.143,996.09326,1148.45996,-161.06398,940.95905,1139.78491,-88.81799,891.02856
95,0.783,1170.29602,-107.94653,996.16675,1143.61731,-162.6698,939.72607,1134.98315,-88.93871,891.48767
96,0.792,1165.08215,-107.97517,995.91125,1138.23584,-162.00804,938.80975,1127.77283,-89.87095,890.34021
97,0.8,1160.98743,-108.66757,994.8363,1133.71851,-162.33484,938.36011,1123.62744,-90.00882,890.08551
98,0.808,1153.66443,-109.16935,993.61774,1127.82971,-162.88622,937.62421,1117.39258,-91.77529,888.52008
99,0.817,1147.4292,-109.11748,994.05841,1122.19507,-163.99409,937.02667,1111.56763,-91.41986,888.4198
100,0.825,1141.81885,-110.65132,992.9834,1117.01123,-165.28687,936.91205,1104.97693,-92.82449,887.66534
101,0.833,1135.54749,-111.6293,991.69366,1111.29358,-165.99225,935.82434,1098.76074,-93.30014,887.81165
102,0.842,1129.29907,-110.82088,991.47681,1104.08667,-165.84692,935.2135,1093.20947,-94.37475,886.49939
103,0.85,1121.72107,-112.67712,991.41345,1097.86987,-165.68004,934.7403,1084.16443,-95.61254,886.0907
104,0.858,1115.88586,-113.20709,990.36127,1091.4386,-167.23988,933.15021,1078.36475,-94.61266,886.08179
105,0.867,1109.06616,-113.51553,990.06848,1083.93604,-168.94739,932.75183,1069.66968,-95.79419,885.39886
106,0.875,1101.66663,-113.17184,989.43152,1076.25061,-168.41162,931.67688,1063.97693,-94.28105,884.13263
107,0.883,1093.05249,-113.75753,988.03088,1068.86255,-168.17554,931.66986,1055.63342,-95.53227,883.75403
108,0.892,1086.29395,-114.2456,987.70978,1061.06689,-167.71768,930.92059,1050.28845,-93.94756,883.29315
109,0.9,1079.73584,-114.11198,987.79779,1052.7467,-167.08659,930.25806,1042.3092,-94.79851,882.32959
110,0.908,1071.70715,-114.77716,987.49573,1044.12415,-167.11278,931.03198,1036.01868,-94.34362,882.39886
111,0.917,1064.54895,-114.10686,986.401,1036.25293,-167.85776,930.1391,1025.70044,-95.07533,881.74103
112,0.925,1055.68616,-115.53682,985.59906,1028.11963,-168.07179,929.31378,1018.28333,-95.54262,881.4873
113,0.933,1047.79785,-115.14368,985.54004,1020.82288,-167.71452,929.59656,1012.20404,-94.70062,881.03467
114,0.942,1041.1665,-115.21696,986.41949,1012.62018,-167.83789,930.7511,1005.49493,-94.83126,881.30719
115,0.95,1032.93628,-116.21078,986.81281,1004.8999,-168.30701,931.96405,996.68164,-95.60315,881.72406
116,0.958,1026.7395,-116.10222,987.86151,997.45667,-167.71246,932.16351,989.56989,-96.19666,882.54907
117,0.967,1018.06567,-117.7307,988.93738,990.44122,-170.68883,933.73224,981.98206,-96.70542,885.18353
118,0.975,1010.8255,-117.46541,991.78052,983.41034,-170.62001,934.47754,975.56238,-96.70612,886.43896
119,0.983,1004.89056,-119.17345,992.76086,976.70428,-171.52298,937.86237,967.34583,-98.38233,887.93457
120,0.992,997.74884,-120.66422,995.25146,968.67419,-172.8887,938.48859,960.57159,-99.21428,890.37842
121,1,991.20117,-120.32316,997.39105,961.19836,-173.55687,939.9118,953.66302,-100.41659,893.37225
122,1.008,983.24084,-121.31454,998.76422,953.78137,-173.3501,941.09064,946.61243,-99.88986,894.61169
123,1.017,975.06683,-122.86668,999.89246,945.59808,-174.83517,943.71075,938.03864,-100.70644,896.63239
124,1.025,967.94714,-122.449,1000.55096,937.97675,-175.94754,944.58124,929.34247,-101.76794,897.31439
125,1.033,959.94769,-123.88193,1001.92145,929.90411,-176.65981,944.97906,919.80902,-102.31539,898.73407
126,1.042,952.20691,-125.23307,1002.06915,922.06055,-177.25536,945.39276,913.79425,-103.92833,900.14063
127,1.05,945.74719,-125.48084,1002.43677,914.41779,-177.01819,946.06458,905.32452,-103.93942,899.03198
128,1.058,936.77826,-125.34985,1003.2312,906.98364,-178.31155,946.43024,896.44653,-103.31405,899.46802
129,1.067,929.2536,-127.04996,1003.51648,898.04285,-178.62019,947.89343,889.66852,-103.2476,899.93103
130,1.075,922.6507,-126.25468,1002.78796,890.29901,-178.42513,947.99774,881.47467,-104.27024,899.56763
131,1.083,914.68378,-127.25397,1002.62592,883.41711,-178.20096,948.21967,875.28601,-104.40368,899.60583
132,1.092,907.42908,-128.25183,1001.97589,876.19952,-178.65695,947.62091,866.56024,-104.6826,899.50586
133,1.1,901.36743,-127.32419,1001.32141,869.24152,-179.56206,948.2489,860.16437,-105.59788,898.88965
134,1.108,895.36444,-128.52896,1001.38605,862.50989,-180.87073,948.00275,854.59601,-105.36309,899.19611
135,1.117,889.55542,-128.45415,1001.73608,856.46918,-180.81815,947.89551,847.97473,-107.49212,898.11102
136,1.125,881.74438,-129.33681,1001.94391,850.24414,-180.63162,947.54175,842.02606,-107.68945,898.13629
137,1.133,876.60974,-128.82108,1002.06152,844.07837,-180.41571,947.0965,835.88397,-108.67873,897.98505
138,1.142,869.94159,-129.71545,1002.03064,838.41327,-182.61331,947.07678,831.13226,-108.57635,898.03735
139,1.15,864.80371,-130.57864,1001.82104,833.01312,-182.44011,946.81354,824.97174,-109.18962,897.06335
140,1.158,859.61938,-130.26422,1001.32727,827.52679,-183.33525,946.97131,821.55725,-109.54887,896.98187
141,1.167,854.80029,-131.16846,1001.63928,822.57758,-182.10356,946.85596,815.40131,-108.9799,897.19989
142,1.175,848.96429,-129.89424,999.86365,815.90063,-182.49384,945.98145,810.57428,-108.71886,896.95227
143,1.183,843.29651,-130.9585,999.7655,811.05957,-182.00275,946.47968,806.18073,-108.28856,897.00061
144,1.192,838.22156,-131.32077,1000.3689,805.6311,-181.67418,945.81201,800.01324,-108.17297,896.72125
145,1.2,833.11383,-131.584,1000.51617,800.23749,-181.04449,946.22437,795.7204,-107.48383,896.56329
146,1.208,828.54614,-129.8864,1000.29926,794.61346,-180.28996,945.56818,789.57129,-106.72598,896.67627
147,1.217,823.27734,-129.05182,1000.3255,789.47552,-180.04677,945.64825,784.83563,-106.52808,896.51654
148,1.225,817.4295,-129.64937,1000.05212,784.63531,-179.90125,945.27911,779.51483,-107.034,896.40308
149,1.233,813.76227,-129.56219,999.7251,780.84991,-180.41315,944.98407,774.63977,-107.94836,896.67603
150,1.242,809.18481,-128.02711,999.31055,775.06671,-180.59245,944.78485,769.77893,-107.19464,896.57556
151,1.25,802.06567,-128.94876,999.22168,770.04169,-180.22458,944.57025,764.28491,-106.72352,896.58911
152,1.258,797.68445,-129.17912,999.03351,764.8631,-179.79836,943.84442,759.13812,-106.20988,896.30493
153,1.267,793.51923,-129.78644,998.86407,760.19531,-180.08127,943.40735,755.19128,-105.57752,896.01538
154,1.275,788.28497,-128.31889,998.461,755.98718,-179.9977,942.99036,751.28046,-106.02461,894.24622
155,1.283,784.26898,-127.87972,998.65454,750.79474,-179.41089,942.73322,745.3338,-105.33633,893.62988
156,1.292,777.88873,-128.36496,997.53717,746.55188,-178.26721,942.13971,742.62408,-104.29373,893.13519
157,1.3,775.57233,-128.80827,996.60669,742.10638,-177.93715,941.83398,738.76056,-104.69912,892.79791
158,1.308,771.04321,-126.63453,996.25549,737.09991,-177.53647,940.88666,733.11615,-104.24974,891.84644
159,1.317,766.10529,-126.4839,995.45703,732.70453,-177.06213,939.53198,730.84009,-102.7719,892.12244
160,1.325,762.74469,-126.05525,994.42316,727.67627,-177.29039,939.39716,726.20013,-103.59251,891.25635
161,1.333,757.57776,-126.26801,994.92499,723.46747,-176.24098,939.11621,721.60742,-103.82813,890.95807
162,1.342,752.12579,-125.57446,994.13367,719.72217,-175.93857,938.38977,716.88501,-103.26295,889.20575
163,1.35,746.59741,-125.66281,993.30774,714.45764,-176.14034,937.57166,712.99103,-103.63576,887.50977
164,1.358,744.71436,-125.10547,993.54102,709.99847,-175.33099,937.60358,708.1261,-103.43104,887.70563
165,1.367,737.8902,-126.03052,992.70801,705.83136,-176.46446,936.6568,703.29169,-103.12102,886.99786
166,1.375,733.05994,-126.02348,992.53619,702.17944,-175.69571,936.17987,699.56146,-103.31746,886.74811
167,1.383,728.91418,-124.34122,991.5802,697.83582,-176.31879,935.36072,693.51062,-103.048,886.4928
168,1.392,724.11188,-126.34418,991.80072,693.99695,-177.15425,934.92633,690.20569,-102.40531,886.81616
169,1.4,719.90881,-125.35127,991.28619,689.7428,-176.77986,934.53809,684.36469,-102.21311,886.08698
170,1.408,715.15649,-125.72251,991.19257,685.29791,-177.57068,933.90881,680.50201,-104.16516,885.10352
171,1.417,709.31421,-124.5855,990.91772,681.37524,-177.41966,933.77515,676.24493,-103.64654,884.77252
172,1.425,707.31689,-123.85406,990.52045,677.12952,-176.15063,933.64166,672.13068,-102.22781,885.12817
173,1.433,703.15314,-122.33853,990.16754,672.02307,-176.43124,933.64789,668.15198,-103.27107,883.82373
174,1.442,697.44751,-122.75783,989.76544,667.17236,-175.17885,933.23792,664.96338,-102.45346,883.82117
