Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
55,0.45,-1087.54724,179.74065,574.7923,-1079.60608,155.72194,434.29572,-1053.1521,21.56021,425.6312
56,0.458,-1085.48047,180.90111,574.47876,-1078.54419,156.14104,434.07236,-1053.44873,21.26652,425.69623
57,0.467,-1084.35779,180.98993,574.96265,-1076.46582,156.95525,434.19229,-1052.9198,21.46435,424.96994
58,0.475,-1081.31238,180.56064,574.64075,-1074.52502,156.89322,433.9711,-1053.08398,21.71247,424.1626
59,0.483,-1079.37268,181.2507,573.70435,-1072.93945,157.05217,433.92294,-1052.02576,21.10136,424.86139
60,0.492,-1077.23889,179.52008,573.96149,-1072.64075,157.49593,433.91132,-1051.90479,21.39338,425.18924
61,0.5,-1073.37061,182.17583,573.69232,-1071.0498,157.8979,433.44702,-1050.5022,21.39446,425.42526
62,0.508,-1072.61157,183.3261,574.05066,-1067.55298,156.40181,433.32455,-1050.71851,21.271,425.9787
63,0.517,-1068.17822,183.13493,573.28546,-1066.65015,156.23402,433.18433,-1049.90491,21.06127,426.1669
64,0.525,-1065.73169,181.19264,573.01093,-1065.05713,157.18813,433.36111,-1049.39844,20.96949,425.81525
65,0.533,-1064.70605,182.23415,572.87128,-1064.36194,157.41533,433.10123,-1047.26135,22.02176,424.89844
66,0.542,-1060.49451,180.28587,572.76489,-1063.58899,158.67036,433.22919,-1045.0271,22.41688,423.28583
67,0.55,-1058.02124,182.55106,572.38275,-1063.60559,159.25563,432.80945,-1043.11633,22.35239,423.59277
68,0.558,-1054.63684,182.81624,572.86957,-1062.85522,158.92281,433.30951,-1041.27942,23.85004,422.3576
69,0.567,-1053.69727,183.03735,572.49933,-1061.38464,158.66423,433.00385,-1041.73145,22.89187,422.40994
70,0.575,-1050.59534,180.71692,570.73297,-1059.16492,158.653,432.50751,-1040.2345,24.12072,422.41986
71,0.583,-1048.3739,180.03415,571.41968,-1057.92651,159.18181,431.68518,-1039.69641,22.83777,421.73837
72,0.592,-1046.57751,184.10715,572.37006,-1057.15027,159.60944,430.85892,-1036.42529,24.34224,422.44189
