Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
24,0.192,283.28549,-198.52368,1176.61792,273.99924,-148.5255,1151.09558,321.98999,-108.45649,1150.32104,374.42346,-84.50457,1162.59424,348.315,-175.17792,1218.73865,402.86459,-160.70526,1218.43042,452.49728,-143.33521,1211.31409
25,0.2,282.93552,-194.21581,1178.47949,273.43204,-144.35742,1152.56274,320.24265,-104.74207,1151.76428,373.29672,-81.38465,1163.58008,347.2843,-170.91534,1220.21106,401.99719,-156.69678,1220.17456,450.21603,-138.70723,1213.69299
26,0.208,281.90698,-191.90794,1178.92029,273.13269,-142.53847,1153.63049,320.42773,-101.78083,1153.75085,371.52307,-77.3716,1165.26514,346.272,-167.27835,1221.62561,400.47577,-151.95844,1222.11096,449.63535,-133.47597,1215.44788
27,0.217,281.01022,-188.60896,1180.83813,271.78177,-139.67117,1155.35522,318.99991,-97.92295,1154.3092,370.27505,-74.37448,1166.38257,345.02597,-163.30124,1223.28162,399.36566,-148.70425,1223.65234,447.88434,-130.60014,1217.29395
28,0.225,281.21823,-185.56424,1181.96228,271.90302,-136.5742,1156.46777,316.21262,-94.83627,1155.71338,368.42966,-70.16095,1167.83887,344.09387,-159.76245,1224.42651,397.98019,-144.27673,1224.90479,447.65366,-125.37927,1219.05566
29,0.233,280.38696,-181.67641,1183.14954,270.80566,-132.84868,1156.19824,315.82928,-92.63361,1156.89087,366.8266,-67.00046,1168.76404,344.10703,-156.26369,1225.48975,397.54709,-138.49774,1225.59436,445.37665,-119.87217,1220.9397
30,0.242,279.71243,-178.87869,1183.29517,268.76868,-131.3602,1158.02136,314.8963,-86.95538,1157.66626,364.96506,-62.20668,1169.53613,342.51541,-152.43257,1226.61829,396.36368,-135.15625,1227.76111,444.12601,-116.07064,1222.06702
31,0.25,278.45547,-175.75282,1184.38123,268.23117,-127.38605,1158.67566,313.23505,-84.12811,1158.98718,364.09451,-58.4026,1170.59436,341.90491,-148.64131,1228.00012,394.42325,-130.37935,1228.96729,443.01831,-110.41352,1223.21533
32,0.258,278.23007,-171.52443,1183.86084,267.14334,-125.53958,1158.79419,310.41425,-80.69614,1158.87256,362.18079,-54.29714,1171.66235,339.18237,-144.8705,1228.28455,393.60803,-125.47865,1229.19031,441.08307,-106.3896,1223.77429
33,0.267,277.54276,-169.49448,1184.43591,265.96518,-120.15518,1159.05774,309.98404,-77.1693,1159.17627,360.23575,-50.96189,1172.44287,339.52423,-141.18643,1228.53625,391.62527,-121.77668,1230.15869,438.96207,-100.57919,1225.22937
