Frame#,Time,L.Forearm.x,L.Forearm.y,L.Forearm.z,L.Ulna.x,L.Ulna.y,L.Ulna.z,L.Radius.x,L.Radius.y,L.Radius.z
56,0.458,231.99817,19.59274,1243.59839,325.31689,8.8283,1289.64038,289.38007,-39.77903,1256.51245
57,0.467,230.15569,20.69463,1246.74207,323.87131,11.70427,1293.88489,288.78384,-36.54469,1260.26123
58,0.475,228.38696,24.48218,1249.92029,322.22913,13.58928,1297.50281,286.68365,-37.75567,1265.15283
59,0.483,227.8333,25.44759,1252.51892,320.38495,16.15471,1300.95972,285.33499,-34.55129,1269.63049
60,0.492,225.32643,26.85026,1256.02576,317.8913,19.11284,1304.729,285.24481,-31.2445,1273.69983
61,0.5,225.02148,30.31164,1258.26672,316.31592,20.96532,1308.60583,283.03424,-29.33982,1276.61426
62,0.508,223.83437,30.41962,1260.5625,315.38553,24.15042,1312.10364,282.23126,-26.58562,1279.72998
63,0.517,222.17261,31.12553,1264.45251,313.29922,26.47636,1315.39929,281.64444,-25.46744,1283.64978
64,0.525,221.21419,32.79248,1267.10767,311.30157,27.83422,1320.17188,281.12402,-23.68996,1287.77722
65,0.533,220.27254,34.28065,1269.54785,310.07343,31.09138,1323.59558,281.07425,-20.44429,1292.20337
66,0.542,220.50783,36.22762,1271.55286,308.56396,34.6051,1327.34973,280.67648,-17.86808,1295.76563
67,0.55,219.93851,36.66572,1275.57642,308.27536,36.46559,1331.56873,280.69214,-15.82345,1298.41113
68,0.558,219.2717,38.15455,1277.76636,306.42838,40.63065,1335.50867,281.75531,-14.43607,1301.6167
69,0.567,219.04091,40.05575,1278.74133,305.30887,42.16076,1339.03162,280.68484,-13.09068,1304.39258
70,0.575,218.04726,41.13145,1281.64648,303.79904,45.77318,1342.05103,280.1658,-10.37754,1308.55957
71,0.583,218.47031,41.93284,1284.1145,302.97949,48.65372,1345.85767,280.08453,-8.51565,1311.45508
72,0.592,217.65331,43.3026,1285.88098,301.70267,51.15518,1348.33386,280.55859,-5.43895,1315.50598
