Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z
1,0,1428.36646,245.3636,907.67078
2,0.008,1421.80566,244.1861,907.01221
3,0.017,1415.5791,243.22319,907.59363
4,0.025,1408.23621,242.82481,907.70551
5,0.033,1401.18433,241.06189,907.56879
6,0.042,1394.0354,238.53798,906.82709
7,0.05,1388.11646,239.62071,907.07526
8,0.058,1380.31421,237.20085,906.91205
9,0.067,1374.0719,237.20761,906.48853
10,0.075,1367.21619,234.60503,906.16772
11,0.083,1360.63867,234.207,906.9256
12,0.092,1353.67969,232.59395,905.65912
13,0.1,1347.32361,231.40019,905.9364
14,0.108,1341.80554,229.60622,905.52051
15,0.117,1335.74329,228.86949,905.27234
16,0.125,1327.85449,227.82941,904.547
17,0.133,1321.26208,225.09297,904.78589
18,0.142,1316.22754,225.74065,904.34326
19,0.15,1309.56396,221.71985,902.82837
20,0.158,1303.02576,220.98093,901.77789
21,0.167,1297.4458,219.40697,901.59796
22,0.175,1291.34863,218.42342,901.06604
23,0.183,1285.75732,216.25464,900.96552
24,0.192,1279.85706,215.41016,900.28241
25,0.2,1272.92896,213.11716,900.04462
26,0.208,1267.00464,210.91231,900.64374
27,0.217,1261.67993,208.81262,899.8631
28,0.225,1256.2616,207.68513,900.15222
29,0.233,1251.51123,205.81686,900.00134
30,0.242,1245.81238,204.037,901.08691
31,0.25,1241.39355,202.55957,901.42804
32,0.258,1235.93994,201.17172,901.87115
33,0.267,1231.29248,198.9621,902.71045
34,0.275,1225.83923,197.69891,903.27698
35,0.283,1220.91602,196.72986,904.08234
36,0.292,1215.98352,195.21701,904.9549
37,0.3,1211.53943,194.63295,905.67407
38,0.308,1207.34143,191.88048,906.60779
39,0.317,1201.4032,192.03624,906.87354
40,0.325,1197.10547,190.18166,906.74677
41,0.333,1191.91809,190.1521,906.94293
42,0.342,1187.41858,188.95976,907.55005
43,0.35,1182.43774,187.43074,907.10187
44,0.358,1177.89746,186.37373,906.9762
45,0.367,1172.79626,185.52586,906.84155
46,0.375,1168.4928,185.00102,906.71136
47,0.383,1164.22778,184.33556,906.31921
48,0.392,1160.51953,184.35858,905.80365
49,0.4,1156.37183,183.34926,905.6347
50,0.408,1151.44299,180.85635,905.55322
51,0.417,1147.48267,180.95874,905.14087
52,0.425,1142.91309,180.74051,904.54309
53,0.433,1139.04529,180.07527,904.1192
54,0.442,1134.97302,179.56866,903.48346
55,0.45,1131.32239,179.03181,903.30017
56,0.458,1127.65051,179.09789,903.24182
57,0.467,1124.38696,179.04755,902.65527
58,0.475,1120.63074,177.99203,901.28766
59,0.483,1116.49438,177.69464,901.09332
60,0.492,1112.41895,177.048,900.63995
61,0.5,1108.73169,176.93053,900.11426
62,0.508,1104.93494,177.72461,899.49744
63,0.517,1100.50562,176.21877,897.79041
64,0.525,1095.99768,175.59943,897.63977
65,0.533,1093.1178,175.60884,897.0282
66,0.542,1089.16687,175.3745,896.51923
67,0.55,1084.87036,175.65541,896.00128
68,0.558,1081.23511,175.6225,895.47632
69,0.567,1077.47351,176.32901,895.04919
70,0.575,1072.81995,175.31224,894.06213
71,0.583,1068.70068,174.90654,893.48322
72,0.592,1064.54712,175.75433,892.36377
73,0.6,1060.22498,175.77289,891.03265
74,0.608,1054.84204,175.57756,890.40558
75,0.617,1050.58679,175.71144,889.36658
76,0.625,1045.33325,175.35329,888.58014
77,0.633,1040.34619,176.18335,887.995
78,0.642,1035.94971,176.31868,887.69983
79,0.65,1029.94556,176.44699,887.18365
80,0.658,1024.31201,176.11838,885.97601
81,0.667,1018.2865,176.26004,885.1142
82,0.675,1012.72772,175.95444,883.98499
83,0.683,1006.62891,176.12202,883.34161
84,0.692,1000.98193,176.68251,882.51154
85,0.7,994.39148,175.32245,881.27313
86,0.708,987.79987,176.09602,880.10547
87,0.717,981.8244,176.78407,879.33911
88,0.725,974.78119,177.25003,877.97308
89,0.733,966.82959,176.35777,877.18634
90,0.742,960.48633,176.43498,876.25421
91,0.75,952.52722,176.92291,875.54907
92,0.758,945.59198,178.5708,874.83112
93,0.767,938.05212,179.04253,874.05792
94,0.775,930.23962,178.86874,872.63928
95,0.783,921.85028,178.81828,871.76166
96,0.792,915.29474,180.38684,870.60767
97,0.8,906.35962,179.95222,870.36517
98,0.808,898.26831,180.9081,870.0296
99,0.817,889.7583,181.64015,869.82837
100,0.825,881.63495,181.11139,869.21136
101,0.833,873.44507,182.24944,869.67664
102,0.842,864.88806,182.17892,870.42169
103,0.85,856.05176,182.81996,871.47675
104,0.858,847.6283,182.91914,872.68506
105,0.867,838.95349,183.94914,873.75702
106,0.875,829.76013,184.2518,874.53436
107,0.883,821.02594,184.42986,875.34515
108,0.892,812.34741,185.53569,877.91876
109,0.9,803.03839,185.45383,878.99219
110,0.908,794.12976,186.19963,880.10193
111,0.917,785.53589,186.98058,882.29681
112,0.925,776.68677,186.90259,884.50592
113,0.933,767.70734,188.54112,885.27936
114,0.942,758.2771,188.93134,886.54303
115,0.95,750.00305,188.59341,887.54889
116,0.958,740.1391,190.00592,889.0907
117,0.967,731.54425,190.66251,889.82709
118,0.975,721.70258,190.75023,890.70935
119,0.983,713.41028,191.53214,890.77509
120,0.992,703.92322,192.25299,891.21967
121,1,694.92633,192.69046,892.40143
122,1.008,685.91608,193.16252,892.81989
123,1.017,676.5899,193.04027,892.86511
124,1.025,667.45923,193.3795,893.34674
125,1.033,658.73376,194.043,893.73145
126,1.042,650.18549,194.17513,894.08081
127,1.05,640.6391,193.84166,894.58264
128,1.058,631.90161,194.33917,894.55713
129,1.067,622.71637,194.04118,894.6192
130,1.075,613.5307,193.59009,895.25531
131,1.083,605.41821,192.84639,896.36853
132,1.092,597.87,192.90147,896.68365
133,1.1,588.67438,193.60835,896.9585
134,1.108,579.62939,193.22105,898.0412
135,1.117,571.90729,192.55452,898.21393
136,1.125,564.58606,192.96922,898.70477
137,1.133,555.47247,192.2688,899.19702
138,1.142,546.92639,191.28984,899.73035
139,1.15,540.0694,191.56812,900.69482
140,1.158,532.02759,190.97388,900.70367
141,1.167,524.36511,190.09622,900.75269
142,1.175,515.9223,190.70192,901.38623
143,1.183,508.97952,190.87561,902.12531
144,1.192,500.86481,189.14153,902.24213
145,1.2,493.56354,188.29442,902.64288
146,1.208,486.51816,188.3746,902.45123
147,1.217,479.4306,187.37811,903.46252
148,1.225,471.62793,186.6143,904.4176
149,1.233,464.66571,187.94316,904.03772
150,1.242,457.42181,186.40988,904.11029
151,1.25,450.05798,184.45854,904.00616
152,1.258,443.63293,184.97321,903.99048
153,1.267,436.83054,184.7683,904.27228
154,1.275,430.63019,183.62181,904.63391
155,1.283,422.99283,182.17201,905.27002
156,1.292,417.27652,182.24658,904.59656
157,1.3,410.64142,179.80099,904.62164
158,1.308,403.6788,178.98604,904.26202
159,1.317,398.36667,178.60471,903.9447
160,1.325,390.99002,177.7552,903.74396
161,1.333,385.20016,176.61002,904.35938
162,1.342,379.7753,175.81114,903.87061
163,1.35,373.858,174.85974,903.79883
164,1.358,367.01422,173.82024,904.44672
165,1.367,361.2995,173.73357,904.19299
166,1.375,355.47913,172.0271,904.33759
167,1.383,349.90057,171.28935,903.66492
168,1.392,344.56195,171.4967,903.53656
169,1.4,338.99164,169.52982,903.77972
170,1.408,334.24185,169.49191,904.07281
171,1.417,328.07172,167.47719,905.08759
172,1.425,324.17517,167.46703,905.56006
173,1.433,319.00485,166.30106,905.96588
174,1.442,315.08032,166.15599,906.47949
175,1.45,309.22238,165.13367,907.16266
176,1.458,305.13168,165.39769,908.17462
177,1.467,300.39526,163.57359,908.7038
178,1.475,296.72302,163.68126,909.35468
179,1.483,291.5773,162.92949,909.97479
180,1.492,286.91382,163.86923,910.20551
181,1.5,282.32663,161.40985,910.94672
182,1.508,278.21609,162.18178,911.00012
183,1.517,272.89825,160.6691,910.94855
184,1.525,269.55127,160.29924,910.93298
