Frame#,Time,L.Radius.x,L.Radius.y,L.Radius.z
1,0,1663.53333,-25.37792,1361.30298
2,0.008,1657.00549,-25.49021,1360.66077
3,0.017,1652.55957,-26.25721,1360.51477
4,0.025,1646.18335,-27.33531,1360.5415
5,0.033,1639.80432,-27.80781,1360.71301
6,0.042,1632.73401,-28.76189,1359.50647
7,0.05,1627.64392,-30.61623,1359.24744
8,0.058,1620.51453,-30.97,1357.74084
9,0.067,1615.20569,-32.21474,1358.02441
10,0.075,1608.27405,-32.84666,1357.65503
11,0.083,1602.13232,-32.61114,1357.37622
12,0.092,1596.78528,-34.91333,1356.13049
13,0.1,1590.50342,-37.32622,1354.62781
14,0.108,1584.70032,-38.35055,1354.71252
15,0.117,1578.1488,-40.01317,1354.66687
16,0.125,1572.30237,-41.1008,1353.29529
17,0.133,1566.86401,-43.39159,1352.39893
18,0.142,1558.24487,-45.43285,1350.82178
19,0.15,1552.65234,-48.00221,1350.60425
20,0.158,1546.4458,-48.64513,1349.76514
21,0.167,1540.19165,-52.40594,1348.39929
22,0.175,1534.84558,-55.08053,1347.57068
23,0.183,1527.29456,-55.79718,1346.17188
24,0.192,1522.07007,-58.50573,1346.60852
25,0.2,1516.42896,-61.86793,1346.07544
26,0.208,1508.8363,-62.2491,1345.85767
27,0.217,1503.42883,-65.97336,1346.1936
28,0.225,1497.22046,-67.73521,1347.71179
29,0.233,1490.38184,-69.58936,1347.80054
30,0.242,1484.92505,-71.78284,1348.42126
31,0.25,1477.70227,-73.57622,1349.95837
32,0.258,1473.7616,-75.35204,1351.16504
33,0.267,1465.69739,-75.91939,1352.35815
34,0.275,1461.88123,-79.05587,1353.74573
35,0.283,1454.49133,-79.5691,1354.53845
36,0.292,1448.16614,-83.10516,1356.25977
37,0.3,1441.89661,-84.14471,1355.59766
38,0.308,1435.34082,-86.43266,1357.09155
39,0.317,1429.06116,-89.56556,1357.30469
40,0.325,1421.69849,-90.14397,1357.57275
41,0.333,1415.0343,-92.58305,1358.2002
42,0.342,1408.89966,-94.27715,1359.30298
43,0.35,1401.50146,-97.39703,1359.01953
44,0.358,1395.67004,-98.8088,1359.78992
45,0.367,1388.94519,-100.62923,1359.41394
46,0.375,1382.76172,-103.46463,1360.34778
47,0.383,1375.41455,-104.46646,1360.7804
48,0.392,1369.86328,-107.47956,1361.03247
49,0.4,1361.28552,-107.31848,1361.31006
50,0.408,1356.85876,-109.67621,1361.69714
51,0.417,1351.14734,-111.56252,1360.89612
52,0.425,1343.88892,-113.38264,1361.39917
53,0.433,1338.45129,-114.81403,1362.04749
54,0.442,1331.69421,-115.38779,1362.11768
55,0.45,1325.7688,-118.2896,1362.3302
56,0.458,1319.35596,-118.53457,1362.65942
57,0.467,1314.03259,-121.29298,1362.52649
58,0.475,1307.11365,-121.29057,1362.3241
59,0.483,1301.40845,-121.95435,1362.21216
60,0.492,1295.39832,-122.88978,1362.80688
61,0.5,1289.69727,-124.8268,1362.88428
62,0.508,1281.97083,-124.95036,1362.58459
63,0.517,1276.172,-125.82074,1363.00525
64,0.525,1270.6344,-127.2976,1362.46045
65,0.533,1264.01746,-127.63005,1361.8136
66,0.542,1258.14941,-128.75111,1361.79224
67,0.55,1251.60376,-129.56932,1362.27307
68,0.558,1246.59326,-130.91969,1362.75452
69,0.567,1239.7113,-130.60941,1362.08838
70,0.575,1233.63599,-131.03473,1361.09302
71,0.583,1228.24329,-132.14107,1361.73669
72,0.592,1220.39648,-131.25827,1361.04736
73,0.6,1214.39893,-131.56941,1360.21423
74,0.608,1209.32544,-132.92976,1360.41223
75,0.617,1202.3606,-132.28958,1359.37793
76,0.625,1196.56274,-132.71582,1360.55908
77,0.633,1190.06042,-132.80283,1359.75317
78,0.642,1183.31067,-131.85524,1359.42615
79,0.65,1176.82605,-132.66023,1358.26831
80,0.658,1171.349,-131.90891,1357.55835
81,0.667,1163.95093,-130.83553,1356.54724
82,0.675,1158.19543,-130.62584,1356.53101
83,0.683,1152.08777,-130.61983,1353.89063
84,0.692,1145.37256,-129.43222,1354.08582
85,0.7,1138.91553,-129.0377,1352.71716
86,0.708,1133.46179,-127.67548,1351.823
87,0.717,1126.98901,-128.0853,1350.71191
88,0.725,1120.61169,-126.85682,1350.01172
89,0.733,1114.00122,-125.04918,1348.43982
90,0.742,1107.35718,-123.44142,1347.54651
91,0.75,1101.7135,-123.09714,1345.84229
92,0.758,1094.76086,-121.72765,1345.45801
93,0.767,1088.88708,-121.85013,1344.83667
94,0.775,1081.39404,-120.17443,1343.21973
95,0.783,1074.27942,-118.41454,1342.55823
96,0.792,1067.81909,-117.25581,1341.80383
97,0.8,1061.27051,-115.88996,1342.28162
98,0.808,1053.9397,-114.96062,1342.98499
99,0.817,1046.02905,-114.00459,1342.14709
100,0.825,1039.97498,-113.04653,1342.8949
101,0.833,1033.21753,-112.59906,1343.8418
102,0.842,1025.0686,-111.73156,1344.89246
103,0.85,1018.42798,-111.02132,1346.2677
104,0.858,1010.81573,-110.20161,1346.30078
105,0.867,1003.93927,-109.66553,1348.20898
106,0.875,996.02521,-108.25661,1348.09058
107,0.883,988.35968,-106.72509,1349.01013
