Frame#,Time,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
1,0,1645.85181,156.68829,1347.76636
2,0.008,1640.07666,157.94902,1347.76929
3,0.017,1633.49817,156.94167,1348.71777
4,0.025,1628.27771,156.07468,1348.02319
5,0.033,1621.35779,154.99031,1347.76794
6,0.042,1614.23718,154.97408,1347.43652
7,0.05,1608.94263,153.03906,1347.30457
8,0.058,1602.9325,152.78964,1346.09241
9,0.067,1595.94226,151.75999,1346.44617
10,0.075,1589.7417,149.78703,1345.69299
11,0.083,1583.5531,149.36137,1344.69666
12,0.092,1577.27283,148.22758,1344.61511
13,0.1,1571.28186,145.65991,1343.65662
14,0.108,1565.21521,145.16431,1343.87231
15,0.117,1559.04468,143.34773,1342.52771
16,0.125,1554.15979,142.035,1342.28162
17,0.133,1547.59424,140.00117,1341.51929
18,0.142,1541.59937,137.69591,1340.75354
19,0.15,1535.5426,136.03484,1340.39856
20,0.158,1529.56836,134.32645,1339.26392
21,0.167,1523.76624,132.60037,1337.80505
22,0.175,1519.19543,129.60571,1337.89246
23,0.183,1513.63867,127.09584,1336.94287
24,0.192,1507.42773,126.22053,1336.89392
25,0.2,1501.53589,121.8717,1336.00586
26,0.208,1495.82007,120.55978,1336.82068
27,0.217,1489.96692,118.28667,1337.01978
28,0.225,1483.06018,116.35413,1338.01514
29,0.233,1477.70178,114.11868,1339.31262
30,0.242,1471.99719,112.25733,1340.02844
31,0.25,1464.14758,111.12649,1341.91235
32,0.258,1459.0011,108.43136,1342.4679
33,0.267,1451.97729,107.39755,1344.43567
34,0.275,1446.26965,105.24547,1344.73035
35,0.283,1441.03442,102.85923,1346.7157
36,0.292,1434.07727,101.59702,1347.39453
37,0.3,1428.41138,99.61243,1348.13452
38,0.308,1422.52942,96.89822,1349.36829
39,0.317,1417.37146,94.79098,1348.99829
40,0.325,1411.00525,93.11861,1350.69702
41,0.333,1404.95691,90.80615,1351.24683
42,0.342,1399.29883,89.49189,1350.47107
43,0.35,1394.46655,87.16569,1352.62708
44,0.358,1387.33118,84.73927,1353.00977
45,0.367,1383.11523,83.45679,1353.01892
46,0.375,1377.78796,81.65687,1353.28613
47,0.383,1370.8689,80.63733,1354.14221
48,0.392,1365.9585,78.03971,1354.50122
49,0.4,1360.07532,76.67557,1354.35034
50,0.408,1354.93188,75.04848,1354.20605
51,0.417,1349.17383,74.64046,1355.25256
52,0.425,1344.03516,71.57627,1355.06372
53,0.433,1337.70227,70.68459,1355.02417
54,0.442,1332.68506,69.03123,1355.59546
55,0.45,1326.26428,67.80721,1356.04004
56,0.458,1321.01404,67.25253,1355.54041
57,0.467,1315.32971,65.41016,1355.49634
58,0.475,1310.27966,63.9142,1355.74414
59,0.483,1304.82214,62.55656,1356.14197
60,0.492,1298.82312,62.22379,1356.8114
61,0.5,1294.08838,60.64904,1355.64734
62,0.508,1287.62329,60.51566,1355.56421
63,0.517,1282.56433,58.63483,1356.12024
64,0.525,1276.14539,57.92873,1355.86169
65,0.533,1270.77368,56.73156,1356.05884
66,0.542,1265.08203,56.05441,1355.75977
67,0.55,1258.51123,55.63488,1355.11646
68,0.558,1252.71082,55.64956,1355.33679
69,0.567,1247.63232,54.70763,1354.92053
70,0.575,1241.09253,54.20665,1354.4248
71,0.583,1235.32837,53.35239,1354.71802
72,0.592,1228.90564,53.92742,1354.47534
73,0.6,1222.18042,54.06607,1354.2616
74,0.608,1216.88464,53.68899,1353.71252
75,0.617,1210.55408,52.62994,1352.49353
76,0.625,1204.31555,52.98391,1352.14429
77,0.633,1197.55469,53.3759,1352.00024
78,0.642,1191.6521,52.88877,1350.4436
79,0.65,1184.74146,53.66102,1350.11072
80,0.658,1177.97241,53.83009,1349.54529
81,0.667,1171.53577,53.3732,1348.42285
82,0.675,1164.17224,54.29044,1347.67944
83,0.683,1157.94653,54.8103,1346.30969
84,0.692,1151.00317,55.30959,1345.41919
85,0.7,1144.60828,55.94486,1344.20142
86,0.708,1138.07019,56.17951,1342.91455
87,0.717,1131.81689,57.62723,1342.17896
88,0.725,1124.9707,59.63271,1340.33875
89,0.733,1118.36511,60.40889,1339.34021
90,0.742,1111.95642,60.5378,1337.81689
91,0.75,1104.95752,61.34019,1336.34656
92,0.758,1098.5459,62.23598,1335.88208
93,0.767,1091.14893,63.79867,1334.54114
94,0.775,1085.13171,65.50943,1333.21802
95,0.783,1078.60913,65.95275,1332.46741
96,0.792,1071.61108,67.02756,1331.40527
97,0.8,1065.07751,67.94348,1331.72302
98,0.808,1057.98596,69.90709,1331.58545
99,0.817,1051.47083,70.30531,1331.48816
100,0.825,1044.02405,71.96393,1332.10876
101,0.833,1037.49902,72.93166,1332.86304
102,0.842,1030.90051,73.00857,1333.37817
103,0.85,1023.86652,74.17602,1334.51819
104,0.858,1017.03125,75.57986,1335.32166
105,0.867,1009.99561,76.04568,1336.32129
106,0.875,1002.32123,77.09402,1336.43213
107,0.883,994.99725,78.53084,1338.27881
108,0.892,988.79474,78.09995,1337.95325
109,0.9,981.21503,79.92293,1339.56738
110,0.908,974.41669,81.87721,1340.57727
111,0.917,967.8194,81.89288,1340.29822
112,0.925,959.73718,82.45736,1341.37683
113,0.933,952.80804,85.05863,1341.9928
114,0.942,944.5918,85.39312,1342.28552
115,0.95,937.98779,87.14368,1342.98608
116,0.958,929.88416,88.11602,1343.55042
117,0.967,922.97437,89.67176,1342.59143
118,0.975,914.65057,90.03529,1343.37366
119,0.983,907.59448,91.34711,1343.96094
120,0.992,900.20129,92.30347,1344.96216
121,1,893.17065,94.51734,1345.26819
122,1.008,885.33179,94.82027,1346.13477
123,1.017,878.79224,96.61376,1345.79114
124,1.025,872.83807,96.33993,1346.37073
125,1.033,864.23676,98.28709,1347.42896
126,1.042,857.74591,98.39215,1347.87683
127,1.05,850.90515,99.45935,1347.82751
128,1.058,843.71503,99.99715,1348.48596
129,1.067,837.93719,101.25675,1348.31665
130,1.075,830.46411,102.20928,1348.53467
131,1.083,824.24847,102.10089,1349.54578
132,1.092,817.31274,102.05896,1348.51782
133,1.1,811.15637,102.77261,1349.29272
134,1.108,804.74622,103.16492,1349.82471
135,1.117,798.10889,104.75438,1349.80042
136,1.125,791.31055,104.64949,1350.00281
137,1.133,785.48499,105.03509,1349.72266
138,1.142,776.71924,105.64622,1348.93262
139,1.15,771.47424,105.14825,1349.65723
140,1.158,765.83136,105.00901,1349.77222
141,1.167,759.75146,105.79655,1349.43933
142,1.175,752.15649,105.63571,1348.47168
143,1.183,745.84143,105.08103,1349.07007
144,1.192,740.48553,105.14044,1348.34326
145,1.2,734.3205,104.61077,1348.09595
146,1.208,728.66077,105.17987,1347.27954
147,1.217,721.19226,104.52264,1346.38757
148,1.225,715.95081,102.39987,1346.8678
149,1.233,709.35748,102.04529,1345.58179
150,1.242,703.93103,101.14385,1345.42798
151,1.25,697.09662,100.94839,1345.61511
152,1.258,691.42285,100.24983,1344.92188
153,1.267,685.66364,99.08972,1344.26392
154,1.275,680.53961,98.32018,1343.36963
155,1.283,675.4093,96.21312,1343.34204
156,1.292,669.08057,94.81359,1341.81079
157,1.3,662.38641,94.07793,1341.03271
158,1.308,656.98267,93.65388,1341.01245
159,1.317,651.17371,92.65366,1339.84912
160,1.325,646.23474,90.58457,1339.47729
161,1.333,639.66772,88.80421,1338.50879
162,1.342,635.38855,86.64468,1336.69714
163,1.35,628.6452,83.82389,1336.62
164,1.358,621.61029,82.39072,1336.58411
165,1.367,617.29022,82.46215,1335.62122
166,1.375,611.63068,79.56314,1334.94641
167,1.383,604.56769,78.97382,1335.75464
168,1.392,599.06342,76.96408,1335.85498
169,1.4,592.16937,75.52212,1337.04639
170,1.408,587.552,73.33868,1336.99109
171,1.417,579.99561,72.8045,1339.00732
172,1.425,572.79437,71.80511,1339.37366
173,1.433,566.67444,70.47163,1341.12756
174,1.442,561.55249,68.83991,1342.03015
175,1.45,553.59583,67.53084,1343.31128
176,1.458,547.05072,66.76335,1345.06592
177,1.467,541.33759,64.42491,1345.50427
178,1.475,536.46423,62.83059,1346.55762
179,1.483,528.3114,62.56146,1347.07471
180,1.492,522.00824,60.1918,1346.84326
181,1.5,514.78357,59.22043,1347.43347
182,1.508,510.14127,56.39746,1347.07117
183,1.517,504.22455,53.95155,1348.16797
184,1.525,497.40222,52.70408,1349.83923
