Frame#,Time,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z
1,0,1687.07043,153.47124,1238.06567,1549.63708,276.58923,1178.22278
2,0.008,1683.78577,150.98886,1238.24805,1543.47461,275.62271,1178.40479
3,0.017,1676.25024,151.55328,1237.71912,1537.60083,274.47272,1178.39404
4,0.025,1670.0625,151.59059,1237.58789,1530.5968,275.00589,1177.25208
5,0.033,1663.34961,151.09909,1236.94055,1522.75891,272.92133,1177.4032
6,0.042,1657.21436,150.33836,1237.07349,1515.65588,271.73798,1176.07227
7,0.05,1650.11682,148.68155,1237.95654,1509.64526,270.51599,1175.9552
8,0.058,1643.55994,148.50949,1236.52075,1503.65442,269.43063,1176.67664
9,0.067,1637.76086,145.87311,1235.70667,1496.87903,269.16559,1176.0011
10,0.075,1631.40698,144.77919,1234.86548,1490.69922,268.12741,1176.46106
11,0.083,1624.85242,144.96782,1234.45935,1483.11279,266.09967,1175.13074
12,0.092,1618.6604,144.24037,1233.86426,1477.28845,265.26627,1175.98645
13,0.1,1611.78296,143.47295,1233.11377,1471.64233,264.11761,1173.73328
14,0.108,1606.35571,140.40787,1232.62585,1465.94324,263.19824,1174.38647
15,0.117,1600.36194,138.93459,1231.58289,1458.797,262.81473,1173.79346
16,0.125,1593.12634,137.79726,1231.12439,1451.44873,260.23621,1173.62109
17,0.133,1587.80786,135.67989,1230.00757,1445.8562,258.8447,1172.60291
18,0.142,1581.03357,134.3445,1229.58154,1441.37244,256.90875,1172.80029
19,0.15,1575.41992,132.69611,1228.85315,1434.17798,255.10518,1169.6261
20,0.158,1569.85217,129.62682,1227.53906,1429.5863,254.02367,1170.65564
21,0.167,1563.0415,128.46437,1226.92871,1424.24524,251.70157,1170.23828
22,0.175,1557.41956,125.99748,1226.07153,1419.10339,252.27481,1170.73865
23,0.183,1551.39539,123.07691,1225.01514,1411.09314,247.14938,1170.0166
24,0.192,1545.64355,120.48259,1225.12695,1405.62683,245.04132,1168.90076
25,0.2,1539.13977,119.92433,1224.16541,1400.67249,243.53612,1169.49744
26,0.208,1533.66455,116.1574,1224.59875,1394.67603,241.84798,1169.73572
27,0.217,1526.92786,113.77454,1225.23865,1390.56372,239.98808,1170.79382
28,0.225,1520.43787,112.93356,1226.28247,1384.177,236.99991,1171.47375
29,0.233,1514.08411,109.85596,1226.3772,1379.94409,236.1057,1171.9342
30,0.242,1507.45398,108.63874,1227.93701,1373.63354,233.78883,1172.54785
31,0.25,1500.67859,106.46659,1228.88,1370.01611,232.61298,1176.31079
32,0.258,1494.30762,103.46638,1229.87805,1361.20154,229.70685,1176.80737
33,0.267,1488.19202,102.66016,1230.76648,1354.89575,227.15967,1177.86426
34,0.275,1481.53333,100.30651,1232.14551,1350.08972,226.52982,1179.58801
35,0.283,1474.88928,99.17847,1232.70349,1343.15112,224.35016,1181.58789
36,0.292,1468.9259,96.49936,1233.39551,1336.84387,222.35895,1182.42078
37,0.3,1462.53955,94.87651,1234.75574,1330.40991,220.28267,1183.57422
38,0.308,1455.77051,92.80572,1235.48218,1325.76318,218.02438,1184.87341
39,0.317,1450.29065,90.40696,1235.92676,1320.17664,216.65494,1186.91309
40,0.325,1443.99719,88.31889,1236.43091,1314.16528,213.8335,1186.64502
41,0.333,1438.47998,86.31207,1237.67419,1309.41699,213.91977,1186.70422
42,0.342,1431.96814,83.98962,1238.48669,1303.18774,210.87521,1188.1499
43,0.35,1427.52478,82.3616,1238.64648,1300.14624,210.03119,1189.24365
