Frame#,Time,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z
1,0,1618.38464,236.70926,1022.59766
2,0.008,1612.4165,235.72301,1021.8559
3,0.017,1606.65076,235.52527,1022.55334
4,0.025,1598.74255,235.41821,1019.01868
5,0.033,1593.45703,235.60434,1020.61322
6,0.042,1586.37427,234.19894,1019.36963
7,0.05,1578.16956,233.33946,1019.0943
8,0.058,1572.72681,233.10533,1018.58923
9,0.067,1565.45886,230.83571,1017.78748
10,0.075,1560.15442,230.39996,1017.41553
11,0.083,1553.72375,230.30202,1016.48535
12,0.092,1546.81116,228.71469,1016.66943
13,0.1,1542.28613,227.90224,1015.16913
14,0.108,1534.1604,225.65439,1015.22485
15,0.117,1527.84204,225.08769,1014.56476
16,0.125,1521.61768,222.37895,1014.26367
17,0.133,1514.66614,221.18909,1013.10742
18,0.142,1509.89685,219.8831,1012.73126
19,0.15,1503.48193,218.95111,1011.5813
20,0.158,1497.45154,217.24815,1012.71118
21,0.167,1490.4342,214.27046,1011.85071
22,0.175,1482.93237,213.88052,1010.86603
23,0.183,1478.39661,211.08482,1010.96802
24,0.192,1472.66943,209.20663,1009.52191
25,0.2,1466.13611,206.9379,1009.58942
26,0.208,1460.86829,204.11082,1009.53632
27,0.217,1454.44678,201.70767,1008.68005
28,0.225,1448.1178,200.66344,1009.21094
29,0.233,1442.19495,197.6898,1009.84662
30,0.242,1437.20532,195.7794,1010.78021
31,0.25,1432.10181,192.85793,1012.80151
32,0.258,1425.73438,190.45773,1015.85529
33,0.267,1420.25122,188.50156,1017.85028
34,0.275,1414.30261,185.04416,1020.34491
35,0.283,1407.61462,182.62743,1021.26447
36,0.292,1401.88843,179.27602,1024.16553
37,0.3,1396.51343,176.90166,1026.06738
38,0.308,1390.39197,174.3423,1029.06287
39,0.317,1384.78589,172.46625,1031.33594
40,0.325,1379.4126,170.87442,1031.8739
41,0.333,1372.82813,169.34151,1032.6228
42,0.342,1368.25208,166.88565,1032.45923
43,0.35,1362.60022,165.86147,1033.03687
44,0.358,1357.76526,163.2408,1033.43958
45,0.367,1353.43884,162.52367,1033.63403
46,0.375,1348.08826,161.80629,1034.14893
47,0.383,1343.27197,159.91351,1034.00928
48,0.392,1338.97852,159.26865,1034.07605
49,0.4,1333.55029,157.00453,1034.65686
50,0.408,1328.83008,156.54756,1034.84949
51,0.417,1324.12146,155.13115,1034.31274
52,0.425,1319.4021,152.95543,1035.27795
53,0.433,1314.22388,151.66888,1035.94531
54,0.442,1310.49512,150.3745,1035.9447
55,0.45,1305.69263,149.34035,1035.59167
56,0.458,1301.15381,148.47523,1036.38916
57,0.467,1297.37024,147.68045,1036.39185
58,0.475,1292.61401,146.43663,1036.6709
59,0.483,1287.60095,144.6507,1036.16736
60,0.492,1283.06506,143.70151,1037.30322
61,0.5,1278.60315,143.39037,1037.25012
62,0.508,1274.19885,143.3343,1036.42664
63,0.517,1270.91919,142.161,1037.23083
64,0.525,1265.85718,141.28162,1037.56226
65,0.533,1260.7793,139.72957,1037.50085
66,0.542,1255.97839,139.53125,1037.55981
67,0.55,1251.38892,137.99663,1037.12573
68,0.558,1246.66846,138.85622,1036.58594
69,0.567,1242.46362,137.38087,1036.19043
70,0.575,1236.78101,136.79843,1035.70142
71,0.583,1232.19958,136.15707,1036.41711
72,0.592,1227.54138,135.88614,1037.18152
73,0.6,1222.59424,135.32018,1037.05554
74,0.608,1216.73218,135.84285,1036.58984
75,0.617,1212.33838,134.60361,1035.31958
76,0.625,1206.53638,134.72842,1035.40247
77,0.633,1199.23523,134.90022,1035.24207
78,0.642,1194.39563,133.95256,1034.51855
79,0.65,1188.28296,134.05113,1034.37585
80,0.658,1183.20203,133.65315,1034.28064
81,0.667,1176.86597,134.74341,1033.06213
82,0.675,1170.65161,134.73853,1032.31384
83,0.683,1164.71948,135.04712,1031.48108
84,0.692,1158.651,135.64738,1029.88867
85,0.7,1152.29797,136.55229,1029.48022
86,0.708,1144.77917,136.97656,1028.43604
87,0.717,1140.13086,136.66374,1027.80566
88,0.725,1131.73425,137.94765,1025.95667
89,0.733,1125.98279,138.64297,1025.20386
90,0.742,1118.21704,139.42007,1023.77032
91,0.75,1111.64941,139.7068,1022.36676
92,0.758,1104.96533,140.55885,1021.06537
93,0.767,1096.82312,141.56772,1019.17804
94,0.775,1089.62585,142.80342,1018.61212
95,0.783,1081.30334,144.776,1017.38483
96,0.792,1073.76111,145.16203,1015.89447
97,0.8,1066.43408,144.70245,1014.78906
98,0.808,1058.3031,146.00598,1014.33594
99,0.817,1049.3772,146.62338,1013.5434
100,0.825,1042.05872,146.6813,1014.22247
101,0.833,1032.17944,147.08574,1014.36804
102,0.842,1024.41907,147.76472,1014.6983
103,0.85,1015.98492,149.18185,1015.01703
104,0.858,1006.70972,150.51973,1015.37512
105,0.867,998.42841,150.28271,1016.35425
106,0.875,989.91101,151.72701,1017.70197
107,0.883,981.09863,152.01878,1018.9314
108,0.892,972.89301,153.15355,1019.26611
109,0.9,964.73163,154.58656,1019.93549
110,0.908,956.76855,154.93695,1021.50482
111,0.917,948.604,155.29977,1022.31616
112,0.925,940.33942,156.87599,1022.97369
113,0.933,932.27435,158.45377,1022.76849
114,0.942,929.61877,160.74904,1022.91534
115,0.95,920.9491,161.51595,1022.80505
116,0.958,912.70734,162.16063,1023.3067
117,0.967,905.03247,162.54616,1022.3078
118,0.975,896.83167,163.41243,1023.8493
119,0.983,888.05731,164.56537,1022.30865
120,0.992,879.59753,165.74083,1022.51636
121,1,871.29205,166.24109,1022.55682
122,1.008,863.48901,167.76033,1022.91144
123,1.017,854.11572,168.82524,1021.79657
124,1.025,846.04828,170.77325,1021.12988
125,1.033,837.44916,171.16579,1021.36731
126,1.042,829.16486,171.62018,1021.62146
127,1.05,820.31708,171.71477,1021.11835
128,1.058,811.62903,172.9315,1020.76501
129,1.067,803.55261,173.92259,1021.07318
130,1.075,796.68243,173.40083,1020.53442
131,1.083,788.02551,173.6537,1021.52057
132,1.092,779.65112,174.10373,1020.72302
133,1.1,771.84412,175.88828,1021.04065
134,1.108,765.08972,175.49246,1021.1109
135,1.117,757.80994,175.72185,1021.31549
136,1.125,749.79742,175.88544,1020.29919
137,1.133,742.59528,176.85431,1020.28912
138,1.142,734.99255,178.1149,1020.12372
139,1.15,727.43842,176.29486,1019.03741
140,1.158,719.62512,177.64357,1018.88519
141,1.167,711.81873,178.30609,1018.2984
142,1.175,706.82721,177.53044,1018.44141
143,1.183,699.70093,177.87309,1017.32446
144,1.192,691.03107,177.52982,1015.10162
145,1.2,683.46869,177.41891,1016.6557
146,1.208,675.86255,175.61319,1016.65869
147,1.217,668.41351,174.64995,1014.97406
148,1.225,662.48303,175.61749,1014.06561
149,1.233,656.75421,175.06563,1013.91022
150,1.242,650.64929,173.54547,1014.53894
151,1.25,642.39972,174.23592,1014.13336
152,1.258,635.93024,172.16881,1012.61768
153,1.267,628.80121,171.83492,1011.90002
154,1.275,623.28424,170.99831,1012.01105
155,1.283,616.68738,169.63132,1011.20074
156,1.292,611.42401,168.51514,1011.22406
157,1.3,603.46674,168.56873,1010.65869
158,1.308,598.18616,166.84981,1010.69055
159,1.317,592.70062,164.79111,1008.97083
160,1.325,584.79651,164.34245,1008.52582
161,1.333,582.69391,163.45015,1008.17688
162,1.342,574.79724,162.87257,1007.60187
163,1.35,568.78302,161.00752,1006.58582
164,1.358,564.07751,159.35797,1006.26874
165,1.367,557.83289,158.83723,1006.12329
166,1.375,553.75861,157.07304,1006.50946
167,1.383,546.12524,156.79655,1005.99316
168,1.392,540.04041,154.86908,1005.61591
169,1.4,534.21472,152.58759,1006.33392
170,1.408,527.13397,152.23831,1007.60577
171,1.417,523.83356,150.33105,1008.38525
172,1.425,517.79083,148.97772,1010.49542
173,1.433,511.99854,146.56479,1012.60858
174,1.442,506.58398,143.623,1014.22449
175,1.45,499.83948,143.0715,1017.36108
176,1.458,494.76675,142.43993,1018.56897
177,1.467,487.80124,140.17064,1021.3291
178,1.475,484.8829,139.06502,1022.75592
179,1.483,479.08359,138.33833,1024.76672
180,1.492,474.50623,136.56667,1025.76038
181,1.5,468.79327,135.56235,1026.75037
182,1.508,464.34601,135.69322,1027.70715
183,1.517,458.9335,135.08945,1028.98291
184,1.525,454.53168,132.83383,1028.98071
185,1.533,450.08075,133.95853,1029.04138
186,1.542,446.28397,133.30659,1029.36194
187,1.55,441.26193,133.41125,1030.69055
188,1.558,437.62463,132.50191,1030.87329
189,1.567,434.59015,132.16425,1030.9231
190,1.575,429.13812,131.05392,1030.53967
191,1.583,427.2244,130.23085,1031.77087
192,1.592,421.25403,129.23792,1032.33606
193,1.6,417.202,129.23747,1032.48743
194,1.608,412.14185,129.14719,1032.62073
195,1.617,409.01202,127.60017,1032.90283
196,1.625,404.68076,125.97907,1032.54651
197,1.633,400.15085,124.85514,1033.3844
198,1.642,395.58759,123.38226,1033.74805
