Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z
147,1.217,542.9057,237.24509,903.05103
148,1.225,534.99701,236.94046,903.02271
149,1.233,527.54492,236.69196,903.82623
150,1.242,521.00549,235.81857,902.7309
151,1.25,514.367,235.40268,902.20343
152,1.258,506.38559,233.92889,902.46045
153,1.267,501.1651,233.43364,902.51123
154,1.275,493.62711,232.54579,902.78339
155,1.283,487.33499,231.783,902.05298
156,1.292,480.10574,231.18813,902.4317
157,1.3,474.46405,229.7484,901.97754
158,1.308,468.26685,228.26392,901.24756
159,1.317,461.48996,227.70634,901.23676
160,1.325,455.72528,226.52643,900.59607
161,1.333,449.3895,225.33379,900.79071
162,1.342,443.56522,224.41492,900.79663
163,1.35,436.79138,223.58051,900.867
164,1.358,431.41064,222.49788,900.1427
165,1.367,426.29892,220.90697,900.44586
166,1.375,418.81042,221.07401,899.87463
167,1.383,414.32465,219.56235,899.48157
168,1.392,407.65851,218.55058,900.15936
169,1.4,402.73557,217.93501,899.75879
170,1.408,398.91696,215.38396,900.39661
171,1.417,394.16678,214.69064,901.48914
172,1.425,389.69467,213.7468,902.6687
173,1.433,385.09247,213.51013,904.27057
174,1.442,380.48718,212.73793,905.10345
175,1.45,375.35593,210.90268,906.82483
176,1.458,371.0224,210.97313,907.35571
177,1.467,366.72516,209.94524,908.57031
178,1.475,361.55902,208.31972,909.64087
179,1.483,357.43225,207.95927,911.06281
180,1.492,352.38205,208.02475,911.54437
181,1.5,347.81546,208.0856,911.922
182,1.508,343.92422,207.41304,912.396
183,1.517,339.68454,207.36188,912.91461
184,1.525,335.63083,205.76926,912.86432
185,1.533,331.8801,204.8152,913.34674
186,1.542,326.9946,205.1234,913.19397
187,1.55,322.73483,205.02467,913.61267
188,1.558,319.16824,204.99039,914.01074
189,1.567,314.02728,204.29243,913.73383
190,1.575,312.84286,203.72041,913.8714
191,1.583,308.52692,204.94623,913.59308
192,1.592,304.32135,203.18993,913.55664
193,1.6,300.79541,202.68976,912.42645
194,1.608,298.75244,202.97235,912.67615
195,1.617,294.58575,202.30113,912.78839
196,1.625,291.06387,201.39169,913.047
197,1.633,290.23489,201.48045,912.81189
198,1.642,285.48349,200.72888,912.10754
199,1.65,283.39731,200.64828,911.94659
200,1.658,279.33563,201.06071,910.48499
201,1.667,276.16629,200.97528,910.12598
202,1.675,274.52234,201.57169,909.98273
203,1.683,270.83182,201.43579,909.50366
204,1.692,267.17938,200.11179,908.92743
205,1.7,264.91406,199.22267,909.0918
206,1.708,261.74118,199.84038,908.21057
207,1.717,256.48444,201.19482,907.54944
208,1.725,252.85362,200.55437,906.82385
209,1.733,250.21985,200.2495,907.12701
210,1.742,247.03125,199.46918,906.78534
211,1.75,241.99168,199.92996,905.92627
212,1.758,237.87811,199.36444,905.27722
213,1.767,234.80527,199.01532,904.31848
214,1.775,231.26041,199.41505,903.48334
215,1.783,226.383,198.92328,902.54163
216,1.792,222.54889,199.22722,902.578
217,1.8,218.49156,199.1998,902.31805
218,1.808,213.4492,200.12839,902.00531
219,1.817,208.63138,199.55928,900.24951
220,1.825,203.31386,199.84348,899.28363
221,1.833,197.74797,200.14786,899.30261
222,1.842,193.13394,200.19853,899.38861
223,1.85,186.68048,201.04109,897.94623
224,1.858,181.2943,200.97432,897.19531
225,1.867,175.14911,201.40538,895.93658
226,1.875,168.91248,201.79407,894.74878
227,1.883,162.90315,202.52788,893.92749
228,1.892,155.86011,203.2484,891.89447
229,1.9,150.03993,203.92363,890.9859
230,1.908,141.74895,203.74651,890.6803
231,1.917,135.68646,204.37453,889.39417
232,1.925,127.84691,205.8842,887.35901
233,1.933,120.25954,206.58212,885.97028
234,1.942,112.3521,208.6884,885.1203
235,1.95,104.33292,208.64767,882.77191
236,1.958,96.02687,210.64639,882.19049
237,1.967,89.03004,211.09511,881.68042
238,1.975,80.66191,212.7773,879.83167
239,1.983,70.87711,212.87659,878.88904
240,1.992,62.1172,213.01324,878.47906
241,2,54.56538,215.57683,878.76184
242,2.008,46.07044,214.60008,877.78833
243,2.017,37.22453,217.44606,877.59424
244,2.025,27.29002,219.41873,878.14728
245,2.033,18.58758,219.78209,878.72144
246,2.042,8.87879,221.58887,879.97839
247,2.05,0.5728,222.79295,881.17047
248,2.058,-9.07583,222.92001,882.54584
249,2.067,-18.75481,224.57458,883.01666
250,2.075,-27.37395,225.15414,883.88672
251,2.083,-38.60989,226.51915,885.84937
252,2.092,-48.36037,227.86308,886.7229
253,2.1,-56.36437,228.17018,887.39435
254,2.108,-66.47154,230.66942,888.36816
255,2.117,-76.22176,231.30922,888.77753
256,2.125,-86.75584,232.26779,889.57263
257,2.133,-97.18049,234.96651,890.92554
258,2.142,-104.8707,234.23615,891.42218
259,2.15,-115.28253,236.20143,892.18579
260,2.158,-125.6701,237.67662,892.90601
261,2.167,-135.43109,238.10568,893.51343
262,2.175,-144.4955,239.3502,894.06793
