Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z
1,0,1938.45703,254.1721,1321.17603
2,0.008,1933.60876,253.73416,1321.52026
3,0.017,1932.27917,258.09323,1323.19116
4,0.025,1923.70605,254.8466,1321.17957
5,0.033,1920.31934,256.14325,1323.08789
6,0.042,1916.31396,257.74857,1324.63342
7,0.05,1906.97729,252.95587,1322.41638
8,0.058,1902.60986,253.50581,1322.01135
9,0.067,1898.60266,254.77089,1321.74353
10,0.075,1894.4541,252.63893,1321.3667
11,0.083,1887.75537,251.64519,1320.72827
12,0.092,1885.54907,252.87346,1320.27942
13,0.1,1876.01038,249.51744,1319.4425
14,0.108,1872.12439,250.48381,1320.91125
15,0.117,1868.73132,251.71422,1320.61609
16,0.125,1858.02722,248.00951,1317.79651
17,0.133,1856.57458,248.24118,1318.87183
18,0.142,1852.07788,249.87849,1318.48169
19,0.15,1843.77979,246.13275,1317.75024
20,0.158,1841.3783,246.86136,1318.14111
21,0.167,1831.99683,243.53337,1317.31543
22,0.175,1828.65405,244.75749,1317.02588
23,0.183,1825.31421,245.97971,1316.73694
24,0.192,1814.83118,241.38434,1314.56689
25,0.2,1812.56995,242.40706,1314.99451
26,0.208,1807.03528,240.49147,1314.19739
27,0.217,1801.25659,237.69583,1312.63159
28,0.225,1797.4679,238.64987,1314.08752
29,0.233,1790.11548,234.36131,1314.62329
30,0.242,1784.8844,236.05376,1314.30066
31,0.25,1777.63293,232.28569,1313.52966
32,0.258,1774.21692,232.95282,1312.86182
33,0.267,1764.94153,229.37209,1311.16052
34,0.275,1764.36218,229.46318,1312.68494
35,0.283,1758.24792,227.1629,1312.99219
36,0.292,1751.99634,225.36552,1314.50854
37,0.3,1746.28198,222.93338,1315.00403
38,0.308,1738.05981,222.66301,1314.75122
39,0.317,1735.50598,220.48097,1314.34595
40,0.325,1728.17505,218.79698,1317.47681
41,0.333,1719.35974,216.29088,1318.68738
42,0.342,1717.16577,213.76022,1319.42017
43,0.35,1711.64832,212.43214,1322.3551
44,0.358,1706.03491,211.28938,1321.88916
45,0.367,1699.00671,207.34334,1323.15112
46,0.375,1694.67224,209.29491,1326.84106
47,0.383,1688.35571,204.82011,1327.14929
48,0.392,1684.66711,202.66307,1329.32422
49,0.4,1674.77649,199.73033,1328.58826
50,0.408,1673.86938,200.14308,1330.39624
51,0.417,1665.89929,200.20467,1331.21716
52,0.425,1660.69043,198.30707,1333.32104
53,0.433,1655.46399,196.79155,1333.31995
54,0.442,1649.12219,195.89606,1332.72998
55,0.45,1644.98633,194.12994,1332.7998
56,0.458,1638.41492,193.27856,1332.4248
57,0.467,1634.70349,193.68245,1334.86133
58,0.475,1627.31213,190.43344,1333.97314
59,0.483,1623.67834,189.32048,1333.36938
60,0.492,1618.42896,190.0661,1334.23877
61,0.5,1612.65027,187.33815,1332.40417
62,0.508,1608.96252,187.55415,1333.43835
63,0.517,1603.26001,186.44588,1333.55249
64,0.525,1598.04272,185.50226,1334.62158
65,0.533,1591.04468,185.58931,1334.98596
66,0.542,1587.13196,182.83163,1334.5658
67,0.55,1580.89465,184.26895,1334.47095
68,0.558,1577.47571,182.75076,1333.74365
69,0.567,1570.69055,182.45238,1333.88025
70,0.575,1567.38721,182.98463,1334.41724
71,0.583,1559.78064,180.46248,1334.08203
72,0.592,1555.90332,180.60336,1334.38
73,0.6,1552.49902,181.45383,1334.39172
74,0.608,1545.5249,178.87753,1333.43652
75,0.617,1541.25549,179.8589,1333.23303
76,0.625,1537.53979,180.55745,1333.73865
77,0.633,1529.75525,178.95979,1332.80713
78,0.642,1526.81775,178.12332,1332.30505
79,0.65,1519.48511,178.6414,1334.44409
80,0.658,1514.5155,177.70335,1333.17798
81,0.667,1509.17236,178.75223,1332.44177
82,0.675,1504.80542,176.42064,1332.33801
83,0.683,1497.05493,176.91508,1331.646
84,0.692,1493.79382,176.50447,1330.95837
85,0.7,1488.08899,176.88406,1330.6814
86,0.708,1481.62158,177.12979,1330.91772
87,0.717,1478.11157,177.27107,1329.11365
88,0.725,1471.64758,176.66531,1328.9834
89,0.733,1465.41284,175.47205,1328.47107
90,0.742,1460.77881,175.38341,1327.13184
91,0.75,1454.55042,176.56235,1327.68384
92,0.758,1448.34814,175.60603,1327.01538
93,0.767,1443.68689,176.04871,1327.2019
94,0.775,1437.4397,176.4816,1325.60852
95,0.783,1431.57153,175.60844,1325.51721
96,0.792,1425.49683,177.25851,1324.05408
97,0.8,1419.15125,177.67819,1323.54907
98,0.808,1414.45898,175.85358,1322.87842
99,0.817,1408.36694,177.53648,1322.67932
100,0.825,1401.70032,177.83,1321.29541
101,0.833,1397.39832,176.61082,1319.13135
102,0.842,1391.48535,178.1893,1319.11914
103,0.85,1385.48975,180.28943,1317.87012
104,0.858,1379.02722,180.91354,1317.20386
