Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z
1,0,1865.22192,404.52286,854.95227
2,0.008,1858.10767,404.5856,855.12317
3,0.017,1849.44849,399.61163,855.63745
4,0.025,1839.40808,396.52277,856.12872
5,0.033,1833.11938,396.79654,856.21698
6,0.042,1826.37793,395.93878,856.49292
7,0.05,1819.9801,394.92578,856.81006
8,0.058,1813.00867,393.92346,858.49225
9,0.067,1805.79041,392.66956,859.41223
10,0.075,1799.20178,391.6525,860.48962
11,0.083,1793.32983,391.99359,858.26001
12,0.092,1784.37573,389.37787,862.50433
13,0.1,1778.66199,387.93018,864.96185
14,0.108,1773.00073,387.6265,860.46118
15,0.117,1766.01929,386.01501,859.67865
16,0.125,1760.55554,385.51529,860.19086
17,0.133,1754.79382,383.88367,859.32007
18,0.142,1747.97937,383.47659,860.08838
19,0.15,1743.7594,382.56958,859.91064
20,0.158,1736.75842,380.34222,859.59894
21,0.167,1731.51611,380.38043,859.33514
22,0.175,1725.86316,378.06265,859.22589
23,0.183,1720.00085,377.41125,859.19861
24,0.192,1714.23657,376.0347,858.34094
25,0.2,1708.70862,374.60474,858.58289
26,0.208,1703.67542,374.68362,858.02838
27,0.217,1697.69482,372.49222,858.51654
28,0.225,1691.97534,371.37469,856.82617
29,0.233,1687.42346,369.20334,856.49884
30,0.242,1682.29102,370.19623,856.22833
31,0.25,1675.95044,366.63339,855.97253
32,0.258,1669.92896,365.28522,854.00409
33,0.267,1665.39636,364.73965,854.39404
34,0.275,1660.41089,362.00842,853.51782
35,0.283,1653.72583,362.00748,853.51013
36,0.292,1649.65454,359.98404,853.80914
37,0.3,1643.10046,360.09955,852.80365
38,0.308,1639.11963,357.7991,852.89496
39,0.317,1634.5271,355.20566,853.13824
40,0.325,1630.75122,357.85373,853.26929
41,0.333,1626.83289,354.45251,853.72394
42,0.342,1620.4552,354.7226,856.53998
43,0.35,1616.47412,354.21384,856.99066
44,0.358,1614.54272,352.50674,857.61591
45,0.367,1609.82214,351.57068,856.49982
46,0.375,1604.85205,351.61139,857.04541
47,0.383,1600.87256,348.80515,856.48303
48,0.392,1598.92053,347.43427,857.10498
49,0.4,1593.47058,349.33191,857.0069
50,0.408,1589.67126,346.082,856.7619
51,0.417,1588.17908,344.99005,857.77649
