Frame#,Time,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z
1,0,2073.15332,362.98773,1018.54437
2,0.008,2067.95947,364.86206,1018.64673
3,0.017,2060.91016,364.90329,1019.2016
4,0.025,2052.3418,365.05356,1019.92139
5,0.033,2048.521,363.83112,1020.20953
6,0.042,2040.37085,364.67752,1019.45544
7,0.05,2034.79761,365.35934,1018.84161
8,0.058,2029.87244,366.17175,1018.466
9,0.067,2022.51709,364.52347,1018.02124
10,0.075,2017.80078,364.93604,1017.44897
11,0.083,2010.52112,364.1911,1017.22266
12,0.092,2006.19067,364.74738,1016.6864
13,0.1,1997.97583,365.3548,1015.79999
14,0.108,1994.98022,364.72318,1015.66882
15,0.117,1986.58887,365.20651,1016.45007
16,0.125,1983.48132,364.25641,1014.65723
17,0.133,1974.93005,364.16541,1015.47021
18,0.142,1971.29382,362.48203,1013.24884
19,0.15,1962.4751,362.00137,1014.62207
20,0.158,1959.09668,361.04196,1014.12714
21,0.167,1951.46509,361.55319,1013.30609
22,0.175,1946.98596,359.26086,1013.29242
23,0.183,1943.13391,356.99576,1010.96863
24,0.192,1937.74255,358.90677,1013.2359
25,0.2,1932.54346,356.30054,1012.81787
26,0.208,1923.81067,353.23334,1009.96637
27,0.217,1919.22156,352.53043,1009.92651
28,0.225,1915.05286,350.24527,1008.10541
29,0.233,1906.08301,349.12424,1008.65204
30,0.242,1902.6438,347.46994,1008.35272
31,0.25,1899.98035,346.25375,1006.27191
32,0.258,1890.37622,344.30569,1007.10065
33,0.267,1886.67065,342.47559,1006.75116
34,0.275,1879.10938,342.60883,1007.7782
35,0.283,1874.00757,339.2002,1007.38751
36,0.292,1870.11841,337.56189,1006.11377
37,0.3,1860.85754,335.76874,1007.09003
38,0.308,1860.16846,336.405,1007.64069
39,0.317,1851.76147,330.09302,1007.31683
40,0.325,1847.85474,329.53293,1009.35687
41,0.333,1842.81897,326.59073,1010.40857
42,0.342,1838.04236,324.9812,1012.44916
43,0.35,1833.6615,322.18195,1013.92572
44,0.358,1827.40063,319.91257,1015.26874
45,0.367,1821.72656,317.45294,1017.60272
46,0.375,1816.33386,315.55603,1019.17212
