Frame#,Time,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
1,0,2086.52539,291.0932,1347.2135
2,0.008,2081.41138,291.90109,1347.85266
3,0.017,2075.97925,292.52942,1349.39722
4,0.025,2069.37207,293.93552,1346.96423
5,0.033,2064.07104,294.2085,1347.05859
6,0.042,2059.10107,292.70691,1347.93274
7,0.05,2054.05347,293.24237,1348.01221
8,0.058,2048.75098,293.4321,1347.40698
9,0.067,2042.02393,294.39255,1346.49341
10,0.075,2036.74365,292.60339,1346.92749
11,0.083,2031.37976,292.89996,1347.09912
12,0.092,2026.26233,292.29227,1347.6145
13,0.1,2020.50488,291.96375,1345.95947
14,0.108,2014.92993,291.29138,1346.23694
15,0.117,2009.44324,291.31558,1345.76428
16,0.125,2003.84021,291.08905,1346.33923
17,0.133,1998.32288,289.55139,1345.11047
18,0.142,1993.1134,289.52316,1344.22778
19,0.15,1988.15076,287.82166,1344.27734
20,0.158,1982.70532,287.23322,1344.62634
21,0.167,1976.81531,286.5289,1342.99304
22,0.175,1971.86719,284.49991,1342.92224
23,0.183,1966.07104,284.90176,1342.54211
24,0.192,1962.07495,282.07678,1341.85791
25,0.2,1955.48364,282.151,1340.28748
26,0.208,1950.81812,280.58344,1340.43311
27,0.217,1945.39746,278.92477,1340.58875
28,0.225,1939.34216,276.91046,1339.27051
29,0.233,1934.55676,275.49417,1338.32788
30,0.242,1929.66614,273.80707,1337.92798
31,0.25,1924.19153,271.67456,1337.00745
32,0.258,1918.94055,269.76038,1336.79651
33,0.267,1913.97363,268.49344,1335.75684
34,0.275,1908.66504,265.94409,1335.5896
35,0.283,1903.20251,262.55072,1335.7406
36,0.292,1897.30444,261.03854,1335.8136
37,0.3,1891.84607,259.00864,1336.65662
38,0.308,1887.0603,256.83829,1337.31763
39,0.317,1880.21191,256.11475,1338.32434
40,0.325,1874.65698,253.58563,1338.87012
41,0.333,1868.93127,252.42505,1340.02466
42,0.342,1863.38489,250.10394,1340.96143
43,0.35,1857.9248,248.33795,1342.30237
44,0.358,1852.17529,246.54442,1343.06177
45,0.367,1846.06213,243.39166,1344.16992
46,0.375,1840.97729,241.56644,1345.21765
47,0.383,1834.46814,239.52126,1345.91785
48,0.392,1829.7594,237.22206,1346.57556
49,0.4,1824.5304,235.15909,1347.8689
50,0.408,1818.97522,233.06754,1348.13391
51,0.417,1813.53076,230.41118,1349.47388
52,0.425,1808.52441,229.20833,1349.52673
53,0.433,1803.57813,227.09094,1349.90039
54,0.442,1797.26904,224.42285,1351.64514
55,0.45,1792.25037,223.40631,1351.23877
56,0.458,1787.46228,222.02812,1351.4259
57,0.467,1782.11523,219.35388,1352.60059
58,0.475,1776.6637,218.63019,1352.49646
59,0.483,1771.93237,217.74367,1353.06921
60,0.492,1766.65649,216.13203,1352.52515
61,0.5,1760.20166,214.94981,1353.37927
62,0.508,1756.31067,213.48381,1353.70654
63,0.517,1750.75146,213.32231,1353.245
64,0.525,1746.06274,210.79411,1354.24939
65,0.533,1740.46228,210.66975,1354.33423
66,0.542,1735.76025,208.52666,1354.31848
67,0.55,1730.62463,208.36627,1355.35461
68,0.558,1724.27856,207.38072,1355.61584
69,0.567,1720.74414,204.41371,1355.02722
70,0.575,1714.76221,204.99565,1354.69885
71,0.583,1709.9856,202.90381,1354.7406
72,0.592,1705.56763,202.99576,1355.93835
73,0.6,1700.34741,201.59851,1354.9613
74,0.608,1695.25562,200.80588,1355.43713
75,0.617,1689.37024,199.79805,1355.29614
76,0.625,1683.7395,198.94368,1354.8949
77,0.633,1679.38269,197.67569,1354.67712
78,0.642,1673.276,197.64348,1354.86584
79,0.65,1669.73975,196.6044,1354.28357
80,0.658,1663.56311,196.20787,1354.83386
81,0.667,1658.17749,194.85826,1354.24011
82,0.675,1653.01416,194.76062,1353.71094
83,0.683,1647.8866,193.16692,1353.26636
84,0.692,1642.18884,193.47989,1352.91931
85,0.7,1637.43542,192.99628,1352.46497
86,0.708,1633.11438,192.70062,1353.27271
87,0.717,1626.93372,193.12231,1352.81885
88,0.725,1621.83777,191.36717,1351.47742
89,0.733,1616.36682,192.63947,1351.28723
90,0.742,1609.94067,192.95523,1350.95581
91,0.75,1603.89172,192.2991,1349.64246
92,0.758,1598.78577,191.42502,1349.20471
93,0.767,1592.9989,192.49469,1348.02209
94,0.775,1586.71692,192.5388,1346.88257
95,0.783,1581.4303,193.75854,1346.48743
96,0.792,1576.53271,193.10062,1345.44189
97,0.8,1570.77588,194.09518,1344.74829
98,0.808,1564.43481,195.03085,1342.90149
99,0.817,1559.0448,195.81442,1341.54626
100,0.825,1553.67542,194.93221,1340.27783
101,0.833,1548.51929,195.43671,1338.83582
102,0.842,1542.68274,197.01013,1336.91431
103,0.85,1536.26794,198.23596,1336.67163
104,0.858,1529.73511,198.94727,1335.47754
105,0.867,1524.84302,199.91714,1333.6438
106,0.875,1518.79724,199.98859,1331.98755
107,0.883,1513.00964,201.1971,1331.34949
108,0.892,1506.4989,202.37045,1330.72583
109,0.9,1500.87219,203.10776,1330.94568
110,0.908,1494.98499,204.06657,1330.94336
111,0.917,1488.12097,203.86894,1330.66736
112,0.925,1481.14136,205.02124,1331.57813
113,0.933,1475.63745,205.39084,1332.41272
114,0.942,1469.28381,205.16499,1333.1239
115,0.95,1463.24622,206.0918,1332.96191
116,0.958,1456.45935,207.19826,1334.0592
117,0.967,1451.88794,207.29205,1335.38745
118,0.975,1444.93933,207.79164,1336.13525
119,0.983,1439.20142,207.70169,1336.28564
120,0.992,1432.3689,208.19424,1337.10559
121,1,1425.98071,209.19302,1338.15479
122,1.008,1418.7085,209.24129,1337.823
123,1.017,1412.38599,211.11797,1338.92725
124,1.025,1406.37939,210.95476,1338.63025
125,1.033,1399.44299,212.25583,1339.74365
126,1.042,1394.02051,211.49272,1339.51135
127,1.05,1386.81592,212.1877,1340.38281
128,1.058,1379.84216,212.76816,1341.21655
129,1.067,1373.32581,213.84682,1340.89148
130,1.075,1365.74707,214.67973,1341.63379
131,1.083,1359.26392,216.01813,1342.20068
132,1.092,1352.00891,216.17003,1342.02905
133,1.1,1347.02246,215.90691,1343.49023
134,1.108,1340.53223,216.2796,1343.60022
135,1.117,1334.16309,217.50064,1344.71863
136,1.125,1327.09363,218.48093,1344.60254
137,1.133,1320.5437,218.65115,1345.30273
138,1.142,1314.7196,217.8685,1346.21594
139,1.15,1308.67542,218.3573,1346.43579
140,1.158,1302.20251,219.79591,1346.75806
141,1.167,1296.28845,219.05444,1347.16541
142,1.175,1290.65112,220.58667,1347.745
143,1.183,1284.68433,220.36681,1346.97839
144,1.192,1278.37683,219.69116,1348.25317
145,1.2,1271.70178,220.45441,1348.66797
146,1.208,1264.17371,221.04861,1348.40491
147,1.217,1259.22534,220.37662,1348.85535
148,1.225,1253.2616,221.46623,1348.54382
149,1.233,1246.50366,221.77974,1348.72668
150,1.242,1240.67017,221.32649,1348.68079
151,1.25,1233.99158,222.88252,1349.28418
152,1.258,1227.42261,221.94258,1349.01782
153,1.267,1221.56665,221.49442,1348.41675
154,1.275,1214.96582,222.32584,1348.76941
155,1.283,1209.31104,220.92372,1348.32141
156,1.292,1202.86865,221.13686,1347.82043
157,1.3,1197.29541,221.3105,1347.5022
158,1.308,1190.11926,219.84198,1347.67456
159,1.317,1183.72559,218.66109,1346.39124
160,1.325,1177.66602,219.45174,1346.63293
161,1.333,1171.5885,218.16273,1346.18982
162,1.342,1164.49231,218.54529,1345.72534
163,1.35,1158.83423,217.05798,1344.42712
164,1.358,1152.93433,216.22826,1344.04297
165,1.367,1146.11047,215.56375,1343.26038
166,1.375,1140.39673,213.82698,1341.86682
167,1.383,1133.99695,213.34908,1341.44617
168,1.392,1127.31458,212.51712,1340.82983
169,1.4,1121.94861,211.48448,1339.49365
170,1.408,1115.40137,209.77135,1339.09644
171,1.417,1109.42004,208.27353,1337.27283
172,1.425,1102.50183,206.62361,1336.73572
173,1.433,1096.50269,204.73041,1335.72925
174,1.442,1089.854,202.55064,1334.10986
175,1.45,1084.33582,200.80508,1333.71704
176,1.458,1078.57581,199.13359,1332.22717
177,1.467,1072.01526,198.21361,1332.72595
178,1.475,1065.50549,194.81879,1332.51233
179,1.483,1058.80249,193.08904,1333.10767
180,1.492,1052.8252,192.37561,1334.04309
181,1.5,1046.46387,191.15701,1335.31885
182,1.508,1039.47424,188.50732,1335.90967
183,1.517,1032.48547,187.59705,1337.49451
184,1.525,1025.04419,186.34482,1338.61047
185,1.533,1018.64789,184.42409,1339.90283
186,1.542,1012.85718,183.30423,1341.46753
187,1.55,1005.56134,182.22917,1343.20056
188,1.558,1000.4325,180.4552,1344.7489
189,1.567,993.63177,178.83421,1345.40308
190,1.575,988.26935,175.70744,1346.2655
