Frame#,Time,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z
1,0,-1472.39014,-37.00956,1467.97437,-1307.43542,-42.26029,1307.22424
2,0.008,-1467.71509,-37.39569,1467.07556,-1303.40588,-41.11238,1307.35815
3,0.017,-1463.28369,-35.97157,1466.51733,-1298.60522,-40.60695,1306.4718
4,0.025,-1459.22827,-36.27508,1465.92896,-1293.90784,-40.53538,1306.56934
5,0.033,-1455.27612,-36.6885,1465.48694,-1289.81812,-43.55323,1305.78918
6,0.042,-1450.25769,-37.423,1464.9071,-1285.69409,-41.11963,1305.85327
7,0.05,-1446.18652,-35.72758,1463.87378,-1281.2207,-38.25957,1304.66077
8,0.058,-1441.69275,-36.14758,1463.47583,-1276.01624,-40.93974,1304.07629
9,0.067,-1438.68262,-36.56945,1463.12732,-1271.50635,-42.57271,1304.00403
10,0.075,-1433.38879,-36.32381,1463.09155,-1267.6886,-39.97216,1303.91736
11,0.083,-1428.88159,-35.34546,1461.86096,-1263.1322,-38.00042,1302.17151
12,0.092,-1423.59485,-35.26497,1461.39307,-1258.69995,-40.09051,1302.01025
13,0.1,-1419.42578,-35.30276,1460.48071,-1254.05518,-38.47023,1301.99573
14,0.108,-1416.34644,-34.34508,1460.59595,-1250.42358,-38.1855,1299.80139
15,0.117,-1410.82019,-34.61654,1460.19653,-1245.20544,-37.23661,1299.36633
16,0.125,-1406.55322,-34.71145,1459.32288,-1240.90833,-34.49014,1300.1427
17,0.133,-1402.11401,-32.71999,1458.78284,-1237.38867,-35.4659,1299.98047
18,0.142,-1397.46094,-32.78398,1457.59875,-1232.43652,-34.6181,1298.82837
19,0.15,-1394.0188,-31.35833,1457.70959,-1227.85693,-33.44465,1297.81055
20,0.158,-1388.75476,-30.88261,1455.97571,-1223.00427,-33.15296,1298.12378
21,0.167,-1384.48914,-28.69837,1455.66309,-1218.93982,-33.43946,1296.79236
22,0.175,-1379.25427,-28.88521,1455.09949,-1214.10535,-32.80777,1295.58508
23,0.183,-1374.19922,-27.63008,1454.22864,-1209.33643,-30.2323,1295.16772
24,0.192,-1371.40857,-26.74991,1453.71704,-1204.54858,-29.0787,1294.85449
25,0.2,-1366.73523,-24.47058,1452.71741,-1200.17432,-31.18542,1294.87146
26,0.208,-1361.72278,-24.27136,1450.85315,-1195.6886,-28.07727,1294.43164
27,0.217,-1357.995,-22.15122,1450.97815,-1190.99011,-26.38468,1292.29712
28,0.225,-1353.37866,-20.89609,1450.35828,-1185.75903,-21.80544,1294.32825
29,0.233,-1347.87231,-19.63673,1450.2428,-1181.38733,-23.89754,1294.30261
30,0.242,-1342.95325,-16.83634,1449.90869,-1175.86145,-21.00596,1293.12268
31,0.25,-1337.19482,-16.76995,1449.14539,-1171.88452,-20.50085,1293.12634
32,0.258,-1333.15857,-13.96361,1449.18042,-1165.21948,-21.14487,1292.27295
33,0.267,-1328.22253,-12.32533,1449.06335,-1160.30688,-18.99829,1293.13306
34,0.275,-1323.3009,-11.48395,1449.60986,-1155.25037,-15.30945,1293.69836
35,0.283,-1318.55725,-9.35838,1450.10718,-1150.88513,-13.70426,1293.87354
36,0.292,-1313.78979,-6.46555,1449.43591,-1146.04919,-13.52804,1293.90637
37,0.3,-1307.51501,-5.8078,1450.047,-1140.05017,-12.61583,1294.07776
38,0.308,-1302.83508,-3.97951,1451.15381,-1135.91345,-11.44772,1295.02539
39,0.317,-1297.72205,-1.30904,1451.51392,-1130.95642,-7.32201,1295.66235
40,0.325,-1292.85645,0.02549,1452.97607,-1126.56335,-6.72249,1296.71265
41,0.333,-1287.67981,1.14708,1453.78076,-1120.39929,-5.99875,1298.50854
42,0.342,-1282.84119,3.52697,1454.72351,-1117.07666,-2.61847,1299.17383
43,0.35,-1277.31177,5.2724,1455.04016,-1111.10571,-1.55561,1299.04773
44,0.358,-1271.97083,6.08521,1457.29736,-1107.08533,1.08988,1299.52344
45,0.367,-1267.93066,9.44001,1458.25134,-1101.95007,1.96525,1299.85828
46,0.375,-1262.7926,10.21059,1458.85254,-1097.48755,5.5562,1301.76001
47,0.383,-1258.43225,11.94298,1459.98718,-1091.54285,5.79559,1303.14575
48,0.392,-1254.58008,13.91275,1460.85083,-1087.23218,7.09927,1302.89001
49,0.4,-1248.86267,14.76214,1462.2605,-1082.44666,6.12318,1303.42578
50,0.408,-1244.59595,17.5211,1462.74573,-1077.48792,8.99632,1304.99109
51,0.417,-1239.23413,18.55965,1463.11353,-1074.18396,10.11112,1304.79126
52,0.425,-1235.08655,20.00775,1463.58398,-1068.45288,10.9059,1307.59619
53,0.433,-1229.98926,22.42069,1464.50757,-1064.35828,13.40048,1308.53479
54,0.442,-1225.37268,22.36218,1465.19836,-1059.18738,14.15823,1308.78906
55,0.45,-1220.76221,24.94165,1466.13416,-1055.46558,16.92825,1308.71057
56,0.458,-1215.56165,25.96956,1466.81628,-1048.52161,17.75024,1308.84326
57,0.467,-1211.70105,28.37261,1467.06287,-1045.53442,18.66208,1309.46057
58,0.475,-1205.51318,28.66127,1467.04749,-1040.21838,20.86144,1310.77429
59,0.483,-1201.25659,30.0718,1467.43677,-1035.53857,18.12358,1310.4093
60,0.492,-1196.16467,30.19923,1467.99231,-1031.62036,21.85793,1310.57043
61,0.5,-1190.84058,32.39047,1468.59326,-1026.86218,19.74665,1310.63245
62,0.508,-1188.68762,33.37286,1469.3645,-1020.49579,24.2003,1310.63074
63,0.517,-1183.10535,34.57386,1469.63489,-1017.56067,23.05042,1310.32666
64,0.525,-1177.77356,35.34572,1470.0564,-1012.63562,25.4952,1310.22437
65,0.533,-1172.61475,36.39969,1470.88733,-1007.66724,25.77608,1310.33386
66,0.542,-1167.98254,37.85144,1470.50671,-1004.71387,24.73825,1311.59558
67,0.55,-1163.21924,38.34851,1471.37122,-999.2157,25.19552,1312.27222
68,0.558,-1157.83008,39.51783,1471.33545,-994.11359,28.23154,1312.33459
69,0.567,-1155.09363,40.89187,1472.24707,-990.30444,26.43648,1311.88831
70,0.575,-1149.94666,41.57816,1471.81799,-985.1947,31.7071,1313.2843
71,0.583,-1143.28894,41.70963,1472.2688,-981.09613,28.0649,1311.86011
72,0.592,-1138.54749,42.55009,1472.72534,-976.91321,27.50507,1311.07434
73,0.6,-1134.44873,43.24148,1472.22571,-972.73804,30.33344,1312.14612
74,0.608,-1129.9552,43.72403,1472.96399,-968.28644,27.86705,1311.25366
75,0.617,-1125.09558,42.84817,1472.69214,-965.55304,30.01132,1312.32837
76,0.625,-1120.12866,43.0913,1472.56677,-960.57819,28.22425,1311.53137
77,0.633,-1116.04407,45.33846,1473.70642,-955.18347,28.37979,1311.67151
78,0.642,-1110.78564,45.45502,1473.53918,-952.92725,29.58404,1311.36401
79,0.65,-1106.71594,43.90991,1473.6543,-948.50397,26.41714,1310.54919
80,0.658,-1102.51355,45.05663,1473.7323,-943.93524,29.96986,1312.05969
81,0.667,-1097.453,45.97191,1473.40454,-938.56659,30.13101,1310.50342
82,0.675,-1093.08191,44.32782,1473.55542,-934.62921,27.68134,1310.6665
83,0.683,-1088.42004,44.29892,1472.58826,-930.72583,30.1978,1310.69568
84,0.692,-1084.00171,45.44374,1472.57654,-926.07391,30.83647,1310.0918
85,0.7,-1080.55444,44.94048,1472.84656,-921.90125,27.23382,1309.01489
86,0.708,-1075.72656,44.21217,1472.81519,-917.71484,25.09762,1308.32898
87,0.717,-1070.17957,43.43845,1472.70349,-910.89471,34.18488,1311.00586
88,0.725,-1066.58081,43.45093,1472.21619,-908.09851,27.56344,1307.55054
89,0.733,-1061.49255,42.08545,1471.41345,-905.03833,26.28403,1307.05115
90,0.742,-1057.40735,41.8214,1471.05908,-900.56396,22.87961,1307.25415
91,0.75,-1053.00964,41.16359,1471.25146,-896.19525,23.19844,1307.19434
92,0.758,-1048.01575,41.19798,1471.04749,-891.17151,25.48759,1306.65771
93,0.767,-1043.48352,40.40167,1470.44604,-886.25964,23.46699,1305.39856
94,0.775,-1039.37415,38.96996,1469.96509,-881.5553,27.18882,1304.34167
95,0.783,-1035.22327,36.74921,1469.44141,-877.87885,23.49874,1303.94934
96,0.792,-1029.94897,36.67253,1469.099,-872.7887,23.92541,1304.13086
97,0.8,-1025.55884,35.5174,1468.51563,-869.00995,21.30046,1303.54932
98,0.808,-1021.41504,33.72831,1466.99097,-863.61145,21.83652,1304.41357
99,0.817,-1017.77576,32.8528,1467.61853,-860.32928,21.76164,1304.31592
100,0.825,-1012.54651,32.38484,1467.0813,-855.16071,21.61102,1302.88342
101,0.833,-1007.97424,30.60199,1466.97192,-851.63684,16.68095,1301.61853
102,0.842,-1003.38434,28.81537,1466.27283,-848.33801,14.01404,1300.51611
