Frame#,Time,L.Radius.x,L.Radius.y,L.Radius.z
1,0,-1547.69836,13.75203,1310.41821
2,0.008,-1543.07019,14.43548,1309.58423
3,0.017,-1539.76099,13.71057,1309.64905
4,0.025,-1534.68469,13.93075,1309.71899
5,0.033,-1529.67102,14.10313,1308.82544
6,0.042,-1526.1543,14.61623,1308.68115
7,0.05,-1521.85962,14.08109,1307.17505
8,0.058,-1517.38562,14.10806,1307.0426
9,0.067,-1512.15247,14.33815,1307.11279
10,0.075,-1508.34424,15.03255,1305.98462
11,0.083,-1504.40234,15.40468,1305.69897
12,0.092,-1499.479,15.72156,1304.72241
13,0.1,-1494.4021,16.06538,1304.453
14,0.108,-1490.11035,16.55758,1302.96509
15,0.117,-1486.24939,18.18648,1302.5719
16,0.125,-1481.02417,17.62575,1301.46838
17,0.133,-1476.46313,18.39973,1301.42188
18,0.142,-1472.20618,19.66919,1300.47644
19,0.15,-1467.51038,20.83389,1299.67676
20,0.158,-1463.19971,22.01541,1298.24719
21,0.167,-1458.08545,23.78033,1297.14355
22,0.175,-1453.52075,24.58859,1296.53491
23,0.183,-1449.17773,25.95034,1295.00891
24,0.192,-1444.20654,26.42417,1295.40662
25,0.2,-1438.52649,28.47149,1293.59546
26,0.208,-1433.91846,29.68469,1292.93884
27,0.217,-1428.38135,30.53426,1291.8092
28,0.225,-1423.85999,33.40856,1291.474
29,0.233,-1418.08606,35.12681,1289.92773
30,0.242,-1412.93848,35.79245,1289.58923
31,0.25,-1408.83362,38.68772,1289.82239
32,0.258,-1403.09534,40.40018,1289.12476
33,0.267,-1398.25244,42.10735,1289.4707
34,0.275,-1393.17578,42.94077,1289.66516
35,0.283,-1388.11365,45.46262,1289.48413
36,0.292,-1383.03577,47.39044,1289.71521
37,0.3,-1377.61768,48.2822,1289.49377
38,0.308,-1372.61926,50.67287,1290.25232
39,0.317,-1368.10193,53.21479,1290.5675
40,0.325,-1362.15552,53.71545,1291.29163
41,0.333,-1357.22156,56.12534,1291.74854
42,0.342,-1352.02771,58.62372,1292.03503
43,0.35,-1347.3717,60.71136,1292.46484
44,0.358,-1341.94873,61.91113,1292.78845
45,0.367,-1336.80286,64.22931,1293.58203
46,0.375,-1331.77222,66.75131,1294.12512
47,0.383,-1327.09802,68.19821,1294.86462
48,0.392,-1321.08459,69.56796,1295.29285
49,0.4,-1316.78748,72.53365,1296.00208
50,0.408,-1310.27332,74.70341,1297.50964
51,0.417,-1306.28699,75.59635,1298.14429
52,0.425,-1300.50354,77.88957,1298.97668
53,0.433,-1296.3866,80.84928,1299.35156
54,0.442,-1290.98816,82.27209,1299.19714
55,0.45,-1286.59119,84.02817,1300.26624
56,0.458,-1281.98303,86.32581,1300.1936
57,0.467,-1276.52917,88.03803,1300.79382
58,0.475,-1271.5675,89.44084,1301.20679
59,0.483,-1266.24976,91.3601,1301.2052
60,0.492,-1261.86072,92.62586,1302.46338
61,0.5,-1257.33203,94.81124,1302.50781
62,0.508,-1251.93689,95.64391,1303.36731
63,0.517,-1247.31299,97.60518,1303.5719
64,0.525,-1241.65454,98.05515,1304.5376
65,0.533,-1238.11023,100.47136,1304.66809
66,0.542,-1232.92273,102.18331,1305.30798
67,0.55,-1228.82471,103.26257,1305.81396
68,0.558,-1223.64087,104.13862,1305.79272
69,0.567,-1217.96912,105.43863,1305.8385
70,0.575,-1213.90735,105.20982,1306.94568
71,0.583,-1209.36707,107.73706,1307.62317
72,0.592,-1204.31018,107.79119,1307.72058
73,0.6,-1199.76343,109.2725,1308.21082
74,0.608,-1195.60547,109.6545,1308.22388
75,0.617,-1190.80347,110.36767,1307.94324
76,0.625,-1185.11218,110.32989,1309.12549
77,0.633,-1180.60303,111.91062,1308.80017
78,0.642,-1176.6217,112.54083,1309.02917
79,0.65,-1172.91479,111.89349,1309.68604
80,0.658,-1168.30261,112.67417,1309.44409
81,0.667,-1163.16895,113.41856,1308.81592
82,0.675,-1158.97705,113.23006,1308.70483
83,0.683,-1153.96704,112.98128,1308.92639
84,0.692,-1150.1615,112.66053,1309.34717
85,0.7,-1145.33093,112.6303,1309.08228
86,0.708,-1141.53564,112.32047,1308.91443
87,0.717,-1136.11499,112.26168,1308.68481
88,0.725,-1132.01941,112.25961,1308.12598
89,0.733,-1128.60437,112.07096,1309.44165
90,0.742,-1122.66187,111.09328,1308.06543
91,0.75,-1117.72961,110.0041,1308.30359
92,0.758,-1116.30835,110.47438,1308.09814
93,0.767,-1111.03638,109.64771,1307.95984
94,0.775,-1105.23315,108.01479,1307.31873
95,0.783,-1102.63367,107.17905,1306.85779
96,0.792,-1097.15369,106.07934,1306.97937
97,0.8,-1094.89001,105.37527,1306.9541
98,0.808,-1089.19067,103.97781,1306.52307
99,0.817,-1084.43518,103.07848,1305.82727
100,0.825,-1081.79651,102.7336,1305.65027
101,0.833,-1076.3988,101.19932,1304.9342
102,0.842,-1071.83789,99.50675,1304.52637
103,0.85,-1068.7395,97.84681,1304.43005
104,0.858,-1064.44641,96.42591,1303.86938
105,0.867,-1059.31567,94.68942,1303.19995
106,0.875,-1055.96838,92.353,1302.43652
107,0.883,-1051.29675,91.18961,1301.02173
108,0.892,-1047.09692,89.88335,1300.97424
109,0.9,-1041.31396,87.75735,1299.3208
110,0.908,-1037.46252,85.17484,1298.80432
111,0.917,-1033.47852,83.23569,1298.76123
112,0.925,-1029.65076,81.29607,1297.97583
113,0.933,-1024.18262,78.85822,1297.26575
114,0.942,-1020.38489,76.41602,1297.25793
115,0.95,-1016.15051,74.39967,1296.5481
116,0.958,-1012.05878,72.44331,1297.44055
117,0.967,-1007.17133,70.66595,1297.54089
118,0.975,-1002.12366,68.24949,1297.69727
119,0.983,-996.72076,65.49075,1297.37683
120,0.992,-993.17944,64.53963,1297.57715
121,1,-989.65015,62.05058,1299.15027
122,1.008,-984.55328,60.10098,1299.55969
123,1.017,-978.97034,56.70859,1300.09998
124,1.025,-975.19855,54.97247,1301.42249
125,1.033,-972.90887,53.73636,1302.23816
