Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,-1356.9707,-27.25309,1570.27661,-1260.60474,-32.98948,1455.83582
2,0.008,-1353.77747,-26.17663,1569.79456,-1256.58008,-32.31526,1458.27356
3,0.017,-1349.14612,-26.46685,1568.74036,-1251.12292,-33.59496,1458.54553
4,0.025,-1344.11816,-27.1554,1568.58105,-1247.25293,-34.39204,1458.52258
5,0.033,-1340.64673,-27.56465,1568.25562,-1243.50586,-32.03352,1459.45972
6,0.042,-1336.99622,-26.2698,1568.26941,-1239.49048,-34.15354,1458.06067
7,0.05,-1332.08179,-26.01649,1567.2157,-1234.6416,-38.12844,1457.6969
8,0.058,-1327.04492,-26.35239,1566.59753,-1229.37732,-37.45433,1457.5293
9,0.067,-1322.78528,-26.76497,1566.13196,-1225.64966,-32.94614,1456.53687
10,0.075,-1318.85132,-25.56797,1565.65295,-1220.40198,-32.28588,1456.73877
11,0.083,-1314.39844,-24.60878,1564.72107,-1215.91321,-33.06601,1455.42529
12,0.092,-1309.23291,-24.18427,1563.80298,-1210.70789,-32.13038,1453.96667
13,0.1,-1304.6228,-24.66834,1563.5304,-1205.41711,-34.9903,1452.31702
14,0.108,-1300.65308,-24.93598,1562.86182,-1205.79749,-25.50853,1453.48645
15,0.117,-1296.66785,-23.14121,1561.88879,-1198.13599,-28.28795,1452.58899
16,0.125,-1291.47998,-22.13467,1561.75513,-1191.40613,-33.85246,1450.33044
17,0.133,-1286.57617,-21.6216,1560.67395,-1188.71106,-32.57409,1449.15759
18,0.142,-1282.43787,-22.73435,1560.16772,-1185.67651,-27.4449,1448.93127
19,0.15,-1278.84937,-21.73121,1560.23633,-1177.92212,-32.17192,1447.75354
20,0.158,-1274.00427,-19.92709,1559.45959,-1174.43042,-24.90792,1447.77722
21,0.167,-1268.63599,-19.26015,1559.18494,-1171.83484,-25.98653,1447.45435
22,0.175,-1265.37952,-18.17907,1557.92493,-1167.85254,-20.21103,1448.31689
23,0.183,-1261.56226,-18.39181,1558.18359,-1162.79175,-22.98447,1447.19861
24,0.192,-1257.00696,-16.92029,1557.64941,-1158.05127,-24.58607,1444.78723
25,0.2,-1252.57104,-15.8237,1556.60693,-1153.92944,-19.04079,1445.95007
26,0.208,-1247.80078,-14.20344,1556.26135,-1149.41797,-20.76886,1445.50745
27,0.217,-1242.43079,-12.99697,1555.50415,-1144.91174,-22.48215,1445.07068
28,0.225,-1240.51343,-10.81244,1555.04114,-1140.93091,-16.36116,1446.18079
29,0.233,-1235.47693,-10.84756,1554.95166,-1135.21875,-17.96331,1445.60962
30,0.242,-1230.15381,-10.09968,1554.66638,-1131.34851,-11.1814,1447.84717
