Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z
1,0,-1308.01331,-363.76685,813.69476
2,0.008,-1302.36523,-362.00638,812.7627
3,0.017,-1298.59448,-359.83032,813.25079
4,0.025,-1293.42798,-359.5217,812.35541
5,0.033,-1286.73987,-357.65057,812.16107
6,0.042,-1282.38049,-356.33652,811.12347
7,0.05,-1276.97864,-358.74191,811.00354
8,0.058,-1272.34509,-354.54834,810.48315
9,0.067,-1266.45447,-352.47379,807.59131
10,0.075,-1261.12854,-351.67838,808.3808
11,0.083,-1256.19202,-350.56439,808.18042
12,0.092,-1251.42639,-348.71204,806.44049
13,0.1,-1246.60376,-349.2095,805.49445
14,0.108,-1240.04163,-345.75522,804.53088
15,0.117,-1236.4574,-345.76154,803.69611
16,0.125,-1229.32166,-342.20175,803.32031
17,0.133,-1225.37268,-344.00061,802.79425
18,0.142,-1220.99451,-344.02945,802.60846
19,0.15,-1215.97131,-340.51022,801.65411
20,0.158,-1211.14258,-341.50977,800.75177
21,0.167,-1205.495,-335.82263,800.08191
22,0.175,-1201.62793,-336.96854,799.49213
23,0.183,-1196.25537,-336.00592,799.03467
24,0.192,-1190.84937,-334.63202,798.90283
25,0.2,-1187.32922,-334.61551,799.16455
26,0.208,-1180.48657,-332.21152,798.53729
27,0.217,-1176.4231,-332.08594,797.64551
28,0.225,-1172.73828,-333.26151,797.01422
29,0.233,-1166.15125,-330.55603,796.56281
30,0.242,-1163.08069,-329.91064,796.0473
31,0.25,-1159.17163,-331.76706,797.26337
32,0.258,-1153.23486,-327.31873,796.53271
33,0.267,-1149.42688,-328.62057,796.8689
34,0.275,-1145.8877,-328.69852,796.41864
35,0.283,-1140.37012,-324.60782,796.80243
36,0.292,-1136.78552,-325.13855,797.59387
37,0.3,-1134.30298,-326.24432,797.3175
38,0.308,-1130.03577,-325.54688,797.83441
39,0.317,-1125.61279,-322.70007,799.10516
40,0.325,-1121.57898,-323.30484,799.43311
41,0.333,-1116.66016,-319.33099,799.65771
42,0.342,-1113.82007,-320.14658,800.62616
43,0.35,-1110.27417,-320.33224,800.83301
44,0.358,-1106.85889,-322.60934,802.20374
45,0.367,-1103.75244,-321.53204,803.12683
46,0.375,-1100.13782,-318.66489,803.78296
47,0.383,-1096.40649,-319.1218,805.36169
48,0.392,-1093.79468,-319.93069,805.93793
49,0.4,-1089.6709,-316.10498,806.64697
50,0.408,-1086.89197,-316.34689,807.04565
51,0.417,-1083.93945,-317.02463,808.22638
52,0.425,-1081.73047,-317.26126,808.26392
53,0.433,-1077.67139,-315.8042,809.14172
54,0.442,-1074.26709,-312.82263,810.90131
55,0.45,-1072.22388,-313.79187,810.651
56,0.458,-1069.62988,-314.22119,810.55603
57,0.467,-1067.15613,-314.88779,810.64215
58,0.475,-1063.97046,-313.55191,811.0614
59,0.483,-1061.07129,-312.01645,811.52869
60,0.492,-1059.32312,-312.19308,812.0459
61,0.5,-1056.74768,-312.63132,812.24786
62,0.508,-1054.20581,-314.28979,812.08691
63,0.517,-1052.26831,-312.34958,812.57715
64,0.525,-1048.12781,-310.51895,811.74603
65,0.533,-1047.08521,-310.23654,812.427
66,0.542,-1044.56726,-310.24887,812.58759
67,0.55,-1042.62952,-310.08646,813.0365
68,0.558,-1041.17737,-310.48428,812.17065
69,0.567,-1037.35144,-306.86618,812.78046
70,0.575,-1035.7489,-306.99878,812.8194
71,0.583,-1032.92114,-307.33279,813.18182
72,0.592,-1031.39783,-308.177,812.79187
73,0.6,-1028.43347,-309.76563,813.51495
74,0.608,-1024.12415,-305.38766,814.00342
75,0.617,-1023.41571,-305.26477,813.69501
76,0.625,-1021.22437,-306.02911,813.8808
77,0.633,-1017.78656,-307.41238,813.35785
78,0.642,-1016.50281,-306.60522,814.23303
79,0.65,-1014.87396,-307.80063,813.69537
80,0.658,-1010.30743,-310.05951,813.85834
81,0.667,-1007.57678,-308.24915,813.98621
82,0.675,-1003.79504,-307.34979,813.71631
83,0.683,-1001.73669,-307.51999,813.45081
84,0.692,-999.55359,-307.94604,813.18561
85,0.7,-996.20551,-310.54578,811.83337
86,0.708,-994.02838,-311.75552,811.45471
87,0.717,-990.85242,-312.57855,811.48865
88,0.725,-988.09155,-313.07809,812.30682
89,0.733,-982.88135,-311.48532,811.30676
90,0.742,-979.75409,-313.32556,810.20105
91,0.75,-977.76514,-314.14581,809.59985
92,0.758,-973.16913,-315.94727,809.00122
93,0.767,-970.7337,-317.29584,808.48157
94,0.775,-967.26208,-318.15588,808.74548
95,0.783,-963.93842,-319.42877,807.32806
96,0.792,-960.11804,-321.7634,805.92303
97,0.8,-955.77148,-320.79178,805.89343
98,0.808,-952.34918,-321.97412,805.32562
99,0.817,-947.30176,-320.78192,804.60199
100,0.825,-944.07391,-323.35693,803.82367
101,0.833,-940.27966,-324.94824,802.96936
102,0.842,-936.94946,-327.35532,803.65521
103,0.85,-932.18488,-328.82907,802.46625
104,0.858,-926.05701,-327.95416,801.37903
105,0.867,-921.1106,-328.4624,800.32361
106,0.875,-917.03186,-331.30093,799.35242
107,0.883,-913.96063,-331.71426,798.37128
108,0.892,-907.6933,-335.80118,798.00702
109,0.9,-903.90228,-336.95483,797.6806
110,0.908,-898.72369,-340.2392,796.40228
111,0.917,-893.39069,-339.29721,795.66034
112,0.925,-887.72906,-341.71198,794.19897
113,0.933,-882.72961,-342.40152,794.09869
114,0.942,-876.79828,-344.05954,792.29401
115,0.95,-872.2912,-348.03525,791.79401
116,0.958,-866.14587,-349.83057,791.48639
117,0.967,-859.57098,-350.22592,791.45074
118,0.975,-852.78156,-349.82703,791.00214
119,0.983,-849.00116,-353.14893,790.77234
120,0.992,-842.76569,-354.54123,792.20648
121,1,-835.74213,-354.9502,791.73669
122,1.008,-829.45874,-357.05573,792.59674
123,1.017,-824.60736,-356.46805,793.5788
124,1.025,-817.96454,-359.76294,794.2309
125,1.033,-811.20032,-360.97797,794.34143
126,1.042,-805.29443,-361.83072,795.65387
127,1.05,-799.05505,-363.29431,796.57782
128,1.058,-792.32477,-365.24567,797.89783
129,1.067,-785.62097,-364.95859,799.52936
130,1.075,-778.76337,-366.12204,800.85455
131,1.083,-771.76447,-367.64713,802.11737
132,1.092,-765.3363,-367.98315,803.91211
133,1.1,-759.9671,-371.34164,804.98724
134,1.108,-753.43176,-371.52563,805.79254
135,1.117,-747.48816,-373.81766,806.78235
136,1.125,-739.87817,-372.41891,808.31439
137,1.133,-732.3136,-374.9595,809.4187
138,1.142,-726.94427,-378.02014,810.70123
139,1.15,-720.23566,-379.02905,810.67017
140,1.158,-713.57715,-378.90869,812.35773
141,1.167,-706.12128,-379.7692,813.00812
142,1.175,-702.52124,-382.53046,814.08032
143,1.183,-694.4115,-384.14615,814.4093
144,1.192,-689.64362,-385.06784,814.66113
145,1.2,-682.04614,-387.38318,815.74188
146,1.208,-677.55249,-388.52115,816.18994
147,1.217,-671.76489,-391.82401,815.4704
148,1.225,-665.48883,-391.02917,816.23145
149,1.233,-659.74139,-393.80191,816.70001
150,1.242,-653.89307,-394.4144,816.90631
151,1.25,-648.24585,-393.45584,817.37701
152,1.258,-642.47998,-396.2265,818.28143
153,1.267,-636.23993,-395.05414,818.38208
154,1.275,-629.9834,-397.00662,819.12292
155,1.283,-625.79553,-398.03894,819.65283
156,1.292,-619.0697,-397.81113,819.98444
157,1.3,-614.97516,-397.09305,819.89117
158,1.308,-610.80359,-397.35889,820.00781
159,1.317,-605.9151,-398.80981,820.81067
160,1.325,-600.54462,-398.7652,820.46179
161,1.333,-596.80518,-399.2648,820.91376
162,1.342,-591.25055,-399.44684,821.34375
163,1.35,-588.31097,-398.96454,821.77716
164,1.358,-582.63983,-399.19434,822.15454
165,1.367,-577.20441,-398.77267,822.93213
166,1.375,-574.34723,-398.0018,823.0813
167,1.383,-568.61279,-398.69513,822.39429
168,1.392,-564.06451,-398.45074,822.9845
169,1.4,-558.9502,-398.49689,821.47473
170,1.408,-555.89624,-398.86853,821.53143
171,1.417,-552.1001,-399.53717,821.50226
172,1.425,-547.74872,-399.09595,821.80359
173,1.433,-544.55017,-398.43079,820.78784
174,1.442,-540.7439,-400.19196,820.53424
175,1.45,-538.08417,-399.85114,819.78064
176,1.458,-532.79596,-399.32715,818.45667
