Frame#,Time,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z
1,0,-1577.49365,-132.75868,1242.57837,-1432.28796,-283.78625,1177.47876
2,0.008,-1572.72522,-132.94026,1242.53589,-1426.7229,-283.63742,1176.78247
3,0.017,-1568.61694,-133.36066,1242.37537,-1421.37158,-283.67783,1175.37012
4,0.025,-1564.48682,-132.30832,1241.73535,-1419.56372,-284.13132,1176.37366
5,0.033,-1560.21716,-133.01448,1241.2428,-1414.20239,-284.17227,1174.96167
6,0.042,-1555.63318,-132.9274,1240.58655,-1409.07056,-282.67172,1174.1499
7,0.05,-1550.49268,-132.65103,1240.33777,-1404.59521,-283.22617,1173.2821
8,0.058,-1546.45532,-132.72136,1239.60608,-1398.776,-282.44,1171.82288
9,0.067,-1542.91345,-132.63972,1239.20447,-1394.53699,-281.9476,1171.27441
10,0.075,-1538.65161,-131.67932,1238.31152,-1389.28162,-281.05063,1170.50574
11,0.083,-1533.17639,-131.71918,1237.23303,-1384.52551,-281.13675,1170.02063
12,0.092,-1528.8811,-130.80176,1236.7876,-1380.4707,-281.22662,1169.81055
13,0.1,-1524.55457,-130.50049,1235.87915,-1375.55237,-281.099,1168.23193
14,0.108,-1521.15918,-129.45248,1235.25146,-1372.30603,-278.4668,1167.58716
15,0.117,-1516.28235,-129.017,1234.22473,-1366.4491,-278.66937,1166.87012
16,0.125,-1510.83459,-128.25522,1233.0675,-1362.14233,-278.58054,1166.19116
17,0.133,-1506.34509,-127.27467,1232.90442,-1356.05273,-277.33527,1164.89099
18,0.142,-1502.22644,-126.07861,1231.54126,-1352.71643,-276.37012,1165.07813
19,0.15,-1497.83997,-125.55978,1231.25208,-1347.68066,-275.52246,1163.40784
20,0.158,-1492.88794,-123.99342,1229.85022,-1343.63391,-275.30582,1162.62292
21,0.167,-1488.51135,-123.1055,1229.10876,-1339.80554,-274.34244,1163.13806
22,0.175,-1483.58154,-122.05664,1228.48047,-1333.55688,-272.59265,1162.21069
23,0.183,-1479.03186,-120.53403,1227.65686,-1328.08826,-270.45648,1160.92664
24,0.192,-1474.04785,-119.92712,1227.32178,-1324.0387,-270.12631,1161.26025
25,0.2,-1469.4469,-118.03313,1226.06323,-1319.96497,-268.87796,1160.4209
26,0.208,-1465.58533,-116.07926,1224.97461,-1315.73669,-267.72061,1159.51465
27,0.217,-1460.2334,-114.47378,1223.5553,-1311.67358,-266.43134,1158.90332
28,0.225,-1455.13416,-112.78457,1223.05591,-1307.44348,-265.72659,1159.43616
29,0.233,-1450.70654,-111.07009,1222.91895,-1302.25989,-264.04645,1158.38879
30,0.242,-1444.88599,-109.23818,1221.59619,-1298.43018,-262.88702,1158.30884
31,0.25,-1440.47559,-106.85815,1221.96753,-1293.30359,-261.36646,1157.86462
32,0.258,-1434.85889,-106.0211,1221.80884,-1288.88403,-259.86975,1157.64258
33,0.267,-1429.67639,-104.30902,1221.13586,-1285.08386,-258.71277,1158.31909
34,0.275,-1424.69348,-101.91917,1221.67432,-1279.82385,-256.19498,1159.28833
35,0.283,-1419.68237,-100.15086,1221.5011,-1275.71497,-255.6076,1159.68811
36,0.292,-1414.83899,-98.54804,1221.99231,-1271.44617,-253.47691,1159.82166
37,0.3,-1409.24707,-97.51561,1221.69556,-1265.43787,-251.60281,1160.21057
38,0.308,-1402.67871,-95.37388,1222.13489,-1261.09937,-249.52011,1160.6261
39,0.317,-1398.21411,-92.5429,1222.18311,-1255.59753,-248.00037,1161.27856
40,0.325,-1393.23987,-91.71203,1222.57837,-1250.27112,-246.38614,1162.08679
41,0.333,-1387.88245,-89.86709,1223.49414,-1245.09851,-244.66321,1162.73499
42,0.342,-1382.42041,-87.90121,1223.91638,-1240.0824,-242.92822,1163.36316
43,0.35,-1378.07617,-85.92535,1224.47888,-1234.57202,-242.69556,1163.91016
44,0.358,-1373.41943,-83.42828,1224.67432,-1229.66394,-239.02686,1165.59021
45,0.367,-1369.06042,-82.07007,1225.39404,-1225.66833,-238.31242,1166.04712
46,0.375,-1364.17468,-79.95317,1226.81458,-1220.61194,-235.47504,1168.07959
47,0.383,-1358.2854,-77.85008,1227.54236,-1216.89172,-234.21504,1168.84692
48,0.392,-1353.31543,-75.67325,1227.99426,-1212.67004,-231.63458,1169.78589
49,0.4,-1348.72058,-73.48265,1228.65454,-1208.52051,-229.80806,1170.40503
50,0.408,-1344.42859,-71.41463,1228.96021,-1205.25647,-229.72282,1171.9928
51,0.417,-1340.24927,-69.17381,1229.76941,-1202.72009,-227.28311,1173.08667
52,0.425,-1335.63831,-66.94028,1230.36121,-1198.7644,-225.54706,1173.52258
53,0.433,-1331.26453,-64.8188,1230.74768,-1195.71399,-223.56787,1173.87402
54,0.442,-1326.79529,-62.03318,1230.86023,-1191.96045,-222.00928,1174.50964
55,0.45,-1321.96582,-60.57743,1231.14734,-1188.76526,-219.8434,1175.63818
56,0.458,-1317.81165,-57.81522,1231.5802,-1184.73462,-219.81517,1175.84656
57,0.467,-1313.62585,-56.27678,1232.19727,-1180.97363,-217.58223,1176.82349
58,0.475,-1309.37,-54.56974,1232.66724,-1177.68347,-217.11288,1176.89038
59,0.483,-1305.19238,-52.21103,1233.62488,-1175.1947,-214.87674,1177.03918
60,0.492,-1300.44165,-50.3597,1233.8429,-1171.15381,-214.84676,1177.25378
61,0.5,-1296.27502,-48.69658,1234.49634,-1168.09729,-212.74994,1178.16943
62,0.508,-1292.11145,-47.10071,1235.22144,-1163.88794,-212.26555,1178.61609
63,0.517,-1288.14709,-45.43204,1235.09119,-1160.43652,-211.57498,1178.35962
64,0.525,-1283.88892,-44.54204,1235.86353,-1156.30823,-209.9164,1178.01282
65,0.533,-1279.448,-42.79508,1236.58704,-1152.06177,-209.87579,1179.896
66,0.542,-1275.12866,-41.33002,1237.29761,-1148.51587,-208.65569,1179.56042
67,0.55,-1271.15955,-39.57186,1237.87488,-1145.12708,-207.44507,1180.4834
68,0.558,-1266.6106,-38.96875,1238.81836,-1141.49011,-206.94958,1179.86487
69,0.567,-1262.30872,-37.89783,1239.07532,-1137.74707,-205.18144,1180.99988
70,0.575,-1258.55212,-37.44846,1239.70862,-1133.82153,-203.93643,1181.31152
71,0.583,-1253.93347,-35.60439,1240.13184,-1130.87268,-204.67642,1181.9071
72,0.592,-1249.79871,-34.37368,1240.87231,-1126.65381,-204.87688,1182.68237
73,0.6,-1245.72937,-33.23325,1240.59009,-1124.02979,-204.84705,1182.3291
74,0.608,-1241.11572,-32.64035,1241.14258,-1119.63159,-202.89647,1182.92126
75,0.617,-1237.22888,-31.88075,1241.50842,-1116.10669,-201.96968,1183.42078
76,0.625,-1232.95313,-31.14318,1241.578,-1113.05945,-202.29784,1183.35571
77,0.633,-1228.53918,-30.39918,1241.70752,-1108.86719,-200.44965,1183.75635
78,0.642,-1224.4436,-29.60625,1242.1333,-1105.83374,-200.48387,1184.12097
79,0.65,-1220.84644,-29.03795,1241.97913,-1103.1853,-201.10216,1183.46631
80,0.658,-1217.65613,-28.18621,1242.23547,-1099.90503,-202.08699,1183.28015
81,0.667,-1213.51038,-27.78568,1242.74182,-1095.96631,-201.69215,1183.54016
82,0.675,-1209.24438,-28.19302,1242.76929,-1093.02869,-200.81747,1184.03735
83,0.683,-1204.78015,-27.69926,1242.97766,-1088.94775,-200.34593,1184.03125
84,0.692,-1200.79712,-27.62581,1243.09192,-1086.86829,-200.65799,1183.526
85,0.7,-1196.8866,-27.48333,1243.16968,-1082.30261,-201.61359,1183.65967
86,0.708,-1192.42444,-28.14094,1242.86938,-1078.03882,-201.90729,1183.25195
87,0.717,-1188.39319,-27.79731,1242.80225,-1073.95239,-202.07162,1183.26135
88,0.725,-1184.51013,-28.24481,1242.51782,-1069.95886,-202.71298,1182.21423
89,0.733,-1179.51758,-29.48978,1242.13318,-1066.03259,-203.42603,1181.29077
90,0.742,-1175.60193,-29.92342,1242.1073,-1061.86877,-202.67921,1181.91589
91,0.75,-1171.21716,-30.20589,1241.97949,-1058.15283,-203.1386,1181.26843
92,0.758,-1166.82104,-30.74681,1241.88074,-1053.20044,-204.65424,1181.1792
93,0.767,-1161.9696,-31.33264,1241.55859,-1048.59766,-206.46786,1180.61902
94,0.775,-1157.92542,-32.09091,1241.01587,-1044.68237,-206.06284,1179.50378
95,0.783,-1153.78796,-33.88734,1240.65625,-1040.06409,-206.61116,1179.27661
96,0.792,-1149.50842,-34.51309,1240.6394,-1035.57141,-207.41951,1179.03845
97,0.8,-1144.88196,-35.16455,1240.04578,-1030.50623,-209.00711,1178.57581
98,0.808,-1140.38696,-36.0172,1239.30396,-1025.8418,-210.13951,1177.77039
99,0.817,-1135.28284,-37.62556,1239.02026,-1021.414,-211.59084,1177.32227
100,0.825,-1130.6272,-39.35598,1238.72107,-1017.39722,-212.93396,1177.03552
101,0.833,-1126.71887,-40.382,1237.60376,-1013.17175,-213.08784,1175.9259
102,0.842,-1122.32166,-41.98416,1237.38513,-1008.13812,-213.77701,1175.1803
103,0.85,-1116.90295,-43.11772,1236.76086,-1004.26459,-215.4751,1175.31885
104,0.858,-1112.96875,-45.17202,1235.42761,-998.93793,-216.64973,1173.48669
105,0.867,-1108.33643,-46.63366,1234.70276,-994.79181,-217.90321,1172.83569
106,0.875,-1103.79846,-48.69643,1234.01025,-990.96216,-218.91228,1172.63904
107,0.883,-1098.73486,-49.88069,1233.86426,-986.2019,-221.62982,1171.06042
108,0.892,-1094.71631,-51.48429,1232.75452,-981.02185,-222.17438,1170.88184
