Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
66,0.542,-1092.15747,122.75752,1304.5238,-1150.48584,-163.05504,1293.02515,-1145.82288,211.19539,1303.87903
67,0.55,-1088.31006,123.39339,1304.20569,-1145.79639,-160.94894,1293.31311,-1140.17273,212.08047,1304.48303
68,0.558,-1082.51672,125.03557,1304.1106,-1142.1853,-160.64946,1293.32373,-1135.54199,213.51688,1304.69495
69,0.567,-1077.70898,122.93254,1303.87415,-1138.57434,-160.50821,1294.12964,-1129.06958,212.91313,1305.45398
70,0.575,-1072.54346,125.48153,1303.96619,-1134.00244,-159.60228,1294.85913,-1123.39258,213.80077,1306.06616
71,0.583,-1068.03125,125.26527,1304.26697,-1130.36914,-158.36929,1295.77649,-1119.16443,215.22525,1306.31128
72,0.592,-1063.96338,125.96941,1304.87683,-1127.34424,-158.18094,1295.49487,-1113.45776,215.64519,1306.13916
73,0.6,-1058.91211,126.12486,1304.71497,-1123.59216,-157.0578,1295.75098,-1109.72009,215.73471,1307.14001
74,0.608,-1053.6665,126.58801,1305.23779,-1119.39783,-156.33794,1295.69788,-1105.19116,217.10771,1306.88489
75,0.617,-1049.97656,127.56873,1305.09277,-1115.66919,-156.55051,1296.37378,-1099.62598,216.35046,1307.9613
76,0.625,-1044.24597,127.49049,1305.66296,-1112.47766,-156.58098,1296.58276,-1094.66431,217.21135,1307.87817
77,0.633,-1040.27539,128.0419,1305.23279,-1108.53845,-155.86473,1297.39099,-1087.94238,216.95819,1306.76428
78,0.642,-1037.39832,127.30582,1305.15344,-1104.95105,-155.20088,1296.45886,-1085.72986,218.52232,1307.38599
79,0.65,-1030.87769,127.98187,1305.43457,-1101.32056,-155.1552,1297.40381,-1080.15674,218.27641,1306.88074
80,0.658,-1026.20288,127.58009,1304.88403,-1097.1095,-155.49525,1297.7135,-1075.82629,218.53174,1305.99792
81,0.667,-1022.78717,126.52351,1303.5835,-1093.71851,-154.53047,1297.0188,-1069.07544,217.51884,1307.24622
82,0.675,-1017.74951,127.53211,1303.94934,-1088.67212,-154.69157,1297.17432,-1063.86108,218.12857,1307.40234
83,0.683,-1013.47357,127.02021,1303.19238,-1084.25195,-155.15106,1296.58838,-1060.7135,216.34618,1306.84521
84,0.692,-1008.77618,126.65157,1303.46606,-1081.44812,-155.4837,1296.37073,-1056.16101,217.30492,1306.60779
85,0.7,-1003.81049,125.76197,1303.40137,-1076.66577,-154.71028,1296.04065,-1049.99695,216.85558,1305.71606
86,0.708,-1000.1488,126.26849,1303.27405,-1072.3407,-155.19945,1296.16101,-1046.29041,216.66933,1305.82715
87,0.717,-995.23328,126.09601,1302.93286,-1068.78064,-155.76123,1295.74536,-1042.55713,216.62605,1305.23254
88,0.725,-991.59167,125.58337,1302.23828,-1064.44299,-156.86348,1295.15625,-1036.26831,215.84819,1305.50525
