Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z
1,0,1523.97424,519.36115,945.76947
2,0.008,1517.51465,519.59192,945.67303
3,0.017,1511.68115,521.94427,947.47534
4,0.025,1509.70691,521.00043,946.9776
5,0.033,1502.40564,522.08374,946.57214
6,0.042,1495.12036,523.17371,946.16669
7,0.05,1490.48254,519.61096,944.66144
8,0.058,1483.901,521.59058,944.6684
9,0.067,1476.76514,523.08234,944.64398
10,0.075,1472.08582,519.77875,943.18323
11,0.083,1465.98303,521.34552,941.29877
12,0.092,1458.78015,522.2486,940.58673
13,0.1,1455.92017,521.1488,937.552
14,0.108,1448.58838,521.90167,936.51807
15,0.117,1441.37915,522.8623,935.91718
16,0.125,1434.57336,523.66577,934.70367
17,0.133,1428.58813,522.79639,933.34503
18,0.142,1424.23096,524.74036,932.88715
19,0.15,1416.97534,525.20679,931.96228
20,0.158,1410.69202,526.56287,929.01086
21,0.167,1401.70825,526.43378,928.01025
22,0.175,1396.64172,525.91748,925.10718
23,0.183,1387.6814,525.3999,923.54126
24,0.192,1382.77869,525.73553,922.92877
25,0.2,1374.30151,526.49451,921.1134
26,0.208,1367.60901,526.96161,918.7027
27,0.217,1360.23474,527.58038,917.63403
28,0.225,1351.1803,526.92523,915.59344
29,0.233,1341.64722,526.81146,915.25201
30,0.242,1334.98792,526.82556,912.67712
31,0.25,1327.77527,528.43567,912.04382
32,0.258,1319.74048,529.31012,910.90015
33,0.267,1312.48108,530.79694,909.37714
34,0.275,1303.22034,529.76453,908.7099
35,0.283,1294.45508,529.21967,907.06384
36,0.292,1287.34436,530.60278,907.31793
37,0.3,1277.90076,529.12134,905.73749
38,0.308,1270.24475,530.39923,905.95483
39,0.317,1262.11121,530.01288,905.58679
40,0.325,1254.28784,531.06348,907.58246
41,0.333,1243.87866,529.42468,906.25726
42,0.342,1237.11145,530.19354,906.16876
43,0.35,1228.18689,529.62439,908.0899
44,0.358,1220.19214,530.91852,907.8338
45,0.367,1211.54346,530.09448,909.06781
