Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z
1,0,1506.82983,579.12982,965.60553
2,0.008,1501.72742,579.85455,966.64368
3,0.017,1495.00903,578.19324,965.45355
4,0.025,1489.89099,579.27374,964.19214
5,0.033,1484.74402,580.41412,965.48779
6,0.042,1478.98291,581.90576,963.98834
7,0.05,1472.90247,580.09399,962.43732
8,0.058,1467.66614,580.55621,963.35144
9,0.067,1461.77295,581.88141,962.5108
10,0.075,1455.51453,580.159,961.31329
11,0.083,1449.11877,580.58972,960.16266
12,0.092,1442.7583,581.55273,959.78314
13,0.1,1436.65747,580.35516,958.20215
14,0.108,1430.25488,581.52203,956.3255
15,0.117,1424.83276,582.56659,955.35956
16,0.125,1418.82397,584.59302,953.35718
17,0.133,1410.7041,583.58514,952.99597
18,0.142,1404.22046,583.4209,951.96191
19,0.15,1398.25415,581.86725,948.54602
20,0.158,1392.28577,582.60199,946.63257
21,0.167,1384.76831,584.63678,945.31067
22,0.175,1377.56873,586.54913,944.93652
23,0.183,1369.98645,584.93927,943.17004
24,0.192,1363.4397,586.1897,941.00781
25,0.2,1356.4436,585.68457,937.38159
26,0.208,1348.62585,586.17456,936.71075
27,0.217,1340.43616,587.08795,934.82654
28,0.225,1333.87463,585.44873,933.51544
29,0.233,1326.05237,586.71686,933.01404
30,0.242,1318.23853,587.63544,931.11993
31,0.25,1310.49866,587.17902,928.93262
32,0.258,1303.45593,589.48199,928.3045
33,0.267,1294.46509,587.93927,926.55481
34,0.275,1287.77954,589.17499,925.83081
35,0.283,1279.50647,590.20294,925.13898
36,0.292,1270.85864,589.29413,924.37073
37,0.3,1263.32458,590.16266,923.57135
38,0.308,1255.10425,589.82263,923.32385
39,0.317,1246.78918,591.73004,923.27325
40,0.325,1237.9281,590.78699,923.16089
41,0.333,1229.50061,591.63379,922.65845
42,0.342,1221.7998,589.79761,923.02332
43,0.35,1213.89319,590.86932,923.01227
44,0.358,1205.02844,589.34277,923.96454
45,0.367,1197.41504,590.5556,925.19684
46,0.375,1188.62891,590.20758,926.72412
47,0.383,1180.59277,591.22595,926.8548
48,0.392,1171.099,590.54492,926.71954
49,0.4,1162.96777,591.59247,928.11334
50,0.408,1154.26648,590.43182,929.41943
51,0.417,1146.80554,590.31787,930.66937
52,0.425,1137.62195,589.04504,931.651
53,0.433,1128.27209,587.54321,933.875
54,0.442,1119.53552,589.16095,933.31787
55,0.45,1109.90894,587.2475,932.82922
