Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,1648.08386,257.71793,1419.67944,1675.81482,524.16461,1434.73987,1717.11096,174.84395,1453.75391
2,0.008,1639.80835,257.41376,1419.20154,1668.24646,523.73224,1435.42407,1709.04138,174.90964,1453.09692
3,0.017,1632.48352,258.03848,1418.75867,1663.42114,523.98926,1434.70251,1702.42834,174.56158,1452.01294
4,0.025,1626.71655,257.4505,1418.59204,1656.1283,525.01965,1434.20605,1697.26025,175.17183,1452.67664
5,0.033,1621.31482,258.23517,1417.95813,1648.44116,523.70575,1434.06982,1688.35571,174.70128,1451.00916
6,0.042,1615.08728,258.54147,1417.0459,1642.08777,523.9151,1433.33777,1682.28931,175.13148,1452.35229
7,0.05,1608.26282,257.95535,1417.49646,1636.21228,523.8941,1432.7262,1675.6427,175.01237,1451.96167
8,0.058,1601.44824,260.1257,1416.30542,1628.36719,524.70514,1432.97754,1667.78333,174.7496,1450.96216
9,0.067,1591.91541,257.03171,1416.16699,1621.93958,523.88806,1431.83069,1661.2627,176.51442,1450.27454
10,0.075,1585.69788,257.74277,1415.35034,1614.96729,523.90826,1431.03064,1655.03064,175.97751,1449.90662
11,0.083,1578.08679,259.4014,1413.36487,1609.04626,524.62628,1430.44641,1648.54443,175.20392,1448.20142
12,0.092,1572.26709,258.43976,1412.75659,1602.10913,525.5036,1428.75513,1641.80066,177.23788,1447.75562
13,0.1,1565.17297,260.32935,1412.10388,1595.13184,524.88806,1428.13647,1633.41016,175.35799,1447.21545
14,0.108,1557.13452,259.51846,1411.29272,1588.44543,525.61572,1427.70544,1625.77332,177.16588,1445.81812
15,0.117,1551.65845,260.49493,1410.28125,1581.44678,526.51093,1425.99963,1620.66931,177.52477,1445.78455
16,0.125,1543.32703,262.17023,1409.38525,1573.8634,526.94971,1425.31909,1612.67505,176.06795,1445.84875
17,0.133,1535.427,259.99957,1408.39087,1567.2865,526.96265,1423.66821,1606.18323,178.31165,1443.6062
18,0.142,1529.21216,261.69022,1407.77368,1560.45728,527.42859,1421.97974,1597.50232,177.82423,1442.29785
