Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z,R.Elbow.x,R.Elbow.y,R.Elbow.z,R.Elbow.Medial.x,R.Elbow.Medial.y,R.Elbow.Medial.z
56,0.458,1636.18323,362.86874,1210.20508,1683.125,387.50186,1011.33295,1709.3938,316.25134,1003.6377
57,0.467,1628.63391,364.42917,1210.65955,1676.97217,389.98709,1011.33197,1703.01929,320.35168,1002.34229
58,0.475,1620.41089,367.32181,1209.896,1669.70984,392.62558,1011.44196,1696.65625,322.5556,1002.1377
59,0.483,1613.27136,367.57953,1208.77344,1662.27979,393.42062,1011.93701,1690.22583,324.85553,1001.99561
60,0.492,1604.95374,368.74197,1208.71753,1655.29541,394.84814,1011.22449,1684.13,327.22672,1001.66449
61,0.5,1597.9198,368.9165,1208.72473,1648.24182,396.34058,1010.90875,1676.75928,328.19855,1001.55914
62,0.508,1591.55334,368.77509,1208.14771,1641.2356,398.66208,1011.4353,1670.28735,329.90012,1000.58527
63,0.517,1586.34338,369.2215,1208.64075,1634.04883,399.17273,1011.42358,1663.35693,331.34894,1000.94873
64,0.525,1581.58777,368.43817,1208.90137,1627.73828,400.80432,1011.15924,1656.76746,331.57547,1000.61072
65,0.533,1576.1261,369.93979,1209.14368,1620.28479,401.02179,1011.13538,1649.77551,333.0918,1000.03296
66,0.542,1569.91333,370.58276,1209.15137,1613.7052,402.52704,1011.17432,1642.42957,333.93597,1000.03094
67,0.55,1564.34656,371.37143,1208.8689,1605.70349,402.92328,1011.63599,1635.12402,333.82315,999.53082
68,0.558,1558.50403,372.71902,1209.38916,1599.24133,404.29218,1011.65826,1628.38794,335.05664,999.49829
69,0.567,1553.16101,372.9917,1209.28857,1592.33923,404.59857,1012.54724,1621.24915,335.0712,999.12622
70,0.575,1547.20947,373.79666,1210.45349,1585.37439,404.90524,1012.51074,1611.65649,334.78217,1000.34833
71,0.583,1541.20154,374.69455,1211.51563,1578.62158,405.53143,1012.36633,1604.43201,335.61923,999.88031
72,0.592,1534.53113,376.64743,1212.35522,1572.41858,406.10095,1012.78046,1596.87158,335.84869,1000.85852
73,0.6,1528.62219,376.45956,1212.77087,1566.73474,406.71854,1012.57965,1590.56372,336.50443,999.92456
74,0.608,1523.22791,377.81488,1213.05786,1559.10205,406.99066,1013.16138,1583.04053,336.2966,1000.26031
75,0.617,1516.69812,379.63855,1214.06738,1553.21143,408.27838,1012.92963,1577.19458,337.36121,1000.81909
76,0.625,1510.09827,380.35312,1214.10986,1546.62219,408.57767,1013.04926,1569.6499,337.67831,1001.05634
77,0.633,1503.99878,379.87839,1214.03003,1540.0177,409.05334,1013.67365,1563.44165,337.88956,1001.59369
78,0.642,1496.99475,380.15747,1214.83325,1533.93616,409.93094,1013.39819,1557.34399,340.07449,1000.74426
79,0.65,1490.94336,381.34592,1213.99585,1527.23987,410.58887,1013.32861,1550.90601,340.34668,1001.13098
80,0.658,1484.16821,381.71097,1213.77747,1520.18054,410.91544,1013.16443,1545.13477,341.81982,1001.22943
81,0.667,1477.83594,382.1492,1213.74023,1512.9563,412.06033,1012.78772,1538.40552,342.03311,1000.70551
82,0.675,1469.76587,382.82462,1213.22241,1507.09705,413.26526,1012.74664,1532.05566,342.82278,1000.43689
83,0.683,1463.60901,382.7478,1212.76367,1499.75354,410.92581,1011.63666,1526.12598,343.92743,1000.26056
84,0.692,1456.34924,383.40347,1212.14832,1492.59033,413.7439,1011.75134,1519.15991,344.33072,999.38489
85,0.7,1450.61743,384.13412,1212.23303,1486.61816,414.98776,1011.18903,1514.47034,345.57755,999.6734
86,0.708,1444.38391,384.96567,1210.75659,1480.60339,414.43741,1010.46674,1509.16309,346.43539,998.27026
87,0.717,1438.86633,384.05988,1210.03076,1473.52832,414.76331,1009.82507,1502.70447,345.91531,997.34888
88,0.725,1432.70581,384.06509,1209.47241,1466.51355,414.64627,1008.09937,1496.07129,346.86417,997.25708
89,0.733,1426.24988,386.11667,1208.11682,1459.90503,415.28296,1006.96472,1489.91748,347.30164,996.23749
90,0.742,1419.27832,386.04596,1207.46277,1454.10046,414.44946,1006.50049,1484.60657,347.07928,995.41577
91,0.75,1413.75366,386.68866,1206.17163,1447.58435,414.37552,1005.59534,1476.7085,346.47226,993.8302
92,0.758,1408.59924,385.68234,1206.25525,1442.20215,414.16327,1004.59894,1469.66846,346.03082,993.27545
93,0.767,1402.51013,384.29984,1204.88989,1436.14392,414.47488,1004.23376,1463.00183,345.64938,991.95563
94,0.775,1396.32239,385.23373,1204.02954,1429.82788,413.09271,1002.73175,1456.99194,345.05789,990.55322
95,0.783,1391.25098,384.59271,1202.62341,1423.49463,413.11914,1000.56482,1451.22656,344.33948,989.24554
96,0.792,1385.32715,384.18527,1201.92395,1416.90161,411.90308,1000.70905,1443.94873,342.36432,989.01349
97,0.8,1380.14124,383.5213,1201.20654,1410.33228,411.34503,999.80463,1437.38342,341.61438,987.53442
98,0.808,1374.0658,382.11963,1200.45337,1405.28601,410.11868,999.3208,1430.52124,340.4538,986.08936
99,0.817,1368.13208,382.17514,1198.73413,1399.43347,409.57013,998.25708,1424.16125,339.22354,985.10095
100,0.825,1363.02856,380.90884,1198.65576,1393.47583,407.90497,996.9649,1417.03369,337.13043,984.24127
101,0.833,1357.34583,381.46817,1197.8905,1387.2821,407.35367,995.88324,1410.13184,336.6915,984.37451
102,0.842,1352.5061,380.85925,1197.17529,1381.17358,405.80209,995.12006,1405.15625,335.91946,982.29871
103,0.85,1347.21191,380.37943,1196.72852,1375.177,406.29126,994.45331,1399.70264,334.72711,982.37952
104,0.858,1341.60278,380.13116,1195.12781,1369.73547,403.65338,993.46509,1393.151,332.9581,981.14215
105,0.867,1335.76733,377.71573,1194.76526,1364.48438,402.30289,993.12811,1386.36755,332.27655,980.69836
106,0.875,1329.39136,377.08026,1194.59131,1358.28333,402.37234,992.0838,1380.58435,330.75369,980.3548
107,0.883,1322.77954,376.63107,1193.05762,1351.47229,400.33261,991.59448,1372.89343,329.42596,979.12262
108,0.892,1317.39221,374.85803,1193.19324,1346.08789,399.5307,991.38232,1367.24731,327.69885,978.7915
109,0.9,1310.31311,374.22983,1192.55896,1339.22974,397.40219,991.62268,1360.78027,327.43088,978.60535
110,0.908,1303.45837,372.78711,1193.59753,1334.07019,395.91043,991.75787,1353.94031,325.16403,978.89093
111,0.917,1296.99023,370.8558,1193.50476,1326.56104,394.71161,992.82404,1347.06641,323.88724,979.83783
112,0.925,1289.60254,370.95447,1195.46582,1321.28845,393.73685,993.07031,1339.71875,321.6889,981.55701
113,0.933,1283.76782,369.29779,1196.43567,1314.85559,391.63348,994.91711,1334.1886,319.79425,982.96527
114,0.942,1276.76465,369.4993,1197.28918,1307.23926,390.44485,996.79053,1326.86145,318.73328,984.87842
115,0.95,1269.94592,366.70261,1199.19958,1301.80334,388.854,997.44995,1318.89465,316.46179,986.76001
116,0.958,1262.26733,368.04364,1200.7655,1295.47827,388.60257,998.96741,1312.90149,314.53091,988.31244
117,0.967,1255.32678,367.23816,1201.90601,1289.5697,387.06631,1000.39777,1306.73474,313.96228,990.15668
118,0.975,1248.02588,365.59317,1202.96082,1283.00061,385.59222,1001.22394,1300.49792,312.43927,991.23535
119,0.983,1240.74829,364.63135,1203.49854,1277.26343,385.46698,1001.39276,1293.59692,312.29926,992.18762
120,0.992,1233.77283,364.74942,1204.35193,1272.21472,383.91379,1002.50519,1288.31348,310.49545,993.28394
121,1,1226.58411,363.80399,1204.76331,1266.2041,384.59149,1003.05975,1281.91748,310.94659,993.70239
122,1.008,1218.87292,364.14008,1205.56641,1259.33142,383.82602,1003.29614,1275.96326,310.32108,994.17731
123,1.017,1211.57507,364.37515,1204.92627,1253.73535,384.05377,1003.37921,1271.25671,310.26822,993.94708
124,1.025,1205.49341,364.18967,1204.10437,1246.96021,382.92337,1002.8941,1265.47546,310.15649,994.07697
125,1.033,1198.17407,363.28104,1204.25146,1241.57288,383.12564,1003.95349,1259.03528,310.79547,992.87183
126,1.042,1193.40222,363.36081,1204.50549,1235.74451,382.80371,1003.51398,1253.93799,309.68362,993.65643
127,1.05,1186.53284,362.84564,1203.78235,1229.09338,382.51175,1002.68524,1248.21216,310.94427,993.94403
128,1.058,1180.93652,362.55435,1203.85144,1222.47144,381.78348,1003.34851,1242.39026,309.65009,994.05261
129,1.067,1175.25842,362.22513,1203.90491,1217.50098,382.01401,1003.70282,1236.53027,310.2171,994.0351
130,1.075,1168.93848,360.22998,1203.53552,1211.95154,381.43344,1003.36285,1231.94104,309.01819,993.50598
131,1.083,1163.95007,361.06644,1202.87305,1206.12415,381.53387,1003.67114,1225.28943,309.59329,993.61475
