Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z
1,0,2029.05444,265.88022,889.14539
2,0.008,2027.01001,265.0289,888.63226
3,0.017,2023.23083,265.34711,887.97571
4,0.025,2020.5033,264.5397,888.05511
5,0.033,2017.87976,264.94888,887.98566
6,0.042,2014.8678,265.51184,887.86438
7,0.05,2012.14026,265.38895,887.19257
8,0.058,2008.84546,265.10358,886.28333
9,0.067,2005.78479,265.68362,886.94226
10,0.075,2001.21973,266.87378,885.12817
11,0.083,1999.70361,265.96713,885.19897
12,0.092,1994.7821,266.31732,884.52643
13,0.1,1990.82581,266.21231,884.42615
14,0.108,1988.02295,268.09766,884.04309
15,0.117,1983.37695,267.49231,883.51086
16,0.125,1981.45471,269.65427,882.94232
17,0.133,1976.44116,269.11496,882.76648
18,0.142,1973.47107,271.07568,882.58026
19,0.15,1968.33765,271.34677,881.67096
20,0.158,1963.49121,271.91086,881.16418
21,0.167,1960.12769,273.7981,880.71692
22,0.175,1954.28296,273.36404,879.95251
23,0.183,1948.96912,274.67657,879.09155
24,0.192,1945.70935,276.3111,878.52069
25,0.2,1939.17773,277.41812,878.43933
26,0.208,1934.04785,278.11383,877.06433
27,0.217,1928.46765,279.23364,876.22852
28,0.225,1924.73718,281.3287,875.25983
29,0.233,1917.979,281.8895,874.78973
30,0.242,1912.33325,283.21246,873.98401
31,0.25,1908.18909,284.46033,872.98602
32,0.258,1902.84705,285.90759,872.6532
33,0.267,1896.22705,287.79514,871.50348
34,0.275,1890.07703,288.3627,871.04169
35,0.283,1883.39343,289.38208,870.48492
36,0.292,1876.00073,291.24146,869.76044
37,0.3,1872.15991,293.23529,870.05756
38,0.308,1865.58276,295.78687,869.90961
39,0.317,1858.65125,296.39035,869.3421
40,0.325,1851.40955,297.36133,869.60693
41,0.333,1844.74805,299.23499,869.70654
42,0.342,1837.50073,300.75497,869.98846
43,0.35,1830.47095,302.27316,870.09442
44,0.358,1825.85632,304.15759,870.73346
45,0.367,1817.53516,305.73099,870.61053
46,0.375,1811.14197,307.54202,871.68207
47,0.383,1803.42297,309.71768,872.12885
48,0.392,1797.76331,310.1145,873.16492
49,0.4,1789.40747,311.42685,873.78271
50,0.408,1781.96179,313.15286,874.06714
51,0.417,1775.59766,316.03061,874.80347
52,0.425,1769.45654,319.01758,875.76788
53,0.433,1761.85046,319.71732,877.4743
54,0.442,1754.33472,322.53629,878.92682
55,0.45,1748.0022,325.06003,879.73749
56,0.458,1740.25195,326.29898,881.15466
57,0.467,1732.76294,329.55963,882.74316
58,0.475,1727.33594,331.57101,884.02631
59,0.483,1718.62085,333.92813,885.41901
60,0.492,1712.06714,336.01599,886.12366
61,0.5,1703.11707,337.37103,886.28174
62,0.508,1695.20789,340.01447,887.1377
63,0.517,1691.40466,343.97311,888.88251
64,0.525,1683.15918,345.56662,890.45764
65,0.533,1676.28467,348.1539,890.80591
66,0.542,1668.4259,349.89584,891.57928
67,0.55,1661.63721,353.14069,892.79041
68,0.558,1654.83191,354.78113,893.20471
69,0.567,1646.45691,356.60547,894.53918
70,0.575,1638.71362,358.0145,894.76398
71,0.583,1631.22217,359.4325,894.97443
72,0.592,1624.73901,361.34595,896.39539
73,0.6,1617.13794,363.43204,896.573
74,0.608,1609.953,364.91006,897.14136
75,0.617,1603.35181,366.71344,897.41113
76,0.625,1598.05713,367.66046,899.27966
77,0.633,1589.15259,368.63934,900.19098
78,0.642,1582.15625,370.24484,900.28485
79,0.65,1574.75232,370.81543,900.70831
80,0.658,1568.98145,371.43326,900.93622
81,0.667,1562.63086,372.53101,900.70917
82,0.675,1554.52295,371.59747,901.02191
83,0.683,1548.97144,373.18646,901.49121
84,0.692,1540.81958,373.4281,901.55066
