Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z
53,0.433,1704.90833,369.08923,823.80725
54,0.442,1697.58252,371.33142,825.30768
55,0.45,1690.03015,374.05792,826.81055
56,0.458,1683.88098,375.80307,827.63177
57,0.467,1675.30408,378.4093,827.7345
58,0.475,1668.73157,378.66031,830.68347
59,0.483,1660.27209,380.67123,832.44525
60,0.492,1652.34741,384.87445,833.05554
61,0.5,1646.60229,386.07718,834.34045
62,0.508,1635.745,385.8382,835.8053
63,0.517,1626.71851,388.22476,837.10645
64,0.525,1620.84473,390.28726,838.87134
65,0.533,1612.73669,393.73093,840.10657
66,0.542,1605.72009,395.63925,841.54779
67,0.55,1598.73999,398.13803,841.23462
68,0.558,1591.55005,399.14108,843.04053
69,0.567,1583.69214,400.7392,844.83295
70,0.575,1576.22522,403.46182,845.40997
71,0.583,1568.9657,404.76462,846.09497
72,0.592,1560.99121,404.91461,847.4292
73,0.6,1553.11694,406.74002,847.99414
74,0.608,1546.89453,407.98825,848.92871
75,0.617,1540.11951,409.46072,849.23413
76,0.625,1530.55188,409.12958,849.91321
77,0.633,1523.60645,410.23648,851.60242
78,0.642,1516.89648,411.91602,852.27917
79,0.65,1510.20789,410.54544,852.14655
80,0.658,1503.66406,411.57196,852.31647
81,0.667,1494.43445,411.44241,852.37946
82,0.675,1487.93164,410.9718,853.18127
83,0.683,1481.68872,412.24808,853.78485
84,0.692,1475.6554,410.28049,853.64355
85,0.7,1468.60132,410.70581,854.05103
86,0.708,1460.9635,408.86972,853.81006
87,0.717,1454.83533,409.42255,853.11273
88,0.725,1448.51367,408.10672,853.01538
89,0.733,1443.18616,407.33313,852.66046
90,0.742,1435.41626,407.36139,853.03632
91,0.75,1429.04456,405.61316,852.49463
92,0.758,1423.92749,405.62299,851.39111
93,0.767,1416.13171,404.10681,851.4599
94,0.775,1410.97388,403.02173,850.38507
95,0.783,1403.9989,401.25299,850.22961
96,0.792,1399.81213,399.59656,848.78625
97,0.8,1391.74487,398.36752,848.32141
98,0.808,1388.03589,396.61447,847.76117
99,0.817,1380.01843,394.84827,846.31763
100,0.825,1375.90991,393.91284,844.23456
101,0.833,1369.87207,392.19196,843.25836
102,0.842,1365.41943,390.12341,842.27167
103,0.85,1358.71545,389.24072,841.25848
104,0.858,1353.65308,386.75201,839.58167
105,0.867,1348.25574,386.34119,838.29236
106,0.875,1342.63855,383.06204,837.22974
107,0.883,1337.97717,381.78253,836.14337
108,0.892,1332.34924,380.71368,834.84497
109,0.9,1327.54602,379.26678,834.05859
110,0.908,1323.00854,377.69873,832.28302
111,0.917,1318.24023,376.43063,832.1145
112,0.925,1313.96094,374.62463,830.5932
113,0.933,1308.69812,371.87418,828.99976
114,0.942,1304.81787,371.56976,828.49982
115,0.95,1298.78931,369.29361,827.49915
116,0.958,1296.00952,368.36871,827.08313
117,0.967,1289.9292,366.20392,825.10541
118,0.975,1286.25879,365.74249,824.25012
119,0.983,1281.47949,364.67056,823.79486
120,0.992,1276.8988,363.15454,822.76794
121,1,1273.56726,361.90536,821.56738
122,1.008,1269.32141,359.4473,821.73273
123,1.017,1265.52344,359.05304,821.09985
124,1.025,1263.03186,358.62149,821.29633
125,1.033,1257.92432,355.68079,821.22766
126,1.042,1254.26355,355.6398,821.31757
127,1.05,1250.60535,353.00424,821.87787
128,1.058,1248.38013,352.2673,822.8551
129,1.067,1243.81775,352.81311,823.46503
130,1.075,1239.69482,349.84622,823.83795
131,1.083,1237.96484,348.15402,824.22552
