Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,1927.8125,-163.32951,1315.59912,2011.07324,114.70956,1308.91272,1972.30017,-258.32745,1318.12537
2,0.008,1920.61707,-164.50815,1314.87219,2006.09351,114.59171,1308.40344,1966.14221,-257.18863,1317.00171
3,0.017,1919.83362,-165.00928,1315.39075,2001.67102,114.0719,1308.52625,1961.75989,-257.66626,1316.48987
4,0.025,1912.5769,-162.44981,1314.87134,1998.89709,114.66331,1307.92188,1957.63342,-257.66788,1317.22778
5,0.033,1907.29272,-164.85435,1314.05432,1994.23169,114.89353,1307.38086,1951.89929,-256.71039,1315.71289
6,0.042,1903.22839,-163.61296,1312.66345,1989.32104,114.58206,1307.40149,1946.23608,-256.86115,1316.0127
7,0.05,1898.18408,-163.68433,1312.33081,1985.38098,113.7542,1306.80469,1942.97803,-258.34122,1316.02087
8,0.058,1896.42871,-162.78824,1312.53674,1980.56531,114.81236,1306.38232,1937.87549,-257.8772,1314.44495
9,0.067,1889.92554,-162.23006,1311.84216,1976.81738,115.67005,1305.52673,1931.96338,-254.77022,1314.8241
10,0.075,1885.48853,-162.96262,1310.974,1972.51904,115.08812,1304.72925,1928.97693,-256.65137,1314.65881
11,0.083,1880.16785,-161.92398,1310.62683,1966.64954,115.64706,1304.83215,1924.1001,-254.54643,1313.85754
12,0.092,1875.61682,-161.8139,1310.57556,1962.37048,116.76007,1303.64941,1917.87524,-254.20403,1313.04285
13,0.1,1871.33716,-159.87167,1309.98718,1959.43726,116.59699,1303.46484,1914.41016,-255.25845,1313.39185
14,0.108,1866.61267,-161.06326,1309.83118,1953.77881,117.23108,1302.97681,1909.24976,-254.52275,1312.47559
15,0.117,1861.41565,-160.86472,1309.48877,1948.6748,118.1611,1302.31824,1903.62134,-253.03729,1312.13586
16,0.125,1856.90857,-159.5089,1308.76538,1945.01196,118.62865,1302.33008,1899.89258,-253.3008,1311.68677
17,0.133,1852.86365,-157.52818,1308.31982,1940.10522,119.78688,1301.23511,1894.55518,-252.21765,1310.95972
18,0.142,1848.35083,-157.55991,1307.90991,1935.40796,120.50458,1300.43494,1889.40833,-251.30321,1310.87585
19,0.15,1842.12366,-157.29036,1307.35168,1930.0238,120.84048,1300.32788,1887.42944,-251.668,1310.12732
20,0.158,1837.93909,-157.01283,1307.11414,1925.6792,121.02824,1299.27124,1881.00122,-250.32362,1309.38184
