Frame#,Time,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z
1,0,2066.93555,124.11854,1003.19122
2,0.008,2063.75781,124.75523,1002.65802
3,0.017,2060.43311,123.61347,1002.61249
4,0.025,2056.59692,123.50997,1002.35907
5,0.033,2052.47876,123.70309,1002.62756
6,0.042,2047.91089,123.29114,1001.4787
7,0.05,2045.552,123.36506,1001.6925
8,0.058,2040.13354,124.10922,1000.41565
9,0.067,2036.13208,124.20601,1000.11096
10,0.075,2032.49805,123.07211,1000.27783
11,0.083,2029.30713,122.79909,1000.31311
12,0.092,2023.90857,123.12754,999.89331
13,0.1,2020.31531,125.22144,999.33698
14,0.108,2015.10571,124.93371,998.54156
15,0.117,2011.19238,125.71258,998.33105
16,0.125,2007.28552,126.50179,998.15002
17,0.133,2001.47449,126.04812,997.04352
18,0.142,1998.56921,127.49686,996.56226
19,0.15,1992.19385,128.38074,996.27362
20,0.158,1986.85352,128.34659,994.98419
21,0.167,1981.94507,129.03189,995.0968
22,0.175,1977.36841,129.3746,994.09027
23,0.183,1972.49646,131.03415,993.07098
24,0.192,1968.26807,132.34563,992.51758
25,0.2,1963.64575,132.62094,991.77844
26,0.208,1958.89087,134.35126,990.52679
27,0.217,1953.21594,135.29492,989.75623
28,0.225,1946.84192,136.63573,988.6076
29,0.233,1941.85144,138.3132,987.80682
30,0.242,1937.01355,139.35939,987.00909
31,0.25,1930.77209,139.90764,985.79272
32,0.258,1924.35852,141.64018,984.89471
33,0.267,1918.76563,143.18913,984.22076
34,0.275,1912.67627,143.98459,983.82544
35,0.283,1908.03638,146.55843,982.92328
36,0.292,1901.23145,147.37894,982.39587
37,0.3,1896.25037,148.74211,982.23639
38,0.308,1889.44983,150.64192,982.1145
39,0.317,1883.76929,151.82243,982.28638
40,0.325,1878.25598,153.30518,981.85858
41,0.333,1870.57727,155.20457,983.26019
42,0.342,1864.92993,156.17223,983.33759
43,0.35,1858.75659,159.0385,983.33655
44,0.358,1852.63855,160.00491,983.7926
45,0.367,1848.03345,163.14673,984.66412
46,0.375,1842.72241,164.2796,985.18707
47,0.383,1837.76782,167.20638,986.32855
48,0.392,1831.36768,169.08694,986.49988
49,0.4,1821.97314,168.41907,986.80957
50,0.408,1816.6322,172.09418,988.46881
51,0.417,1810.06104,172.99683,988.37018
52,0.425,1804.26221,176.1564,989.96436
53,0.433,1798.37866,177.61801,990.25818
54,0.442,1790.12976,180.17578,992.17505
55,0.45,1782.94031,179.93771,992.37189
56,0.458,1778.08325,184.15024,993.32568
57,0.467,1772.50647,185.88634,993.63074
58,0.475,1765.56909,189.41441,994.7085
59,0.483,1760.35645,192.42342,995.34644
60,0.492,1753.32849,194.30527,996.32867
61,0.5,1747.23999,196.08727,997.49182
62,0.508,1741.34204,198.63649,997.56915
63,0.517,1735.83057,201.16077,997.9696
64,0.525,1727.26245,202.19255,998.7406
65,0.533,1722.04785,205.29065,999.39667
66,0.542,1712.49158,206.09445,999.80048
67,0.55,1706.21973,209.00874,999.60236
68,0.558,1700.99609,212.15063,1000.26776
69,0.567,1694.56995,213.37509,999.96381
70,0.575,1686.9137,214.01746,1000.72339
71,0.583,1681.07312,216.2341,1000.90796
72,0.592,1675.78516,218.85464,1001.5473
73,0.6,1670.12854,221.3185,1001.18402
74,0.608,1665.89319,223.57425,1002.02148
75,0.617,1659.06506,224.56635,1002.00848
76,0.625,1653.42493,226.68781,1002.80139
77,0.633,1647.71814,227.46565,1003.09406
78,0.642,1642.27954,228.90233,1003.66309
79,0.65,1635.7627,229.94814,1002.96844
80,0.658,1629.8988,231.22102,1003.66278
81,0.667,1624.23938,232.58463,1004.23926
82,0.675,1618.40515,233.8179,1003.76147
83,0.683,1614.65649,234.91628,1004.37335
84,0.692,1608.32678,235.70804,1004.94745
85,0.7,1601.98535,235.26218,1003.87708
86,0.708,1595.62769,235.13423,1004.6098
87,0.717,1590.70166,236.22638,1005.1015
88,0.725,1585.61316,236.54601,1004.72034
89,0.733,1579.12378,236.31485,1004.06628
90,0.742,1572.59229,235.96223,1004.05774
91,0.75,1570.46082,236.89601,1003.02557
92,0.758,1563.54468,236.72987,1002.79132
93,0.767,1558.72864,236.75179,1003.47546
94,0.775,1554.505,236.52887,1002.78351
95,0.783,1547.0603,236.2169,1001.83618
96,0.792,1541.70129,235.09834,1001.96704
97,0.8,1537.77649,234.99353,1001.54944
98,0.808,1531.32581,234.26761,1000.40375
