Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Jaw.x,Jaw.y,Jaw.z
76,0.625,1519.74756,-5.13696,1584.61755,1427.88452,1.32839,1471.651
77,0.633,1513.60645,-3.61841,1585.23145,1420.46533,0.62887,1470.76685
78,0.642,1509.46338,-4.59769,1585.34509,1415.37451,0.90481,1469.48059
79,0.65,1503.53845,-3.22514,1584.94995,1410.37842,1.20805,1469.15442
80,0.658,1498.39685,-5.18284,1585.16602,1404.11963,1.60403,1468.81982
81,0.667,1493.19897,-3.68817,1584.7865,1401.1676,0.24465,1468.08411
82,0.675,1485.48718,-3.21333,1584.99622,1395.21631,3.10413,1469.84705
83,0.683,1481.1665,-4.91403,1584.72681,1390.63745,0.552,1469.1488
84,0.692,1475.61035,-3.19625,1583.66052,1384.02039,2.24058,1469.88245
85,0.7,1473.0575,-4.65493,1583.81689,1379.2168,2.55201,1469.59192
86,0.708,1465.75061,-3.40449,1583.30774,1372.7157,0.20027,1469.21704
87,0.717,1461.02466,-4.50021,1584.25464,1368.83594,3.26222,1468.68787
88,0.725,1455.80835,-4.39577,1584.48828,1365.06128,-0.4957,1467.06616
89,0.733,1449.1333,-3.4586,1583.67749,1357.88879,0.68608,1468.68005
90,0.742,1444.87439,-5.36841,1583.20166,1354.44006,-0.94653,1467.63135
91,0.75,1438.82971,-4.1666,1582.37915,1348.72974,0.35754,1466.4303
92,0.758,1434.94812,-5.959,1581.85693,1344.85669,-3.06284,1465.48438
93,0.767,1428.98401,-3.72644,1581.25989,1339.02942,0.23879,1464.39514
94,0.775,1425.58289,-6.39615,1580.875,1333.06812,-2.52587,1464.65063
95,0.783,1418.80725,-5.01638,1581.08105,1328.3689,-1.77445,1464.82715
96,0.792,1414.0199,-6.23931,1579.96338,1323.65625,-1.35736,1464.15247
97,0.8,1407.86963,-6.71122,1580.03162,1316.77588,-4.30075,1462.53833
98,0.808,1404.55933,-8.07767,1579.34424,1313.75586,-3.45639,1462.29749
99,0.817,1397.9353,-7.58199,1578.3053,1309.56665,-4.63232,1459.74072
100,0.825,1391.93835,-6.9601,1577.56519,1304.05994,-5.09477,1460.0553
101,0.833,1388.62122,-7.70794,1576.36353,1299.63782,-4.80087,1460.00403
102,0.842,1381.96326,-7.36261,1575.62366,1292.50244,-7.10367,1458.39722
103,0.85,1377.84912,-9.49527,1574.44885,1288.50427,-6.68252,1458.33093
104,0.858,1371.78992,-9.16535,1573.9325,1279.94312,-7.74678,1454.69971
105,0.867,1366.8999,-12.05618,1572.38232,1278.547,-8.71885,1454.56897
106,0.875,1360.20215,-10.88358,1571.08435,1269.66223,-9.18108,1453.73218
107,0.883,1356.04858,-13.62426,1570.24036,1268.9093,-9.82419,1452.41711
108,0.892,1351.30786,-11.49803,1569.81128,1262.94409,-8.54268,1452.06604
109,0.9,1347.02454,-14.09598,1569.82556,1256.77551,-11.47762,1450.50769
110,0.908,1340.29504,-14.01935,1566.9624,1251.94885,-11.07971,1450.45862
111,0.917,1336.94092,-15.78958,1567.31335,1245.66882,-13.93136,1447.90955
112,0.925,1331.50232,-17.19356,1567.60938,1242.09363,-13.92966,1448.54822
113,0.933,1326.67188,-17.7448,1565.85803,1238.08411,-15.28188,1448.17664
114,0.942,1321.90088,-20.74282,1565.95557,1231.17285,-15.99015,1447.90149
115,0.95,1314.73608,-20.66169,1564.8252,1227.94092,-15.49275,1446.08447
116,0.958,1311.34387,-22.72807,1563.94592,1219.74463,-17.79355,1444.55957
117,0.967,1304.63843,-23.34117,1561.92163,1217.35229,-17.46158,1445.40771
118,0.975,1300.05774,-25.91553,1561.5155,1209.30664,-19.7392,1444.88501
119,0.983,1295.96606,-26.83745,1560.72375,1206.85291,-19.12213,1444.91187
120,0.992,1289.66296,-27.73479,1560.3551,1199.42944,-23.61821,1443.84387
121,1,1286.65527,-30.77117,1559.62122,1197.78455,-24.1851,1443.61731
122,1.008,1279.79517,-30.4999,1559.98499,1188.14539,-25.78831,1443.77844
