Frame#,Time,L.Radius.x,L.Radius.y,L.Radius.z
1,0,2069.5752,-156.65442,1320.88525
2,0.008,2063.58472,-156.23975,1319.87329
3,0.017,2058.64648,-156.74902,1320.16492
4,0.025,2056.0542,-157.40677,1320.17664
5,0.033,2050.79736,-157.03375,1319.86694
6,0.042,2046.07886,-157.30208,1319.40601
7,0.05,2041.01904,-156.43492,1318.28052
8,0.058,2037.08606,-156.67873,1318.81848
9,0.067,2032.97437,-157.58759,1319.2085
10,0.075,2027.71802,-156.92305,1317.38025
11,0.083,2023.06982,-155.90755,1317.8125
12,0.092,2018.0863,-155.62262,1317.68213
13,0.1,2013.41064,-155.1515,1316.63757
14,0.108,2008.80969,-154.19089,1316.94128
15,0.117,2003.198,-154.50827,1315.57495
16,0.125,1999.16699,-154.02663,1315.23877
17,0.133,1996.1709,-153.98499,1315.36914
18,0.142,1991.60559,-152.62456,1314.39282
19,0.15,1986.6748,-151.88072,1313.86829
20,0.158,1981.21094,-151.52721,1312.75842
21,0.167,1976.42297,-149.94257,1312.20593
22,0.175,1971.48621,-148.84703,1311.10376
23,0.183,1966.89063,-148.37422,1311.0249
24,0.192,1962.56897,-146.74652,1309.79041
25,0.2,1957.91736,-145.61627,1309.12109
26,0.208,1952.28369,-144.57246,1308.26416
27,0.217,1947.99207,-143.5842,1307.31885
28,0.225,1942.755,-142.17206,1306.27966
29,0.233,1938.26453,-141.3936,1305.57617
30,0.242,1933.18982,-139.18498,1304.38171
31,0.25,1929.02246,-138.23436,1303.54919
32,0.258,1923.68274,-137.01785,1303.02515
33,0.267,1917.86755,-134.82672,1302.08618
34,0.275,1912.86902,-134.17929,1302.28003
35,0.283,1908.47083,-132.28151,1300.90967
36,0.292,1902.91772,-130.19536,1301.37097
37,0.3,1897.61023,-128.8654,1301.37463
38,0.308,1892.66113,-127.20338,1300.49756
39,0.317,1887.13245,-126.0665,1300.39233
40,0.325,1882.67871,-124.76329,1300.69897
41,0.333,1876.82031,-122.44784,1300.50818
42,0.342,1871.13184,-121.19485,1300.93896
43,0.35,1866.02319,-119.23767,1301.38
44,0.358,1861.61389,-117.42992,1301.82764
45,0.367,1856.76221,-115.74856,1302.50208
46,0.375,1851.31165,-114.06369,1302.43591
47,0.383,1846.46436,-112.40577,1302.97058
48,0.392,1841.33826,-110.61176,1303.15601
49,0.4,1836.84351,-107.89155,1304.15991
50,0.408,1832.11877,-105.85908,1304.84973
51,0.417,1826.67224,-104.17322,1305.05994
52,0.425,1821.09412,-102.42844,1305.84937
53,0.433,1816.82837,-100.4743,1305.92944
54,0.442,1812.47571,-99.41204,1306.85327
55,0.45,1807.36816,-96.20533,1307.88062
56,0.458,1802.22424,-94.51763,1308.13037
57,0.467,1797.64075,-93.23274,1309.14514
58,0.475,1793.35522,-90.38113,1309.60376
59,0.483,1788.37268,-88.44989,1309.76978
60,0.492,1783.28821,-86.92929,1310.92822
61,0.5,1779.02051,-84.28635,1311.20398
62,0.508,1773.60364,-82.35316,1312.40625
63,0.517,1769.04419,-80.84285,1313.16028
64,0.525,1764.89551,-79.47691,1313.98999
65,0.533,1759.88196,-77.84885,1314.23572
66,0.542,1755.06213,-75.26133,1314.09399
67,0.55,1749.7666,-73.62641,1314.58862
68,0.558,1745.14563,-72.14654,1315.37097
69,0.567,1740.66956,-70.26133,1315.84753
70,0.575,1735.42615,-69.0307,1317.01294
71,0.583,1730.5105,-67.25745,1317.01135
72,0.592,1726.5415,-65.97481,1318.27112
73,0.6,1721.75061,-64.98981,1317.95007
74,0.608,1717.0437,-63.2506,1318.83862
75,0.617,1711.9541,-62.06163,1318.5769
76,0.625,1707.65503,-61.49699,1319.61377
77,0.633,1704.25024,-59.84875,1320.00562
78,0.642,1698.61768,-58.84762,1321.01318
79,0.65,1693.73352,-57.39725,1321.63379
80,0.658,1689.53125,-56.64748,1322.48169
81,0.667,1685.98474,-54.84903,1322.84814
