Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z
1,0,2015.51257,-77.41315,1391.75305
2,0.008,2011.19482,-76.90189,1391.5575
3,0.017,2007.65601,-78.03224,1391.21082
4,0.025,2002.97107,-77.92683,1390.94031
5,0.033,1997.39624,-77.38326,1390.57239
6,0.042,1992.59363,-77.23598,1390.34668
7,0.05,1989.01367,-77.88354,1390.57056
8,0.058,1984.86328,-77.5817,1389.03467
9,0.067,1980.02783,-77.45728,1389.15479
10,0.075,1974.64783,-76.18847,1388.7356
11,0.083,1970.22937,-75.28725,1388.16638
12,0.092,1965.29565,-75.45891,1387.36267
13,0.1,1961.02087,-75.16618,1387.22717
14,0.108,1956.91516,-75.41721,1386.51294
15,0.117,1952.37671,-74.20166,1386.08215
16,0.125,1947.28333,-73.50603,1385.43945
17,0.133,1942.84912,-72.33165,1384.70459
18,0.142,1937.87048,-71.67336,1384.84412
19,0.15,1933.54919,-71.31628,1383.62463
20,0.158,1929.27063,-70.94672,1383.47437
21,0.167,1923.46423,-70.276,1381.94678
22,0.175,1919.75488,-68.38448,1381.83167
23,0.183,1914.7771,-68.02341,1380.81055
24,0.192,1909.43665,-66.18617,1380.50854
25,0.2,1905.17358,-66.78756,1378.94299
26,0.208,1900.7179,-65.27687,1378.72778
27,0.217,1896.25415,-63.42562,1376.96606
28,0.225,1890.69324,-62.75845,1377.49646
29,0.233,1885.43201,-61.45341,1375.5498
30,0.242,1881.60767,-59.75534,1375.07544
31,0.25,1875.88989,-58.58642,1373.71008
32,0.258,1871.10107,-57.27534,1374.1156
33,0.267,1865.87671,-55.64864,1373.02075
34,0.275,1860.45801,-53.83889,1372.61292
35,0.283,1856.07507,-52.32698,1372.93359
36,0.292,1850.48169,-51.38272,1372.06079
37,0.3,1845.10779,-50.22364,1372.18445
38,0.308,1839.14734,-47.6284,1371.9541
39,0.317,1834.43408,-46.51036,1371.66968
40,0.325,1829.08447,-45.07359,1372.22693
41,0.333,1823.82703,-44.57484,1372.05151
42,0.342,1819.68726,-42.72124,1372.00195
43,0.35,1813.73633,-40.02703,1372.44226
44,0.358,1808.64368,-38.15705,1373.37854
45,0.367,1804.12231,-36.91522,1373.98901
46,0.375,1799.19556,-36.4061,1374.70557
47,0.383,1793.22681,-33.67134,1374.8031
48,0.392,1788.27893,-31.97581,1375.52002
49,0.4,1784.13647,-30.61755,1376.43091
50,0.408,1779.47449,-28.39245,1376.56116
51,0.417,1773.86938,-26.17405,1377.85657
52,0.425,1768.82153,-24.91503,1378.24438
53,0.433,1764.22888,-23.22525,1379.06506
54,0.442,1759.91016,-21.85887,1380.61414
55,0.45,1753.89124,-20.20467,1380.86182
56,0.458,1749.11682,-17.45708,1381.05701
57,0.467,1744.27539,-16.36321,1382.01685
58,0.475,1738.68103,-14.96868,1383.46448
59,0.483,1735.41772,-12.95443,1383.97571
60,0.492,1728.55945,-10.40807,1384.26819
61,0.5,1723.70972,-9.85174,1385.25488
62,0.508,1719.31067,-7.22812,1385.69409
63,0.517,1714.24512,-6.38942,1386.22717
64,0.525,1708.02515,-4.56253,1386.85059
65,0.533,1704.48071,-3.03027,1386.67969
66,0.542,1698.79077,-2.33429,1387.82458
67,0.55,1693.63037,-0.95061,1388.15576
68,0.558,1688.27576,1.69839,1388.14111
69,0.567,1682.91296,3.48942,1389.05554
70,0.575,1678.25867,3.97413,1389.16125
71,0.583,1673.38599,5.17858,1389.55969
72,0.592,1668.70715,6.06081,1390.35168
73,0.6,1662.6134,7.11706,1391.38501
74,0.608,1657.46436,8.7415,1390.94556
75,0.617,1652.79639,9.98617,1391.07971
76,0.625,1647.64966,10.81224,1392.32043
77,0.633,1642.98389,11.84462,1392.25647
78,0.642,1638.1936,12.58572,1392.80627
79,0.65,1632.87988,12.94581,1392.94897
80,0.658,1627.83057,13.96682,1392.80615
81,0.667,1623.28259,14.69062,1393.83606
82,0.675,1617.61365,16.10237,1394.1167
83,0.683,1612.61975,17.06166,1393.40698
84,0.692,1607.65186,16.3223,1394.48193
85,0.7,1601.57739,16.69037,1394.59546
86,0.708,1597.86694,17.24644,1394.30737
87,0.717,1592.45007,17.95446,1394.57385
88,0.725,1586.96204,18.06705,1394.21924
89,0.733,1582.33191,18.78699,1394.2218
90,0.742,1576.90466,18.93716,1394.69348
91,0.75,1572.76733,18.89241,1394.01221
92,0.758,1567.56873,19.22327,1394.21301
93,0.767,1562.58118,18.84543,1393.20007
94,0.775,1558.5177,19.50924,1393.65332
95,0.783,1552.9873,19.24135,1393.005
96,0.792,1548.21765,18.31345,1392.13416
97,0.8,1542.10071,18.81999,1391.9574
98,0.808,1538.12769,19.18996,1391.07446
99,0.817,1532.83594,18.13325,1390.53296
100,0.825,1526.86267,18.09856,1389.22961
101,0.833,1522.02649,17.52219,1389.17053
102,0.842,1518.27637,17.35898,1388.47925
103,0.85,1512.39392,17.51918,1387.56604
104,0.858,1506.73193,16.69512,1387.31372
105,0.867,1502.08569,14.86749,1386.45874
106,0.875,1495.98999,14.55453,1386.05334
107,0.883,1491.25549,12.84841,1384.92334
108,0.892,1487.08582,12.68763,1383.20642
109,0.9,1482.28088,12.13108,1382.88
110,0.908,1476.95691,9.26639,1381.25439
111,0.917,1471.68433,7.8291,1380.99561
112,0.925,1466.13452,7.1204,1379.33948
113,0.933,1461.83655,5.27327,1378.62732
114,0.942,1456.44482,4.28415,1377.43835
115,0.95,1451.25061,2.9365,1376.20654
116,0.958,1446.21191,0.77195,1375.08118
117,0.967,1440.7124,0.155,1374.06934
118,0.975,1435.11511,-1.06026,1373.16504
119,0.983,1429.56458,-4.21506,1372.46704
120,0.992,1424.25476,-6.39302,1371.86084
121,1,1418.07959,-7.54041,1371.73633
122,1.008,1412.70313,-9.3497,1371.86353
123,1.017,1408.85583,-12.00828,1371.04407
124,1.025,1402.94397,-13.75998,1370.92834
125,1.033,1396.32104,-15.01404,1371.08618
126,1.042,1391.80688,-18.23333,1371.66174
127,1.05,1384.86353,-20.18338,1372.08203
128,1.058,1378.67822,-23.30939,1373.20093
129,1.067,1373.12561,-24.35057,1372.83215
130,1.075,1369.14563,-25.40675,1374.04333
131,1.083,1363.21643,-27.91661,1375.5116
132,1.092,1357.64575,-29.0818,1376.77356
133,1.1,1352.35461,-31.21254,1378.00562
134,1.108,1345.88367,-34.31718,1379.20398
135,1.117,1342.16858,-35.92149,1379.45703
136,1.125,1335.28662,-37.61506,1380.91089
137,1.133,1330.48755,-38.74862,1381.76343
138,1.142,1326.04004,-41.09559,1382.77112
139,1.15,1319.78406,-42.68372,1384.87256
