Frame#,Time,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
1,0,2081.604,12.86294,1329.80078
2,0.008,2076.48242,12.98745,1330.17639
3,0.017,2072.57886,12.23331,1329.60583
4,0.025,2068.4856,12.4975,1329.84937
5,0.033,2064.06592,12.98095,1328.90234
6,0.042,2059.80273,13.14124,1329.17542
7,0.05,2055.60107,11.80615,1328.89685
8,0.058,2050.41895,12.09574,1327.78845
9,0.067,2045.82654,12.76849,1327.46069
10,0.075,2041.27673,13.08591,1327.81604
11,0.083,2037.12646,13.93459,1326.74414
12,0.092,2032.0166,14.50494,1326.14539
13,0.1,2027.07617,14.57899,1326.19128
14,0.108,2022.64587,14.58406,1325.58313
15,0.117,2019.00293,15.80104,1325.33337
16,0.125,2014.06543,15.44843,1323.84302
17,0.133,2009.20593,16.57367,1323.69568
18,0.142,2003.57166,16.73979,1323.24524
19,0.15,1999.85815,18.65882,1322.52649
20,0.158,1995.43774,18.87101,1321.10889
21,0.167,1990.03931,19.88438,1320.29333
22,0.175,1984.64148,20.71388,1320.59644
23,0.183,1979.36096,21.07471,1319.16016
24,0.192,1976.16101,22.90056,1318.59692
25,0.2,1970.90369,23.72336,1316.78137
26,0.208,1965.24219,25.06466,1317.20422
27,0.217,1960.1792,25.90404,1315.8988
28,0.225,1955.66125,27.36241,1314.78235
29,0.233,1951.22583,28.19975,1313.79163
30,0.242,1946.06323,29.22702,1313.43921
31,0.25,1939.40942,31.87643,1312.13562
32,0.258,1934.40161,32.79915,1311.31189
33,0.267,1930.47278,34.61152,1310.33118
34,0.275,1924.51001,36.03153,1310.07349
35,0.283,1919.71375,36.71665,1309.65039
36,0.292,1914.26086,38.96264,1309.07971
37,0.3,1908.78064,41.41034,1309.18738
38,0.308,1903.49927,42.92281,1308.81909
39,0.317,1897.49097,44.49535,1309.62122
40,0.325,1892.32861,45.18232,1308.93201
41,0.333,1886.61365,48.44029,1309.04932
42,0.342,1881.3988,50.10246,1309.78955
43,0.35,1876.49341,50.5228,1310.57739
44,0.358,1870.64111,51.97205,1310.26721
45,0.367,1866.1051,54.45261,1310.58618
46,0.375,1860.35413,56.48802,1311.18481
47,0.383,1855.27771,57.98448,1311.76404
48,0.392,1850.73706,59.7387,1312.48645
49,0.4,1844.52393,61.85003,1312.6842
50,0.408,1839.1626,63.86432,1313.00134
51,0.417,1834.29187,66.25581,1314.34277
52,0.425,1829.50854,67.00771,1314.43262
53,0.433,1823.1936,69.63615,1315.29565
54,0.442,1819.17395,72.29678,1315.48462
55,0.45,1813.18323,73.28629,1316.94409
56,0.458,1807.91223,74.19082,1317.08594
57,0.467,1802.8811,77.27106,1317.84558
58,0.475,1797.21191,78.98177,1319.14832
59,0.483,1792.01233,80.33775,1319.55298
60,0.492,1786.61157,82.52885,1321.1543
61,0.5,1781.6084,84.8695,1320.74756
62,0.508,1775.38721,87.04667,1321.71155
63,0.517,1769.5083,88.47003,1321.87646
64,0.525,1764.8927,90.22216,1322.20239
65,0.533,1759.74695,91.12042,1323.02039
66,0.542,1752.98425,94.82925,1324.07605
67,0.55,1748.08911,96.20209,1324.38086
68,0.558,1742.68506,96.7581,1324.83459
69,0.567,1737.4375,98.04417,1325.25317
70,0.575,1732.27954,100.35172,1326.01587
71,0.583,1727.09155,101.64758,1326.25806
72,0.592,1720.73096,103.28536,1326.83997
73,0.6,1715.01917,105.07743,1327.42297
74,0.608,1710.49902,107.6888,1328.01465
75,0.617,1705.17236,108.36732,1328.53809
76,0.625,1699.3446,108.51688,1328.62451
77,0.633,1693.55383,109.90086,1328.75476
78,0.642,1689.34094,112.04855,1329.25256
79,0.65,1683.38208,112.95614,1330.22668
80,0.658,1677.84937,113.0191,1331.71606
