Frame#,Time,R.ASIS.x,R.ASIS.y,R.ASIS.z
1,0,2050.85107,209.16864,1047.36682
2,0.008,2048.6333,209.70145,1047.17676
3,0.017,2046.37756,210.23935,1046.24902
4,0.025,2042.5979,210.38905,1045.97363
5,0.033,2038.4967,209.05138,1046.07495
6,0.042,2035.14014,209.2762,1045.01904
7,0.05,2030.64685,208.41084,1045.57849
8,0.058,2028.54272,209.15472,1045.29688
9,0.067,2023.26392,208.92061,1043.98083
10,0.075,2020.651,209.78314,1043.91577
11,0.083,2017.80664,210.25691,1043.43835
12,0.092,2013.12598,209.97189,1042.11194
13,0.1,2008.01599,210.55527,1043.10132
14,0.108,2004.67114,212.13712,1041.84998
15,0.117,2000.19116,212.42497,1041.04004
16,0.125,1995.4375,213.43633,1042.05859
17,0.133,1990.76257,213.61458,1040.04346
18,0.142,1986.25574,214.72356,1040.13245
19,0.15,1979.69702,213.39627,1037.89526
20,0.158,1975.63965,215.15251,1037.56555
21,0.167,1971.90942,216.68642,1036.99731
22,0.175,1967.52734,217.01862,1037.46863
23,0.183,1962.40808,217.31458,1037.2832
24,0.192,1955.86145,217.11453,1035.3717
25,0.2,1951.19202,218.61499,1034.89148
26,0.208,1946.55188,220.24677,1034.02344
27,0.217,1943.49341,222.10277,1033.45142
28,0.225,1938.73181,223.59506,1033.13782
29,0.233,1933.74353,225.04617,1032.63306
30,0.242,1927.52185,226.21973,1030.87842
31,0.25,1922.33557,227.64255,1030.29822
32,0.258,1918.07068,228.87836,1029.67651
33,0.267,1911.80579,229.76598,1028.15613
34,0.275,1905.77856,231.04004,1027.7417
35,0.283,1900.42578,233.77408,1027.94629
36,0.292,1895.09241,235.57008,1026.4812
37,0.3,1888.35999,236.91234,1027.37903
38,0.308,1881.89734,237.36993,1026.24133
39,0.317,1873.55286,237.8999,1027.31189
40,0.325,1868.31238,240.39505,1027.67053
41,0.333,1863.5,242.48351,1028.08435
42,0.342,1856.71521,244.79208,1027.38367
43,0.35,1849.71204,245.20894,1027.14441
44,0.358,1840.56287,245.5955,1027.78137
45,0.367,1838.00867,248.0583,1027.92627
46,0.375,1829.38965,249.80942,1028.6814
47,0.383,1824.58936,252.4426,1028.51758
48,0.392,1819.38196,254.80301,1029.85388
49,0.4,1813.35339,257.30597,1031.36548
50,0.408,1806.28943,259.56033,1032.18457
51,0.417,1800.09351,261.38403,1032.92993
52,0.425,1790.51196,260.65228,1032.80957
53,0.433,1783.90588,263.04443,1033.92712
54,0.442,1780.56482,266.6626,1034.53394
55,0.45,1773.41345,269.0051,1036.68311
56,0.458,1767.28845,271.22568,1037.82959
57,0.467,1761.83289,273.80655,1038.51489
58,0.475,1756.20044,276.37073,1039.6499
59,0.483,1748.78381,277.63116,1040.06226
60,0.492,1741.28491,279.70871,1040.52466
61,0.5,1734.12964,282.04593,1043.15149
62,0.508,1726.43274,283.55356,1043.69958
63,0.517,1720.56836,285.83667,1043.84875
64,0.525,1716.3949,288.45673,1043.97778
65,0.533,1708.93005,291.09702,1044.03149
66,0.542,1702.34253,292.42261,1046.34375
67,0.55,1694.96387,294.29108,1047.08838
68,0.558,1687.45972,296.7619,1047.04883
69,0.567,1679.81421,298.02603,1048.10938
70,0.575,1673.35107,299.72034,1048.16211
71,0.583,1669.07483,301.61514,1049.34692
72,0.592,1660.35754,303.12314,1050.1084
73,0.6,1652.9137,303.73718,1050.37842
74,0.608,1646.06873,305.43246,1050.15332
75,0.617,1642.28601,308.2337,1050.38367
76,0.625,1635.76123,310.46094,1052.33655
77,0.633,1629.46277,312.41943,1052.13818
78,0.642,1622.79053,310.94348,1051.92932
79,0.65,1616.22864,312.63663,1053.16748
80,0.658,1609.52124,314.20044,1053.28491
81,0.667,1603.06494,314.10968,1053.62366
82,0.675,1596.83411,314.26062,1053.44336
83,0.683,1591.11511,315.3533,1053.29553
84,0.692,1584.73328,316.70554,1053.27075
85,0.7,1578.27612,317.92722,1053.97595
86,0.708,1571.91797,316.36697,1053.18713
87,0.717,1566.21826,316.30078,1053.62537
88,0.725,1560.60291,316.8154,1053.60718
89,0.733,1553.66968,317.21841,1054.11609
90,0.742,1547.97656,318.32483,1054.62512
91,0.75,1542.4447,316.96976,1052.64868
92,0.758,1535.99854,317.39667,1054.01892
93,0.767,1530.86755,317.20941,1052.78503
94,0.775,1525.50732,316.44327,1051.3186
95,0.783,1519.34399,315.85419,1050.13306
96,0.792,1513.81812,315.6666,1050.15088
97,0.8,1508.33069,314.41373,1048.86646
98,0.808,1503.12756,314.12579,1048.24927
99,0.817,1497.69653,314.37332,1047.5885
100,0.825,1492.1571,311.85101,1046.86426
101,0.833,1486.12329,313.02808,1045.57251
102,0.842,1480.68701,310.39108,1044.78931
103,0.85,1475.53674,310.25568,1044.02917
104,0.858,1469.63098,311.0506,1043.13831
105,0.867,1464.95728,308.19809,1042.18372
106,0.875,1460.71655,308.58536,1041.43726
107,0.883,1454.99927,305.95541,1038.17444
108,0.892,1449.78589,306.10913,1037.82996
109,0.9,1444.69971,304.43768,1036.45276
110,0.908,1439.37366,302.87119,1035.8479
111,0.917,1434.79529,302.68512,1035.13916
112,0.925,1429.68677,299.67944,1033.78625
113,0.933,1427.1615,298.97781,1033.19446
114,0.942,1421.80249,296.48398,1032.42493
115,0.95,1417.4165,296.29791,1031.73462
116,0.958,1413.46411,294.81461,1029.74683
117,0.967,1408.93921,293.02042,1027.79749
118,0.975,1404.62927,292.62509,1027.4978
119,0.983,1399.2113,289.31729,1027.00427
120,0.992,1395.75513,287.6828,1026.60962
121,1,1389.33752,285.99872,1025.31262
122,1.008,1384.80994,283.66806,1025.08215
123,1.017,1380.09009,281.73819,1025.08313
124,1.025,1375.9397,281.68161,1025.90662
125,1.033,1371.58594,277.72482,1025.78723
126,1.042,1367.08826,276.19241,1026.1051
127,1.05,1361.3999,274.01016,1027.89551
128,1.058,1358.23499,273.32651,1028.78418
129,1.067,1352.7229,270.15097,1029.5033
130,1.075,1349.61108,268.21817,1030.53418
131,1.083,1344.51208,265.86664,1030.89136
132,1.092,1340.2406,264.44296,1031.86414
133,1.1,1335.78333,262.50613,1034.58594
134,1.108,1330.9635,261.67862,1035.99548
135,1.117,1326.37976,258.46799,1036.6333
136,1.125,1324.16626,257.63916,1037.76477
137,1.133,1319.04138,254.61932,1037.99329
138,1.142,1314.44629,253.62587,1041.06287
139,1.15,1311.36584,250.42485,1041.85974
140,1.158,1308.01196,249.61433,1042.5238
141,1.167,1303.0929,247.79279,1043.14172
142,1.175,1300.86133,245.71396,1044.0625
143,1.183,1296.6283,243.55856,1044.34631
144,1.192,1293.55237,241.86287,1044.13989
145,1.2,1289.95728,241.48878,1045.91138
146,1.208,1286.56689,237.88606,1045.3042
147,1.217,1283.66785,237.85672,1045.99268
148,1.225,1279.87891,237.43871,1047.33276
149,1.233,1275.9248,234.32925,1047.25171
150,1.242,1273.05273,233.44154,1047.20764
151,1.25,1269.89404,232.29333,1047.23645
152,1.258,1266.10168,230.96149,1047.55554
153,1.267,1263.46338,230.16954,1047.52051
154,1.275,1259.03943,228.29073,1048.12451
155,1.283,1255.3446,227.26747,1048.11633
156,1.292,1251.63599,226.01373,1047.70032
157,1.3,1248.59314,225.53857,1047.93042
158,1.308,1245.32935,224.52917,1048.54712
159,1.317,1240.74182,222.74788,1048.63977
160,1.325,1238.68726,221.37265,1049.14453
161,1.333,1235.23425,220.06819,1049.04761
162,1.342,1231.72644,221.15965,1049.03455
163,1.35,1228.3855,219.02881,1049.04663
164,1.358,1224.03931,218.67751,1050.14697
165,1.367,1221.36426,218.96332,1050.32288
166,1.375,1217.60571,216.44194,1048.91858
167,1.383,1215.58264,215.862,1049.41968
168,1.392,1211.45422,216.23097,1049.51685
169,1.4,1208.98792,216.34761,1050.22546
170,1.408,1204.7699,214.38831,1049.07581
171,1.417,1201.89954,213.85599,1049.24292
172,1.425,1197.89709,214.647,1048.79724
173,1.433,1195.38916,212.94458,1047.27795
174,1.442,1191.15759,213.5278,1047.43347
175,1.45,1187.15771,213.97845,1047.13721
176,1.458,1183.75098,214.24521,1046.68665
177,1.467,1179.74011,212.9377,1046.00024
178,1.475,1175.41821,212.94928,1045.35168
179,1.483,1169.88794,214.22844,1044.75879
180,1.492,1167.24536,214.48608,1044.15979
181,1.5,1161.82336,214.58417,1043.58923
182,1.508,1156.59216,214.48523,1043.54236
183,1.517,1152.09827,216.23257,1042.94226
184,1.525,1146.99792,215.85086,1041.50171
185,1.533,1142.68506,216.68373,1041.21033
186,1.542,1136.4342,217.72972,1040.26489
187,1.55,1131.44043,219.36424,1039.53174
188,1.558,1125.98889,219.18759,1039.36658
189,1.567,1119.77722,220.02902,1038.66199
190,1.575,1114.31934,222.22969,1036.88269
191,1.583,1109.0321,222.51727,1035.88477
192,1.592,1103.2002,222.23698,1034.63525
193,1.6,1097.37537,224.27057,1034.15942
194,1.608,1090.95398,226.59393,1032.5282
195,1.617,1085.15369,227.58978,1031.68066
196,1.625,1079.1145,229.54941,1031.29724
197,1.633,1073.17529,228.97601,1029.50122
198,1.642,1067.37561,231.24121,1028.46594
199,1.65,1061.12158,233.74586,1027.8092
200,1.658,1054.19629,234.81064,1027.1748
201,1.667,1047.68811,236.03981,1026.12769
202,1.675,1042.12488,238.53401,1025.0719
203,1.683,1035.31213,239.8559,1025.60828
204,1.692,1028.33875,241.21481,1024.76709
205,1.7,1021.55646,242.95724,1024.56238
206,1.708,1015.52832,245.1456,1024.46655
207,1.717,1008.92957,246.07169,1024.63525
208,1.725,1002.18738,248.4104,1025.57336
209,1.733,995.41052,249.51001,1025.46667
210,1.742,989.05322,252.90291,1026.47034
211,1.75,981.65814,255.39876,1026.82263
212,1.758,974.74426,256.56921,1028.49707
213,1.767,968.45929,258.46423,1028.90112
214,1.775,961.10968,260.93835,1029.93359
215,1.783,955.20209,263.09839,1031.39233
216,1.792,947.89783,263.76007,1032.68958
217,1.8,941.21722,266.95889,1033.99634
218,1.808,934.26575,268.9191,1034.5708
219,1.817,928.16949,271.91174,1036.59216
220,1.825,920.7713,272.98392,1037.26721
221,1.833,913.43585,276.85773,1038.19458
222,1.842,906.29443,278.33176,1038.91833
223,1.85,899.97217,280.92239,1040.98767
224,1.858,892.71399,282.57437,1041.15417
225,1.867,886.02527,285.03867,1042.01392
226,1.875,878.68317,287.9765,1043.00513
227,1.883,871.27551,289.97937,1043.24475
228,1.892,864.40826,291.54233,1043.42725
229,1.9,856.94037,295.24896,1043.34375
230,1.908,849.79913,296.67676,1043.94983
231,1.917,842.55139,298.2648,1044.58606
232,1.925,836.49109,302.49908,1045.40369
233,1.933,827.14691,303.2886,1044.57031
234,1.942,821.50244,304.75055,1045.24963
235,1.95,813.25208,306.28674,1045.41675
236,1.958,807.44049,307.71948,1045.08057
237,1.967,798.729,309.95386,1045.39307
238,1.975,791.72186,310.71832,1044.76245
239,1.983,784.81342,312.82376,1045.00183
240,1.992,778.30847,314.17651,1046.13281
241,2,770.72229,314.82364,1045.81372
242,2.008,765.21271,316.58426,1045.03125
243,2.017,757.57581,317.78442,1045.07788
244,2.025,751.89105,317.46152,1045.63733
245,2.033,745.42828,318.27316,1046.08618
246,2.042,737.94244,319.88181,1046.29272
247,2.05,733.08417,321.85977,1046.4585
248,2.058,726.15778,321.76398,1045.93884
249,2.067,720.01636,322.52786,1045.25391
250,2.075,713.6723,322.14734,1045.05017
251,2.083,708.23468,323.07449,1045.9248
252,2.092,702.25995,323.47516,1045.79468
253,2.1,696.01666,323.68936,1044.8783
254,2.108,690.80121,321.9877,1043.91577
255,2.117,685.55133,325.10257,1044.01953
256,2.125,680.17828,324.68378,1043.45593
257,2.133,673.63531,323.82278,1042.45605
258,2.142,669.12018,325.24496,1042.64661
259,2.15,663.46118,323.52737,1041.41016
260,2.158,658.59802,323.27908,1039.60352
261,2.167,653.61035,323.73065,1039.7605
262,2.175,648.93829,322.29544,1038.56494
263,2.183,642.96606,322.15097,1038.21606
264,2.192,638.17407,322.11633,1037.7218
265,2.2,632.37854,322.54688,1036.53687
266,2.208,627.6991,321.97964,1035.16321
267,2.217,623.51984,321.16782,1034.81335
268,2.225,618.84924,320.55206,1034.10718
269,2.233,612.66632,320.40451,1033.18787
270,2.242,608.08063,320.15372,1031.49084
271,2.25,603.61938,319.15686,1030.28259
272,2.258,597.49023,318.02069,1029.84229
273,2.267,592.89539,317.50439,1029.63538
274,2.275,588.10681,317.06754,1028.26172
275,2.283,582.76233,315.3848,1027.04626
276,2.292,578.05127,314.80441,1026.41699
277,2.3,573.37982,313.50098,1025.93762
278,2.308,569.22705,312.84427,1025.59644
279,2.317,565.4632,312.22812,1024.8468
280,2.325,560.99707,310.6189,1022.92542
281,2.333,556.45758,309.98764,1022.34784
282,2.342,551.5155,309.37704,1021.85516
283,2.35,546.41992,308.14908,1020.87976
284,2.358,541.09814,307.6167,1021.42877
285,2.367,537.08185,306.41248,1020.16632
286,2.375,532.92206,305.20602,1019.95703
287,2.383,528.45691,303.11389,1018.78998
288,2.392,524.08411,301.28049,1018.01355
289,2.4,519.33789,299.8342,1018.10156
290,2.408,514.54504,298.57449,1017.89343
291,2.417,510.31,297.15479,1018.47229
292,2.425,504.82968,295.52322,1018.22827
293,2.433,499.61896,294.71402,1019.07062
294,2.442,494.34262,292.20789,1019.49042
295,2.45,490.16556,290.34027,1020.92188
296,2.458,484.9509,288.00677,1021.2547
297,2.467,480.1857,286.90991,1021.54077
298,2.475,475.18063,285.63766,1022.67072
299,2.483,470.42639,284.20419,1023.38019
300,2.492,467.21478,283.01608,1024.8208
301,2.5,462.62656,279.70193,1026.66284
302,2.508,457.64944,278.45712,1027.68018
303,2.517,453.01315,276.42935,1028.71521
304,2.525,448.65558,274.0351,1029.69702
305,2.533,443.32968,272.15726,1031.26465
306,2.542,439.29434,271.41324,1031.80005
307,2.55,435.67191,268.39532,1033.83557
308,2.558,432.246,267.15726,1035.1792
309,2.567,428.54349,265.22629,1035.5636
310,2.575,424.30112,263.44165,1037.03345
311,2.583,419.83951,262.6738,1037.67554
312,2.592,415.60553,260.56219,1037.68115
313,2.6,412.30084,259.38757,1037.95801
314,2.608,408.92615,256.80249,1038.05286
315,2.617,406.26019,256.2352,1038.9469
316,2.625,401.86884,254.89105,1038.81543
317,2.633,398.59775,252.84969,1039.59705
