Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z,R.Toe.x,R.Toe.y,R.Toe.z,R.MedFoot.x,R.MedFoot.y,R.MedFoot.z
55,0.45,1619.45276,-263.22723,233.4063,1492.46924,-170.89339,87.52631,1495.1272,-223.29396,135.88638
56,0.458,1601.41797,-262.18268,229.90587,1470.04358,-170.17755,86.06547,1473.5376,-220.64034,134.95499
57,0.467,1582.62476,-258.40152,224.73755,1445.81885,-169.41394,84.81146,1449.70886,-217.86833,132.31042
58,0.475,1563.45715,-256.88922,219.09926,1421.41064,-169.81133,83.73537,1429.30518,-218.19635,130.66306
59,0.483,1542.49976,-254.89931,211.77338,1396.84241,-167.46851,80.43871,1407.38538,-217.14641,128.00049
60,0.492,1522.19238,-252.02321,204.76988,1371.06201,-165.83524,78.76855,1383.05115,-216.21582,125.77161
61,0.5,1500.18921,-250.83293,196.8028,1346.17224,-165.09654,75.2501,1359.39868,-213.37914,120.79027
62,0.508,1478.88135,-248.05186,187.41573,1319.69043,-164.37775,72.92506,1334.81201,-212.65027,118.22598
63,0.517,1457.01318,-246.99065,178.09497,1293.08997,-161.14581,70.97464,1310.07007,-210.85364,114.75898
64,0.525,1434.68628,-244.17953,169.89618,1267.45435,-160.03653,67.28951,1285.17761,-208.48883,110.98222
65,0.533,1407.86755,-242.73367,159.75107,1239.93433,-156.04228,66.07288,1260.21326,-206.61484,108.31631
66,0.542,1384.71716,-240.59003,150.32277,1212.78894,-153.75146,61.88189,1235.09167,-203.85475,104.03699
67,0.55,1358.6283,-238.11148,141.52979,1185.93494,-151.98241,60.30615,1210.1554,-201.65038,100.9178
68,0.558,1336.74597,-233.9776,132.22025,1158.26807,-148.98346,58.79625,1184.32556,-198.19044,97.10788
69,0.567,1311.66016,-231.24858,122.97276,1130.94995,-145.19731,56.49572,1157.96326,-194.8956,94.03317
70,0.575,1286.60803,-228.62804,113.80768,1103.19861,-142.83023,54.53235,1132.43164,-192.11926,90.72545
71,0.583,1262.31982,-224.78551,104.23412,1076.21472,-140.16255,53.89853,1105.91516,-189.8669,87.8814
72,0.592,1236.74866,-221.17255,95.61908,1047.88696,-137.03874,52.9705,1079.76685,-186.53238,86.48065
73,0.6,1213.52637,-216.3855,85.42769,1019.93219,-133.39513,53.21174,1054.47058,-183.23042,84.03968
74,0.608,1187.54065,-211.5426,76.9423,993.664,-129.83527,52.78488,1028.25244,-180.72543,83.11722
75,0.617,1161.15991,-208.97285,69.68484,966.87878,-126.54339,54.47971,1003.31006,-176.14722,82.30115
76,0.625,1136.14282,-204.72063,63.12292,940.40167,-123.65083,56.10457,977.92188,-172.96468,82.36151
77,0.633,1112.13477,-200.65863,56.80486,915.17346,-119.87128,60.06837,953.73523,-169.83218,83.46307
78,0.642,1086.59033,-197.70801,50.23489,891.28064,-116.3978,63.25537,930.93915,-166.12009,85.7399
79,0.65,1064.828,-194.19878,45.98151,869.60535,-113.94522,68.41313,910.71564,-162.95633,88.97155
80,0.658,1045.44519,-191.80795,43.82047,850.21246,-110.39157,73.79773,891.70898,-161.90533,91.42461
81,0.667,1027.99658,-190.74535,40.76553,832.07721,-108.36237,78.58044,875.85498,-161.16542,94.09541
82,0.675,1013.58075,-190.85912,40.13661,816.09283,-107.0249,82.16032,861.74756,-161.49899,94.49226
83,0.683,998.59576,-192.33836,39.15425,803.4754,-108.03188,83.7984,849.79095,-163.32294,94.74302
84,0.692,989.164,-194.51151,38.80088,792.70599,-110.20362,82.07472,840.01776,-165.40063,93.22121
85,0.7,982.15442,-198.46481,38.87385,785.56067,-114.90632,77.60454,831.33215,-169.97363,90.36382
86,0.708,981.40881,-199.36093,40.30373,779.30457,-120.9878,71.52797,826.76727,-174.22504,85.2515
87,0.717,981.33496,-198.36607,41.96633,774.9707,-126.7671,63.46946,824.95221,-178.03638,78.85762
88,0.725,982.58215,-196.57805,42.00031,773.4881,-133.58344,52.07396,823.37323,-179.57069,74.65304
89,0.733,981.45184,-194.28723,41.95491,773.28864,-135.21904,50.28055,822.6001,-180.42172,73.38757
90,0.742,979.40747,-194.68507,42.99099,773.9436,-129.37027,54.12132,821.30505,-177.62453,73.91418
91,0.75,977.56317,-193.69229,44.97478,773.56024,-120.09713,52.52212,819.80249,-174.62833,74.07486
92,0.758,977.68298,-192.81728,44.87888,772.1933,-116.43069,47.0814,819.22711,-173.40945,73.94706
93,0.767,978.41461,-191.25079,44.43018,770.25165,-121.59652,44.9428,819.4906,-175.07187,72.64741
94,0.775,978.33685,-190.5809,45.03351,770.27368,-126.05888,46.05776,818.60333,-175.31825,71.81872
95,0.783,977.29395,-191.00948,45.41594,771.0318,-125.48524,46.07948,817.87323,-175.13484,71.61127
96,0.792,977.29395,-191.00948,45.41594,770.04974,-121.53542,44.94261,818.03912,-174.85876,71.75021
97,0.8,977.18713,-191.40631,45.42118,768.34283,-122.26573,43.82319,817.91241,-176.14217,70.89967
98,0.808,977.32159,-191.98212,45.12402,768.47455,-125.00365,43.76349,817.60632,-177.42455,70.50579
99,0.817,976.82941,-192.74814,45.00305,768.92462,-125.71386,44.15606,817.48022,-178.9245,69.75677
100,0.825,976.82941,-192.74814,45.00305,769.05585,-125.5016,44.08982,817.35565,-179.58226,69.30056
101,0.833,976.56848,-193.07466,45.2159,768.19611,-125.34718,43.64781,817.18195,-179.94052,69.11118
102,0.842,976.56848,-193.07466,45.2159,767.99744,-126.11649,43.50716,816.83514,-179.87141,68.18375
103,0.85,976.56848,-193.07466,45.2159,768.16125,-126.50388,43.58279,816.86304,-180.58342,68.08037
104,0.858,976.56848,-193.07466,45.2159,767.96985,-126.11588,43.27403,816.65979,-180.48236,68.20181
105,0.867,976.5351,-192.96735,45.29636,767.9137,-125.91625,43.18571,816.68634,-180.53688,68.07375
106,0.875,976.41949,-192.63553,45.51486,767.78796,-126.03346,42.98817,816.65979,-180.48236,68.20181
107,0.883,976.47913,-192.33484,45.69752,767.64374,-126.201,42.81993,816.65289,-180.35767,68.09915
108,0.892,976.58728,-192.03085,45.84029,767.4223,-125.96475,42.67217,816.7536,-180.40474,68.00516
109,0.9,976.58728,-192.03085,45.84029,767.4223,-125.96475,42.67217,816.53827,-180.88071,68.19506
110,0.908,976.37256,-192.25642,45.71862,767.2735,-125.87729,42.37913,816.48706,-180.93776,68.15227
111,0.917,976.37256,-192.25642,45.71862,767.2735,-125.87729,42.37913,816.58386,-181.09673,67.67877
112,0.925,976.22009,-192.80144,45.93698,767.34918,-125.83683,42.42614,816.58386,-181.09673,67.67877
