Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,-1224.87256,-460.41061,1695.37976,-1093.85071,-415.50012,1629.82178
2,0.008,-1217.62854,-459.54486,1694.68164,-1086.67456,-413.27582,1629.698
3,0.017,-1209.53003,-459.42337,1693.98914,-1078.94714,-412.13593,1629.07996
4,0.025,-1203.56982,-458.8277,1694.33398,-1073.13806,-412.9465,1628.19751
5,0.033,-1195.48523,-458.44315,1694.90112,-1070.18201,-405.53275,1628.38879
6,0.042,-1188.11292,-457.87476,1693.01563,-1061.09778,-410.2532,1626.22888
7,0.05,-1182.63916,-458.40747,1691.90027,-1054.28357,-410.01425,1628.63843
8,0.058,-1172.11743,-458.29736,1691.24316,-1046.36707,-409.30518,1624.13989
9,0.067,-1166.04846,-456.10547,1690.65125,-1040.60059,-404.64975,1625.26746
10,0.075,-1160.64758,-455.68631,1690.79443,-1034.86487,-402.18198,1628.2074
11,0.083,-1151.22241,-454.82556,1688.88354,-1027.65906,-400.58304,1623.17261
12,0.092,-1145.65393,-454.27063,1688.59338,-1021.92651,-398.22672,1625.1709
13,0.1,-1138.19067,-454.63202,1688.08069,-1013.6488,-399.43967,1625.92126
14,0.108,-1131.03503,-452.6546,1685.82227,-1006.57861,-397.68814,1623.67261
15,0.117,-1123.98535,-451.65387,1685.82849,-1001.40009,-391.67917,1625.03613
16,0.125,-1116.45386,-450.86002,1684.4292,-994.01636,-390.15396,1624.39783
17,0.133,-1108.17834,-449.2243,1683.52271,-986.43573,-388.41922,1622.60364
18,0.142,-1101.6571,-446.44788,1682.32397,-980.19214,-383.51254,1623.26807
19,0.15,-1094.95166,-445.09296,1681.54138,-972.94714,-384.46127,1621.60474
20,0.158,-1087.54565,-444.3674,1680.44714,-958.46478,-392.25259,1618.12756
21,0.167,-1079.62476,-442.84747,1679.95215,-953.20551,-385.65762,1618.70532
22,0.175,-1072.58032,-439.40747,1679.58398,-945.71985,-382.13943,1617.99536
23,0.183,-1066.38721,-437.12891,1678.65723,-939.01599,-384.96906,1616.70935
24,0.192,-1057.52527,-436.17703,1678.86426,-930.06305,-380.65869,1618.05066
25,0.2,-1051.13086,-434.46643,1678.05627,-921.03687,-382.10233,1617.4646
26,0.208,-1044.16418,-431.31128,1677.53857,-912.73651,-381.25958,1615.32996
27,0.217,-1035.80042,-429.1976,1677.21069,-909.78485,-374.11697,1615.53809
28,0.225,-1029.28357,-427.36557,1677.29602,-901.81683,-369.74426,1614.53601
29,0.233,-1021.61102,-423.72427,1677.45618,-896.1955,-367.49948,1618.51074
30,0.242,-1014.88446,-421.37775,1677.76343,-888.18542,-366.9353,1617.99976
31,0.25,-1006.83588,-419.45111,1678.33423,-880.40039,-363.40479,1617.89758
